Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-07-03 10-AM,BTCNGN,4032001,4080000,4004399,4040500,3.703,14985130.45
2019-07-03 09-AM,BTCNGN,4001009,4032001,3938607,4032001,5.099,20347145.49
2019-07-03 08-AM,BTCNGN,4065109,4099600,4001009,4001009,4.776,19323280.31
2019-07-03 07-AM,BTCNGN,4119919,4125000,4065109,4065109,4.894,20101560.73
2019-07-03 06-AM,BTCNGN,4150000,4150001,4106401,4119919,3.151,12995640.47
2019-07-03 05-AM,BTCNGN,4065999,4199000,4065999,4150000,4.355,18124795.43
2019-07-03 04-AM,BTCNGN,4120099,4219900,4065999,4065999,9.665,40441103.13
2019-07-03 03-AM,BTCNGN,4060522,4148091,4060521,4120099,2.832,11553854.34
2019-07-03 02-AM,BTCNGN,4072000,4095000,4019000,4060522,4.307,17559938.01
2019-07-03 01-AM,BTCNGN,3999501,4099500,3966999,4072000,5.099,20558195.66
2019-07-03 12-AM,BTCNGN,3863999,4000000,3863999,3999501,4.247,16698206.6
2019-07-02 11-PM,BTCNGN,3889000,3900000,3825527,3863999,2.184,8441697.07
2019-07-02 10-PM,BTCNGN,3875800,3900000,3832888,3889000,3.759,14584444.15
2019-07-02 09-PM,BTCNGN,3916995,3916995,3801009,3875800,4.61,17815861.85
2019-07-02 08-PM,BTCNGN,3864500,3977700,3864500,3916995,3.023,11842363.47
2019-07-02 07-PM,BTCNGN,3808990,3930001,3808990,3864500,5.277,20479730.06
2019-07-02 06-PM,BTCNGN,3826999,3865000,3801199,3808990,3.261,12539454.67
2019-07-02 05-PM,BTCNGN,3754000,3850000,3754000,3826999,7.842,29796730.87
2019-07-02 04-PM,BTCNGN,3759999,3776000,3746500,3754000,2.928,11037961.35
2019-07-02 03-PM,BTCNGN,3727999,3759999,3710002,3759999,4.638,17376632.5
2019-07-02 02-PM,BTCNGN,3572451,3727999,3572450,3727999,4.46,16261595.92
2019-07-02 01-PM,BTCNGN,3616523,3626522,3551007,3572451,4.093,14708632.9
2019-07-02 12-PM,BTCNGN,3575910,3697000,3575910,3616523,3.399,12311005.11
2019-07-02 11-AM,BTCNGN,3651621,3714000,3550100,3575910,7.417,26799486.39
2019-07-02 10-AM,BTCNGN,3712990,3712990,3630975,3651621,1.646,6009743.36
2019-07-02 09-AM,BTCNGN,3722999,3785000,3630975,3712990,3.235,12051641.12
2019-07-02 08-AM,BTCNGN,3585998,3740000,3561128,3722999,9.739,35676220.59
2019-07-02 07-AM,BTCNGN,3499999,3592000,3499999,3585998,9.318,32765382.31
2019-07-02 06-AM,BTCNGN,3572603,3592101,3460003,3499999,8.451,29878427.58
2019-07-02 05-AM,BTCNGN,3638224,3734044,3555699,3572603,7.39,26539547.15
2019-07-02 04-AM,BTCNGN,3780090,3790800,3618000,3638224,4.359,16022638.92
2019-07-02 03-AM,BTCNGN,3735133,3800000,3735133,3780090,0.952,3589927.13
2019-07-02 02-AM,BTCNGN,3823172,3860000,3726582,3735133,1.716,6556489.93
2019-07-02 01-AM,BTCNGN,3820559,3860305,3650000,3823172,3.911,14840822.69
2019-07-02 12-AM,BTCNGN,3849999,3867400,3820559,3820559,1.092,4212485.07
2019-07-01 11-PM,BTCNGN,3762080,3866990,3762080,3849999,4.534,17329569.17
2019-07-01 10-PM,BTCNGN,3832999,3880000,3750000,3762080,1.665,6352013.14
2019-07-01 09-PM,BTCNGN,3878448,3878448,3794999,3832999,3.85,14712187.9
2019-07-01 08-PM,BTCNGN,3637999,3880000,3637999,3878448,6.282,23788185.5
2019-07-01 07-PM,BTCNGN,3731998,3731998,3620112,3637999,3.147,11525566.14
2019-07-01 06-PM,BTCNGN,3700000,3745500,3700000,3731998,2.475,9190108.7
2019-07-01 05-PM,BTCNGN,3732008,3732008,3684699,3700000,3.118,11533374.07
2019-07-01 04-PM,BTCNGN,3732009,3788000,3732008,3732008,5.817,21867521.5
2019-07-01 03-PM,BTCNGN,3756000,3756001,3600001,3732009,10.5,38458390.48
2019-07-01 02-PM,BTCNGN,3752000,3871000,3710000,3756000,10.14,38324029.3
2019-07-01 01-PM,BTCNGN,3921348,3947800,3750000,3752000,11.68,44956770.76
2019-07-01 12-PM,BTCNGN,4017094,4017094,3900003,3921348,11.08,44039180.36
2019-07-01 11-AM,BTCNGN,4050001,4050001,4014039,4017094,3.264,13160478.41
2019-07-01 10-AM,BTCNGN,4050000,4050001,4041560,4050001,2.969,12022175.77
2019-07-01 09-AM,BTCNGN,4050000,4050001,4040999,4050000,2.82,11405357.35
2019-07-01 08-AM,BTCNGN,4013700,4050001,4013700,4050000,3.259,13101734.85
2019-07-01 07-AM,BTCNGN,4050000,4050001,4010900,4013700,5.875,23643898.44
2019-07-01 06-AM,BTCNGN,4100001,4100002,4050000,4050000,3.992,16249202.39
2019-07-01 05-AM,BTCNGN,4132322,4132322,4100001,4100001,1.621,6654182.16
2019-07-01 04-AM,BTCNGN,4158500,4175000,4107003,4132322,2.776,11489153.67
2019-07-01 03-AM,BTCNGN,4148098,4175000,4148098,4158500,0.7839,3252441.53
2019-07-01 02-AM,BTCNGN,4149990,4149990,4102129,4148098,7.35,30491061.81
2019-07-01 01-AM,BTCNGN,4100655,4149991,4100655,4149990,2.033,8432012.63
2019-07-01 12-AM,BTCNGN,4080730,4147990,4080730,4100655,2.389,9790425.36
2019-06-30 11-PM,BTCNGN,4088804,4152400,4080730,4080730,3.205,13115150.74
2019-06-30 10-PM,BTCNGN,4159530,4178999,4080840,4088804,3.993,16491515.17
2019-06-30 09-PM,BTCNGN,4200000,4200000,4155000,4159530,2.192,9203153.94
2019-06-30 08-PM,BTCNGN,4131000,4200000,4117555,4200000,2.774,11504031.18
2019-06-30 07-PM,BTCNGN,4151000,4151000,4080720,4131000,1.568,6462532.08
2019-06-30 06-PM,BTCNGN,4175854,4189699,4126199,4151000,1.508,6240491.57
2019-06-30 05-PM,BTCNGN,4182308,4199200,4123000,4175854,1.148,4804667.07
2019-06-30 04-PM,BTCNGN,4180001,4200000,3980000,4182308,10.53,43178520.13
2019-06-30 03-PM,BTCNGN,4293000,4293000,4180001,4180001,3.606,15322913.24
2019-06-30 02-PM,BTCNGN,4250719,4308098,4150423,4293000,5.003,21164473.64
2019-06-30 01-PM,BTCNGN,4326498,4326498,4250710,4250719,7.057,30333683.51
2019-06-30 12-PM,BTCNGN,4326001,4347999,4306164,4326498,0.7891,3407997.56
2019-06-30 11-AM,BTCNGN,4300000,4349001,4299999,4326001,1.414,6086670.74
2019-06-30 10-AM,BTCNGN,4370000,4370001,4251719,4300000,1.451,6281594.42
2019-06-30 09-AM,BTCNGN,4370000,4370001,4370000,4370000,0.5953,2601312.66
2019-06-30 08-AM,BTCNGN,4370000,4370001,4370000,4370000,0.9323,4073932.73
2019-06-30 07-AM,BTCNGN,4377921,4377921,4370000,4370000,5.541,24223988.15
2019-06-30 06-AM,BTCNGN,4381036,4393325,4377920,4377921,0.8559,3747690.23
2019-06-30 05-AM,BTCNGN,4399970,4399970,4376006,4381036,1.094,4794433.73
2019-06-30 04-AM,BTCNGN,4399970,4399970,4399969,4399970,0.1938,852850.48
2019-06-30 03-AM,BTCNGN,4385088,4399970,4385088,4399970,0.546,2398552.47
2019-06-30 02-AM,BTCNGN,4375998,4385100,4375998,4385088,0.4601,2016845.02
2019-06-30 01-AM,BTCNGN,4375998,4385100,4375998,4375998,0.2339,1023932.42
2019-06-30 12-AM,BTCNGN,4375998,4384989,4375998,4375998,0.2939,1286822.45
2019-06-29 11-PM,BTCNGN,4365509,4376000,4365509,4375998,0.3727,1628103.78
2019-06-29 10-PM,BTCNGN,4385100,4385100,4362609,4365509,1.172,5123089.53
2019-06-29 09-PM,BTCNGN,4379999,4399960,4379999,4385100,2.816,12339074.87
2019-06-29 08-PM,BTCNGN,4355001,4380000,4350000,4379999,2.344,10242421.12
2019-06-29 07-PM,BTCNGN,4374901,4374901,4355000,4355001,1.011,4412298.03
2019-06-29 06-PM,BTCNGN,4368777,4375000,4359001,4374901,1.593,6960901.24
2019-06-29 05-PM,BTCNGN,4369099,4369099,4355001,4368777,1.163,5071552.21
2019-06-29 04-PM,BTCNGN,4397001,4397001,4355000,4369099,1.184,5165128.74
2019-06-29 03-PM,BTCNGN,4398353,4400000,4366209,4397001,1.295,5694586.19
2019-06-29 02-PM,BTCNGN,4381000,4419998,4362999,4398353,0.916,4019016.73
2019-06-29 01-PM,BTCNGN,4390000,4440000,4370109,4381000,2.784,12268363.22
2019-06-29 12-PM,BTCNGN,4373800,4392099,4350000,4390000,1.874,8190130.82
2019-06-29 11-AM,BTCNGN,4377900,4389999,4344099,4373800,1.051,4583249.68
2019-06-29 10-AM,BTCNGN,4319999,4394399,4319999,4377900,1.928,8338008.65
2019-06-29 09-AM,BTCNGN,4319999,4320000,4319999,4319999,0.8548,3692666.32
2019-06-29 08-AM,BTCNGN,4319999,4337329,4319999,4319999,0.5943,2570771.99
2019-06-29 07-AM,BTCNGN,4337899,4337900,4278299,4319999,1.226,5299177.89
2019-06-29 06-AM,BTCNGN,4270012,4337900,4270011,4337899,2.604,11126295.15
2019-06-29 05-AM,BTCNGN,4285668,4285668,4270002,4270012,1.223,5237814.36
2019-06-29 04-AM,BTCNGN,4276922,4288668,4205000,4285668,1.201,5075521.68
2019-06-29 03-AM,BTCNGN,4340110,4340110,4208000,4276922,3.571,15405459.87
2019-06-29 02-AM,BTCNGN,4451779,4451779,4340001,4340110,7.387,32408447.77
2019-06-29 01-AM,BTCNGN,4449999,4460000,4449999,4451779,2.703,12027646.52
2019-06-29 12-AM,BTCNGN,4477999,4478000,4449999,4449999,0.813,3637138.51
2019-06-28 11-PM,BTCNGN,4449999,4478000,4449998,4477999,1.124,5004894.41
2019-06-28 10-PM,BTCNGN,4444000,4449999,4424156,4449999,10.47,46501518.76
2019-06-28 09-PM,BTCNGN,4397689,4444000,4397689,4444000,2.294,10165801.65
2019-06-28 08-PM,BTCNGN,4432999,4449999,4318000,4397689,6.869,30278958.77
2019-06-28 07-PM,BTCNGN,4369000,4433000,4363623,4432999,5.322,23462422.07
2019-06-28 06-PM,BTCNGN,4340001,4369000,4340000,4369000,1.485,6470577.79
2019-06-28 05-PM,BTCNGN,4375000,4375000,4340000,4340001,1.608,7006907.38
2019-06-28 04-PM,BTCNGN,4380070,4389000,4342099,4375000,2.387,10429133.35
2019-06-28 03-PM,BTCNGN,4339000,4390000,4321449,4380070,2.596,11345210.64
2019-06-28 02-PM,BTCNGN,4384999,4389000,4307500,4339000,2.345,10200761.9
2019-06-28 01-PM,BTCNGN,4346999,4390000,4340000,4384999,4.188,18222109.7
2019-06-28 12-PM,BTCNGN,4460409,4477680,4346999,4346999,4.404,19369479.77
2019-06-28 11-AM,BTCNGN,4374998,4460410,4359009,4460409,5.288,23271454.13
2019-06-28 10-AM,BTCNGN,4396000,4492900,4341920,4374998,6.927,30473778.5
2019-06-28 09-AM,BTCNGN,4316969,4398008,4316969,4396000,7.068,30968854.72
2019-06-28 08-AM,BTCNGN,4172121,4389000,4172121,4316969,3.47,14642428.62
2019-06-28 07-AM,BTCNGN,4171489,4250000,4136349,4172121,5.614,23667860.05
2019-06-28 06-AM,BTCNGN,4086999,4200799,4055927,4171489,5.506,22930698.12
2019-06-28 05-AM,BTCNGN,4091800,4091800,4044122,4086999,3.399,13824560.2
2019-06-28 04-AM,BTCNGN,4094000,4097601,4045121,4091800,1.754,7154990.21
2019-06-28 03-AM,BTCNGN,4140800,4140800,4025122,4094000,2.258,9225884.56
2019-06-28 02-AM,BTCNGN,4167569,4237222,4100099,4140800,1.69,7055938.29
