Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ZAR
2019-07-03,BTCZAR,164000,176879,164000,171999,335.33,57819019.34
2019-07-02,BTCZAR,161590,165500,149000,164000,889.05,137751916.7
2019-07-01,BTCZAR,167001,174445,151827,161590,761.14,123678084.06
2019-06-30,BTCZAR,182999,184000,166005,167001,344.31,60186367.86
2019-06-29,BTCZAR,187119,187119,173325,182999,410.76,74176985.25
2019-06-28,BTCZAR,164306,188398,163837,187119,1091.0,194917391.58
2019-06-27,BTCZAR,192500,197947,147420,164306,1726.78,301772642.96
2019-06-26,BTCZAR,178499,210000,171000,192500,1434.75,279019040.76
2019-06-25,BTCZAR,168752,178499,168752,178499,674.14,117737381.0
2019-06-24,BTCZAR,165256,168849,163500,168752,413.64,68981373.98
2019-06-23,BTCZAR,161500,171000,161447,165256,277.31,45699688.79
2019-06-22,BTCZAR,153674,172500,153673,161500,689.15,113127076.16
2019-06-21,BTCZAR,143999,153674,143998,153674,668.36,99622133.76
2019-06-20,BTCZAR,141000,143999,140277,143999,506.97,71805714.37
2019-06-19,BTCZAR,139001,142050,139000,141000,478.28,67348236.27
2019-06-18,BTCZAR,143500,143560,137851,139001,578.86,81810987.97
2019-06-17,BTCZAR,139165,144100,139164,143500,278.38,39735642.58
2019-06-16,BTCZAR,136977,144500,136977,139165,460.07,64787365.2
2019-06-15,BTCZAR,133745,137476,133080,136977,281.61,38098350.87
2019-06-14,BTCZAR,127605,133745,127604,133745,506.08,65741938.36
2019-06-13,BTCZAR,125909,128221,125909,127605,415.33,52641347.79
2019-06-12,BTCZAR,122000,126605,121743,125909,536.76,66804834.43
2019-06-11,BTCZAR,124147,124960,121109,122000,561.62,68930210.78
2019-06-10,BTCZAR,122036,125500,120786,124147,504.47,62230985.91
2019-06-09,BTCZAR,124999,126247,120201,122036,166.19,20554965.9
2019-06-08,BTCZAR,126000,126700,123849,124999,191.78,24074554.97
2019-06-07,BTCZAR,123000,127700,122743,126000,459.55,57750486.72
2019-06-06,BTCZAR,122000,123450,119500,123000,561.63,68550567.79
2019-06-05,BTCZAR,118560,124100,118559,122000,586.87,71780672.94
2019-06-04,BTCZAR,126200,129835,118000,118560,1160.68,142819328.05
2019-06-03,BTCZAR,134200,134299,126199,126200,614.21,80752568.54
2019-06-02,BTCZAR,131266,136000,131266,134200,231.21,30998015.48
2019-06-01,BTCZAR,131497,132249,130000,131266,251.01,33071460.15
2019-05-31,BTCZAR,127902,131498,126000,131497,534.5,69119827.35
2019-05-30,BTCZAR,132285,136899,125100,127902,656.95,87172061.31
2019-05-29,BTCZAR,132700,133798,130005,132285,491.73,65137258.9
2019-05-28,BTCZAR,133998,134398,132512,132700,492.53,65642784.8
2019-05-27,BTCZAR,130545,135990,128501,133998,627.66,83329666.21
2019-05-26,BTCZAR,122442,131600,120500,130545,543.16,68013031.18
2019-05-25,BTCZAR,122000,122999,122000,122442,206.3,25233618.55
2019-05-24,BTCZAR,119800,122999,118769,122000,437.8,53237595.73
2019-05-23,BTCZAR,117576,120250,115500,119800,556.79,65366662.98
2019-05-22,BTCZAR,120809,120996,116000,117576,564.26,67532008.78
2019-05-21,BTCZAR,120276,123800,119009,120809,550.83,66632608.51
2019-05-20,BTCZAR,123948,123948,115790,120276,644.19,77196882.36
2019-05-19,BTCZAR,112003,123948,112003,123948,424.28,51054045.23
2019-05-18,BTCZAR,111400,115200,110000,112003,407.77,46066403.26
2019-05-17,BTCZAR,118200,118896,100007,111400,1128.39,123037184.78
2019-05-16,BTCZAR,122999,124995,116204,118200,818.43,98339773.56
2019-05-15,BTCZAR,119995,124100,118812,122999,678.15,82461726.94
2019-05-14,BTCZAR,117590,126600,115102,119995,1061.9,128881311.75
2019-05-13,BTCZAR,105449,120000,104506,117590,897.0,101207139.84
2019-05-12,BTCZAR,108333,114000,100500,105449,907.36,97798844.98
2019-05-11,BTCZAR,94998,109900,94997,108333,757.26,76986932.86
2019-05-10,BTCZAR,91869,95989,91800,94998,722.71,68334027.71
2019-05-09,BTCZAR,88990,92222,88989,91869,607.78,55491009.48
2019-05-08,BTCZAR,88181,88990,88000,88990,331.51,29299892.05
2019-05-07,BTCZAR,85529,88850,85529,88850,211.38,18583741.78
2019-05-06,BTCZAR,86118,86118,84650,85529,488.78,41751719.82
2019-05-05,BTCZAR,86191,86270,85281,86118,197.12,16939276.1
2019-05-04,BTCZAR,84764,86270,83402,86191,299.11,25517510.71
2019-05-03,BTCZAR,81401,86682,81400,84764,521.55,44187438.68
2019-05-02,BTCZAR,79844,81699,79844,81401,317.06,25627917.65
2019-05-01,BTCZAR,78573,80205,78572,79844,246.54,19637990.02
2019-04-30,BTCZAR,77306,79198,77305,78573,526.39,41142146.88
