Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-07 03-AM,BTCUSD,11602.55,11619.88,11551.65,11553.75,0.2289,2654.39
2019-08-07 02-AM,BTCUSD,11507.27,11644.19,11507.27,11602.55,0.6958,8068.1
2019-08-07 01-AM,BTCUSD,11452.43,11557.84,11437.06,11507.27,2.979,34245.74
2019-08-07 12-AM,BTCUSD,11455.48,11489.93,11393.27,11452.43,4.676,53513.59
2019-08-06 11-PM,BTCUSD,11281.3,11475.93,11263.3,11455.48,12.71,143922.5
2019-08-06 10-PM,BTCUSD,11359.08,11387.3,11222,11281.3,1.878,21238.27
2019-08-06 09-PM,BTCUSD,11636.26,11647.13,11304.11,11359.08,25.59,292601.17
2019-08-06 08-PM,BTCUSD,11695.7,11722.5,11594.41,11636.26,4.285,49990.29
2019-08-06 07-PM,BTCUSD,11718.6,11755.32,11629.83,11695.7,4.256,49688.97
2019-08-06 06-PM,BTCUSD,11699.61,11725.6,11696.82,11718.6,0.3763,4406.43
2019-08-06 05-PM,BTCUSD,11763.05,11810.47,11699.61,11699.61,8.556,100703.21
2019-08-06 04-PM,BTCUSD,11689.03,11781.81,11666.61,11763.05,7.621,89268.08
2019-08-06 03-PM,BTCUSD,11721.15,11732.93,11666.61,11689.03,7.535,88283.13
2019-08-06 02-PM,BTCUSD,11780.46,11788.22,11659.12,11721.15,7.951,92899.26
2019-08-06 01-PM,BTCUSD,11668.67,11792.18,11632.24,11780.46,7.963,93396.01
2019-08-06 12-PM,BTCUSD,11772.96,11796.79,11558.53,11668.67,8.538,99537.3
2019-08-06 11-AM,BTCUSD,11761.67,11823.06,11677.21,11772.96,6.176,72595.78
2019-08-06 10-AM,BTCUSD,12226.37,12299,11609.87,11761.67,63.24,750070.2
2019-08-06 09-AM,BTCUSD,12190.12,12262.49,12190.12,12226.37,33.12,404674.23
2019-08-06 08-AM,BTCUSD,12181.55,12276.03,12181.55,12190.12,10.05,122817.3
2019-08-06 07-AM,BTCUSD,12143.45,12294.09,12136.63,12181.55,16.67,203591.87
2019-08-06 06-AM,BTCUSD,11778.55,12196,11778.55,12143.45,19.44,234489.83
2019-08-06 05-AM,BTCUSD,11662.64,11778.55,11662.64,11778.55,2.617,30680.48
2019-08-06 04-AM,BTCUSD,11680.78,11686.68,11618.8,11662.64,4.144,48351.04
2019-08-06 03-AM,BTCUSD,11636.3,11711.32,11625.02,11680.78,3.043,35525.71
2019-08-06 02-AM,BTCUSD,11670.93,11673.92,11576.52,11636.3,9.305,108064.6
2019-08-06 01-AM,BTCUSD,11769.2,11796.12,11598.93,11670.93,31.7,370360.99
2019-08-06 12-AM,BTCUSD,11789.76,11820.29,11687.7,11769.2,12.23,144058.0
2019-08-05 11-PM,BTCUSD,11796.74,11841.85,11750.11,11789.76,2.032,23977.65
2019-08-05 10-PM,BTCUSD,11758.65,11848.36,11719.24,11796.74,11.25,132454.55
2019-08-05 09-PM,BTCUSD,11718.52,11774.04,11687.71,11758.65,6.951,81620.88
2019-08-05 08-PM,BTCUSD,11755.72,11832.24,11702.06,11718.52,1.652,19450.01
2019-08-05 07-PM,BTCUSD,11807.1,11817.49,11755.48,11755.72,3.839,45241.17
2019-08-05 06-PM,BTCUSD,11783.83,11867.6,11763.2,11807.1,1.992,23529.15
2019-08-05 05-PM,BTCUSD,11868.99,11942.99,11764.68,11783.83,3.602,42803.34
2019-08-05 04-PM,BTCUSD,11775,11899,11739.95,11868.99,2.09,24625.98
2019-08-05 03-PM,BTCUSD,11774.99,11784.08,11675.26,11775,3.006,35249.19
2019-08-05 02-PM,BTCUSD,11737.06,11815.01,11717.9,11774.99,5.226,61492.91
2019-08-05 01-PM,BTCUSD,11776.95,11810.49,11716.72,11737.06,6.794,79885.22
2019-08-05 12-PM,BTCUSD,11787.22,11837.81,11712.04,11776.95,34.59,407343.0
2019-08-05 11-AM,BTCUSD,11639.43,11795.87,11604.78,11787.22,35.16,411606.98
2019-08-05 10-AM,BTCUSD,11708.62,11772.89,11619.41,11639.43,8.754,102409.86
2019-08-05 09-AM,BTCUSD,11747.21,11747.21,11687.86,11708.62,2.22,25986.39
2019-08-05 08-AM,BTCUSD,11679.33,11747.21,11666.14,11747.21,3.558,41662.56
2019-08-05 07-AM,BTCUSD,11576.08,11834.23,11569.16,11679.33,15.31,179344.71
2019-08-05 06-AM,BTCUSD,11511,11614.46,11511,11576.08,3.261,37781.14
2019-08-05 05-AM,BTCUSD,11561.76,11573.02,11511,11511,6.64,76573.84
2019-08-05 04-AM,BTCUSD,11541.6,11607.1,11541.6,11561.76,3.901,45170.94
2019-08-05 03-AM,BTCUSD,11571,11624.33,11489.89,11541.6,3.999,46124.58
2019-08-05 02-AM,BTCUSD,11429.19,11594.08,11370.07,11571,6.157,70571.06
2019-08-05 01-AM,BTCUSD,11198.42,11453.16,11175.01,11429.19,7.247,82387.22
2019-08-05 12-AM,BTCUSD,10964.08,11214.7,10964.08,11198.42,17.88,198557.95
