Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-08-07,ETHUSD,226.36,227.39,225.73,227.39,1.544,350.04
2019-08-06,ETHUSD,233.57,237.91,221.99,226.36,311.05,71997.24
2019-08-05,ETHUSD,223.02,235.89,222.61,233.57,708.45,164480.58
2019-08-04,ETHUSD,222.13,223.61,217.79,223.02,245.12,54248.0
2019-08-03,ETHUSD,217.95,224.38,217.11,222.13,187.57,41707.06
2019-08-02,ETHUSD,217,222.08,215.23,217.95,137.64,29920.99
2019-08-01,ETHUSD,218.91,218.97,211.71,217,433.2,92548.37
2019-07-31,ETHUSD,210.87,218.91,210.87,218.91,221.46,47933.56
2019-07-30,ETHUSD,210.85,214.46,205.31,210.87,1021.59,215664.6
2019-07-29,ETHUSD,211.32,213.83,206.28,210.85,979.53,205709.7
2019-07-28,ETHUSD,207.18,213.16,197.53,211.32,1549.41,322518.22
2019-07-27,ETHUSD,218.31,223.67,202.52,207.18,2109.15,443432.8
2019-07-26,ETHUSD,219.62,220.2,213.31,218.31,336.74,72929.02
2019-07-25,ETHUSD,216.63,225.75,215.65,219.62,346.4,77045.86
2019-07-24,ETHUSD,211.58,217.88,201.97,216.63,476.92,98718.7
2019-07-23,ETHUSD,217.45,218.38,208.93,211.58,395.26,84117.74
2019-07-22,ETHUSD,226.34,227.99,212.26,217.45,462.01,100096.91
2019-07-21,ETHUSD,228.75,229.21,217.32,226.34,1118.47,248628.76
2019-07-20,ETHUSD,220.8,235.18,220.8,228.75,766.86,174210.32
2019-07-19,ETHUSD,225.57,225.76,213.68,220.8,4406.81,958389.62
2019-07-18,ETHUSD,211.28,213.87,206.92,213.04,167.8,35744.64
2019-07-17,ETHUSD,199.73,219.52,191.89,211.28,3083.08,637355.36
2019-07-16,ETHUSD,228.57,233.92,190.55,199.73,7664.29,1580433.04
2019-07-15,ETHUSD,225.51,235.32,202.78,228.57,6439.02,1413420.44
2019-07-14,ETHUSD,268.31,269.35,223.21,225.51,9116.29,2180739.26
2019-07-13,ETHUSD,276.62,276.62,261.77,268.31,129.47,34799.57
2019-07-12,ETHUSD,267.74,279.35,266.75,276.62,1642.16,449603.11
2019-07-11,ETHUSD,289.31,289.31,262.38,267.74,4022.59,1081620.06
2019-07-10,ETHUSD,308.82,313.92,273.91,289.31,5413.65,1558259.82
2019-07-09,ETHUSD,313.55,318.42,302.84,308.82,1109.0,345386.71
2019-07-08,ETHUSD,306.01,314.04,303.97,313.55,444.77,136762.78
2019-07-07,ETHUSD,287.44,310.35,284.8,306.01,1382.65,415940.96
2019-07-06,ETHUSD,287.12,296.11,284.9,287.44,483.7,141055.99
2019-07-05,ETHUSD,283.53,293.32,279.94,287.12,283.32,81172.75
2019-07-04,ETHUSD,302.93,302.93,280.08,283.53,616.44,180535.97
2019-07-03,ETHUSD,289.27,302.93,289.27,302.93,2158.8,637795.06
2019-07-02,ETHUSD,294.14,295.55,273.07,289.27,731.63,206944.49
2019-07-01,ETHUSD,288.96,299.75,279.63,294.14,1801.66,518421.1
2019-06-30,ETHUSD,317.05,322.01,287.26,288.96,604.02,182117.13
2019-06-29,ETHUSD,310.91,323.94,294,317.05,273.32,83562.5
2019-06-28,ETHUSD,293.17,312.69,290.56,310.91,307.84,93555.64
2019-06-27,ETHUSD,334.94,343.22,275,293.17,1505.4,471246.91
2019-06-26,ETHUSD,316.98,364.95,314.11,334.94,3703.84,1233313.96
2019-06-25,ETHUSD,309.49,316.98,306.82,316.98,751.05,233943.23
2019-06-24,ETHUSD,305.16,313.5,295.81,309.49,1090.16,336538.3
2019-06-23,ETHUSD,310.28,317.92,304.95,305.16,1393.46,431725.5
