Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-08-07,LTCUSD,91.83,93.17,91.83,92.94,10.31,958.31
2019-08-06,LTCUSD,95.86,98.95,91.12,91.83,1333.69,127660.56
2019-08-05,LTCUSD,92.86,106.85,92.86,95.86,1463.79,145828.78
2019-08-04,LTCUSD,94.07,94.73,90.61,92.86,1130.11,104383.2
2019-08-03,LTCUSD,94.74,96.68,93.93,94.07,561.61,53471.46
2019-08-02,LTCUSD,98.83,98.94,92.78,94.74,2066.12,196037.95
2019-08-01,LTCUSD,98.99,100.67,96.01,98.83,823.45,81599.02
2019-07-31,LTCUSD,90.06,99.39,90.06,98.99,1100.81,105903.55
2019-07-30,LTCUSD,90.37,92.69,88.82,90.06,1026.83,94157.9
2019-07-29,LTCUSD,90.18,91.77,87.77,90.37,1296.42,116833.51
2019-07-28,LTCUSD,88.56,90.82,83.9,90.18,1188.31,105262.6
2019-07-27,LTCUSD,94.21,96.48,86.83,88.56,1236.64,114098.96
2019-07-26,LTCUSD,93.1,94.21,90.39,94.21,886.56,82179.12
2019-07-25,LTCUSD,94.21,96.71,91.98,93.1,299.78,28139.43
2019-07-24,LTCUSD,90.59,95.72,87.4,94.21,170.38,15336.46
2019-07-23,LTCUSD,95.02,95.02,88.62,90.59,184.35,16975.47
2019-07-22,LTCUSD,100.53,100.53,91,95.02,762.14,72213.31
2019-07-21,LTCUSD,100.6,100.91,96.7,100.53,368.68,36264.86
2019-07-20,LTCUSD,98.15,105.49,97.74,100.6,2562.67,255783.99
2019-07-19,LTCUSD,101.98,101.98,95.19,98.15,1689.07,163998.83
2019-07-18,LTCUSD,90.15,90.51,87.31,89.21,173.8,15627.38
2019-07-17,LTCUSD,79.79,94,77.84,90.15,1587.2,140007.29
2019-07-16,LTCUSD,90.57,91.75,76,79.79,3982.64,334642.02
2019-07-15,LTCUSD,89.77,92.27,85,90.57,1955.69,172147.41
2019-07-14,LTCUSD,101.08,101.69,87.6,89.77,1470.56,135863.55
