Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2019-08-07 03-AM,DASHETH,0.475,0.476,0.475,0.475,0.9355,0.4444
2019-08-07 02-AM,DASHETH,0.478,0.478,0.474,0.475,4.914,2.336
2019-08-07 01-AM,DASHETH,0.475,0.478,0.475,0.478,23.83,11.33
2019-08-07 12-AM,DASHETH,0.472,0.475,0.471,0.475,1.552,0.7343
2019-08-06 11-PM,DASHETH,0.466,0.472,0.466,0.472,1.589,0.7447
2019-08-06 10-PM,DASHETH,0.468,0.469,0.465,0.466,2.842,1.325
2019-08-06 09-PM,DASHETH,0.46,0.47,0.46,0.468,10.31,4.815
2019-08-06 08-PM,DASHETH,0.46,0.461,0.459,0.46,9.286,4.278
2019-08-06 07-PM,DASHETH,0.459,0.46,0.458,0.46,9.152,4.202
2019-08-06 06-PM,DASHETH,0.458,0.459,0.458,0.459,35.91,16.48
2019-08-06 05-PM,DASHETH,0.459,0.46,0.458,0.458,33.59,15.39
2019-08-06 04-PM,DASHETH,0.461,0.461,0.459,0.459,10.27,4.721
2019-08-06 03-PM,DASHETH,0.459,0.462,0.459,0.461,2.998,1.38
2019-08-06 02-PM,DASHETH,0.46,0.461,0.459,0.459,2.134,0.9808
2019-08-06 01-PM,DASHETH,0.465,0.465,0.459,0.46,20.98,9.668
2019-08-06 12-PM,DASHETH,0.466,0.467,0.465,0.465,9.197,4.283
2019-08-06 11-AM,DASHETH,0.463,0.466,0.461,0.466,11.44,5.296
2019-08-06 10-AM,DASHETH,0.464,0.465,0.459,0.463,54.45,25.18
2019-08-06 09-AM,DASHETH,0.473,0.473,0.464,0.464,6.192,2.89
2019-08-06 08-AM,DASHETH,0.477,0.477,0.473,0.473,1.753,0.8336
2019-08-06 07-AM,DASHETH,0.474,0.477,0.471,0.477,9.978,4.714
2019-08-06 06-AM,DASHETH,0.478,0.478,0.471,0.474,44.72,21.23
2019-08-06 05-AM,DASHETH,0.475,0.478,0.475,0.478,2.167,1.032
2019-08-06 04-AM,DASHETH,0.474,0.476,0.474,0.475,0.9391,0.4461
2019-08-06 03-AM,DASHETH,0.474,0.476,0.474,0.474,4.474,2.122
2019-08-06 02-AM,DASHETH,0.474,0.475,0.474,0.474,1.481,0.7022
2019-08-06 01-AM,DASHETH,0.475,0.477,0.474,0.474,3.319,1.576
2019-08-06 12-AM,DASHETH,0.472,0.475,0.472,0.475,0.5975,0.283
2019-08-05 11-PM,DASHETH,0.477,0.479,0.472,0.472,13.07,6.244
2019-08-05 10-PM,DASHETH,0.482,0.482,0.476,0.477,2.609,1.249
2019-08-05 09-PM,DASHETH,0.483,0.485,0.482,0.482,1.859,0.8984
2019-08-05 08-PM,DASHETH,0.482,0.485,0.482,0.483,2.731,1.32
2019-08-05 07-PM,DASHETH,0.479,0.483,0.478,0.482,2.436,1.171
2019-08-05 06-PM,DASHETH,0.474,0.479,0.474,0.479,33.31,15.88
2019-08-05 05-PM,DASHETH,0.474,0.474,0.465,0.474,77.48,36.23
2019-08-05 04-PM,DASHETH,0.477,0.478,0.47,0.474,15.81,7.516
2019-08-05 03-PM,DASHETH,0.481,0.482,0.477,0.477,23.94,11.5
2019-08-05 02-PM,DASHETH,0.477,0.481,0.476,0.481,1.509,0.723
2019-08-05 01-PM,DASHETH,0.475,0.477,0.475,0.477,17.05,8.127
2019-08-05 12-PM,DASHETH,0.477,0.478,0.473,0.475,20.97,10.0
2019-08-05 11-AM,DASHETH,0.478,0.479,0.475,0.477,8.028,3.835
2019-08-05 10-AM,DASHETH,0.471,0.479,0.465,0.478,131.21,61.98
2019-08-05 09-AM,DASHETH,0.472,0.473,0.471,0.471,4.656,2.198
2019-08-05 08-AM,DASHETH,0.472,0.472,0.471,0.472,0.8904,0.4201
2019-08-05 07-AM,DASHETH,0.475,0.475,0.471,0.472,10.03,4.754
2019-08-05 06-AM,DASHETH,0.475,0.477,0.474,0.475,1.774,0.8436
2019-08-05 05-AM,DASHETH,0.474,0.475,0.473,0.475,1.197,0.5678
2019-08-05 04-AM,DASHETH,0.473,0.474,0.471,0.474,2.225,1.053
2019-08-05 03-AM,DASHETH,0.471,0.473,0.471,0.473,19.53,9.211
2019-08-05 02-AM,DASHETH,0.475,0.476,0.47,0.471,6.799,3.215
2019-08-05 01-AM,DASHETH,0.475,0.477,0.474,0.475,8.465,4.029
2019-08-05 12-AM,DASHETH,0.479,0.479,0.474,0.475,9.625,4.593
2019-08-04 11-PM,DASHETH,0.479,0.479,0.479,0.479,0.6461,0.3095
2019-08-04 10-PM,DASHETH,0.482,0.482,0.479,0.479,4.252,2.044
2019-08-04 09-PM,DASHETH,0.483,0.484,0.48,0.482,5.843,2.821
2019-08-04 08-PM,DASHETH,0.484,0.485,0.482,0.483,2.974,1.438
2019-08-04 07-PM,DASHETH,0.483,0.485,0.482,0.484,4.164,2.015
