Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2019-08-07,DASHETH,0.472,0.478,0.471,0.473,31.84,15.13
2019-08-06,DASHETH,0.472,0.478,0.458,0.472,289.77,134.57
2019-08-05,DASHETH,0.479,0.485,0.465,0.472,417.19,197.56
2019-08-04,DASHETH,0.481,0.485,0.475,0.479,92.17,44.11
2019-08-03,DASHETH,0.483,0.488,0.477,0.481,85.89,41.4
2019-08-02,DASHETH,0.493,0.504,0.481,0.483,468.8,231.93
2019-08-01,DASHETH,0.498,0.502,0.491,0.493,92.73,45.93
2019-07-31,DASHETH,0.499,0.502,0.489,0.498,699.25,345.78
2019-07-30,DASHETH,0.5,0.509,0.498,0.499,393.21,198.56
2019-07-29,DASHETH,0.511,0.512,0.498,0.5,207.3,104.77
2019-07-28,DASHETH,0.533,0.536,0.508,0.511,199.39,104.73
2019-07-27,DASHETH,0.525,0.536,0.521,0.533,300.2,159.2
2019-07-26,DASHETH,0.525,0.528,0.519,0.525,107.14,56.08
2019-07-25,DASHETH,0.506,0.525,0.497,0.525,435.67,221.4
2019-07-24,DASHETH,0.515,0.53,0.501,0.506,442.59,230.35
2019-07-23,DASHETH,0.526,0.531,0.509,0.515,249.5,130.3
2019-07-22,DASHETH,0.526,0.533,0.52,0.526,365.34,192.06
2019-07-21,DASHETH,0.51,0.534,0.508,0.526,160.64,83.87
2019-07-20,DASHETH,0.509,0.521,0.506,0.51,250.51,128.69
2019-07-19,DASHETH,0.487,0.516,0.485,0.509,361.34,180.32
2019-07-18,DASHETH,0.485,0.494,0.484,0.487,12.45,6.097
2019-07-17,DASHETH,0.501,0.509,0.481,0.485,762.74,374.68
2019-07-16,DASHETH,0.531,0.533,0.5,0.501,650.74,335.22
2019-07-15,DASHETH,0.544,0.583,0.519,0.531,1432.59,794.6
2019-07-14,DASHETH,0.523,0.552,0.519,0.544,889.84,478.53
2019-07-13,DASHETH,0.52,0.539,0.513,0.523,674.31,354.52
2019-07-12,DASHETH,0.533,0.543,0.514,0.52,617.38,327.54
2019-07-11,DASHETH,0.52,0.536,0.509,0.533,1230.99,641.95
2019-07-10,DASHETH,0.508,0.526,0.495,0.52,1371.22,697.4
2019-07-09,DASHETH,0.509,0.516,0.5,0.508,813.09,411.74
2019-07-08,DASHETH,0.516,0.521,0.508,0.509,774.64,398.66
2019-07-07,DASHETH,0.535,0.543,0.511,0.516,687.38,363.6
2019-07-06,DASHETH,0.536,0.539,0.53,0.535,468.68,251.08
2019-07-05,DASHETH,0.549,0.549,0.523,0.536,310.81,165.95
2019-07-04,DASHETH,0.522,0.551,0.522,0.549,234.29,126.51
2019-07-03,DASHETH,0.522,0.536,0.52,0.522,247.86,130.85
2019-07-02,DASHETH,0.523,0.539,0.522,0.522,178.25,94.45
2019-07-01,DASHETH,0.537,0.544,0.518,0.525,154.0,81.66
2019-06-30,DASHETH,0.532,0.545,0.528,0.537,267.11,143.2
2019-06-29,DASHETH,0.549,0.562,0.527,0.532,250.17,137.0
2019-06-28,DASHETH,0.532,0.553,0.521,0.549,192.13,102.91
2019-06-27,DASHETH,0.517,0.548,0.506,0.532,678.77,356.86
2019-06-26,DASHETH,0.56,0.567,0.512,0.517,643.82,342.04
2019-06-25,DASHETH,0.567,0.576,0.555,0.56,207.16,117.21
2019-06-24,DASHETH,0.565,0.578,0.562,0.567,228.75,130.19
2019-06-23,DASHETH,0.567,0.572,0.556,0.565,295.2,166.21
2019-06-22,DASHETH,0.567,0.584,0.557,0.567,561.02,320.55
2019-06-21,DASHETH,0.595,0.595,0.56,0.567,236.62,135.56
2019-06-20,DASHETH,0.603,0.604,0.589,0.595,237.28,141.32
2019-06-19,DASHETH,0.598,0.607,0.59,0.603,157.86,94.32
2019-06-18,DASHETH,0.58,0.62,0.58,0.598,589.54,353.62
2019-06-17,DASHETH,0.582,0.592,0.576,0.58,173.37,101.28
2019-06-16,DASHETH,0.576,0.587,0.571,0.582,106.71,61.9
2019-06-15,DASHETH,0.583,0.585,0.571,0.576,164.67,95.51
2019-06-14,DASHETH,0.601,0.608,0.579,0.583,574.59,341.17
2019-06-13,DASHETH,0.595,0.613,0.592,0.601,522.06,313.67
2019-06-12,DASHETH,0.602,0.609,0.581,0.595,454.04,270.18
2019-06-11,DASHETH,0.611,0.611,0.598,0.602,292.66,176.21
2019-06-10,DASHETH,0.615,0.619,0.608,0.616,125.47,76.95
2019-06-09,DASHETH,0.596,0.622,0.591,0.615,246.98,149.88
2019-06-08,DASHETH,0.598,0.601,0.595,0.596,20.66,12.35
2019-06-07,DASHETH,0.576,0.602,0.576,0.598,132.08,78.19
2019-06-06,DASHETH,0.598,0.604,0.575,0.576,180.04,106.3
2019-06-05,DASHETH,0.596,0.605,0.593,0.598,148.54,88.85
2019-06-04,DASHETH,0.623,0.636,0.596,0.596,480.65,295.12
2019-06-03,DASHETH,0.612,0.627,0.611,0.623,182.51,113.02
2019-06-02,DASHETH,0.617,0.623,0.608,0.612,161.02,98.85
2019-06-01,DASHETH,0.62,0.623,0.605,0.617,365.56,224.69
2019-05-31,DASHETH,0.639,0.646,0.616,0.62,421.93,264.81
2019-05-30,DASHETH,0.625,0.654,0.596,0.639,865.78,537.89
2019-05-29,DASHETH,0.625,0.643,0.609,0.625,445.76,279.28
2019-05-28,DASHETH,0.612,0.643,0.605,0.625,519.88,321.8
2019-05-27,DASHETH,0.61,0.628,0.603,0.612,670.9,412.24
2019-05-26,DASHETH,0.621,0.624,0.604,0.61,575.54,353.69
2019-05-25,DASHETH,0.626,0.637,0.616,0.621,325.72,203.94
2019-05-24,DASHETH,0.63,0.646,0.622,0.626,535.92,339.22
2019-05-23,DASHETH,0.632,0.647,0.615,0.63,554.11,349.74
2019-05-22,DASHETH,0.653,0.653,0.63,0.632,332.72,212.67
2019-05-21,DASHETH,0.666,0.666,0.637,0.653,340.95,221.63
2019-05-20,DASHETH,0.665,0.689,0.652,0.666,555.18,370.75
2019-05-19,DASHETH,0.601,0.672,0.587,0.665,447.09,275.57
2019-05-18,DASHETH,0.57,0.61,0.566,0.601,590.84,350.33
2019-05-17,DASHETH,0.562,0.586,0.551,0.57,741.06,418.5
2019-05-16,DASHETH,0.621,0.623,0.5556,0.562,692.84,414.02
