Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume ETH
2019-08-07 03-AM,EOSETH,0.01854,0.01859,0.01854,0.01856,70286.93,1305.33
2019-08-07 02-AM,EOSETH,0.01861,0.01863,0.01854,0.01854,140439.84,2610.74
2019-08-07 01-AM,EOSETH,0.01866,0.0187,0.01859,0.01861,143899.3,2684.36
2019-08-07 12-AM,EOSETH,0.01852,0.01869,0.01849,0.01866,134665.62,2509.14
2019-08-06 11-PM,EOSETH,0.01853,0.01856,0.01847,0.01852,147095.46,2722.96
2019-08-06 10-PM,EOSETH,0.01855,0.01858,0.01847,0.01853,149765.64,2771.64
2019-08-06 09-PM,EOSETH,0.01841,0.01858,0.0184,0.01855,143010.82,2643.94
2019-08-06 08-PM,EOSETH,0.01815,0.01844,0.01812,0.01841,161106.34,2943.53
2019-08-06 07-PM,EOSETH,0.01848,0.0185,0.01779,0.01815,236293.3,4282.96
2019-08-06 06-PM,EOSETH,0.01862,0.01863,0.01842,0.01848,154002.82,2859.1
2019-08-06 05-PM,EOSETH,0.01878,0.01879,0.01856,0.01862,150756.8,2819.21
2019-08-06 04-PM,EOSETH,0.01886,0.01887,0.01876,0.01878,146043.86,2744.32
2019-08-06 03-PM,EOSETH,0.01881,0.01888,0.01881,0.01886,141507.9,2665.56
2019-08-06 02-PM,EOSETH,0.01881,0.01888,0.01881,0.01881,141324.07,2663.47
2019-08-06 01-PM,EOSETH,0.01889,0.0189,0.01881,0.01881,142620.38,2688.09
2019-08-06 12-PM,EOSETH,0.01888,0.01895,0.01884,0.01889,150844.91,2849.97
2019-08-06 11-AM,EOSETH,0.01885,0.01896,0.0188,0.01888,141349.22,2667.22
2019-08-06 10-AM,EOSETH,0.01896,0.01896,0.0186,0.01885,256297.05,4819.15
2019-08-06 09-AM,EOSETH,0.01905,0.01906,0.01894,0.01896,157019.17,2985.05
2019-08-06 08-AM,EOSETH,0.01911,0.01912,0.01899,0.01905,148024.32,2818.53
2019-08-06 07-AM,EOSETH,0.0192,0.01924,0.01907,0.01911,155458.99,2972.53
2019-08-06 06-AM,EOSETH,0.01929,0.0193,0.01914,0.0192,149237.0,2867.71
2019-08-06 05-AM,EOSETH,0.01935,0.0194,0.01928,0.01929,101245.16,1957.52
2019-08-06 04-AM,EOSETH,0.01938,0.01941,0.01931,0.01935,138902.26,2689.37
2019-08-06 03-AM,EOSETH,0.01919,0.01938,0.01918,0.01938,136856.07,2634.65
2019-08-06 02-AM,EOSETH,0.01915,0.01919,0.01909,0.01919,152038.45,2910.73
2019-08-06 01-AM,EOSETH,0.01923,0.01931,0.01902,0.01915,179508.8,3442.78
2019-08-06 12-AM,EOSETH,0.0191,0.01927,0.01896,0.01923,166787.13,3195.97
2019-08-05 11-PM,EOSETH,0.01931,0.01934,0.0191,0.0191,145022.34,2790.96
2019-08-05 10-PM,EOSETH,0.01937,0.01944,0.01931,0.01931,153945.53,2981.13
2019-08-05 09-PM,EOSETH,0.01931,0.01938,0.01928,0.01937,145312.88,2807.74
2019-08-05 08-PM,EOSETH,0.01938,0.01941,0.01931,0.01931,155133.79,3004.28
2019-08-05 07-PM,EOSETH,0.01939,0.01941,0.01934,0.01938,150024.78,2907.7
2019-08-05 06-PM,EOSETH,0.01932,0.01939,0.01931,0.01939,135185.26,2618.42
2019-08-05 05-PM,EOSETH,0.01936,0.01938,0.01928,0.01932,170365.7,3291.45
2019-08-05 04-PM,EOSETH,0.01903,0.01952,0.01903,0.01936,204015.51,3939.38
2019-08-05 03-PM,EOSETH,0.01911,0.01919,0.01902,0.01903,162854.99,3112.23
2019-08-05 02-PM,EOSETH,0.01897,0.01919,0.01895,0.01911,136836.04,2614.54
2019-08-05 01-PM,EOSETH,0.01895,0.01903,0.01891,0.01897,159679.73,3030.18
2019-08-05 12-PM,EOSETH,0.01898,0.01902,0.01889,0.01895,138079.46,2619.16
2019-08-05 11-AM,EOSETH,0.01898,0.01904,0.01884,0.01898,177311.08,3359.86
2019-08-05 10-AM,EOSETH,0.01893,0.01911,0.01885,0.01898,166424.25,3156.37
2019-08-05 09-AM,EOSETH,0.01893,0.01898,0.01888,0.01893,164142.26,3106.04
2019-08-05 08-AM,EOSETH,0.01898,0.01902,0.01883,0.01893,149242.08,2827.55
2019-08-05 07-AM,EOSETH,0.01897,0.01898,0.01892,0.01898,136990.78,2596.87
2019-08-05 06-AM,EOSETH,0.01898,0.01898,0.01893,0.01897,128994.94,2445.78
2019-08-05 05-AM,EOSETH,0.01895,0.01898,0.01893,0.01898,104964.55,1990.88
2019-08-05 04-AM,EOSETH,0.01899,0.01902,0.01893,0.01895,157735.45,2992.25
2019-08-05 03-AM,EOSETH,0.01896,0.01902,0.01893,0.01899,96257.58,1826.49
2019-08-05 02-AM,EOSETH,0.01887,0.01916,0.0188,0.01896,126701.15,2398.13
2019-08-05 01-AM,EOSETH,0.01885,0.01897,0.01882,0.01887,114219.39,2159.14
2019-08-05 12-AM,EOSETH,0.019,0.01902,0.01884,0.01885,81268.03,1539.78
2019-08-04 11-PM,EOSETH,0.01902,0.01904,0.019,0.019,79355.32,1509.12
2019-08-04 10-PM,EOSETH,0.01908,0.01908,0.01898,0.01902,47067.36,894.67
2019-08-04 09-PM,EOSETH,0.01914,0.01917,0.01908,0.01908,64186.66,1227.4
2019-08-04 08-PM,EOSETH,0.01916,0.01916,0.0191,0.01914,64218.62,1228.11
2019-08-04 07-PM,EOSETH,0.01915,0.01919,0.01913,0.01916,55798.89,1069.61
2019-08-04 06-PM,EOSETH,0.01915,0.01919,0.01914,0.01915,108619.53,2081.69
2019-08-04 05-PM,EOSETH,0.01924,0.01924,0.01912,0.01915,82154.07,1574.35
2019-08-04 04-PM,EOSETH,0.01923,0.01924,0.01918,0.01924,81684.39,1568.7
2019-08-04 03-PM,EOSETH,0.01928,0.01932,0.01916,0.01923,117848.95,2265.92
2019-08-04 02-PM,EOSETH,0.01924,0.01942,0.01922,0.01928,92264.76,1778.03
2019-08-04 01-PM,EOSETH,0.01922,0.01931,0.01922,0.01924,87566.89,1687.61
2019-08-04 12-PM,EOSETH,0.01923,0.01927,0.01918,0.01922,48282.7,928.45
2019-08-04 11-AM,EOSETH,0.01929,0.01932,0.01923,0.01923,67006.69,1292.06
2019-08-04 10-AM,EOSETH,0.01928,0.01932,0.01925,0.01929,68244.12,1316.25
2019-08-04 09-AM,EOSETH,0.01924,0.01932,0.01917,0.01928,96412.78,1857.38
2019-08-04 08-AM,EOSETH,0.01926,0.01928,0.01924,0.01924,61456.68,1183.63
2019-08-04 07-AM,EOSETH,0.01926,0.01929,0.01923,0.01926,51305.56,988.03
2019-08-04 06-AM,EOSETH,0.01923,0.01927,0.01921,0.01926,77270.16,1487.11
2019-08-04 05-AM,EOSETH,0.01926,0.01926,0.0192,0.01923,98050.47,1885.56
2019-08-04 04-AM,EOSETH,0.0193,0.01932,0.01914,0.01926,113458.02,2184.45
2019-08-04 03-AM,EOSETH,0.01927,0.01939,0.01927,0.0193,101257.47,1955.82
2019-08-04 02-AM,EOSETH,0.01926,0.01932,0.01923,0.01927,89476.6,1724.5
2019-08-04 01-AM,EOSETH,0.01927,0.01932,0.01924,0.01926,55465.39,1069.24
2019-08-04 12-AM,EOSETH,0.01931,0.01933,0.01926,0.01927,79417.76,1531.96
2019-08-03 11-PM,EOSETH,0.01925,0.01932,0.01917,0.01931,82871.42,1594.69
2019-08-03 10-PM,EOSETH,0.01927,0.01932,0.01925,0.01925,68883.39,1327.37
2019-08-03 09-PM,EOSETH,0.01928,0.01934,0.01927,0.01927,63449.6,1225.26
2019-08-03 08-PM,EOSETH,0.01934,0.01934,0.01927,0.01928,61478.12,1186.03
2019-08-03 07-PM,EOSETH,0.01934,0.01939,0.01931,0.01934,92743.53,1794.37
2019-08-03 06-PM,EOSETH,0.01938,0.01938,0.01929,0.01934,81037.29,1566.59
2019-08-03 05-PM,EOSETH,0.01941,0.01941,0.01932,0.01938,61404.98,1189.46
2019-08-03 04-PM,EOSETH,0.01934,0.01945,0.01933,0.01941,95293.26,1848.37
2019-08-03 03-PM,EOSETH,0.01926,0.01935,0.01913,0.01934,105184.5,2021.86
2019-08-03 02-PM,EOSETH,0.01918,0.01927,0.01918,0.01926,72422.77,1393.76
2019-08-03 01-PM,EOSETH,0.01919,0.01926,0.01917,0.01918,107303.25,2061.43
2019-08-03 12-PM,EOSETH,0.01918,0.01921,0.01913,0.01919,98719.61,1893.23
2019-08-03 11-AM,EOSETH,0.01914,0.01918,0.0191,0.01918,31605.78,604.92
2019-08-03 10-AM,EOSETH,0.01922,0.01926,0.01913,0.01914,94295.62,1808.63
2019-08-03 09-AM,EOSETH,0.01926,0.0193,0.01918,0.01922,89508.41,1721.14
2019-08-03 08-AM,EOSETH,0.01927,0.01929,0.01921,0.01926,50132.38,965.67
2019-08-03 07-AM,EOSETH,0.0193,0.01932,0.01926,0.01927,62359.46,1202.63
2019-08-03 06-AM,EOSETH,0.01928,0.01933,0.01926,0.0193,51973.01,1002.86
2019-08-03 05-AM,EOSETH,0.01932,0.01936,0.01925,0.01928,86881.99,1676.41
2019-08-03 04-AM,EOSETH,0.0193,0.01935,0.01929,0.01932,65783.71,1270.8
2019-08-03 03-AM,EOSETH,0.01929,0.01941,0.01926,0.0193,56974.79,1102.62
2019-08-03 02-AM,EOSETH,0.01955,0.01957,0.01928,0.01929,108349.64,2100.19
2019-08-03 01-AM,EOSETH,0.01935,0.01964,0.01929,0.01955,151704.6,2958.32
2019-08-03 12-AM,EOSETH,0.0192,0.01937,0.01917,0.01935,59923.63,1152.36
2019-08-02 11-PM,EOSETH,0.01917,0.01926,0.01913,0.0192,84964.2,1629.69
2019-08-02 10-PM,EOSETH,0.01917,0.01922,0.01916,0.01917,85618.08,1642.6
2019-08-02 09-PM,EOSETH,0.01908,0.01921,0.01908,0.01917,77777.96,1489.3
2019-08-02 08-PM,EOSETH,0.0191,0.01916,0.01904,0.01908,111769.06,2134.84
2019-08-02 07-PM,EOSETH,0.01908,0.01912,0.01905,0.0191,62368.85,1189.71
2019-08-02 06-PM,EOSETH,0.01908,0.01912,0.01907,0.01908,65558.85,1251.41
2019-08-02 05-PM,EOSETH,0.01905,0.01914,0.01904,0.01908,105836.18,2020.62
2019-08-02 04-PM,EOSETH,0.01954,0.01963,0.01872,0.01905,202757.84,3897.97
2019-08-02 03-PM,EOSETH,0.01956,0.01956,0.01948,0.01954,74998.71,1464.04
2019-08-02 02-PM,EOSETH,0.01958,0.01962,0.01956,0.01956,68936.48,1350.47
2019-08-02 01-PM,EOSETH,0.01958,0.01971,0.01958,0.01958,93908.2,1843.77
2019-08-02 12-PM,EOSETH,0.01956,0.01965,0.01955,0.01958,86655.61,1697.91
2019-08-02 11-AM,EOSETH,0.01956,0.0196,0.01955,0.01956,66209.75,1296.2
2019-08-02 10-AM,EOSETH,0.01958,0.0196,0.01955,0.01956,42611.69,834.16
2019-08-02 09-AM,EOSETH,0.01956,0.01958,0.01948,0.01958,65521.67,1280.23
2019-08-02 08-AM,EOSETH,0.01954,0.0196,0.01945,0.01956,97324.68,1901.98
2019-08-02 07-AM,EOSETH,0.01962,0.01963,0.01952,0.01954,105196.26,2057.73
2019-08-02 06-AM,EOSETH,0.01985,0.01985,0.01955,0.01962,123621.36,2438.75
2019-08-02 05-AM,EOSETH,0.01973,0.01989,0.01971,0.01985,92694.34,1833.65
2019-08-02 04-AM,EOSETH,0.01974,0.01975,0.01967,0.01973,94007.52,1854.46
2019-08-02 03-AM,EOSETH,0.01981,0.01982,0.01972,0.01974,66386.12,1312.69
2019-08-02 02-AM,EOSETH,0.01973,0.01984,0.01971,0.01981,99830.77,1976.04
2019-08-02 01-AM,EOSETH,0.01976,0.01976,0.01969,0.01973,116580.21,2299.47
2019-08-02 12-AM,EOSETH,0.01983,0.01985,0.01972,0.01976,87067.37,1723.23
2019-08-01 11-PM,EOSETH,0.01984,0.01988,0.01983,0.01983,75775.58,1504.16
2019-08-01 10-PM,EOSETH,0.01993,0.01996,0.01983,0.01984,83995.42,1672.46
2019-08-01 09-PM,EOSETH,0.01996,0.02001,0.01993,0.01993,96394.98,1924.16
2019-08-01 08-PM,EOSETH,0.01987,0.02001,0.01986,0.01996,116662.75,2322.92
2019-08-01 07-PM,EOSETH,0.01996,0.01999,0.01987,0.01987,79794.2,1589.79
2019-08-01 06-PM,EOSETH,0.01995,0.01999,0.01992,0.01996,85642.02,1708.56
2019-08-01 05-PM,EOSETH,0.01993,0.01996,0.01991,0.01995,68858.67,1372.58
2019-08-01 04-PM,EOSETH,0.02,0.02001,0.01991,0.01993,93368.8,1862.79
2019-08-01 03-PM,EOSETH,0.01993,0.02001,0.01992,0.02,37055.72,739.67
2019-08-01 02-PM,EOSETH,0.02012,0.02013,0.01991,0.01993,105237.19,2107.55
2019-08-01 01-PM,EOSETH,0.02008,0.02015,0.02005,0.02012,68843.93,1382.83
2019-08-01 12-PM,EOSETH,0.02003,0.02014,0.02002,0.02008,60700.0,1218.3
2019-08-01 11-AM,EOSETH,0.02002,0.02008,0.02002,0.02003,67622.26,1355.47
2019-08-01 10-AM,EOSETH,0.0201,0.0201,0.02001,0.02002,80541.23,1614.71
2019-08-01 09-AM,EOSETH,0.02002,0.0201,0.02002,0.0201,95564.77,1915.84
2019-08-01 08-AM,EOSETH,0.02002,0.02008,0.01996,0.02002,99227.36,1985.94
2019-08-01 07-AM,EOSETH,0.01999,0.02016,0.01997,0.02002,143400.72,2876.82
2019-08-01 06-AM,EOSETH,0.01995,0.02004,0.01992,0.01999,125762.14,2511.85
2019-08-01 05-AM,EOSETH,0.02029,0.02032,0.01982,0.01995,163416.96,3290.77
2019-08-01 04-AM,EOSETH,0.02031,0.02034,0.02026,0.02029,144935.89,2940.35
2019-08-01 03-AM,EOSETH,0.02039,0.02039,0.0203,0.02031,122527.24,2492.49
