Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-08-07 03-AM,LTCBTC,0.007996,0.008034,0.007993,0.008012,2382.57,19.08
2019-08-07 02-AM,LTCBTC,0.008043,0.008046,0.007984,0.007996,5112.0,40.97
2019-08-07 01-AM,LTCBTC,0.00809,0.00809,0.008038,0.008043,4202.38,33.86
2019-08-07 12-AM,LTCBTC,0.008103,0.008111,0.008061,0.00809,5581.09,45.14
2019-08-06 11-PM,LTCBTC,0.008126,0.00818,0.008095,0.008103,8867.85,72.17
2019-08-06 10-PM,LTCBTC,0.008098,0.008148,0.008081,0.008126,10511.79,85.33
2019-08-06 09-PM,LTCBTC,0.007947,0.008104,0.007929,0.008098,14162.15,113.65
2019-08-06 08-PM,LTCBTC,0.007886,0.007965,0.007861,0.007947,8263.47,65.33
2019-08-06 07-PM,LTCBTC,0.007967,0.007999,0.007808,0.007886,20912.27,164.76
2019-08-06 06-PM,LTCBTC,0.008051,0.008057,0.007957,0.007967,4601.0,36.83
2019-08-06 05-PM,LTCBTC,0.008062,0.008091,0.008023,0.008051,9012.42,72.55
2019-08-06 04-PM,LTCBTC,0.008052,0.008173,0.008025,0.008062,16531.28,133.74
2019-08-06 03-PM,LTCBTC,0.00808,0.008109,0.008042,0.008052,8663.28,69.93
2019-08-06 02-PM,LTCBTC,0.00809,0.008095,0.008054,0.00808,4522.12,36.51
2019-08-06 01-PM,LTCBTC,0.008106,0.008136,0.008086,0.00809,6209.61,50.35
2019-08-06 12-PM,LTCBTC,0.008077,0.00814,0.00803,0.008106,16720.8,135.07
2019-08-06 11-AM,LTCBTC,0.008087,0.008116,0.008037,0.008077,13848.91,111.93
2019-08-06 10-AM,LTCBTC,0.007983,0.008135,0.007951,0.008087,43641.47,350.99
2019-08-06 09-AM,LTCBTC,0.007943,0.007987,0.007931,0.007983,14027.27,111.66
2019-08-06 08-AM,LTCBTC,0.008003,0.008027,0.007942,0.007943,15117.58,120.76
2019-08-06 07-AM,LTCBTC,0.008083,0.008143,0.00799,0.008003,22976.06,184.92
2019-08-06 06-AM,LTCBTC,0.008161,0.008174,0.00803,0.008083,31739.11,257.18
2019-08-06 05-AM,LTCBTC,0.008181,0.008198,0.008142,0.008161,12059.26,98.53
2019-08-06 04-AM,LTCBTC,0.008177,0.008202,0.008131,0.008181,10479.71,85.65
2019-08-06 03-AM,LTCBTC,0.008176,0.008202,0.008161,0.008177,7444.02,60.91
2019-08-06 02-AM,LTCBTC,0.008152,0.008204,0.008138,0.008176,18002.71,147.26
2019-08-06 01-AM,LTCBTC,0.008148,0.00818,0.008088,0.008152,28259.67,229.86
2019-08-06 12-AM,LTCBTC,0.008165,0.008191,0.008137,0.008148,16198.61,132.19
2019-08-05 11-PM,LTCBTC,0.008274,0.008274,0.008047,0.008165,46512.04,378.28
2019-08-05 10-PM,LTCBTC,0.008368,0.008369,0.00826,0.008274,10790.35,89.52
2019-08-05 09-PM,LTCBTC,0.00831,0.008391,0.008309,0.008368,5375.5,44.92
2019-08-05 08-PM,LTCBTC,0.008329,0.00839,0.008296,0.00831,9942.88,82.88
2019-08-05 07-PM,LTCBTC,0.00833,0.00836,0.008271,0.008329,9447.1,78.47
2019-08-05 06-PM,LTCBTC,0.008409,0.008416,0.008289,0.00833,12897.44,107.66
2019-08-05 05-PM,LTCBTC,0.008423,0.008437,0.008292,0.008409,19794.65,165.44
2019-08-05 04-PM,LTCBTC,0.008391,0.008534,0.008376,0.008423,15706.4,132.76
2019-08-05 03-PM,LTCBTC,0.008401,0.008422,0.008343,0.008391,26261.01,220.12
2019-08-05 02-PM,LTCBTC,0.008334,0.008451,0.008334,0.008401,23327.86,196.02
2019-08-05 01-PM,LTCBTC,0.008554,0.00856,0.008252,0.008334,52148.22,439.03
2019-08-05 12-PM,LTCBTC,0.008675,0.008689,0.008515,0.008554,37831.73,324.99
2019-08-05 11-AM,LTCBTC,0.008751,0.0093,0.008656,0.008675,43783.2,383.41
2019-08-05 10-AM,LTCBTC,0.008384,0.00909,0.00838,0.008751,112871.84,991.01
2019-08-05 09-AM,LTCBTC,0.008283,0.008419,0.008247,0.008384,18490.62,153.74
2019-08-05 08-AM,LTCBTC,0.00811,0.008339,0.008077,0.008283,28130.77,230.48
2019-08-05 07-AM,LTCBTC,0.008127,0.008162,0.008003,0.00811,37893.23,306.49
2019-08-05 06-AM,LTCBTC,0.008206,0.008209,0.008087,0.008127,28164.11,229.47
2019-08-05 05-AM,LTCBTC,0.008189,0.008211,0.008185,0.008206,3945.36,32.35
2019-08-05 04-AM,LTCBTC,0.008218,0.008242,0.008189,0.008189,10005.87,82.1
2019-08-05 03-AM,LTCBTC,0.008217,0.008251,0.008171,0.008218,15962.1,131.11
2019-08-05 02-AM,LTCBTC,0.008335,0.008337,0.008208,0.008217,16469.25,136.48
2019-08-05 01-AM,LTCBTC,0.008484,0.008545,0.008333,0.008335,21098.7,178.27
2019-08-05 12-AM,LTCBTC,0.008478,0.008673,0.008475,0.008484,30448.95,260.79
2019-08-04 11-PM,LTCBTC,0.008476,0.008492,0.008458,0.008478,6853.76,58.09
2019-08-04 10-PM,LTCBTC,0.008479,0.008498,0.008439,0.008476,7934.62,67.21
2019-08-04 09-PM,LTCBTC,0.008466,0.008518,0.008464,0.008479,13411.44,113.93
2019-08-04 08-PM,LTCBTC,0.008457,0.008467,0.008431,0.008466,2582.06,21.82
2019-08-04 07-PM,LTCBTC,0.008518,0.008518,0.008445,0.008457,4586.44,38.84
2019-08-04 06-PM,LTCBTC,0.008527,0.008554,0.008506,0.008518,4140.41,35.33
2019-08-04 05-PM,LTCBTC,0.00855,0.008559,0.008509,0.008527,6125.32,52.28
2019-08-04 04-PM,LTCBTC,0.008506,0.008598,0.008505,0.00855,16465.99,140.78
2019-08-04 03-PM,LTCBTC,0.008701,0.008701,0.0085,0.008506,16615.45,142.54
2019-08-04 02-PM,LTCBTC,0.008713,0.008753,0.008687,0.008701,9849.43,85.96
2019-08-04 01-PM,LTCBTC,0.00857,0.008821,0.008565,0.008713,28510.17,248.3
2019-08-04 12-PM,LTCBTC,0.008601,0.008601,0.008532,0.00857,5883.67,50.38
