Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume BTC
2019-08-07 03-AM,NEOBTC,0.00098,0.000983,0.000979,0.000981,4207.47,4.125
2019-08-07 02-AM,NEOBTC,0.000984,0.000985,0.000979,0.00098,8628.33,8.465
2019-08-07 01-AM,NEOBTC,0.000983,0.000987,0.000979,0.000984,14144.36,13.91
2019-08-07 12-AM,NEOBTC,0.000987,0.00099,0.000983,0.000983,18602.73,18.37
2019-08-06 11-PM,NEOBTC,0.000995,0.000996,0.000987,0.000987,9963.27,9.876
2019-08-06 10-PM,NEOBTC,0.000988,0.000997,0.000986,0.000995,12202.17,12.07
2019-08-06 09-PM,NEOBTC,0.000979,0.000989,0.000977,0.000988,17478.7,17.18
2019-08-06 08-PM,NEOBTC,0.000978,0.000983,0.000977,0.000979,14127.27,13.84
2019-08-06 07-PM,NEOBTC,0.000984,0.000986,0.000978,0.000978,17222.07,16.89
2019-08-06 06-PM,NEOBTC,0.000985,0.000988,0.000984,0.000984,8650.62,8.531
2019-08-06 05-PM,NEOBTC,0.000981,0.000988,0.00098,0.000985,11036.26,10.86
2019-08-06 04-PM,NEOBTC,0.000994,0.000998,0.00098,0.000981,25441.35,25.19
2019-08-06 03-PM,NEOBTC,0.000995,0.000998,0.000992,0.000994,12868.16,12.8
2019-08-06 02-PM,NEOBTC,0.000994,0.000995,0.000991,0.000995,6937.65,6.886
2019-08-06 01-PM,NEOBTC,0.000994,0.000998,0.000991,0.000994,15818.94,15.71
2019-08-06 12-PM,NEOBTC,0.000997,0.000999,0.000992,0.000994,18723.17,18.63
2019-08-06 11-AM,NEOBTC,0.001005,0.001005,0.000994,0.000997,21026.6,21.0
2019-08-06 10-AM,NEOBTC,0.000993,0.001006,0.000991,0.001005,20850.41,20.82
2019-08-06 09-AM,NEOBTC,0.000993,0.000995,0.000989,0.000993,13713.95,13.59
2019-08-06 08-AM,NEOBTC,0.000995,0.000995,0.000988,0.000993,12815.26,12.7
2019-08-06 07-AM,NEOBTC,0.000999,0.001005,0.000989,0.000995,19836.48,19.73
2019-08-06 06-AM,NEOBTC,0.001015,0.00102,0.000993,0.000999,16860.73,16.98
2019-08-06 05-AM,NEOBTC,0.001009,0.001019,0.001008,0.001015,10291.58,10.41
2019-08-06 04-AM,NEOBTC,0.001009,0.001014,0.001007,0.001009,7017.16,7.081
2019-08-06 03-AM,NEOBTC,0.001013,0.001013,0.001006,0.001009,10509.39,10.61
2019-08-06 02-AM,NEOBTC,0.001015,0.00102,0.001012,0.001013,14882.98,15.1
2019-08-06 01-AM,NEOBTC,0.001019,0.001024,0.001014,0.001015,19749.78,20.11
2019-08-06 12-AM,NEOBTC,0.001015,0.001024,0.001014,0.001019,18048.36,18.4
2019-08-05 11-PM,NEOBTC,0.001021,0.001024,0.001012,0.001015,30185.78,30.78
2019-08-05 10-PM,NEOBTC,0.001029,0.001034,0.00102,0.001021,31018.63,31.76
2019-08-05 09-PM,NEOBTC,0.001029,0.001032,0.00102,0.001029,24021.71,24.63
2019-08-05 08-PM,NEOBTC,0.001031,0.001034,0.001025,0.001029,15755.41,16.23
2019-08-05 07-PM,NEOBTC,0.001028,0.001033,0.001024,0.001031,16948.73,17.43
2019-08-05 06-PM,NEOBTC,0.001033,0.001035,0.001027,0.001028,21002.68,21.66
2019-08-05 05-PM,NEOBTC,0.001025,0.001037,0.001017,0.001033,25926.76,26.6
2019-08-05 04-PM,NEOBTC,0.001036,0.001039,0.00102,0.001025,33347.64,34.37
2019-08-05 03-PM,NEOBTC,0.001039,0.00104,0.001017,0.001036,32403.45,33.38
2019-08-05 02-PM,NEOBTC,0.001057,0.001057,0.001038,0.001039,22695.29,23.84
2019-08-05 01-PM,NEOBTC,0.001051,0.00106,0.001051,0.001057,18079.93,19.09
2019-08-05 12-PM,NEOBTC,0.001057,0.00106,0.001049,0.001051,16981.69,17.9
2019-08-05 11-AM,NEOBTC,0.001076,0.001077,0.001057,0.001057,18036.97,19.23
2019-08-05 10-AM,NEOBTC,0.001038,0.00108,0.001035,0.001076,21222.86,22.47
2019-08-05 09-AM,NEOBTC,0.001039,0.00104,0.001036,0.001038,14999.91,15.57
2019-08-05 08-AM,NEOBTC,0.001041,0.001041,0.001037,0.001039,14018.24,14.57
2019-08-05 07-AM,NEOBTC,0.001048,0.001049,0.001031,0.001041,15498.37,16.14
2019-08-05 06-AM,NEOBTC,0.001052,0.001054,0.001045,0.001048,14619.71,15.35
2019-08-05 05-AM,NEOBTC,0.001058,0.001058,0.001051,0.001052,13240.7,13.97
2019-08-05 04-AM,NEOBTC,0.001061,0.001061,0.001057,0.001058,10647.82,11.27
2019-08-05 03-AM,NEOBTC,0.00106,0.001064,0.001057,0.001061,11573.6,12.27
2019-08-05 02-AM,NEOBTC,0.001063,0.001064,0.001057,0.00106,12182.8,12.92
2019-08-05 01-AM,NEOBTC,0.001087,0.001087,0.00106,0.001063,14746.14,15.8
2019-08-05 12-AM,NEOBTC,0.001087,0.00109,0.001083,0.001087,11448.2,12.45
2019-08-04 11-PM,NEOBTC,0.001087,0.001088,0.001086,0.001087,2488.17,2.705
2019-08-04 10-PM,NEOBTC,0.00109,0.00109,0.001084,0.001087,8021.03,8.722
2019-08-04 09-PM,NEOBTC,0.001088,0.001093,0.001086,0.00109,13890.81,15.12
2019-08-04 08-PM,NEOBTC,0.00109,0.00109,0.001085,0.001088,10614.04,11.54
2019-08-04 07-PM,NEOBTC,0.001089,0.00109,0.001088,0.00109,8027.19,8.743
2019-08-04 06-PM,NEOBTC,0.001095,0.001097,0.001089,0.001089,12379.71,13.52
2019-08-04 05-PM,NEOBTC,0.001095,0.001099,0.001094,0.001095,13666.06,14.97
2019-08-04 04-PM,NEOBTC,0.001093,0.001098,0.001091,0.001095,7334.66,8.021
2019-08-04 03-PM,NEOBTC,0.001112,0.001112,0.00109,0.001093,14004.04,15.41
2019-08-04 02-PM,NEOBTC,0.001114,0.001118,0.00111,0.001112,10405.61,11.59
2019-08-04 01-PM,NEOBTC,0.001108,0.001115,0.001105,0.001114,10073.59,11.19
2019-08-04 12-PM,NEOBTC,0.00111,0.001111,0.001107,0.001108,10577.89,11.73
2019-08-04 11-AM,NEOBTC,0.001106,0.001111,0.001105,0.00111,12023.68,13.31
2019-08-04 10-AM,NEOBTC,0.001106,0.001109,0.001104,0.001106,9806.15,10.85
2019-08-04 09-AM,NEOBTC,0.001107,0.00111,0.001103,0.001106,10430.25,11.54
2019-08-04 08-AM,NEOBTC,0.00111,0.00111,0.001107,0.001107,10400.47,11.53
2019-08-04 07-AM,NEOBTC,0.001109,0.001111,0.001106,0.00111,6942.44,7.698
2019-08-04 06-AM,NEOBTC,0.001112,0.001112,0.001108,0.001109,8595.62,9.541
2019-08-04 05-AM,NEOBTC,0.001115,0.001122,0.001108,0.001112,22454.06,25.01
2019-08-04 04-AM,NEOBTC,0.001112,0.00112,0.001109,0.001115,16871.68,18.8
