Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume ETH
2019-08-07 03-AM,OMGETH,0.0065,0.00651,0.00647,0.00649,184.72,1.201
2019-08-07 02-AM,OMGETH,0.0065,0.00651,0.0065,0.0065,264.87,1.723
2019-08-07 01-AM,OMGETH,0.00651,0.00653,0.0065,0.0065,271.76,1.769
2019-08-07 12-AM,OMGETH,0.00651,0.00651,0.0065,0.00651,256.32,1.668
2019-08-06 11-PM,OMGETH,0.0065,0.00652,0.00648,0.00651,328.38,2.134
2019-08-06 10-PM,OMGETH,0.00653,0.00653,0.00648,0.0065,382.5,2.486
2019-08-06 09-PM,OMGETH,0.00655,0.00655,0.00652,0.00653,375.39,2.455
2019-08-06 08-PM,OMGETH,0.00654,0.00657,0.00654,0.00655,331.05,2.171
2019-08-06 07-PM,OMGETH,0.00655,0.00655,0.00652,0.00654,374.5,2.449
2019-08-06 06-PM,OMGETH,0.00653,0.00655,0.00651,0.00655,351.8,2.296
2019-08-06 05-PM,OMGETH,0.00651,0.00655,0.00651,0.00653,495.67,3.235
2019-08-06 04-PM,OMGETH,0.00655,0.00655,0.00651,0.00651,526.82,3.441
2019-08-06 03-PM,OMGETH,0.00652,0.00655,0.00651,0.00655,361.91,2.366
2019-08-06 02-PM,OMGETH,0.00654,0.00655,0.00651,0.00652,316.26,2.066
2019-08-06 01-PM,OMGETH,0.00658,0.00659,0.00654,0.00654,390.64,2.563
2019-08-06 12-PM,OMGETH,0.00658,0.0066,0.00655,0.00658,668.91,4.398
2019-08-06 11-AM,OMGETH,0.00653,0.00659,0.00653,0.00658,691.41,4.542
2019-08-06 10-AM,OMGETH,0.00658,0.00659,0.0065,0.00653,1318.76,8.624
2019-08-06 09-AM,OMGETH,0.0066,0.00663,0.00658,0.00658,361.42,2.389
2019-08-06 08-AM,OMGETH,0.00661,0.00663,0.00659,0.0066,334.91,2.213
2019-08-06 07-AM,OMGETH,0.00662,0.00663,0.00659,0.00661,674.93,4.46
2019-08-06 06-AM,OMGETH,0.00667,0.00667,0.00662,0.00662,1074.95,7.151
2019-08-06 05-AM,OMGETH,0.00667,0.00667,0.00666,0.00667,349.54,2.33
2019-08-06 04-AM,OMGETH,0.00667,0.00669,0.00666,0.00667,268.9,1.795
2019-08-06 03-AM,OMGETH,0.00667,0.00667,0.00665,0.00667,294.26,1.961
2019-08-06 02-AM,OMGETH,0.00664,0.00667,0.00663,0.00667,360.84,2.4
