Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume ETH
2019-08-07,OMGETH,0.00651,0.00653,0.00647,0.0065,1009.01,6.565
2019-08-06,OMGETH,0.00664,0.00669,0.00648,0.00651,11370.59,74.82
2019-08-05,OMGETH,0.00687,0.00687,0.00662,0.00664,11730.73,78.89
2019-08-04,OMGETH,0.00693,0.007,0.00681,0.00687,10281.34,71.08
2019-08-03,OMGETH,0.00704,0.00706,0.00686,0.00693,9710.02,67.22
2019-08-02,OMGETH,0.0071,0.00713,0.00698,0.00704,9824.23,69.19
2019-08-01,OMGETH,0.00726,0.00738,0.00702,0.0071,10727.87,77.23
2019-07-31,OMGETH,0.00733,0.00737,0.00721,0.00726,11818.98,86.1
2019-07-30,OMGETH,0.00724,0.00733,0.00721,0.00733,9853.46,71.66
2019-07-29,OMGETH,0.00727,0.00739,0.00717,0.00724,9805.22,71.48
2019-07-28,OMGETH,0.00763,0.00766,0.00719,0.00727,13384.02,100.02
2019-07-27,OMGETH,0.00769,0.00786,0.0075,0.00763,15682.5,120.73
2019-07-26,OMGETH,0.0077,0.00779,0.00766,0.00769,9352.35,72.23
2019-07-25,OMGETH,0.00788,0.00789,0.00762,0.0077,13107.04,100.94
2019-07-24,OMGETH,0.00733,0.00791,0.00732,0.00788,15521.14,118.11
2019-07-23,OMGETH,0.00759,0.00766,0.00728,0.00733,16143.09,120.5
2019-07-22,OMGETH,0.00764,0.00768,0.00748,0.00759,11271.52,85.47
2019-07-21,OMGETH,0.0075,0.00774,0.00749,0.00764,14925.72,113.72
2019-07-20,OMGETH,0.00694,0.00792,0.00689,0.0075,26646.14,197.62
2019-07-19,OMGETH,0.00676,0.00695,0.0067,0.00694,11577.17,78.83
2019-07-18,OMGETH,0.00666,0.00677,0.00663,0.00677,1027.15,6.855
2019-07-17,OMGETH,0.00675,0.00691,0.0066,0.00666,20479.49,138.13
2019-07-16,OMGETH,0.00689,0.00693,0.00665,0.00675,18011.16,122.25
2019-07-15,OMGETH,0.00688,0.007,0.00662,0.00689,25918.19,177.36
2019-07-14,OMGETH,0.00691,0.00713,0.00661,0.00688,25442.17,175.65
2019-07-13,OMGETH,0.00725,0.00726,0.00679,0.00691,8961.79,63.82
2019-07-12,OMGETH,0.00716,0.00733,0.00701,0.00725,16854.62,121.0
2019-07-11,OMGETH,0.00773,0.00774,0.00699,0.00716,23524.3,170.2
2019-07-10,OMGETH,0.0079,0.00798,0.00737,0.00773,21846.18,167.77
2019-07-09,OMGETH,0.00823,0.00824,0.00783,0.0079,18478.64,147.52
2019-07-08,OMGETH,0.00783,0.00876,0.00775,0.00823,20983.42,173.3
2019-07-07,OMGETH,0.00824,0.00826,0.00775,0.00783,11272.13,90.83
2019-07-06,OMGETH,0.008,0.0083,0.00793,0.00824,11676.81,95.18
2019-07-05,OMGETH,0.00814,0.00818,0.00786,0.008,17159.85,137.56
2019-07-04,OMGETH,0.00813,0.00835,0.00809,0.00814,9752.88,79.97
2019-07-03,OMGETH,0.00817,0.00829,0.00802,0.00813,20498.59,167.47
2019-07-02,OMGETH,0.00825,0.00838,0.00806,0.00817,28140.51,231.0
