Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MBTC
2019-08-07 03-AM,QTUMBTC,0.000256,0.000257,0.000256,0.000256,8891.16,2.283
2019-08-07 02-AM,QTUMBTC,0.000256,0.000256,0.000255,0.000256,6615.14,1.689
2019-08-07 01-AM,QTUMBTC,0.000255,0.000256,0.000255,0.000256,585.94,0.1496
2019-08-07 12-AM,QTUMBTC,0.000255,0.000256,0.000255,0.000255,10423.49,2.661
2019-08-06 11-PM,QTUMBTC,0.000258,0.000258,0.000255,0.000255,5648.1,1.447
2019-08-06 10-PM,QTUMBTC,0.000258,0.000258,0.000257,0.000258,7025.25,1.81
2019-08-06 09-PM,QTUMBTC,0.000254,0.000258,0.000254,0.000258,15867.02,4.071
2019-08-06 08-PM,QTUMBTC,0.000253,0.000254,0.000253,0.000254,4168.59,1.056
2019-08-06 07-PM,QTUMBTC,0.000254,0.000255,0.000253,0.000253,10631.09,2.698
2019-08-06 06-PM,QTUMBTC,0.000254,0.000254,0.000254,0.000254,0.0,0.0
2019-08-06 05-PM,QTUMBTC,0.000254,0.000255,0.000254,0.000254,6500.69,1.652
2019-08-06 04-PM,QTUMBTC,0.000254,0.000255,0.000254,0.000254,4909.95,1.247
2019-08-06 03-PM,QTUMBTC,0.000255,0.000255,0.000254,0.000254,1068.65,0.2722
2019-08-06 02-PM,QTUMBTC,0.000255,0.000256,0.000255,0.000255,7956.64,2.032
2019-08-06 01-PM,QTUMBTC,0.000255,0.000255,0.000255,0.000255,5158.76,1.315
2019-08-06 12-PM,QTUMBTC,0.000255,0.000258,0.000255,0.000255,21663.56,5.555
2019-08-06 11-AM,QTUMBTC,0.000256,0.000256,0.000255,0.000255,6583.83,1.681
2019-08-06 10-AM,QTUMBTC,0.000253,0.000258,0.000253,0.000256,16593.06,4.241
2019-08-06 09-AM,QTUMBTC,0.000253,0.000253,0.000252,0.000253,3.557,0.0008969
2019-08-06 08-AM,QTUMBTC,0.000254,0.000254,0.000252,0.000253,2008.92,0.5082
2019-08-06 07-AM,QTUMBTC,0.000255,0.000255,0.000252,0.000254,12219.07,3.099
2019-08-06 06-AM,QTUMBTC,0.000259,0.000259,0.000254,0.000255,19103.89,4.901
2019-08-06 05-AM,QTUMBTC,0.00026,0.000261,0.000259,0.000259,15707.84,4.083
2019-08-06 04-AM,QTUMBTC,0.000259,0.00026,0.000259,0.00026,9590.66,2.488
2019-08-06 03-AM,QTUMBTC,0.000261,0.000261,0.000259,0.000259,6892.69,1.792
2019-08-06 02-AM,QTUMBTC,0.00026,0.000262,0.00026,0.000261,11055.44,2.884
2019-08-06 01-AM,QTUMBTC,0.000261,0.000262,0.00026,0.00026,4229.03,1.104
2019-08-06 12-AM,QTUMBTC,0.000262,0.000263,0.000261,0.000261,9598.63,2.514
2019-08-05 11-PM,QTUMBTC,0.000265,0.000265,0.000261,0.000262,11389.34,2.987
2019-08-05 10-PM,QTUMBTC,0.000266,0.000268,0.000265,0.000265,16878.67,4.49
2019-08-05 09-PM,QTUMBTC,0.000264,0.000266,0.000264,0.000266,9231.01,2.446
2019-08-05 08-PM,QTUMBTC,0.000265,0.000266,0.000263,0.000264,9221.8,2.437
2019-08-05 07-PM,QTUMBTC,0.000266,0.000266,0.000265,0.000265,4488.82,1.19
2019-08-05 06-PM,QTUMBTC,0.000268,0.000268,0.000266,0.000266,5731.33,1.532
2019-08-05 05-PM,QTUMBTC,0.000269,0.000269,0.000265,0.000268,30833.39,8.215
2019-08-05 04-PM,QTUMBTC,0.000265,0.000272,0.000265,0.000269,14103.91,3.791
2019-08-05 03-PM,QTUMBTC,0.000265,0.000266,0.000265,0.000265,2190.5,0.5818
2019-08-05 02-PM,QTUMBTC,0.000266,0.000266,0.000265,0.000265,4913.34,1.302
2019-08-05 01-PM,QTUMBTC,0.000266,0.000266,0.000265,0.000266,2023.21,0.5381
2019-08-05 12-PM,QTUMBTC,0.000267,0.000267,0.000266,0.000266,4017.45,1.072
2019-08-05 11-AM,QTUMBTC,0.00027,0.00027,0.000267,0.000267,12056.79,3.236
2019-08-05 10-AM,QTUMBTC,0.000262,0.000272,0.000262,0.00027,19338.37,5.179
2019-08-05 09-AM,QTUMBTC,0.000261,0.000262,0.000261,0.000262,1504.34,0.3931
2019-08-05 08-AM,QTUMBTC,0.000261,0.000262,0.000261,0.000261,5704.33,1.489
2019-08-05 07-AM,QTUMBTC,0.000261,0.000261,0.000259,0.000261,11118.24,2.889
2019-08-05 06-AM,QTUMBTC,0.000264,0.000264,0.000261,0.000261,6244.61,1.641
2019-08-05 05-AM,QTUMBTC,0.000263,0.000264,0.000263,0.000264,3470.77,0.9145
2019-08-05 04-AM,QTUMBTC,0.000265,0.000265,0.000263,0.000263,1211.84,0.3192
2019-08-05 03-AM,QTUMBTC,0.000264,0.000265,0.000264,0.000265,5086.31,1.346
2019-08-05 02-AM,QTUMBTC,0.000266,0.000267,0.000264,0.000264,3647.87,0.967
2019-08-05 01-AM,QTUMBTC,0.000272,0.000273,0.000266,0.000266,13418.54,3.607
2019-08-05 12-AM,QTUMBTC,0.000276,0.000276,0.000272,0.000272,4113.59,1.124
2019-08-04 11-PM,QTUMBTC,0.000276,0.000276,0.000276,0.000276,2527.39,0.6976
2019-08-04 10-PM,QTUMBTC,0.000276,0.000277,0.000276,0.000276,637.76,0.1762
2019-08-04 09-PM,QTUMBTC,0.000275,0.000277,0.000275,0.000276,4045.59,1.115
2019-08-04 08-PM,QTUMBTC,0.000275,0.000275,0.000274,0.000275,1318.38,0.3625
2019-08-04 07-PM,QTUMBTC,0.000275,0.000276,0.000275,0.000275,2288.07,0.6292
2019-08-04 06-PM,QTUMBTC,0.000274,0.000275,0.000274,0.000275,1701.33,0.4675
2019-08-04 05-PM,QTUMBTC,0.000275,0.000275,0.000274,0.000274,1457.23,0.3996
2019-08-04 04-PM,QTUMBTC,0.000276,0.000276,0.000273,0.000275,1915.65,0.5263
2019-08-04 03-PM,QTUMBTC,0.00028,0.00028,0.000276,0.000276,9790.17,2.72
2019-08-04 02-PM,QTUMBTC,0.00028,0.00028,0.00028,0.00028,1510.33,0.4229
2019-08-04 01-PM,QTUMBTC,0.00028,0.00028,0.00028,0.00028,0.0,0.0
2019-08-04 12-PM,QTUMBTC,0.00028,0.00028,0.000279,0.00028,1381.86,0.3865
2019-08-04 11-AM,QTUMBTC,0.000278,0.00028,0.000278,0.00028,392.89,0.1099
2019-08-04 10-AM,QTUMBTC,0.000279,0.00028,0.000278,0.000278,558.69,0.156
2019-08-04 09-AM,QTUMBTC,0.000279,0.000279,0.000278,0.000279,3868.87,1.077
2019-08-04 08-AM,QTUMBTC,0.000279,0.000279,0.000279,0.000279,6.096,0.001701
2019-08-04 07-AM,QTUMBTC,0.00028,0.00028,0.000279,0.000279,2426.97,0.6771
2019-08-04 06-AM,QTUMBTC,0.00028,0.00028,0.00028,0.00028,154.7,0.04332
2019-08-04 05-AM,QTUMBTC,0.00028,0.000281,0.00028,0.00028,3898.46,1.092
2019-08-04 04-AM,QTUMBTC,0.00028,0.00028,0.000279,0.00028,3992.03,1.118
2019-08-04 03-AM,QTUMBTC,0.000281,0.000281,0.00028,0.00028,3504.78,0.9837
2019-08-04 02-AM,QTUMBTC,0.000282,0.000282,0.000281,0.000281,1839.84,0.517
2019-08-04 01-AM,QTUMBTC,0.000282,0.000282,0.000282,0.000282,6.0,0.001692
2019-08-04 12-AM,QTUMBTC,0.000281,0.000282,0.000281,0.000282,2069.56,0.5836
2019-08-03 11-PM,QTUMBTC,0.000281,0.000282,0.000281,0.000281,920.21,0.2586
2019-08-03 10-PM,QTUMBTC,0.000281,0.000281,0.000281,0.000281,572.83,0.161
2019-08-03 09-PM,QTUMBTC,0.000281,0.000281,0.000281,0.000281,1015.33,0.2853
2019-08-03 08-PM,QTUMBTC,0.000283,0.000283,0.000281,0.000281,1061.05,0.299
2019-08-03 07-PM,QTUMBTC,0.000284,0.000284,0.000281,0.000283,5624.31,1.585
2019-08-03 06-PM,QTUMBTC,0.000285,0.000285,0.000284,0.000284,942.54,0.2682
2019-08-03 05-PM,QTUMBTC,0.000284,0.000285,0.000284,0.000285,217.24,0.06191
2019-08-03 04-PM,QTUMBTC,0.000284,0.000284,0.000284,0.000284,2904.54,0.8249
2019-08-03 03-PM,QTUMBTC,0.000284,0.000284,0.000283,0.000284,595.05,0.169
2019-08-03 02-PM,QTUMBTC,0.000283,0.000284,0.000283,0.000284,1537.16,0.4366
2019-08-03 01-PM,QTUMBTC,0.000282,0.000283,0.000282,0.000283,2762.4,0.779
2019-08-03 12-PM,QTUMBTC,0.000283,0.000283,0.000282,0.000282,1599.15,0.4525
2019-08-03 11-AM,QTUMBTC,0.000284,0.000285,0.000283,0.000283,1363.95,0.3868
2019-08-03 10-AM,QTUMBTC,0.000284,0.000285,0.000284,0.000284,1079.34,0.3066
2019-08-03 09-AM,QTUMBTC,0.000285,0.000285,0.000284,0.000284,1773.92,0.5038
2019-08-03 08-AM,QTUMBTC,0.000284,0.000285,0.000284,0.000285,446.06,0.1271
2019-08-03 07-AM,QTUMBTC,0.000285,0.000285,0.000284,0.000284,518.45,0.1477
2019-08-03 06-AM,QTUMBTC,0.000285,0.000285,0.000285,0.000285,650.71,0.1855
2019-08-03 05-AM,QTUMBTC,0.000285,0.000285,0.000285,0.000285,886.47,0.2526
2019-08-03 04-AM,QTUMBTC,0.000286,0.000286,0.000285,0.000285,240.56,0.06856
2019-08-03 03-AM,QTUMBTC,0.000283,0.000286,0.000283,0.000286,7562.08,2.154
2019-08-03 02-AM,QTUMBTC,0.000286,0.000287,0.000283,0.000283,8639.88,2.46
