Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume METH
2019-08-07,QTUMETH,0.0129,0.0132,0.0129,0.0131,4415.04,57.27
2019-08-06,QTUMETH,0.0132,0.0134,0.0129,0.0129,27944.91,366.89
2019-08-05,QTUMETH,0.0137,0.0137,0.0132,0.0132,25968.11,347.41
2019-08-04,QTUMETH,0.0137,0.0138,0.0136,0.0137,2991.58,40.92
2019-08-03,QTUMETH,0.0138,0.0139,0.0136,0.0137,3156.99,43.57
2019-08-02,QTUMETH,0.014,0.014,0.0138,0.0138,7520.1,104.14
2019-08-01,QTUMETH,0.014,0.0141,0.0137,0.014,13077.05,182.3
2019-07-31,QTUMETH,0.0137,0.0143,0.0137,0.014,36524.64,510.97
2019-07-30,QTUMETH,0.0137,0.0139,0.0136,0.0137,5902.58,81.18
2019-07-29,QTUMETH,0.0138,0.0138,0.0135,0.0137,12877.78,175.95
2019-07-28,QTUMETH,0.014,0.014,0.0137,0.0138,7817.97,108.27
2019-07-27,QTUMETH,0.0141,0.0143,0.0137,0.014,16099.43,224.46
2019-07-26,QTUMETH,0.014,0.0142,0.0139,0.0141,19285.76,270.46
2019-07-25,QTUMETH,0.0136,0.0142,0.0136,0.014,18316.35,256.45
2019-07-24,QTUMETH,0.0134,0.014,0.0133,0.0136,31302.09,426.71
2019-07-23,QTUMETH,0.014,0.014,0.0133,0.0134,19722.43,270.32
2019-07-22,QTUMETH,0.0143,0.0144,0.0139,0.014,22371.45,317.2
2019-07-21,QTUMETH,0.0144,0.0148,0.0141,0.0143,15363.56,220.24
2019-07-20,QTUMETH,0.0144,0.0146,0.0139,0.0144,21340.94,301.92
2019-07-19,QTUMETH,0.0137,0.0144,0.0136,0.0144,16128.81,222.57
2019-07-18,QTUMETH,0.0132,0.0133,0.0132,0.0133,1971.58,26.03
2019-07-17,QTUMETH,0.0135,0.0137,0.013,0.0132,34995.1,467.09
