Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume ETH
2019-08-07 03-AM,ETCETH,0.02618,0.02618,0.02618,0.02618,0.0,0.0
2019-08-07 02-AM,ETCETH,0.02593,0.02618,0.02593,0.02618,38.19,1.0
2019-08-07 01-AM,ETCETH,0.02593,0.02593,0.02593,0.02593,0.0,0.0
2019-08-07 12-AM,ETCETH,0.02593,0.02593,0.02593,0.02593,0.0,0.0
2019-08-06 11-PM,ETCETH,0.02593,0.02593,0.02593,0.02593,0.0,0.0
2019-08-06 10-PM,ETCETH,0.02626,0.02626,0.02593,0.02593,3.338,0.08655
2019-08-06 09-PM,ETCETH,0.02626,0.02626,0.02626,0.02626,0.0,0.0
2019-08-06 08-PM,ETCETH,0.02598,0.02629,0.02598,0.02626,292.56,7.681
2019-08-06 07-PM,ETCETH,0.026,0.0261,0.02598,0.02598,3.905,0.1019
2019-08-06 06-PM,ETCETH,0.026,0.026,0.026,0.026,0.0,0.0
2019-08-06 05-PM,ETCETH,0.026,0.026,0.026,0.026,3.257,0.08467
2019-08-06 04-PM,ETCETH,0.02641,0.02641,0.026,0.026,283.04,7.359
2019-08-06 03-PM,ETCETH,0.02665,0.02665,0.02609,0.02641,18.0,0.4723
2019-08-06 02-PM,ETCETH,0.02665,0.02665,0.02665,0.02665,0.0,0.0
2019-08-06 01-PM,ETCETH,0.02665,0.02665,0.02665,0.02665,0.1416,0.003773
2019-08-06 12-PM,ETCETH,0.02665,0.02665,0.02643,0.02665,7.426,0.1971
2019-08-06 11-AM,ETCETH,0.0263,0.02665,0.0263,0.02665,57.96,1.544
2019-08-06 10-AM,ETCETH,0.02632,0.02632,0.02618,0.0263,249.85,6.562
2019-08-06 09-AM,ETCETH,0.02632,0.02633,0.02632,0.02632,373.27,9.827
2019-08-06 08-AM,ETCETH,0.02634,0.02634,0.02632,0.02632,5.397,0.142
2019-08-06 07-AM,ETCETH,0.0266,0.0266,0.02633,0.02634,576.83,15.19
2019-08-06 06-AM,ETCETH,0.02662,0.02662,0.0266,0.0266,5.0,0.133
2019-08-06 05-AM,ETCETH,0.0267,0.0267,0.02662,0.02662,41.56,1.106
2019-08-06 04-AM,ETCETH,0.02686,0.02686,0.0267,0.0267,1.0,0.0267
2019-08-06 03-AM,ETCETH,0.02667,0.02686,0.02662,0.02686,12.44,0.3327
2019-08-06 02-AM,ETCETH,0.02667,0.02667,0.02667,0.02667,0.0,0.0
2019-08-06 01-AM,ETCETH,0.02667,0.02667,0.02667,0.02667,0.0,0.0
2019-08-06 12-AM,ETCETH,0.02649,0.02667,0.02649,0.02667,0.2689,0.007172
2019-08-05 11-PM,ETCETH,0.02684,0.02684,0.02649,0.02649,19.4,0.5159
2019-08-05 10-PM,ETCETH,0.02684,0.02684,0.02684,0.02684,0.0,0.0
2019-08-05 09-PM,ETCETH,0.02684,0.02684,0.02684,0.02684,0.0,0.0
2019-08-05 08-PM,ETCETH,0.02683,0.02684,0.02683,0.02684,21.42,0.5749
2019-08-05 07-PM,ETCETH,0.02683,0.02683,0.02683,0.02683,0.0,0.0
2019-08-05 06-PM,ETCETH,0.0269,0.0269,0.02683,0.02683,17.39,0.4665
2019-08-05 05-PM,ETCETH,0.02676,0.027,0.0266,0.0269,75.52,2.031
2019-08-05 04-PM,ETCETH,0.02695,0.02695,0.02676,0.02676,24.18,0.6473
2019-08-05 03-PM,ETCETH,0.02695,0.02695,0.02695,0.02695,0.0,0.0
2019-08-05 02-PM,ETCETH,0.02709,0.02709,0.0268,0.02695,369.24,9.905
2019-08-05 01-PM,ETCETH,0.0271,0.02726,0.02709,0.02709,130.07,3.529
2019-08-05 12-PM,ETCETH,0.0267,0.0271,0.0267,0.0271,4.048,0.1096
2019-08-05 11-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-05 10-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,3.968,0.1059
2019-08-05 09-AM,ETCETH,0.02696,0.02696,0.0267,0.0267,2.425,0.06476
2019-08-05 08-AM,ETCETH,0.02696,0.02696,0.02696,0.02696,0.0,0.0
2019-08-05 07-AM,ETCETH,0.02696,0.02696,0.0267,0.02696,356.61,9.56
2019-08-05 06-AM,ETCETH,0.027,0.027,0.02685,0.02696,7.896,0.2124
2019-08-05 05-AM,ETCETH,0.02698,0.027,0.02698,0.027,3.341,0.0902
2019-08-05 04-AM,ETCETH,0.02718,0.02718,0.02698,0.02698,339.2,9.154
2019-08-05 03-AM,ETCETH,0.02718,0.02718,0.02718,0.02718,0.0,0.0
2019-08-05 02-AM,ETCETH,0.02718,0.02718,0.02718,0.02718,295.92,8.042
2019-08-05 01-AM,ETCETH,0.0272,0.02735,0.02718,0.02718,288.35,7.856
2019-08-05 12-AM,ETCETH,0.02737,0.0274,0.0272,0.0272,1706.12,46.41
2019-08-04 11-PM,ETCETH,0.02754,0.0276,0.02737,0.02737,1.51,0.04133
2019-08-04 10-PM,ETCETH,0.02735,0.02754,0.02735,0.02754,17.55,0.4833
2019-08-04 09-PM,ETCETH,0.02748,0.02748,0.02735,0.02735,6.511,0.1781
2019-08-04 08-PM,ETCETH,0.02748,0.02748,0.02748,0.02748,0.0,0.0
2019-08-04 07-PM,ETCETH,0.02746,0.02748,0.02746,0.02748,5.003,0.1375
2019-08-04 06-PM,ETCETH,0.02769,0.02769,0.02746,0.02746,10.02,0.2753
2019-08-04 05-PM,ETCETH,0.02769,0.02769,0.02769,0.02769,0.0,0.0
2019-08-04 04-PM,ETCETH,0.02769,0.02769,0.02769,0.02769,0.0,0.0
2019-08-04 03-PM,ETCETH,0.02771,0.02771,0.02751,0.02769,20.7,0.5709
2019-08-04 02-PM,ETCETH,0.02746,0.02771,0.02743,0.02771,10.27,0.2819
2019-08-04 01-PM,ETCETH,0.02741,0.02746,0.02741,0.02746,10.0,0.2746
2019-08-04 12-PM,ETCETH,0.02678,0.0276,0.02678,0.02741,1734.98,47.55
2019-08-04 11-AM,ETCETH,0.0267,0.02678,0.0267,0.02678,0.0823,0.002204
2019-08-04 10-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 09-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 08-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 07-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 06-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 05-AM,ETCETH,0.0267,0.0267,0.0267,0.0267,0.0,0.0
2019-08-04 04-AM,ETCETH,0.02667,0.0267,0.02667,0.0267,0.0825,0.002203
2019-08-04 03-AM,ETCETH,0.02634,0.02667,0.02634,0.02667,0.0827,0.002206
2019-08-04 02-AM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-04 01-AM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-04 12-AM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-03 11-PM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-03 10-PM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-03 09-PM,ETCETH,0.02634,0.02634,0.02634,0.02634,0.0,0.0
2019-08-03 08-PM,ETCETH,0.02656,0.02656,0.02634,0.02634,10.34,0.2723
2019-08-03 07-PM,ETCETH,0.02656,0.02656,0.02656,0.02656,0.0,0.0
2019-08-03 06-PM,ETCETH,0.0264,0.02656,0.0264,0.02656,0.6554,0.01741
2019-08-03 05-PM,ETCETH,0.0264,0.0264,0.0264,0.0264,0.0,0.0
2019-08-03 04-PM,ETCETH,0.02663,0.02663,0.0264,0.0264,0.8,0.02114
2019-08-03 03-PM,ETCETH,0.02656,0.02663,0.0265,0.02663,155.48,4.12
2019-08-03 02-PM,ETCETH,0.02667,0.02667,0.02656,0.02656,0.6613,0.01756
2019-08-03 01-PM,ETCETH,0.02643,0.02667,0.02643,0.02667,0.406,0.01077
2019-08-03 12-PM,ETCETH,0.0263,0.02643,0.0263,0.02643,1.136,0.02999
2019-08-03 11-AM,ETCETH,0.0263,0.0263,0.0263,0.0263,0.0,0.0
2019-08-03 10-AM,ETCETH,0.0264,0.0264,0.0263,0.0263,116.22,3.06
2019-08-03 09-AM,ETCETH,0.02645,0.02645,0.0264,0.0264,5.87,0.155
2019-08-03 08-AM,ETCETH,0.02646,0.02646,0.02645,0.02645,4.258,0.1126
