Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-08-07,ETHBTC,0.01971,0.01973,0.01947,0.01951,523.17,10.24
2019-08-06,ETHBTC,0.01975,0.01991,0.01905,0.01971,10104.75,195.84
2019-08-05,ETHBTC,0.02029,0.02035,0.01941,0.01975,14535.17,287.21
2019-08-04,ETHBTC,0.02052,0.02058,0.02011,0.02029,3602.72,73.08
2019-08-03,ETHBTC,0.02067,0.02091,0.02031,0.02052,3762.42,77.33
2019-08-02,ETHBTC,0.02089,0.02114,0.02059,0.02067,3314.89,69.13
2019-08-01,ETHBTC,0.02168,0.02168,0.02077,0.02089,6052.71,128.02
2019-07-31,ETHBTC,0.02189,0.02214,0.02147,0.02168,9088.37,196.47
2019-07-30,ETHBTC,0.02217,0.02221,0.02177,0.02189,3991.9,87.45
2019-07-29,ETHBTC,0.02218,0.02227,0.02192,0.02217,2920.79,64.45
2019-07-28,ETHBTC,0.02187,0.02233,0.02165,0.02218,2572.84,56.38
2019-07-27,ETHBTC,0.02227,0.02229,0.0216,0.02187,5220.46,114.19
2019-07-26,ETHBTC,0.02218,0.02237,0.022,0.02227,3511.23,77.9
2019-07-25,ETHBTC,0.02218,0.02235,0.02193,0.02218,8735.51,193.17
2019-07-24,ETHBTC,0.0215,0.0224,0.02087,0.02218,13075.11,284.75
2019-07-23,ETHBTC,0.02102,0.02159,0.02097,0.0215,3998.98,84.69
2019-07-22,ETHBTC,0.02128,0.02137,0.02082,0.02102,6410.98,134.93
2019-07-21,ETHBTC,0.02126,0.02141,0.02102,0.02128,2217.94,47.06
2019-07-20,ETHBTC,0.02099,0.02186,0.02099,0.02126,7392.16,158.17
2019-07-19,ETHBTC,0.02123,0.02128,0.02079,0.02099,8863.84,186.0
2019-07-18,ETHBTC,0.02181,0.02181,0.02154,0.02175,138.15,2.989
2019-07-17,ETHBTC,0.02115,0.02233,0.02092,0.02181,20665.56,445.0
2019-07-16,ETHBTC,0.02106,0.0214,0.0201,0.02115,18571.64,387.19
2019-07-15,ETHBTC,0.0222,0.02232,0.02051,0.02106,29460.63,634.17
2019-07-14,ETHBTC,0.02368,0.02407,0.02202,0.0222,20529.87,463.36
2019-07-13,ETHBTC,0.02335,0.02432,0.02328,0.02368,5281.31,125.04
2019-07-12,ETHBTC,0.02368,0.02406,0.02323,0.02335,3772.48,89.06
2019-07-11,ETHBTC,0.02388,0.02424,0.02305,0.02368,9957.58,234.83
2019-07-10,ETHBTC,0.02449,0.02457,0.023,0.02388,23657.08,564.38
2019-07-09,ETHBTC,0.02545,0.02556,0.02437,0.02449,18290.0,454.02
2019-07-08,ETHBTC,0.0267,0.02692,0.02525,0.02545,11392.78,294.55
2019-07-07,ETHBTC,0.02559,0.02707,0.02555,0.0267,5844.85,153.52
2019-07-06,ETHBTC,0.02623,0.02623,0.02532,0.02559,3906.45,99.96
2019-07-05,ETHBTC,0.02538,0.0264,0.02517,0.02623,12639.41,328.9
2019-07-04,ETHBTC,0.02522,0.02566,0.02485,0.02538,10985.05,275.84
