Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume ETH
2019-08-07,LSKETH,0.0054,0.005797,0.0054,0.005718,18.28,0.1054
2019-08-06,LSKETH,0.005502,0.005571,0.0054,0.0054,18.98,0.1043
2019-08-05,LSKETH,0.005927,0.005927,0.0055,0.005502,1422.15,7.998
2019-08-04,LSKETH,0.005882,0.006088,0.005882,0.005927,13.06,0.07881
2019-08-03,LSKETH,0.00619,0.006295,0.005858,0.005882,2452.39,14.79
2019-08-02,LSKETH,0.006035,0.00619,0.005908,0.00619,178.36,1.074
2019-08-01,LSKETH,0.0064,0.006627,0.006032,0.006035,190.93,1.254
2019-07-31,LSKETH,0.0065,0.006785,0.0064,0.0064,79.84,0.523
2019-07-30,LSKETH,0.006766,0.006766,0.0065,0.0065,39.68,0.2613
2019-07-29,LSKETH,0.0065,0.006766,0.0065,0.006766,175.89,1.187
2019-07-28,LSKETH,0.006974,0.007014,0.0065,0.0065,125.63,0.8531
2019-07-27,LSKETH,0.007143,0.007187,0.006971,0.006974,7099.97,49.75
2019-07-26,LSKETH,0.007259,0.007299,0.00696,0.007143,115.4,0.8134
2019-07-25,LSKETH,0.00743,0.00743,0.007259,0.007259,0.39,0.002862
2019-07-24,LSKETH,0.007635,0.00811,0.007426,0.00743,2404.13,18.53
2019-07-23,LSKETH,0.006694,0.008237,0.006694,0.007635,1084.93,8.074
2019-07-22,LSKETH,0.006478,0.007067,0.006478,0.006694,328.78,2.27
2019-07-21,LSKETH,0.006478,0.006805,0.006478,0.006478,356.51,2.415
2019-07-20,LSKETH,0.005914,0.006841,0.005914,0.006478,296.67,1.944
2019-07-19,LSKETH,0.005689,0.005914,0.005689,0.005914,0.1081,0.0006395
2019-07-18,LSKETH,0.00574,0.005914,0.00574,0.005914,0.4951,0.002923
2019-07-17,LSKETH,0.0054,0.006567,0.0054,0.00574,5915.65,36.93
2019-07-16,LSKETH,0.005524,0.005524,0.005287,0.0054,7.829,0.04218
2019-07-15,LSKETH,0.005633,0.0058,0.005402,0.005524,400.44,2.31
2019-07-14,LSKETH,0.005278,0.005775,0.005268,0.005633,468.77,2.621
2019-07-13,LSKETH,0.005284,0.005495,0.005278,0.005278,6.61,0.0358
2019-07-12,LSKETH,0.005122,0.006168,0.005122,0.005284,274.19,1.632
2019-07-11,LSKETH,0.0054,0.0054,0.005122,0.005122,1378.82,7.12
2019-07-10,LSKETH,0.005223,0.0054,0.005021,0.0054,3029.83,15.55
2019-07-09,LSKETH,0.005374,0.005433,0.005,0.005223,125.27,0.6495
2019-07-08,LSKETH,0.005624,0.005687,0.005374,0.005374,449.85,2.481
2019-07-07,LSKETH,0.00585,0.005982,0.005511,0.005624,563.88,3.31
2019-07-06,LSKETH,0.005652,0.00596,0.005651,0.00585,1376.42,8.067
2019-07-05,LSKETH,0.00567,0.005934,0.005652,0.005652,1377.8,7.877
2019-07-04,LSKETH,0.005777,0.006088,0.00567,0.00567,455.64,2.707
2019-07-03,LSKETH,0.006,0.006018,0.005777,0.005777,9.434,0.05511
2019-07-02,LSKETH,0.005966,0.00619,0.005966,0.006,177.06,1.082
2019-07-01,LSKETH,0.00619,0.006254,0.005966,0.005966,60.82,0.3794
2019-06-30,LSKETH,0.005964,0.00619,0.00593,0.00619,18.91,0.1156
2019-06-29,LSKETH,0.006287,0.006287,0.005964,0.005964,1340.47,8.129
2019-06-28,LSKETH,0.006203,0.006563,0.006096,0.006287,193.32,1.198
2019-06-27,LSKETH,0.006187,0.006513,0.005914,0.006203,225.2,1.404
2019-06-26,LSKETH,0.006494,0.006494,0.005753,0.006187,3422.68,20.75
2019-06-25,LSKETH,0.00675,0.006757,0.0064,0.006494,2724.43,17.82
2019-06-24,LSKETH,0.00678,0.006999,0.006693,0.00675,3375.87,23.1
2019-06-23,LSKETH,0.006962,0.0072,0.006543,0.00678,293.29,1.992
2019-06-22,LSKETH,0.007095,0.007095,0.006401,0.006962,7576.86,51.98
2019-06-21,LSKETH,0.007546,0.007546,0.006911,0.007095,5501.47,39.81
2019-06-20,LSKETH,0.007676,0.007706,0.0073,0.007546,19425.02,145.9
2019-06-19,LSKETH,0.007816,0.007816,0.007676,0.007676,86.23,0.6675
2019-06-18,LSKETH,0.007588,0.007816,0.007588,0.007816,81.87,0.6307
2019-06-17,LSKETH,0.007756,0.008044,0.007588,0.007588,4626.94,36.46
2019-06-16,LSKETH,0.007383,0.0169,0.007117,0.007756,25186.52,243.72
2019-06-15,LSKETH,0.0076,0.007772,0.007294,0.007383,8637.34,65.14
2019-06-14,LSKETH,0.007946,0.008041,0.0076,0.0076,143.06,1.126
2019-06-13,LSKETH,0.008021,0.008027,0.007784,0.007946,513.55,4.12
2019-06-12,LSKETH,0.0085,0.0085,0.008,0.008021,206.98,1.702
2019-06-11,LSKETH,0.008366,0.0085,0.008242,0.0085,36.62,0.3069
2019-06-10,LSKETH,0.0082,0.008493,0.00815,0.008366,106.15,0.8736
2019-06-09,LSKETH,0.008264,0.008367,0.0082,0.0082,37.54,0.3134
2019-06-08,LSKETH,0.00845,0.0086,0.00824,0.008264,158.15,1.339
2019-06-07,LSKETH,0.007899,0.00845,0.007899,0.00845,1246.81,10.34
2019-06-06,LSKETH,0.008,0.008,0.007849,0.007899,9.49,0.0751
