Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume BTC
2019-08-07 03-AM,NXTBTC,2.0e-06,2.0e-06,2.0e-06,2.0e-06,0.0,0.0
2019-08-07 02-AM,NXTBTC,1.99e-06,2.0e-06,1.99e-06,2.0e-06,3200.0,0.0064
2019-08-07 01-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,0.0,0.0
2019-08-07 12-AM,NXTBTC,1.99e-06,2.01e-06,1.99e-06,1.99e-06,7902.86,0.01575
2019-08-06 11-PM,NXTBTC,2.01e-06,2.01e-06,1.99e-06,1.99e-06,7738.94,0.0154
2019-08-06 10-PM,NXTBTC,2.0e-06,2.01e-06,2.0e-06,2.01e-06,22377.11,0.04496
2019-08-06 09-PM,NXTBTC,1.97e-06,2.0e-06,1.97e-06,2.0e-06,21301.75,0.04254
2019-08-06 08-PM,NXTBTC,1.97e-06,1.97e-06,1.97e-06,1.97e-06,761.42,0.0015
2019-08-06 07-PM,NXTBTC,1.97e-06,1.97e-06,1.96e-06,1.97e-06,19287.77,0.038
2019-08-06 06-PM,NXTBTC,1.98e-06,1.98e-06,1.96e-06,1.97e-06,100553.73,0.1972
2019-08-06 05-PM,NXTBTC,1.99e-06,1.99e-06,1.97e-06,1.98e-06,16801.65,0.03321
2019-08-06 04-PM,NXTBTC,1.99e-06,2.0e-06,1.99e-06,1.99e-06,4764.57,0.009482
2019-08-06 03-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,0.0,0.0
2019-08-06 02-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,51485.32,0.1025
2019-08-06 01-PM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,1.99e-06,5311.07,0.01057
2019-08-06 12-PM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,2.0e-06,10050.05,0.02
2019-08-06 11-AM,NXTBTC,1.96e-06,2.0e-06,1.96e-06,2.0e-06,28971.53,0.05769
2019-08-06 10-AM,NXTBTC,1.98e-06,1.99e-06,1.96e-06,1.96e-06,34883.19,0.06918
2019-08-06 09-AM,NXTBTC,1.97e-06,1.98e-06,1.96e-06,1.98e-06,2326.5,0.004603
2019-08-06 08-AM,NXTBTC,1.97e-06,1.98e-06,1.96e-06,1.97e-06,16050.02,0.03152
2019-08-06 07-AM,NXTBTC,1.95e-06,2.0e-06,1.94e-06,1.97e-06,78891.06,0.1555
2019-08-06 06-AM,NXTBTC,1.98e-06,1.99e-06,1.93e-06,1.95e-06,81433.31,0.16
2019-08-06 05-AM,NXTBTC,1.99e-06,1.99e-06,1.98e-06,1.98e-06,10452.77,0.0207
2019-08-06 04-AM,NXTBTC,1.98e-06,1.99e-06,1.98e-06,1.99e-06,21787.73,0.04335
2019-08-06 03-AM,NXTBTC,1.98e-06,1.98e-06,1.98e-06,1.98e-06,0.0,0.0
2019-08-06 02-AM,NXTBTC,1.98e-06,1.98e-06,1.97e-06,1.98e-06,6636.58,0.01314
2019-08-06 01-AM,NXTBTC,1.98e-06,1.98e-06,1.98e-06,1.98e-06,6555.72,0.01298
2019-08-06 12-AM,NXTBTC,1.99e-06,2.01e-06,1.97e-06,1.98e-06,17506.04,0.03493
2019-08-05 11-PM,NXTBTC,1.98e-06,1.99e-06,1.98e-06,1.99e-06,14394.87,0.02865
2019-08-05 10-PM,NXTBTC,1.98e-06,1.98e-06,1.98e-06,1.98e-06,0.0,0.0
2019-08-05 09-PM,NXTBTC,1.97e-06,1.98e-06,1.97e-06,1.98e-06,51.01,0.000101
2019-08-05 08-PM,NXTBTC,1.97e-06,1.97e-06,1.97e-06,1.97e-06,1670.14,0.00329
2019-08-05 07-PM,NXTBTC,1.97e-06,1.98e-06,1.97e-06,1.97e-06,117626.17,0.2328
2019-08-05 06-PM,NXTBTC,1.97e-06,1.97e-06,1.97e-06,1.97e-06,425.0,0.0008372
2019-08-05 05-PM,NXTBTC,1.97e-06,1.97e-06,1.97e-06,1.97e-06,17512.54,0.0345
2019-08-05 04-PM,NXTBTC,1.99e-06,1.99e-06,1.97e-06,1.97e-06,120870.07,0.2405
2019-08-05 03-PM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,1.99e-06,12215.27,0.02442
2019-08-05 02-PM,NXTBTC,1.99e-06,2.0e-06,1.95e-06,2.0e-06,17591.19,0.03485
2019-08-05 01-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,24103.64,0.04797
2019-08-05 12-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,9578.44,0.01906
2019-08-05 11-AM,NXTBTC,1.99e-06,2.0e-06,1.99e-06,1.99e-06,10049.22,0.02001
2019-08-05 10-AM,NXTBTC,1.98e-06,2.0e-06,1.97e-06,1.99e-06,26517.59,0.0526
2019-08-05 09-AM,NXTBTC,1.98e-06,1.98e-06,1.98e-06,1.98e-06,48437.71,0.09591
2019-08-05 08-AM,NXTBTC,1.96e-06,1.98e-06,1.96e-06,1.98e-06,9044.59,0.01785
2019-08-05 07-AM,NXTBTC,1.98e-06,1.98e-06,1.96e-06,1.96e-06,7190.8,0.01419
2019-08-05 06-AM,NXTBTC,1.99e-06,2.0e-06,1.98e-06,1.98e-06,18853.91,0.03734
2019-08-05 05-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,1002.54,0.001995
2019-08-05 04-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,75195.05,0.1496
2019-08-05 03-AM,NXTBTC,1.98e-06,1.99e-06,1.98e-06,1.99e-06,31896.65,0.06318
2019-08-05 02-AM,NXTBTC,1.98e-06,1.99e-06,1.98e-06,1.98e-06,14600.28,0.02892
2019-08-05 01-AM,NXTBTC,1.99e-06,1.99e-06,1.98e-06,1.98e-06,17384.95,0.03445
2019-08-05 12-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,869.0,0.001729
2019-08-04 11-PM,NXTBTC,1.98e-06,1.99e-06,1.97e-06,1.99e-06,210222.66,0.4162
2019-08-04 10-PM,NXTBTC,1.97e-06,1.98e-06,1.97e-06,1.98e-06,269756.0,0.5333
2019-08-04 09-PM,NXTBTC,2.0e-06,2.0e-06,1.97e-06,1.97e-06,233680.08,0.4618
2019-08-04 08-PM,NXTBTC,1.99e-06,2.0e-06,1.99e-06,2.0e-06,12077.76,0.02416
2019-08-04 07-PM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,1.99e-06,1564.52,0.003113
2019-08-04 06-PM,NXTBTC,1.99e-06,2.0e-06,1.99e-06,2.0e-06,500.0,0.001
2019-08-04 05-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,0.0,0.0
2019-08-04 04-PM,NXTBTC,1.98e-06,1.99e-06,1.98e-06,1.99e-06,1324.17,0.002635
2019-08-04 03-PM,NXTBTC,1.99e-06,1.99e-06,1.98e-06,1.98e-06,39206.41,0.07774
2019-08-04 02-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,1000.0,0.00199
2019-08-04 01-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,2502.21,0.004979
2019-08-04 12-PM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,6609.89,0.01315
2019-08-04 11-AM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,1.99e-06,736.28,0.001465
2019-08-04 10-AM,NXTBTC,2.03e-06,2.03e-06,2.0e-06,2.0e-06,4494.57,0.008992
2019-08-04 09-AM,NXTBTC,2.01e-06,2.03e-06,2.0e-06,2.03e-06,61992.51,0.1253
2019-08-04 08-AM,NXTBTC,1.99e-06,2.01e-06,1.99e-06,2.01e-06,102.06,0.0002051
2019-08-04 07-AM,NXTBTC,2.01e-06,2.01e-06,1.99e-06,1.99e-06,7386.07,0.0147
2019-08-04 06-AM,NXTBTC,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0.0343,6e-08
2019-08-04 05-AM,NXTBTC,2.01e-06,2.01e-06,2.01e-06,2.01e-06,0.0,0.0
2019-08-04 04-AM,NXTBTC,1.99e-06,2.01e-06,1.99e-06,2.01e-06,203.75,0.0004085
2019-08-04 03-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,0.0,0.0
2019-08-04 02-AM,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,577.87,0.00115
2019-08-04 01-AM,NXTBTC,2.0e-06,2.0e-06,1.99e-06,1.99e-06,10633.1,0.02116
2019-08-04 12-AM,NXTBTC,2.0e-06,2.0e-06,2.0e-06,2.0e-06,0.0,0.0
2019-08-03 11-PM,NXTBTC,2.0e-06,2.0e-06,2.0e-06,2.0e-06,0.0,0.0
