Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume ETH
2019-08-07 03-AM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-07 02-AM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-07 01-AM,OMGETH,0.006478,0.0065,0.006478,0.0065,4.992,0.03245
2019-08-07 12-AM,OMGETH,0.006478,0.006478,0.006478,0.006478,0.0,0.0
2019-08-06 11-PM,OMGETH,0.006473,0.006478,0.006473,0.006478,0.003002,1.945e-05
2019-08-06 10-PM,OMGETH,0.0065,0.0065,0.006473,0.006473,9.814,0.06366
2019-08-06 09-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 08-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 07-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 06-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 05-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 04-PM,OMGETH,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2019-08-06 03-PM,OMGETH,0.006546,0.006546,0.0065,0.0065,1.304,0.008476
2019-08-06 02-PM,OMGETH,0.006546,0.006546,0.006546,0.006546,0.0,0.0
2019-08-06 01-PM,OMGETH,0.006546,0.006546,0.006546,0.006546,12.0,0.07856
2019-08-06 12-PM,OMGETH,0.00654,0.006546,0.00654,0.006546,0.3378,0.002211
2019-08-06 11-AM,OMGETH,0.006512,0.00654,0.006512,0.00654,0.337,0.002204
2019-08-06 10-AM,OMGETH,0.006587,0.006587,0.006507,0.006512,266.81,1.74
2019-08-06 09-AM,OMGETH,0.006606,0.006606,0.006587,0.006587,6.871,0.04534
2019-08-06 08-AM,OMGETH,0.006622,0.006622,0.006606,0.006606,1.222,0.008074
2019-08-06 07-AM,OMGETH,0.006633,0.006633,0.006622,0.006622,14.26,0.09449
2019-08-06 06-AM,OMGETH,0.006633,0.006633,0.006633,0.006633,0.0,0.0
2019-08-06 05-AM,OMGETH,0.006716,0.006716,0.006633,0.006633,0.1279,0.0008482
2019-08-06 04-AM,OMGETH,0.006673,0.006716,0.006673,0.006716,362.56,2.435
2019-08-06 03-AM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-06 02-AM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-06 01-AM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-06 12-AM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-05 11-PM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-05 10-PM,OMGETH,0.006673,0.006673,0.006673,0.006673,0.0,0.0
2019-08-05 09-PM,OMGETH,0.006681,0.006681,0.006673,0.006673,2.029,0.01354
2019-08-05 08-PM,OMGETH,0.006672,0.006681,0.006672,0.006681,0.3297,0.002203
2019-08-05 07-PM,OMGETH,0.006683,0.006683,0.006672,0.006672,0.3303,0.002204
2019-08-05 06-PM,OMGETH,0.006683,0.006683,0.006683,0.006683,0.0,0.0
2019-08-05 05-PM,OMGETH,0.006626,0.006683,0.006626,0.006683,0.3298,0.002204
2019-08-05 04-PM,OMGETH,0.006698,0.006698,0.006626,0.006626,156.6,1.04
2019-08-05 03-PM,OMGETH,0.006698,0.006698,0.006698,0.006698,0.0,0.0
2019-08-05 02-PM,OMGETH,0.006734,0.006734,0.006698,0.006698,6.159,0.04126
2019-08-05 01-PM,OMGETH,0.006734,0.006734,0.006734,0.006734,0.0,0.0
2019-08-05 12-PM,OMGETH,0.006734,0.006734,0.006734,0.006734,0.0,0.0
2019-08-05 11-AM,OMGETH,0.006721,0.006734,0.006721,0.006734,24.87,0.1672
2019-08-05 10-AM,OMGETH,0.0067,0.006721,0.0067,0.006721,12.22,0.0821
2019-08-05 09-AM,OMGETH,0.006716,0.006716,0.0067,0.0067,5.746,0.0385
2019-08-05 08-AM,OMGETH,0.006716,0.006716,0.006716,0.006716,0.0,0.0
2019-08-05 07-AM,OMGETH,0.006732,0.006732,0.00671,0.006716,65.14,0.4373
2019-08-05 06-AM,OMGETH,0.006732,0.006732,0.006732,0.006732,0.0,0.0
2019-08-05 05-AM,OMGETH,0.006732,0.006732,0.006732,0.006732,0.0,0.0
2019-08-05 04-AM,OMGETH,0.006736,0.006736,0.006732,0.006732,0.3269,0.002201
2019-08-05 03-AM,OMGETH,0.006736,0.006736,0.006736,0.006736,0.3401,0.002291
2019-08-05 02-AM,OMGETH,0.00675,0.00675,0.006736,0.006736,257.5,1.734
2019-08-05 01-AM,OMGETH,0.00682,0.00682,0.00675,0.00675,74.43,0.5033
2019-08-05 12-AM,OMGETH,0.006832,0.006832,0.00682,0.00682,119.13,0.8124
2019-08-04 11-PM,OMGETH,0.006832,0.006832,0.006832,0.006832,0.0,0.0
2019-08-04 10-PM,OMGETH,0.006832,0.006832,0.006832,0.006832,0.0,0.0
2019-08-04 09-PM,OMGETH,0.006977,0.006977,0.006832,0.006832,5.639,0.03863
2019-08-04 08-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 07-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 06-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 05-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 04-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 03-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 02-PM,OMGETH,0.006977,0.006977,0.006977,0.006977,0.0,0.0
2019-08-04 01-PM,OMGETH,0.00695,0.006977,0.00695,0.006977,1621.63,11.31
