Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2019-08-07 03-AM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-07 02-AM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-07 01-AM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-07 12-AM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-06 11-PM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-06 10-PM,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-06 09-PM,REPETH,0.04851,0.0489,0.04851,0.0489,0.03327,0.001627
2019-08-06 08-PM,REPETH,0.04813,0.04851,0.04813,0.04851,0.03354,0.001627
2019-08-06 07-PM,REPETH,0.04813,0.04813,0.04813,0.04813,0.0,0.0
2019-08-06 06-PM,REPETH,0.04813,0.04813,0.04813,0.04813,0.0,0.0
2019-08-06 05-PM,REPETH,0.04805,0.04831,0.04784,0.04813,78.67,3.778
2019-08-06 04-PM,REPETH,0.05023,0.05023,0.04805,0.04805,32.17,1.574
2019-08-06 03-PM,REPETH,0.05023,0.05023,0.05023,0.05023,0.0,0.0
2019-08-06 02-PM,REPETH,0.05023,0.05023,0.05023,0.05023,0.0,0.0
2019-08-06 01-PM,REPETH,0.04969,0.05023,0.04969,0.05023,0.4436,0.02219
2019-08-06 12-PM,REPETH,0.04873,0.04969,0.04873,0.04969,0.3901,0.0191
2019-08-06 11-AM,REPETH,0.04873,0.04873,0.04873,0.04873,0.0,0.0
2019-08-06 10-AM,REPETH,0.04984,0.04984,0.04873,0.04873,17.29,0.8425
2019-08-06 09-AM,REPETH,0.04985,0.04985,0.04955,0.04984,0.2428,0.01205
2019-08-06 08-AM,REPETH,0.0489,0.04985,0.0489,0.04985,0.1729,0.008576
2019-08-06 07-AM,REPETH,0.04905,0.04905,0.0489,0.0489,4.671,0.2284
