Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2019-08-07,REPETH,0.0489,0.0489,0.0489,0.0489,0.0,0.0
2019-08-06,REPETH,0.05089,0.05089,0.04784,0.0489,253.07,12.32
2019-08-05,REPETH,0.0485,0.05757,0.04805,0.05089,759.23,40.93
2019-08-04,REPETH,0.05048,0.05048,0.0485,0.0485,1134.24,56.23
2019-08-03,REPETH,0.05091,0.05095,0.04958,0.05048,1033.24,51.26
2019-08-02,REPETH,0.051,0.052,0.05048,0.05091,106.31,5.416
2019-08-01,REPETH,0.05296,0.054,0.051,0.051,454.61,23.75
2019-07-31,REPETH,0.05555,0.05605,0.0523,0.05296,36.64,2.009
2019-07-30,REPETH,0.05256,0.05555,0.05256,0.05555,249.34,13.71
2019-07-29,REPETH,0.05279,0.05279,0.05256,0.05256,31.91,1.679
2019-07-28,REPETH,0.05309,0.05378,0.05279,0.05279,14.87,0.7969
2019-07-27,REPETH,0.05254,0.054,0.05254,0.05309,18.47,0.981
2019-07-26,REPETH,0.05246,0.05338,0.05246,0.05254,100.58,5.352
2019-07-25,REPETH,0.05424,0.05451,0.05246,0.05246,643.94,34.73
2019-07-24,REPETH,0.05543,0.05666,0.0535,0.05424,1298.52,70.15
2019-07-23,REPETH,0.05555,0.05726,0.055,0.05543,19.78,1.1
2019-07-22,REPETH,0.05725,0.0575,0.05555,0.05555,313.4,17.91
2019-07-21,REPETH,0.056,0.05725,0.056,0.05725,13046.66,734.6
2019-07-20,REPETH,0.05644,0.05646,0.055,0.056,7741.0,431.59
2019-07-19,REPETH,0.05338,0.057,0.05338,0.05644,6372.82,350.48
2019-07-18,REPETH,0.05338,0.05339,0.05254,0.05254,32.07,1.703
2019-07-17,REPETH,0.05424,0.05505,0.0517,0.05338,330.92,17.35
2019-07-16,REPETH,0.05601,0.05735,0.05212,0.05424,641.05,34.96
2019-07-15,REPETH,0.05863,0.0615,0.05381,0.05601,1606.78,91.6
2019-07-14,REPETH,0.05467,0.0595,0.05449,0.05863,191.09,10.96
2019-07-13,REPETH,0.0558,0.0575,0.05399,0.05467,133.88,7.544
2019-07-12,REPETH,0.05254,0.056,0.0519,0.0558,297.96,15.99
2019-07-11,REPETH,0.05254,0.0575,0.05182,0.05254,659.4,36.1
2019-07-10,REPETH,0.05323,0.05516,0.05048,0.05254,394.56,21.42
2019-07-09,REPETH,0.0466,0.0575,0.0465,0.05323,881.58,46.25
2019-07-08,REPETH,0.04774,0.04851,0.0466,0.0466,254.6,12.07
2019-07-07,REPETH,0.0497,0.05033,0.04774,0.04774,130.07,6.391
2019-07-06,REPETH,0.04951,0.0515,0.0488,0.0497,247.68,12.45
2019-07-05,REPETH,0.05051,0.05065,0.04837,0.04951,59.67,2.943
2019-07-04,REPETH,0.04851,0.0515,0.048,0.05051,99.59,5.012
2019-07-03,REPETH,0.05101,0.05152,0.04827,0.04851,287.7,14.33
2019-07-02,REPETH,0.0515,0.05283,0.051,0.05101,120.28,6.205
2019-07-01,REPETH,0.05444,0.05444,0.0515,0.0515,181.19,9.414
2019-06-30,REPETH,0.0525,0.055,0.0525,0.05444,41.08,2.226
2019-06-29,REPETH,0.05527,0.05527,0.0525,0.0525,157.1,8.456
