Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume BTC
2019-08-07 03-AM,XEMBTC,5.51e-06,5.51e-06,5.51e-06,5.51e-06,0.0,0.0
2019-08-07 02-AM,XEMBTC,5.49e-06,5.53e-06,5.49e-06,5.51e-06,18119.81,0.1
2019-08-07 01-AM,XEMBTC,5.53e-06,5.53e-06,5.49e-06,5.49e-06,85419.02,0.4698
2019-08-07 12-AM,XEMBTC,5.53e-06,5.55e-06,5.53e-06,5.53e-06,172883.9,0.9572
2019-08-06 11-PM,XEMBTC,5.5e-06,5.53e-06,5.5e-06,5.53e-06,2170.88,0.012
2019-08-06 10-PM,XEMBTC,5.47e-06,5.53e-06,5.47e-06,5.5e-06,69562.75,0.3807
2019-08-06 09-PM,XEMBTC,5.41e-06,5.49e-06,5.41e-06,5.47e-06,113327.51,0.6164
2019-08-06 08-PM,XEMBTC,5.42e-06,5.42e-06,5.41e-06,5.41e-06,5562.58,0.03013
2019-08-06 07-PM,XEMBTC,5.44e-06,5.44e-06,5.42e-06,5.42e-06,3305.9,0.01795
2019-08-06 06-PM,XEMBTC,5.41e-06,5.44e-06,5.41e-06,5.44e-06,7110.65,0.03867
2019-08-06 05-PM,XEMBTC,5.44e-06,5.44e-06,5.41e-06,5.41e-06,25036.34,0.1354
2019-08-06 04-PM,XEMBTC,5.42e-06,5.44e-06,5.41e-06,5.44e-06,76148.01,0.4139
2019-08-06 03-PM,XEMBTC,5.45e-06,5.45e-06,5.42e-06,5.42e-06,31915.26,0.1736
2019-08-06 02-PM,XEMBTC,5.46e-06,5.46e-06,5.45e-06,5.45e-06,26579.52,0.145
2019-08-06 01-PM,XEMBTC,5.53e-06,5.53e-06,5.46e-06,5.46e-06,64271.0,0.3528
2019-08-06 12-PM,XEMBTC,5.53e-06,5.56e-06,5.53e-06,5.53e-06,24152.66,0.134
2019-08-06 11-AM,XEMBTC,5.5e-06,5.61e-06,5.5e-06,5.53e-06,324381.88,1.815
2019-08-06 10-AM,XEMBTC,5.29e-06,5.5e-06,5.29e-06,5.5e-06,216495.31,1.156
2019-08-06 09-AM,XEMBTC,5.29e-06,5.29e-06,5.26e-06,5.29e-06,94.17,0.000496
2019-08-06 08-AM,XEMBTC,5.28e-06,5.29e-06,5.25e-06,5.29e-06,53942.18,0.2837
2019-08-06 07-AM,XEMBTC,5.32e-06,5.33e-06,5.27e-06,5.28e-06,2910.54,0.0154
2019-08-06 06-AM,XEMBTC,5.39e-06,5.39e-06,5.32e-06,5.32e-06,26840.42,0.1438
2019-08-06 05-AM,XEMBTC,5.41e-06,5.41e-06,5.38e-06,5.39e-06,2900.77,0.01562
2019-08-06 04-AM,XEMBTC,5.42e-06,5.42e-06,5.41e-06,5.41e-06,400.0,0.002164
2019-08-06 03-AM,XEMBTC,5.39e-06,5.42e-06,5.39e-06,5.42e-06,23649.6,0.128
2019-08-06 02-AM,XEMBTC,5.39e-06,5.39e-06,5.39e-06,5.39e-06,2372.92,0.01279
2019-08-06 01-AM,XEMBTC,5.43e-06,5.43e-06,5.36e-06,5.39e-06,147417.4,0.7916
2019-08-06 12-AM,XEMBTC,5.41e-06,5.43e-06,5.38e-06,5.43e-06,21444.34,0.1159
2019-08-05 11-PM,XEMBTC,5.48e-06,5.48e-06,5.41e-06,5.41e-06,96792.63,0.5242
2019-08-05 10-PM,XEMBTC,5.47e-06,5.48e-06,5.47e-06,5.48e-06,5233.62,0.02868
2019-08-05 09-PM,XEMBTC,5.43e-06,5.48e-06,5.43e-06,5.47e-06,18267.86,0.09985
2019-08-05 08-PM,XEMBTC,5.43e-06,5.44e-06,5.43e-06,5.43e-06,6770.29,0.03676
2019-08-05 07-PM,XEMBTC,5.44e-06,5.46e-06,5.43e-06,5.43e-06,2174.83,0.01183
2019-08-05 06-PM,XEMBTC,5.51e-06,5.51e-06,5.43e-06,5.44e-06,18797.84,0.1026
2019-08-05 05-PM,XEMBTC,5.5e-06,5.52e-06,5.39e-06,5.51e-06,566654.96,3.076
2019-08-05 04-PM,XEMBTC,5.53e-06,5.53e-06,5.47e-06,5.5e-06,13801.12,0.07559
2019-08-05 03-PM,XEMBTC,5.5e-06,5.53e-06,5.47e-06,5.53e-06,5163.84,0.02847
2019-08-05 02-PM,XEMBTC,5.53e-06,5.53e-06,5.5e-06,5.5e-06,48417.1,0.2668
2019-08-05 01-PM,XEMBTC,5.6e-06,5.61e-06,5.53e-06,5.53e-06,13089.64,0.07305
2019-08-05 12-PM,XEMBTC,5.62e-06,5.65e-06,5.6e-06,5.6e-06,10187.07,0.05716
2019-08-05 11-AM,XEMBTC,5.57e-06,5.65e-06,5.57e-06,5.62e-06,1152.68,0.006475
2019-08-05 10-AM,XEMBTC,5.53e-06,5.59e-06,5.53e-06,5.57e-06,9421.14,0.0524
2019-08-05 09-AM,XEMBTC,5.53e-06,5.55e-06,5.53e-06,5.53e-06,1582.02,0.008757
2019-08-05 08-AM,XEMBTC,5.51e-06,5.53e-06,5.51e-06,5.53e-06,676.4,0.003737
2019-08-05 07-AM,XEMBTC,5.62e-06,5.62e-06,5.47e-06,5.51e-06,38139.69,0.2094
2019-08-05 06-AM,XEMBTC,5.59e-06,5.62e-06,5.59e-06,5.62e-06,454.53,0.002554
2019-08-05 05-AM,XEMBTC,5.57e-06,5.59e-06,5.57e-06,5.59e-06,235.28,0.001315
2019-08-05 04-AM,XEMBTC,5.64e-06,5.64e-06,5.57e-06,5.57e-06,3395.86,0.01901
2019-08-05 03-AM,XEMBTC,5.63e-06,5.64e-06,5.6e-06,5.64e-06,5862.1,0.03291
2019-08-05 02-AM,XEMBTC,5.7e-06,5.7e-06,5.63e-06,5.63e-06,58539.62,0.3307
2019-08-05 01-AM,XEMBTC,5.83e-06,5.83e-06,5.7e-06,5.7e-06,5935.18,0.03394
2019-08-05 12-AM,XEMBTC,5.8e-06,5.83e-06,5.8e-06,5.83e-06,36421.31,0.2122
2019-08-04 11-PM,XEMBTC,5.72e-06,5.8e-06,5.71e-06,5.8e-06,16226.47,0.09341
2019-08-04 10-PM,XEMBTC,5.74e-06,5.75e-06,5.72e-06,5.72e-06,10126.0,0.05792
2019-08-04 09-PM,XEMBTC,5.71e-06,5.74e-06,5.71e-06,5.74e-06,506.23,0.002894
2019-08-04 08-PM,XEMBTC,5.71e-06,5.73e-06,5.7e-06,5.71e-06,3351.6,0.01912
2019-08-04 07-PM,XEMBTC,5.76e-06,5.76e-06,5.71e-06,5.71e-06,246.25,0.001409
2019-08-04 06-PM,XEMBTC,5.71e-06,5.76e-06,5.71e-06,5.76e-06,5469.78,0.03139
2019-08-04 05-PM,XEMBTC,5.74e-06,5.75e-06,5.71e-06,5.71e-06,20020.18,0.1144
2019-08-04 04-PM,XEMBTC,5.72e-06,5.74e-06,5.72e-06,5.74e-06,4237.43,0.02425
2019-08-04 03-PM,XEMBTC,5.83e-06,5.83e-06,5.72e-06,5.72e-06,36392.94,0.2094
2019-08-04 02-PM,XEMBTC,5.81e-06,5.83e-06,5.81e-06,5.83e-06,188.68,0.0011
2019-08-04 01-PM,XEMBTC,5.83e-06,5.85e-06,5.81e-06,5.81e-06,3523.9,0.02054
2019-08-04 12-PM,XEMBTC,5.83e-06,5.83e-06,5.81e-06,5.83e-06,685.09,0.003987
2019-08-04 11-AM,XEMBTC,5.83e-06,5.83e-06,5.82e-06,5.83e-06,3642.69,0.02121
2019-08-04 10-AM,XEMBTC,5.83e-06,5.83e-06,5.83e-06,5.83e-06,0.0,0.0
2019-08-04 09-AM,XEMBTC,5.8e-06,5.83e-06,5.8e-06,5.83e-06,38.97,0.0002268
2019-08-04 08-AM,XEMBTC,5.8e-06,5.82e-06,5.8e-06,5.8e-06,5264.05,0.03054
2019-08-04 07-AM,XEMBTC,5.86e-06,5.86e-06,5.8e-06,5.8e-06,4522.72,0.02624
2019-08-04 06-AM,XEMBTC,5.86e-06,5.87e-06,5.81e-06,5.86e-06,194072.29,1.137
2019-08-04 05-AM,XEMBTC,5.88e-06,5.89e-06,5.86e-06,5.86e-06,27214.81,0.1595
2019-08-04 04-AM,XEMBTC,5.86e-06,5.88e-06,5.86e-06,5.88e-06,31242.97,0.1832
2019-08-04 03-AM,XEMBTC,5.88e-06,5.88e-06,5.86e-06,5.86e-06,670.97,0.003932
2019-08-04 02-AM,XEMBTC,5.86e-06,5.88e-06,5.86e-06,5.88e-06,745.7,0.004372
2019-08-04 01-AM,XEMBTC,5.88e-06,5.88e-06,5.86e-06,5.86e-06,18.68,0.0001094
2019-08-04 12-AM,XEMBTC,5.88e-06,5.88e-06,5.88e-06,5.88e-06,0.0003742,0.0
2019-08-03 11-PM,XEMBTC,5.89e-06,5.89e-06,5.88e-06,5.88e-06,20316.69,0.1195
2019-08-03 10-PM,XEMBTC,5.89e-06,5.89e-06,5.89e-06,5.89e-06,0.0,0.0
2019-08-03 09-PM,XEMBTC,5.87e-06,5.89e-06,5.87e-06,5.89e-06,696.0,0.004089
2019-08-03 08-PM,XEMBTC,5.83e-06,5.87e-06,5.83e-06,5.87e-06,6257.07,0.03667
2019-08-03 07-PM,XEMBTC,5.89e-06,5.89e-06,5.83e-06,5.83e-06,21266.55,0.1245
2019-08-03 06-PM,XEMBTC,5.89e-06,5.89e-06,5.89e-06,5.89e-06,0.0,0.0
2019-08-03 05-PM,XEMBTC,5.89e-06,5.89e-06,5.89e-06,5.89e-06,0.0,0.0
2019-08-03 04-PM,XEMBTC,5.88e-06,5.89e-06,5.88e-06,5.89e-06,1156.86,0.006814
2019-08-03 03-PM,XEMBTC,5.87e-06,5.88e-06,5.85e-06,5.88e-06,22699.19,0.1329
2019-08-03 02-PM,XEMBTC,5.87e-06,5.87e-06,5.87e-06,5.87e-06,463.02,0.002718
