Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume BTC
2019-08-07,XEMBTC,5.53e-06,5.55e-06,5.49e-06,5.51e-06,276322.92,1.526
2019-08-06,XEMBTC,5.41e-06,5.61e-06,5.25e-06,5.53e-06,1271992.59,6.931
2019-08-05,XEMBTC,5.8e-06,5.83e-06,5.39e-06,5.41e-06,967166.59,5.295
2019-08-04,XEMBTC,5.88e-06,5.89e-06,5.7e-06,5.8e-06,368408.4,2.146
2019-08-03,XEMBTC,6.05e-06,6.05e-06,5.79e-06,5.88e-06,706928.99,4.137
2019-08-02,XEMBTC,6.26e-06,6.26e-06,6.0e-06,6.05e-06,660746.95,4.042
2019-08-01,XEMBTC,6.54e-06,6.54e-06,6.16e-06,6.26e-06,156779.46,0.9891
2019-07-31,XEMBTC,6.76e-06,6.76e-06,6.43e-06,6.54e-06,367603.17,2.433
2019-07-30,XEMBTC,6.61e-06,6.76e-06,6.6e-06,6.76e-06,119884.5,0.8007
2019-07-29,XEMBTC,6.7e-06,6.71e-06,6.58e-06,6.61e-06,207796.7,1.377
2019-07-28,XEMBTC,6.73e-06,6.74e-06,6.6e-06,6.7e-06,127372.0,0.847
2019-07-27,XEMBTC,6.74e-06,6.84e-06,6.54e-06,6.73e-06,296943.09,1.975
2019-07-26,XEMBTC,6.66e-06,6.8e-06,6.62e-06,6.74e-06,322399.22,2.164
2019-07-25,XEMBTC,6.77e-06,6.83e-06,6.58e-06,6.66e-06,645898.41,4.309
2019-07-24,XEMBTC,6.46e-06,7.02e-06,6.41e-06,6.77e-06,3293808.96,22.63
2019-07-23,XEMBTC,6.54e-06,6.76e-06,6.4e-06,6.46e-06,303674.75,1.997
2019-07-22,XEMBTC,6.38e-06,6.55e-06,6.34e-06,6.54e-06,328656.58,2.115
2019-07-21,XEMBTC,6.46e-06,6.53e-06,6.33e-06,6.38e-06,703289.59,4.522
2019-07-20,XEMBTC,6.37e-06,6.6e-06,6.34e-06,6.46e-06,213452.77,1.377
2019-07-19,XEMBTC,6.53e-06,6.54e-06,6.29e-06,6.37e-06,155783.21,0.9912
2019-07-18,XEMBTC,6.6e-06,6.61e-06,6.51e-06,6.51e-06,7498.36,0.0494
2019-07-17,XEMBTC,6.37e-06,6.8e-06,6.37e-06,6.6e-06,1170597.62,7.687
2019-07-16,XEMBTC,6.61e-06,6.82e-06,6.1e-06,6.37e-06,936202.47,5.945
2019-07-15,XEMBTC,6.07e-06,6.64e-06,5.87e-06,6.61e-06,2606307.12,15.95
2019-07-14,XEMBTC,6.48e-06,6.5e-06,5.99e-06,6.07e-06,612231.66,3.789
2019-07-13,XEMBTC,6.6e-06,6.68e-06,6.44e-06,6.48e-06,236712.51,1.546
2019-07-12,XEMBTC,6.77e-06,6.82e-06,6.48e-06,6.6e-06,377437.14,2.51
2019-07-11,XEMBTC,6.8e-06,7.08e-06,6.68e-06,6.77e-06,1029632.83,7.035
2019-07-10,XEMBTC,7.16e-06,7.16e-06,6.64e-06,6.8e-06,2114477.26,14.3
2019-07-09,XEMBTC,7.44e-06,7.58e-06,7.07e-06,7.16e-06,741946.49,5.372
2019-07-08,XEMBTC,7.9e-06,8.03e-06,7.38e-06,7.44e-06,815590.75,6.297
2019-07-07,XEMBTC,7.95e-06,8.0e-06,7.86e-06,7.9e-06,119124.06,0.943
2019-07-06,XEMBTC,8.15e-06,8.15e-06,7.81e-06,7.95e-06,449761.31,3.545
2019-07-05,XEMBTC,8.03e-06,8.2e-06,7.97e-06,8.15e-06,508975.97,4.114
2019-07-04,XEMBTC,7.69e-06,8.12e-06,7.5e-06,8.03e-06,1526151.18,11.79
2019-07-03,XEMBTC,8.24e-06,8.24e-06,7.64e-06,7.69e-06,502243.89,3.996
2019-07-02,XEMBTC,8.68e-06,8.79e-06,8.17e-06,8.24e-06,520770.69,4.422
2019-07-01,XEMBTC,8.4e-06,8.77e-06,8.32e-06,8.68e-06,988618.95,8.459
2019-06-30,XEMBTC,8.24e-06,8.54e-06,8.14e-06,8.4e-06,958557.6,7.975
2019-06-29,XEMBTC,7.83e-06,8.24e-06,7.82e-06,8.24e-06,734659.06,5.984
2019-06-28,XEMBTC,7.98e-06,8.61e-06,7.74e-06,7.83e-06,1191626.88,9.747
2019-06-27,XEMBTC,7.63e-06,8.14e-06,7.49e-06,7.98e-06,2027045.27,15.72
2019-06-26,XEMBTC,7.84e-06,8.49e-06,7.46e-06,7.63e-06,4489298.75,35.46
2019-06-25,XEMBTC,8.33e-06,8.38e-06,7.73e-06,7.84e-06,1780163.48,14.24
2019-06-24,XEMBTC,8.35e-06,8.46e-06,8.14e-06,8.33e-06,1200063.03,9.95
2019-06-23,XEMBTC,8.56e-06,8.88e-06,8.29e-06,8.35e-06,777374.95,6.642
2019-06-22,XEMBTC,8.68e-06,8.82e-06,8.1e-06,8.56e-06,1455637.56,12.21
2019-06-21,XEMBTC,9.0e-06,9.0e-06,8.68e-06,8.68e-06,542852.66,4.809
2019-06-20,XEMBTC,9.4e-06,9.41e-06,8.92e-06,9.0e-06,568380.94,5.17
2019-06-19,XEMBTC,9.48e-06,9.59e-06,9.36e-06,9.4e-06,185917.08,1.764
2019-06-18,XEMBTC,9.69e-06,9.69e-06,9.38e-06,9.48e-06,756326.21,7.174
2019-06-17,XEMBTC,9.72e-06,1.005e-05,9.59e-06,9.69e-06,1291262.2,12.59
