Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZRX,Volume ETH
2019-08-07 03-AM,ZRXETH,0.0008846,0.0008846,0.0008762,0.0008762,0.0,0.0
2019-08-07 02-AM,ZRXETH,0.0008846,0.0008846,0.0008846,0.0008846,0.0,0.0
2019-08-07 01-AM,ZRXETH,0.0008846,0.0008846,0.0008846,0.0008846,0.0,0.0
2019-08-07 12-AM,ZRXETH,0.00088,0.0008846,0.00088,0.0008846,14.5,0.01281
2019-08-06 11-PM,ZRXETH,0.0008867,0.0008914,0.0008749,0.00088,1431.25,1.256
2019-08-06 10-PM,ZRXETH,0.0008921,0.0008921,0.0008794,0.0008867,59.96,0.05312
2019-08-06 09-PM,ZRXETH,0.0008876,0.0008921,0.000886,0.0008921,3286.76,2.913
2019-08-06 08-PM,ZRXETH,0.0008822,0.0008876,0.0008822,0.0008876,19.33,0.01716
2019-08-06 07-PM,ZRXETH,0.0008945,0.0008945,0.0008822,0.0008822,109.34,0.09654
2019-08-06 06-PM,ZRXETH,0.0008897,0.0008945,0.0008886,0.0008945,77.32,0.06884
2019-08-06 05-PM,ZRXETH,0.0008939,0.0008939,0.0008869,0.0008897,228.96,0.2037
2019-08-06 04-PM,ZRXETH,0.0009,0.0009,0.0008939,0.0008939,79.77,0.07135
2019-08-06 03-PM,ZRXETH,0.0009,0.0009,0.0009,0.0009,0.0,0.0
2019-08-06 02-PM,ZRXETH,0.0009,0.0009,0.0009,0.0009,0.0,0.0
2019-08-06 01-PM,ZRXETH,0.0009042,0.0009042,0.0009,0.0009,35.53,0.03198
2019-08-06 12-PM,ZRXETH,0.0008997,0.0009042,0.0008997,0.0009042,10.35,0.009362
2019-08-06 11-AM,ZRXETH,0.0008997,0.0008997,0.0008997,0.0008997,0.0,0.0
2019-08-06 10-AM,ZRXETH,0.0009,0.0009,0.0008911,0.0008997,3692.37,3.299
2019-08-06 09-AM,ZRXETH,0.0009024,0.0009048,0.0009,0.0009,31621.46,28.46
2019-08-06 08-AM,ZRXETH,0.0009007,0.0009024,0.0009,0.0009024,1530.58,1.381
2019-08-06 07-AM,ZRXETH,0.0009024,0.0009024,0.0009,0.0009007,191464.36,172.32
2019-08-06 06-AM,ZRXETH,0.0009241,0.0009241,0.0009024,0.0009024,90.93,0.08253
2019-08-06 05-AM,ZRXETH,0.0009256,0.0009256,0.0009241,0.0009241,55.21,0.0511
2019-08-06 04-AM,ZRXETH,0.000918,0.0009256,0.000918,0.0009256,8.542,0.007871
2019-08-06 03-AM,ZRXETH,0.0009169,0.000918,0.0009161,0.000918,28.62,0.02625
2019-08-06 02-AM,ZRXETH,0.0009271,0.0009271,0.0009169,0.0009169,512.11,0.4717
2019-08-06 01-AM,ZRXETH,0.0009135,0.0009271,0.0009135,0.0009271,577.7,0.5354
2019-08-06 12-AM,ZRXETH,0.000912,0.0009135,0.0009097,0.0009135,30.16,0.02751
2019-08-05 11-PM,ZRXETH,0.0009187,0.0009222,0.000912,0.000912,4121.35,3.785
2019-08-05 10-PM,ZRXETH,0.0009187,0.0009187,0.0009187,0.0009187,0.0,0.0
2019-08-05 09-PM,ZRXETH,0.0009158,0.0009187,0.0009158,0.0009187,1.375,0.001263
2019-08-05 08-PM,ZRXETH,0.000914,0.0009158,0.000914,0.0009158,0.764,0.0006997
2019-08-05 07-PM,ZRXETH,0.000926,0.000926,0.000914,0.000914,1078.01,0.9869
2019-08-05 06-PM,ZRXETH,0.0009203,0.0009291,0.0009203,0.000926,2787.31,2.584
2019-08-05 05-PM,ZRXETH,0.0009143,0.00094,0.0009143,0.0009203,3246.89,2.99
2019-08-05 04-PM,ZRXETH,0.000926,0.000926,0.000914,0.0009143,2178.2,1.992
2019-08-05 03-PM,ZRXETH,0.0009366,0.0009373,0.000926,0.000926,618.03,0.5788
2019-08-05 02-PM,ZRXETH,0.0009305,0.0009441,0.0009305,0.0009366,17.21,0.01617
2019-08-05 01-PM,ZRXETH,0.0009302,0.0009305,0.0009283,0.0009305,7.247,0.006735
2019-08-05 12-PM,ZRXETH,0.000923,0.0009308,0.000923,0.0009302,939.3,0.8742
2019-08-05 11-AM,ZRXETH,0.0009213,0.000923,0.0009213,0.000923,4.781,0.004412
2019-08-05 10-AM,ZRXETH,0.0009379,0.0009379,0.00092,0.0009213,790.3,0.7342
2019-08-05 09-AM,ZRXETH,0.0009362,0.0009379,0.0009362,0.0009379,231.17,0.2168
2019-08-05 08-AM,ZRXETH,0.0009379,0.0009379,0.0009362,0.0009362,0.705,0.00066
2019-08-05 07-AM,ZRXETH,0.0009379,0.0009389,0.0009379,0.0009379,494.83,0.4641
2019-08-05 06-AM,ZRXETH,0.0009379,0.0009379,0.0009379,0.0009379,0.0,0.0
2019-08-05 05-AM,ZRXETH,0.0009381,0.0009381,0.0009379,0.0009379,2.349,0.002203
2019-08-05 04-AM,ZRXETH,0.0009366,0.0009381,0.0009362,0.0009381,916.97,0.8588
2019-08-05 03-AM,ZRXETH,0.0009453,0.0009453,0.0009366,0.0009366,701.72,0.6602
2019-08-05 02-AM,ZRXETH,0.0009453,0.0009453,0.0009453,0.0009453,27.38,0.02589
2019-08-05 01-AM,ZRXETH,0.0009466,0.0009495,0.0009451,0.0009453,3709.81,3.506
2019-08-05 12-AM,ZRXETH,0.0009577,0.0009577,0.0009466,0.0009466,1008.57,0.9577
2019-08-04 11-PM,ZRXETH,0.0009577,0.0009577,0.0009577,0.0009577,0.0,0.0
2019-08-04 10-PM,ZRXETH,0.0009587,0.0009587,0.0009577,0.0009577,0.71,0.00068
2019-08-04 09-PM,ZRXETH,0.0009587,0.0009587,0.0009578,0.0009587,4.594,0.004403
2019-08-04 08-PM,ZRXETH,0.0009642,0.0009642,0.0009587,0.0009587,10.08,0.009667
2019-08-04 07-PM,ZRXETH,0.0009642,0.0009642,0.0009642,0.0009642,0.0,0.0
2019-08-04 06-PM,ZRXETH,0.0009642,0.0009642,0.0009642,0.0009642,0.0,0.0
2019-08-04 05-PM,ZRXETH,0.0009624,0.0009642,0.0009624,0.0009642,4.991,0.004813
2019-08-04 04-PM,ZRXETH,0.0009601,0.0009624,0.0009588,0.0009624,223.0,0.2139
2019-08-04 03-PM,ZRXETH,0.0009694,0.0009694,0.0009601,0.0009601,95.63,0.09232
2019-08-04 02-PM,ZRXETH,0.0009716,0.0009716,0.0009694,0.0009694,454.81,0.4409
2019-08-04 01-PM,ZRXETH,0.0009716,0.0009716,0.0009716,0.0009716,0.0,0.0
2019-08-04 12-PM,ZRXETH,0.0009723,0.0009723,0.0009716,0.0009716,456.95,0.4441
2019-08-04 11-AM,ZRXETH,0.0009723,0.0009723,0.0009723,0.0009723,0.0,0.0
2019-08-04 10-AM,ZRXETH,0.0009723,0.0009723,0.0009723,0.0009723,0.0,0.0
2019-08-04 09-AM,ZRXETH,0.0009741,0.0009741,0.0009723,0.0009723,5.0,0.004861
2019-08-04 08-AM,ZRXETH,0.0009741,0.0009741,0.0009741,0.0009741,0.0,0.0
2019-08-04 07-AM,ZRXETH,0.0009741,0.0009741,0.0009741,0.0009741,0.0,0.0
2019-08-04 06-AM,ZRXETH,0.0009721,0.0009741,0.0009695,0.0009741,9.946,0.009675
