Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume CAD
2019-04-27,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-26,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-25,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-24,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-23,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-22,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-21,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-20,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-19,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-18,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-17,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-16,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-15,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-14,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-13,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-12,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-11,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-10,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-09,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-08,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-07,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-06,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-05,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-04,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-03,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-02,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-04-01,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-31,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-30,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-29,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-28,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-27,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-26,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-25,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-24,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-23,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-22,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-21,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-20,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-19,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-18,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-17,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-16,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-15,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-14,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-13,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-12,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-11,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-10,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-09,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-08,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-07,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-06,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-05,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-04,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-03,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-02,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-03-01,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-28,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-27,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-26,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-25,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-24,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-23,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-22,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-21,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-20,BTCCAD,5300,5300,5300,5300,0.0,0.0
2019-02-19,BTCCAD,5300,5300,5300,5300,0.0,0.0
