Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume SGD
2019-07-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-07-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-07-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-06-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-31,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-14,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-13,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-12,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-11,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-10,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-09,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-08,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-07,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-06,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-05,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-04,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-03,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-02,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-05-01,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-30,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-29,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-28,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-27,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-26,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-25,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-24,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-23,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-22,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-21,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-20,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-19,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-18,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-17,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-16,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
2019-04-15,ETHSGD,147.25,147.25,147.25,147.25,0.0,0.0
