Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2019-07-03,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-07-02,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-07-01,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-30,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-29,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-28,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-27,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-26,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-25,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-24,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-23,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-22,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-21,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-20,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-19,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-18,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-17,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-16,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-15,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-14,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-13,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-12,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-11,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-10,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-09,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-08,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-07,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-06,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-05,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-04,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-03,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-02,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-06-01,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-31,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-30,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-29,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-28,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-27,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-26,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-25,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-24,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-23,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-22,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-21,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-20,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-19,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-18,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-17,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-16,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-15,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-14,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-13,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-12,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-11,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-10,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-09,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-08,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-07,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-06,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-05,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-04,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-03,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-02,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-05-01,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-30,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-29,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-28,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-27,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-26,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-25,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-24,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-23,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-22,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-21,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-20,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-19,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-18,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-17,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-16,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-15,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-14,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-13,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-12,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-11,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-10,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-09,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-08,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-07,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-06,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-05,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-04,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-03,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-02,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-04-01,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-31,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-30,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-29,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-28,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-27,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-26,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-25,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-24,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-23,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-22,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-21,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-20,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-19,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-18,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-17,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-16,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-15,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-14,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-13,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-12,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-11,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-10,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-09,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-08,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-07,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-06,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-05,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-04,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-03,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-02,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-03-01,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-28,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-27,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-26,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-25,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-24,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-23,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-22,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-21,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-20,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-19,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-18,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-17,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-16,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-15,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-14,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-13,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-12,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
2019-02-11,EOSBTC,0.001,0.001,0.001,0.001,0.0,0.0
