Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-07-03 11-AM,ETHBTC,0.02618,0.02619,0.02601,0.02605,2.22,0.05784
2019-07-03 10-AM,ETHBTC,0.02643,0.02656,0.02618,0.02618,5.144,0.1361
2019-07-03 09-AM,ETHBTC,0.02608,0.02643,0.02608,0.02643,0.7817,0.02048
2019-07-03 08-AM,ETHBTC,0.02608,0.02619,0.026,0.02608,1.201,0.0313
2019-07-03 07-AM,ETHBTC,0.026,0.02613,0.02595,0.02608,5.686,0.1482
2019-07-03 06-AM,ETHBTC,0.02627,0.02631,0.02599,0.026,5.731,0.1495
2019-07-03 05-AM,ETHBTC,0.0261,0.0263,0.02603,0.02627,4.588,0.1201
2019-07-03 04-AM,ETHBTC,0.02626,0.02633,0.02593,0.0261,4.52,0.1185
2019-07-03 03-AM,ETHBTC,0.0262,0.02628,0.02617,0.02626,4.65,0.1218
2019-07-03 02-AM,ETHBTC,0.02619,0.02634,0.02609,0.0262,4.426,0.116
2019-07-03 01-AM,ETHBTC,0.02692,0.02692,0.02618,0.02619,32.36,0.859
2019-07-03 12-AM,ETHBTC,0.02689,0.02698,0.02689,0.02692,2.94,0.07922
2019-07-02 11-PM,ETHBTC,0.02697,0.02703,0.02676,0.02689,5.347,0.1439
2019-07-02 10-PM,ETHBTC,0.02662,0.02708,0.02662,0.02697,5.855,0.1577
2019-07-02 09-PM,ETHBTC,0.02675,0.02677,0.02649,0.02662,5.751,0.1531
2019-07-02 08-PM,ETHBTC,0.0269,0.02695,0.02667,0.02675,6.306,0.1689
2019-07-02 07-PM,ETHBTC,0.02702,0.02712,0.02689,0.0269,4.295,0.1159
2019-07-02 06-PM,ETHBTC,0.02734,0.02734,0.02695,0.02702,31.97,0.868
2019-07-02 05-PM,ETHBTC,0.02731,0.02738,0.02715,0.02734,4.863,0.1328
2019-07-02 04-PM,ETHBTC,0.02722,0.02739,0.0272,0.02731,5.7,0.1557
2019-07-02 03-PM,ETHBTC,0.02781,0.02796,0.02722,0.02722,12.29,0.3405
2019-07-02 02-PM,ETHBTC,0.02789,0.02795,0.02781,0.02781,3.199,0.08928
2019-07-02 01-PM,ETHBTC,0.02764,0.02789,0.02757,0.02789,12.49,0.3466
2019-07-02 12-PM,ETHBTC,0.02781,0.02804,0.02753,0.02764,37.62,1.048
2019-07-02 11-AM,ETHBTC,0.02757,0.02781,0.02755,0.02781,43.21,1.192
2019-07-02 10-AM,ETHBTC,0.02762,0.02777,0.02737,0.02757,19.96,0.5495
2019-07-02 09-AM,ETHBTC,0.02798,0.02816,0.02753,0.02762,28.85,0.8052
2019-07-02 08-AM,ETHBTC,0.0282,0.02831,0.02793,0.02798,28.71,0.8072
2019-07-02 07-AM,ETHBTC,0.02801,0.02833,0.02785,0.0282,29.04,0.8181
2019-07-02 06-AM,ETHBTC,0.02812,0.0282,0.02793,0.02801,29.41,0.8258
2019-07-02 05-AM,ETHBTC,0.02789,0.02838,0.02789,0.02812,28.39,0.797
2019-07-02 04-AM,ETHBTC,0.02789,0.02792,0.02774,0.02789,32.44,0.9043
2019-07-02 03-AM,ETHBTC,0.02799,0.02799,0.02779,0.02789,27.2,0.7587
2019-07-02 02-AM,ETHBTC,0.02792,0.02809,0.02772,0.02799,31.47,0.8802
2019-07-02 01-AM,ETHBTC,0.0278,0.028,0.02768,0.02792,30.61,0.8523
2019-07-02 12-AM,ETHBTC,0.0277,0.02799,0.02766,0.0278,28.0,0.7782
2019-07-01 11-PM,ETHBTC,0.02758,0.02777,0.02745,0.0277,29.3,0.8082
2019-07-01 10-PM,ETHBTC,0.02752,0.0277,0.0275,0.02758,28.39,0.784
2019-07-01 09-PM,ETHBTC,0.02764,0.0277,0.02739,0.02752,30.8,0.8493
2019-07-01 08-PM,ETHBTC,0.0277,0.02779,0.02764,0.02764,9.538,0.2642
2019-07-01 07-PM,ETHBTC,0.02752,0.0277,0.02752,0.0277,30.45,0.8412
2019-07-01 06-PM,ETHBTC,0.02764,0.02775,0.0274,0.02752,25.67,0.7088
2019-07-01 05-PM,ETHBTC,0.02754,0.02772,0.02739,0.02764,29.69,0.8177
2019-07-01 04-PM,ETHBTC,0.0273,0.02791,0.0273,0.02754,23.58,0.6538
2019-07-01 03-PM,ETHBTC,0.02716,0.0273,0.02715,0.0273,31.04,0.845
2019-07-01 02-PM,ETHBTC,0.02714,0.0272,0.02711,0.02716,23.27,0.6315
2019-07-01 01-PM,ETHBTC,0.02687,0.02732,0.0268,0.02714,28.67,0.7764
2019-07-01 12-PM,ETHBTC,0.02702,0.02705,0.02678,0.02687,29.02,0.78
2019-07-01 11-AM,ETHBTC,0.02683,0.02716,0.02672,0.02702,31.38,0.8426
2019-07-01 10-AM,ETHBTC,0.02684,0.02699,0.02678,0.02683,25.73,0.6914
2019-07-01 09-AM,ETHBTC,0.02689,0.02703,0.02674,0.02684,26.15,0.7025
2019-07-01 08-AM,ETHBTC,0.02686,0.02696,0.02674,0.02689,26.0,0.6988
2019-07-01 07-AM,ETHBTC,0.02676,0.02688,0.02674,0.02686,25.46,0.6819
2019-07-01 06-AM,ETHBTC,0.02688,0.02688,0.02673,0.02676,16.48,0.4419
2019-07-01 05-AM,ETHBTC,0.02688,0.027,0.02687,0.02688,24.99,0.6723
2019-07-01 04-AM,ETHBTC,0.02697,0.02702,0.02688,0.02688,24.96,0.6727
2019-07-01 03-AM,ETHBTC,0.02682,0.02726,0.0267,0.02697,26.05,0.7028
2019-07-01 02-AM,ETHBTC,0.02683,0.02693,0.02678,0.02682,7.623,0.2045
2019-07-01 01-AM,ETHBTC,0.027,0.02711,0.02659,0.02683,36.63,0.9797
2019-07-01 12-AM,ETHBTC,0.02693,0.02708,0.02668,0.027,30.41,0.8171
2019-06-30 11-PM,ETHBTC,0.02661,0.02693,0.02655,0.02693,26.56,0.7071
2019-06-30 10-PM,ETHBTC,0.02664,0.02675,0.0265,0.02661,18.64,0.4954
2019-06-30 09-PM,ETHBTC,0.02679,0.02696,0.02654,0.02664,19.69,0.5269
2019-06-30 08-PM,ETHBTC,0.02671,0.02706,0.02661,0.02679,20.41,0.5474
2019-06-30 07-PM,ETHBTC,0.02665,0.02708,0.02664,0.02671,16.22,0.4348
2019-06-30 06-PM,ETHBTC,0.02685,0.02693,0.02655,0.02665,22.6,0.6034
2019-06-30 05-PM,ETHBTC,0.02659,0.02725,0.02659,0.02685,20.38,0.5479
2019-06-30 04-PM,ETHBTC,0.0265,0.0266,0.02645,0.02659,17.22,0.4571
2019-06-30 03-PM,ETHBTC,0.02642,0.02651,0.02629,0.0265,27.15,0.7177
2019-06-30 02-PM,ETHBTC,0.02617,0.02651,0.02609,0.02642,15.23,0.4003
2019-06-30 01-PM,ETHBTC,0.0261,0.02622,0.0261,0.02617,20.06,0.5247
2019-06-30 12-PM,ETHBTC,0.02625,0.02625,0.0259,0.0261,15.56,0.4069
2019-06-30 11-AM,ETHBTC,0.0264,0.02647,0.0261,0.02625,20.72,0.5449
2019-06-30 10-AM,ETHBTC,0.02626,0.02646,0.02618,0.0264,16.08,0.4228
2019-06-30 09-AM,ETHBTC,0.02632,0.02632,0.02626,0.02626,12.33,0.3239
2019-06-30 08-AM,ETHBTC,0.02643,0.02643,0.02622,0.02632,5.589,0.1472
2019-06-30 07-AM,ETHBTC,0.0264,0.02652,0.0264,0.02643,11.52,0.305
2019-06-30 06-AM,ETHBTC,0.02632,0.0264,0.02623,0.0264,6.193,0.1628
2019-06-30 05-AM,ETHBTC,0.02619,0.0264,0.02619,0.02632,2.343,0.06166
2019-06-30 04-AM,ETHBTC,0.0264,0.0264,0.02616,0.02619,13.99,0.3674
2019-06-30 03-AM,ETHBTC,0.02655,0.02666,0.02635,0.0264,28.51,0.7557
2019-06-30 02-AM,ETHBTC,0.02668,0.02669,0.02642,0.02655,24.11,0.6402
2019-06-30 01-AM,ETHBTC,0.02687,0.02693,0.02641,0.02668,24.65,0.6569
2019-06-30 12-AM,ETHBTC,0.02601,0.02712,0.02598,0.02687,12.85,0.342
2019-06-29 11-PM,ETHBTC,0.02597,0.02601,0.02585,0.02601,24.29,0.6306
2019-06-29 10-PM,ETHBTC,0.02575,0.02599,0.02569,0.02597,25.22,0.651
2019-06-29 09-PM,ETHBTC,0.02601,0.02616,0.02568,0.02575,23.73,0.6171
2019-06-29 08-PM,ETHBTC,0.02601,0.02612,0.02594,0.02601,25.61,0.6658
2019-06-29 07-PM,ETHBTC,0.02593,0.02618,0.02584,0.02601,26.64,0.6928
2019-06-29 06-PM,ETHBTC,0.02576,0.02628,0.02576,0.02593,18.36,0.4775
2019-06-29 05-PM,ETHBTC,0.02565,0.02584,0.02565,0.02576,12.64,0.3251
2019-06-29 04-PM,ETHBTC,0.02555,0.02573,0.02533,0.02565,18.56,0.4742
2019-06-29 03-PM,ETHBTC,0.02542,0.02573,0.02541,0.02555,24.93,0.6379
2019-06-29 02-PM,ETHBTC,0.02558,0.02568,0.02528,0.02542,26.35,0.6711
2019-06-29 01-PM,ETHBTC,0.02568,0.02571,0.02536,0.02558,25.93,0.6627
2019-06-29 12-PM,ETHBTC,0.02561,0.02576,0.0256,0.02568,16.38,0.4211
2019-06-29 11-AM,ETHBTC,0.02568,0.02572,0.02555,0.02561,25.72,0.6598
2019-06-29 10-AM,ETHBTC,0.02566,0.02575,0.02554,0.02568,24.21,0.6216
2019-06-29 09-AM,ETHBTC,0.02537,0.02575,0.02536,0.02566,24.08,0.615
2019-06-29 08-AM,ETHBTC,0.02558,0.02562,0.02532,0.02537,24.68,0.6294
2019-06-29 07-AM,ETHBTC,0.02579,0.02581,0.02548,0.02558,25.51,0.6545
2019-06-29 06-AM,ETHBTC,0.02568,0.02584,0.02552,0.02579,44.14,1.134
2019-06-29 05-AM,ETHBTC,0.02574,0.02574,0.02547,0.02568,28.73,0.7353
2019-06-29 04-AM,ETHBTC,0.02553,0.02585,0.02529,0.02574,26.18,0.6672
2019-06-29 03-AM,ETHBTC,0.0254,0.02576,0.02533,0.02553,23.02,0.5875
2019-06-29 02-AM,ETHBTC,0.02508,0.02552,0.02496,0.0254,28.29,0.7101
2019-06-29 01-AM,ETHBTC,0.025,0.02519,0.02495,0.02508,24.37,0.6113
2019-06-29 12-AM,ETHBTC,0.02508,0.02516,0.02492,0.025,27.18,0.6808
2019-06-28 11-PM,ETHBTC,0.0251,0.02514,0.02495,0.02508,34.31,0.8598
2019-06-28 10-PM,ETHBTC,0.0251,0.0252,0.02508,0.0251,12.85,0.3224
2019-06-28 09-PM,ETHBTC,0.02517,0.02533,0.02508,0.0251,25.09,0.6317
2019-06-28 08-PM,ETHBTC,0.02574,0.02577,0.02515,0.02517,27.94,0.7108
2019-06-28 07-PM,ETHBTC,0.02577,0.02579,0.02568,0.02574,20.98,0.5401
2019-06-28 06-PM,ETHBTC,0.02574,0.02587,0.02565,0.02577,26.63,0.6862
2019-06-28 05-PM,ETHBTC,0.02569,0.02588,0.02563,0.02574,19.16,0.4938
2019-06-28 04-PM,ETHBTC,0.02592,0.026,0.02569,0.02569,28.7,0.7407
2019-06-28 03-PM,ETHBTC,0.02564,0.02593,0.02557,0.02592,10.65,0.2754
2019-06-28 02-PM,ETHBTC,0.02588,0.0261,0.02561,0.02564,29.67,0.7664
2019-06-28 01-PM,ETHBTC,0.02588,0.02588,0.02571,0.02577,2.714,0.0699
2019-06-28 12-PM,ETHBTC,0.02552,0.02588,0.02544,0.02588,22.71,0.5836
2019-06-28 11-AM,ETHBTC,0.0258,0.0258,0.02544,0.02552,17.4,0.4474
2019-06-28 10-AM,ETHBTC,0.02583,0.02609,0.02569,0.0258,18.15,0.4693
2019-06-28 09-AM,ETHBTC,0.02605,0.02616,0.02571,0.02583,17.84,0.4631
2019-06-28 08-AM,ETHBTC,0.02637,0.02651,0.02605,0.02605,24.64,0.6478
2019-06-28 07-AM,ETHBTC,0.02661,0.02671,0.02616,0.02637,24.41,0.6439
2019-06-28 06-AM,ETHBTC,0.02661,0.02666,0.02614,0.02661,25.53,0.6737
2019-06-28 05-AM,ETHBTC,0.02676,0.0271,0.02648,0.02661,24.14,0.6478
2019-06-28 04-AM,ETHBTC,0.0265,0.02702,0.02641,0.02676,23.95,0.639
2019-06-28 03-AM,ETHBTC,0.02661,0.02687,0.02644,0.0265,32.07,0.8528
2019-06-28 02-AM,ETHBTC,0.02637,0.02674,0.02634,0.02661,24.52,0.6497
2019-06-28 01-AM,ETHBTC,0.02602,0.02652,0.02598,0.02637,24.49,0.6406
2019-06-28 12-AM,ETHBTC,0.02638,0.02649,0.02602,0.02602,20.32,0.5335
2019-06-27 11-PM,ETHBTC,0.02673,0.02679,0.02612,0.02638,28.42,0.7492
2019-06-27 10-PM,ETHBTC,0.02725,0.02725,0.02669,0.02673,22.05,0.5936
2019-06-27 09-PM,ETHBTC,0.02691,0.0273,0.02691,0.02725,30.08,0.8161
2019-06-27 08-PM,ETHBTC,0.02667,0.02694,0.02642,0.02691,24.13,0.6439
2019-06-27 07-PM,ETHBTC,0.02657,0.02685,0.02645,0.02667,24.42,0.6509
2019-06-27 06-PM,ETHBTC,0.02687,0.02687,0.02637,0.02657,25.4,0.6744
2019-06-27 05-PM,ETHBTC,0.02687,0.02706,0.02645,0.02687,22.29,0.5951
2019-06-27 04-PM,ETHBTC,0.02639,0.02701,0.0262,0.02687,26.77,0.7136
2019-06-27 03-PM,ETHBTC,0.0262,0.02653,0.02611,0.02639,43.56,1.145
2019-06-27 02-PM,ETHBTC,0.02607,0.0263,0.02605,0.0262,26.51,0.6942
2019-06-27 01-PM,ETHBTC,0.02607,0.02617,0.02595,0.02607,15.34,0.3998
2019-06-27 12-PM,ETHBTC,0.02601,0.02615,0.02577,0.02607,21.88,0.5668
2019-06-27 11-AM,ETHBTC,0.02617,0.02618,0.02579,0.02601,25.11,0.6548
2019-06-27 10-AM,ETHBTC,0.02618,0.02627,0.02599,0.02617,24.15,0.6309
2019-06-27 09-AM,ETHBTC,0.02626,0.02655,0.02569,0.02618,30.75,0.806
2019-06-27 08-AM,ETHBTC,0.02608,0.02647,0.02598,0.02626,16.37,0.4299
2019-06-27 07-AM,ETHBTC,0.02609,0.02619,0.02582,0.02608,27.18,0.7065
2019-06-27 06-AM,ETHBTC,0.02594,0.0263,0.0258,0.02609,20.97,0.5457
2019-06-27 05-AM,ETHBTC,0.02604,0.02617,0.02575,0.02594,55.32,1.436
2019-06-27 04-AM,ETHBTC,0.02609,0.02611,0.0258,0.02604,22.68,0.5891
2019-06-27 03-AM,ETHBTC,0.02627,0.02639,0.02595,0.02609,26.93,0.7065
2019-06-27 02-AM,ETHBTC,0.02625,0.02632,0.02595,0.02627,27.85,0.7279
2019-06-27 01-AM,ETHBTC,0.02582,0.02634,0.02558,0.02625,29.74,0.7716
2019-06-27 12-AM,ETHBTC,0.0258,0.02604,0.02572,0.02582,26.12,0.6755
2019-06-26 11-PM,ETHBTC,0.02634,0.02634,0.02578,0.0258,8.38,0.2181
2019-06-26 10-PM,ETHBTC,0.02634,0.02654,0.02634,0.02634,5.086,0.1346
2019-06-26 09-PM,ETHBTC,0.02653,0.02711,0.02599,0.02634,13.24,0.3511
2019-06-26 08-PM,ETHBTC,0.0255,0.02716,0.02539,0.02653,13.0,0.3439
2019-06-26 07-PM,ETHBTC,0.02573,0.02585,0.0255,0.0255,3.139,0.08036
2019-06-26 06-PM,ETHBTC,0.02614,0.02618,0.02561,0.02573,2.606,0.06744
2019-06-26 05-PM,ETHBTC,0.02623,0.02642,0.02603,0.02614,4.699,0.1229
2019-06-26 04-PM,ETHBTC,0.02682,0.02695,0.02615,0.02623,14.31,0.3791
