Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-07-03 10-AM,LTCBTC,0.01069,0.01069,0.01063,0.01063,0.02955,0.000314
2019-07-03 09-AM,LTCBTC,0.01082,0.01082,0.01069,0.01069,0.4384,0.004687
2019-07-03 08-AM,LTCBTC,0.01066,0.01082,0.01066,0.01082,0.539,0.005797
2019-07-03 07-AM,LTCBTC,0.01072,0.01072,0.01062,0.01066,0.03532,0.000376
2019-07-03 06-AM,LTCBTC,0.01072,0.01072,0.01072,0.01072,0.0,0.0
2019-07-03 05-AM,LTCBTC,0.01074,0.01074,0.01072,0.01072,0.02464,0.0002642
2019-07-03 04-AM,LTCBTC,0.01083,0.01083,0.01074,0.01074,4.49e-06,5e-08
2019-07-03 03-AM,LTCBTC,0.01083,0.01083,0.01083,0.01083,0.0,0.0
2019-07-03 02-AM,LTCBTC,0.01083,0.01083,0.01083,0.01083,0.01671,0.000181
2019-07-03 01-AM,LTCBTC,0.01097,0.01097,0.01083,0.01083,0.1566,0.0017
2019-07-03 12-AM,LTCBTC,0.01096,0.01097,0.01096,0.01097,0.07775,0.0008527
2019-07-02 11-PM,LTCBTC,0.01095,0.01096,0.0109,0.01096,0.223,0.002439
2019-07-02 10-PM,LTCBTC,0.01088,0.01095,0.01088,0.01095,0.1491,0.001628
2019-07-02 09-PM,LTCBTC,0.01085,0.01088,0.01083,0.01088,0.7068,0.007656
2019-07-02 08-PM,LTCBTC,0.01104,0.01104,0.01085,0.01085,0.7802,0.008534
2019-07-02 07-PM,LTCBTC,0.01118,0.01118,0.01104,0.01104,1.089,0.01212
2019-07-02 06-PM,LTCBTC,0.01125,0.01125,0.01118,0.01118,0.06056,0.0006769
2019-07-02 05-PM,LTCBTC,0.01124,0.01125,0.01122,0.01125,0.3122,0.003507
2019-07-02 04-PM,LTCBTC,0.0113,0.01132,0.01122,0.01124,0.7671,0.008657
2019-07-02 03-PM,LTCBTC,0.01158,0.01158,0.0113,0.0113,2.533,0.02881
2019-07-02 02-PM,LTCBTC,0.01155,0.01158,0.01149,0.01158,0.1451,0.001675
2019-07-02 01-PM,LTCBTC,0.01151,0.01159,0.01143,0.01155,0.8702,0.01003
2019-07-02 12-PM,LTCBTC,0.01147,0.01161,0.01143,0.01151,0.779,0.008987
2019-07-02 11-AM,LTCBTC,0.01141,0.01148,0.01139,0.01147,0.7461,0.008534
2019-07-02 10-AM,LTCBTC,0.0114,0.01159,0.01132,0.01141,1.656,0.01908
2019-07-02 09-AM,LTCBTC,0.01162,0.01169,0.0114,0.0114,0.61,0.00708
2019-07-02 08-AM,LTCBTC,0.01163,0.01165,0.01151,0.01162,0.747,0.008668
2019-07-02 07-AM,LTCBTC,0.01157,0.01163,0.0115,0.01163,0.7099,0.008221
2019-07-02 06-AM,LTCBTC,0.01171,0.0118,0.01147,0.01157,0.7888,0.00918
2019-07-02 05-AM,LTCBTC,0.01149,0.01171,0.01127,0.01171,1.66,0.01913
2019-07-02 04-AM,LTCBTC,0.01147,0.0116,0.01131,0.01149,3.029,0.03478
2019-07-02 03-AM,LTCBTC,0.01148,0.01168,0.01101,0.01147,3.579,0.04115
2019-07-02 02-AM,LTCBTC,0.0116,0.01167,0.01139,0.01148,3.46,0.04003
2019-07-02 01-AM,LTCBTC,0.01158,0.01171,0.01138,0.0116,3.518,0.04071
