Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume INR
2019-07-03,BTCINR,395283,395283,394164,394164,0.0,0.0
2019-07-02,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-07-01,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-30,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-29,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-28,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-27,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-26,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-25,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-24,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-23,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-22,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-21,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-20,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-19,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-18,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-17,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-16,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-15,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-14,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-13,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-12,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-11,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-10,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-09,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-08,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-07,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-06,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-05,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-04,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-03,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-02,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-06-01,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-31,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-30,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-29,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-28,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-27,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-26,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-25,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-24,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-23,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-22,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-21,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-20,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-19,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-18,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-17,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-16,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-15,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-14,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-13,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-12,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-11,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-10,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-09,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-08,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-07,BTCINR,395283,395283,394164,394164,0.0,0.0
2019-05-06,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-05,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-04,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-03,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-02,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-05-01,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-04-30,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-04-29,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-04-28,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-04-27,BTCINR,395283,395283,395283,395283,0.0,0.0
2019-04-26,BTCINR,395283,395283,395283,395283,0.0,0.0
