Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume RUR
2018-08-22 11-PM,BCHRUR,36489.8,36489.8,36489.8,36489.8,0.0,0.0
2018-08-22 10-PM,BCHRUR,35446.95,36489.8,35446.95,36489.8,0.04762,1703.06
2018-08-22 09-PM,BCHRUR,36537.43,36537.43,35446.95,35446.95,0.003702,131.22
2018-08-22 08-PM,BCHRUR,35463.58,36537.43,35443.41,36537.43,2.74,100016.5
2018-08-22 07-PM,BCHRUR,35463.58,35463.58,35463.58,35463.58,0.0,0.0
2018-08-22 06-PM,BCHRUR,35994.61,35994.61,35463.58,35463.58,0.0325,1152.66
2018-08-22 05-PM,BCHRUR,35994.61,35994.61,35994.61,35994.61,0.0,0.0
2018-08-22 04-PM,BCHRUR,37200,37200,35994.61,35994.61,0.128,4607.31
2018-08-22 03-PM,BCHRUR,35680.12,37200,35680.12,37200,0.003,111.6
2018-08-22 02-PM,BCHRUR,35680.12,35680.12,35680.12,35680.12,0.0,0.0
2018-08-22 01-PM,BCHRUR,36056.14,36056.14,35680.12,35680.12,0.06936,2474.84
2018-08-22 12-PM,BCHRUR,36005.03,36056.14,36005.03,36056.14,0.06221,2242.88
2018-08-22 11-AM,BCHRUR,35940.8,36005.03,35940.8,36005.03,0.01422,511.99
2018-08-22 10-AM,BCHRUR,37274.89,37274.89,35940.8,35940.8,0.0005005,17.99
2018-08-22 09-AM,BCHRUR,36000,37307.15,36000,37274.89,0.1688,6296.31
2018-08-22 08-AM,BCHRUR,36000,36000,36000,36000,0.0,0.0
2018-08-22 07-AM,BCHRUR,35809.79,36000,35809.79,36000,0.01797,646.23
2018-08-22 06-AM,BCHRUR,35457.55,35809.79,35457.55,35809.79,0.1792,6418.27
2018-08-22 05-AM,BCHRUR,37267.59,37267.59,35457.55,35457.55,0.0002802,9.93
2018-08-22 04-AM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-22 03-AM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-22 02-AM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-22 01-AM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-22 12-AM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-21 11-PM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-21 10-PM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-21 09-PM,BCHRUR,37267.59,37267.59,37267.59,37267.59,0.0,0.0
2018-08-21 08-PM,BCHRUR,35446.44,37267.59,35446.44,37267.59,0.0001073,4.0
2018-08-21 07-PM,BCHRUR,36377.39,36377.39,35446.44,35446.44,0.002915,103.33
2018-08-21 06-PM,BCHRUR,36377.39,36377.39,36377.39,36377.39,0.0,0.0
2018-08-21 05-PM,BCHRUR,35400.1,36377.39,35400.1,36377.39,0.02743,997.87
2018-08-21 04-PM,BCHRUR,35716.68,35800,34500.1,35400.1,0.2623,9374.71
2018-08-21 03-PM,BCHRUR,35716.68,35716.68,35716.68,35716.68,0.0,0.0
2018-08-21 02-PM,BCHRUR,36400,36400.04,35716.68,35716.68,0.05496,1997.89
2018-08-21 01-PM,BCHRUR,36400,36400,36400,36400,0.0,0.0
2018-08-21 12-PM,BCHRUR,36400,36400,36400,36400,0.0,0.0
2018-08-21 11-AM,BCHRUR,36400,36400,36400,36400,0.0,0.0
2018-08-21 10-AM,BCHRUR,36400,36400,36400,36400,0.0,0.0
2018-08-21 09-AM,BCHRUR,36400,36400,36400,36400,0.0,0.0
2018-08-21 08-AM,BCHRUR,36400,36400,36400,36400,0.07738,2816.64
2018-08-21 07-AM,BCHRUR,36009.05,36400,36009.05,36400,0.2438,8874.66
2018-08-21 06-AM,BCHRUR,36000.1,36009.05,36000.1,36009.05,0.003387,121.95
2018-08-21 05-AM,BCHRUR,36300.26,36300.26,36000.1,36000.1,0.01192,429.06
2018-08-21 04-AM,BCHRUR,36300.26,36300.26,36300.26,36300.26,0.0,0.0
2018-08-21 03-AM,BCHRUR,36300.26,36300.26,36300.26,36300.26,0.0,0.0
2018-08-21 02-AM,BCHRUR,36300.26,36300.26,36300.26,36300.26,0.0,0.0
2018-08-21 01-AM,BCHRUR,36300.26,36300.26,36300.26,36300.26,0.0,0.0
2018-08-21 12-AM,BCHRUR,36600,36600,36004.18,36300.26,0.04546,1642.19
2018-08-20 11-PM,BCHRUR,36697.19,36697.19,36600,36600,0.0002,7.32
2018-08-20 10-PM,BCHRUR,37790.73,37790.73,36697.19,36697.19,0.06137,2260.63
2018-08-20 09-PM,BCHRUR,37790.73,37790.73,37790.73,37790.73,0.0,0.0
2018-08-20 08-PM,BCHRUR,37790.73,37790.73,37790.73,37790.73,0.0,0.0
2018-08-20 07-PM,BCHRUR,37790.73,37790.73,37790.73,37790.73,0.0,0.0
2018-08-20 06-PM,BCHRUR,37790.73,37790.73,37790.73,37790.73,0.0,0.0
2018-08-20 05-PM,BCHRUR,37790.73,37790.73,37790.73,37790.73,0.0,0.0
2018-08-20 04-PM,BCHRUR,36839.01,37790.73,36839.01,37790.73,0.002,75.58
2018-08-20 03-PM,BCHRUR,36839.01,36839.01,36839.01,36839.01,0.0,0.0
2018-08-20 02-PM,BCHRUR,36840.25,36840.25,36839.01,36839.01,0.04555,1678.18
2018-08-20 01-PM,BCHRUR,36840.25,36840.25,36840.25,36840.25,0.0,0.0
2018-08-20 12-PM,BCHRUR,36827.12,36840.25,36827.12,36840.25,0.04033,1485.79
2018-08-20 11-AM,BCHRUR,38211.96,38211.96,36827.12,36827.12,0.048,1767.54
2018-08-20 10-AM,BCHRUR,37140.04,38292.53,36701.97,38211.96,0.1515,5757.67
2018-08-20 09-AM,BCHRUR,37067.71,37140.04,37067.71,37140.04,0.03145,1167.9
2018-08-20 08-AM,BCHRUR,36583.68,37067.71,36583.68,37067.71,0.003301,122.34
2018-08-20 07-AM,BCHRUR,39330.99,39330.99,36500,36583.68,0.05566,2071.97
2018-08-20 06-AM,BCHRUR,39643.51,39643.51,37939.79,39330.99,0.1086,4137.3
2018-08-20 05-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-20 04-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-20 03-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-20 02-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-20 01-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-20 12-AM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-19 11-PM,BCHRUR,39643.51,39643.51,39643.51,39643.51,0.0,0.0
2018-08-19 10-PM,BCHRUR,38165.54,39643.51,38165.54,39643.51,0.001488,59.0
2018-08-19 09-PM,BCHRUR,39720,39720,38165.54,38165.54,0.007513,286.74
2018-08-19 08-PM,BCHRUR,39276.2,39720,39276.2,39720,0.0002014,8.0
2018-08-19 07-PM,BCHRUR,38142,39276.2,38142,39276.2,0.05733,2249.46
2018-08-19 06-PM,BCHRUR,38106.93,38142,38106.93,38142,0.0317,1209.15
2018-08-19 05-PM,BCHRUR,38106.93,38106.93,38106.93,38106.93,0.0,0.0
2018-08-19 04-PM,BCHRUR,39276.2,39276.2,38106.93,38106.93,0.2622,9991.14
2018-08-19 03-PM,BCHRUR,39276.2,39276.2,39276.2,39276.2,0.0,0.0
2018-08-19 02-PM,BCHRUR,39276.2,39276.2,39276.2,39276.2,0.01956,768.12
2018-08-19 01-PM,BCHRUR,37209.52,39276.2,37209.52,39276.2,0.03549,1392.65
2018-08-19 12-PM,BCHRUR,37209.52,37209.52,37209.52,37209.52,0.0,0.0
2018-08-19 11-AM,BCHRUR,37214.37,37214.37,37209.52,37209.52,0.001515,56.36
2018-08-19 10-AM,BCHRUR,37214.37,37214.37,37214.37,37214.37,0.0,0.0
2018-08-19 09-AM,BCHRUR,36987.92,37214.37,36987.92,37214.37,0.1797,6685.59
2018-08-19 08-AM,BCHRUR,36987.92,36987.92,36987.92,36987.92,0.0,0.0
2018-08-19 07-AM,BCHRUR,36987.92,36987.92,36987.92,36987.92,0.0,0.0
2018-08-19 06-AM,BCHRUR,39211.73,39211.73,36987.92,36987.92,0.007137,263.98
2018-08-19 05-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-19 04-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-19 03-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-19 02-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-19 01-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-19 12-AM,BCHRUR,39211.73,39211.73,39211.73,39211.73,0.0,0.0
2018-08-18 11-PM,BCHRUR,36948.67,39211.73,36948.67,39211.73,0.002197,86.16
2018-08-18 10-PM,BCHRUR,36948.67,36948.67,36948.67,36948.67,0.0,0.0
2018-08-18 09-PM,BCHRUR,36793.12,36948.67,36793.12,36948.67,0.004247,156.94
2018-08-18 08-PM,BCHRUR,36793.12,36793.12,36793.12,36793.12,0.0,0.0
2018-08-18 07-PM,BCHRUR,37210,37210,36793.12,36793.12,0.002907,106.95
2018-08-18 06-PM,BCHRUR,37210,37210,37210,37210,0.0,0.0
2018-08-18 05-PM,BCHRUR,36515.47,37264.63,36515.47,37210,0.009664,360.12
2018-08-18 04-PM,BCHRUR,36515.47,36515.47,36515.47,36515.47,0.0,0.0
2018-08-18 03-PM,BCHRUR,36515.47,36515.47,36515.47,36515.47,0.0,0.0
2018-08-18 02-PM,BCHRUR,38611.8,38611.8,36515.47,36515.47,0.03218,1232.69
2018-08-18 01-PM,BCHRUR,38621.99,38621.99,38611.8,38611.8,0.001464,56.53
2018-08-18 12-PM,BCHRUR,38621.99,38621.99,38621.99,38621.99,0.0,0.0
2018-08-18 11-AM,BCHRUR,38621.99,38621.99,38621.99,38621.99,0.0,0.0
2018-08-18 10-AM,BCHRUR,38621.99,38621.99,38621.99,38621.99,0.0,0.0
2018-08-18 09-AM,BCHRUR,39683.72,39683.72,38621.99,38621.99,0.05091,1966.32
2018-08-18 08-AM,BCHRUR,38997.55,39683.72,38997.55,39683.72,0.0252,1000.0
2018-08-18 07-AM,BCHRUR,39015.74,39015.74,38997.55,38997.55,0.02751,1073.0
2018-08-18 06-AM,BCHRUR,39911.54,39911.54,39015.74,39015.74,1.52,59178.01
2018-08-18 05-AM,BCHRUR,39911.54,39911.54,39911.54,39911.54,0.0,0.0
2018-08-18 04-AM,BCHRUR,38985.93,39911.54,38985.93,39911.54,0.04293,1713.42
2018-08-18 03-AM,BCHRUR,40515.48,40515.48,38985.93,38985.93,0.02512,1017.35
2018-08-18 02-AM,BCHRUR,37642.48,40515.48,37642.48,40515.48,0.0136,551.06
2018-08-18 01-AM,BCHRUR,37642.48,37642.48,37642.48,37642.48,0.0,0.0
2018-08-18 12-AM,BCHRUR,37120.56,40111.58,37120.56,37642.48,0.1634,6287.85
2018-08-17 11-PM,BCHRUR,38521.92,38521.92,37120.56,37120.56,0.18,6681.79
2018-08-17 10-PM,BCHRUR,37210.81,38521.92,37210.81,38521.92,0.02951,1135.85
2018-08-17 09-PM,BCHRUR,37210.81,37210.81,37210.81,37210.81,0.0,0.0
2018-08-17 08-PM,BCHRUR,38292.8,38292.8,37210.81,37210.81,0.1804,6712.66
2018-08-17 07-PM,BCHRUR,38292.8,38292.8,38292.8,38292.8,0.0,0.0
2018-08-17 06-PM,BCHRUR,38292.8,38292.8,38292.8,38292.8,0.0,0.0
2018-08-17 05-PM,BCHRUR,36121.91,38292.8,36121.91,38292.8,0.059,2215.92
2018-08-17 04-PM,BCHRUR,36121.91,36121.91,36121.91,36121.91,0.0,0.0
2018-08-17 03-PM,BCHRUR,36121.91,36121.91,36121.91,36121.91,0.0,0.0
2018-08-17 02-PM,BCHRUR,38194.12,38194.12,36103.28,36121.91,0.001908,68.92
2018-08-17 01-PM,BCHRUR,36064.54,38194.12,36064.54,38194.12,0.000209,7.98
2018-08-17 12-PM,BCHRUR,36064.54,36064.54,36064.54,36064.54,0.0,0.0
2018-08-17 11-AM,BCHRUR,36064.54,36064.54,36064.54,36064.54,0.0,0.0
2018-08-17 10-AM,BCHRUR,36856.58,37360.37,36064.54,36064.54,0.1479,5371.06
2018-08-17 09-AM,BCHRUR,35792.85,36856.58,35792.85,36856.58,0.08728,3193.62
2018-08-17 08-AM,BCHRUR,35751.94,35792.85,35751.94,35792.85,0.2635,9429.42
2018-08-17 07-AM,BCHRUR,35751.94,35751.94,35751.94,35751.94,0.0,0.0
2018-08-17 06-AM,BCHRUR,36580.18,36580.18,35751.94,35751.94,0.004294,153.53
2018-08-17 05-AM,BCHRUR,36580.18,36580.18,36580.18,36580.18,0.0,0.0
2018-08-17 04-AM,BCHRUR,36251.56,36590,36251.56,36580.18,0.02629,962.03
2018-08-17 03-AM,BCHRUR,36251.56,36251.56,36251.56,36251.56,0.0,0.0
2018-08-17 02-AM,BCHRUR,34856.18,36251.56,34856.18,36251.56,0.6975,25285.02
2018-08-17 01-AM,BCHRUR,34856.18,34856.18,34856.18,34856.18,0.0,0.0
2018-08-17 12-AM,BCHRUR,36575.15,36575.15,34856.18,34856.18,0.1112,3875.58
2018-08-16 11-PM,BCHRUR,36575.15,36575.15,36575.15,36575.15,0.0,0.0
2018-08-16 10-PM,BCHRUR,36575.15,36575.15,36575.15,36575.15,0.0,0.0
2018-08-16 09-PM,BCHRUR,36575.15,36575.15,36575.15,36575.15,0.0,0.0
2018-08-16 08-PM,BCHRUR,36575.15,36575.15,36575.15,36575.15,0.0,0.0
2018-08-16 07-PM,BCHRUR,36575.15,36575.15,36575.15,36575.15,0.0,0.0
2018-08-16 06-PM,BCHRUR,36577.02,36577.02,34543.22,36575.15,2.42,84416.91
2018-08-16 05-PM,BCHRUR,35044.83,36577.02,35044.83,36577.02,0.4482,16392.49
2018-08-16 04-PM,BCHRUR,35584.83,35584.83,34526.29,35044.83,0.002812,97.18
2018-08-16 03-PM,BCHRUR,35584.83,35584.83,35584.83,35584.83,0.0,0.0
2018-08-16 02-PM,BCHRUR,35566.14,35584.83,35566.14,35584.83,0.006475,230.4
2018-08-16 01-PM,BCHRUR,35566.14,35566.14,35566.14,35566.14,0.0,0.0
2018-08-16 12-PM,BCHRUR,35565.88,35566.14,35565.88,35566.14,0.003699,131.56
2018-08-16 11-AM,BCHRUR,36000,36000,35565.88,35565.88,0.007989,284.13
2018-08-16 10-AM,BCHRUR,36000,36561.08,36000,36000,0.03119,1123.19
2018-08-16 09-AM,BCHRUR,35600,36000,35600,36000,0.4053,14590.87
2018-08-16 08-AM,BCHRUR,35555.9,36600,35555.9,35600,0.3366,12072.43
2018-08-16 07-AM,BCHRUR,35555.9,35555.9,34400.1,35555.9,0.2674,9261.7
2018-08-16 06-AM,BCHRUR,35694.81,35694.81,34948.28,35555.9,1.13,40164.11
2018-08-16 05-AM,BCHRUR,35694.81,35694.81,35694.81,35694.81,0.0,0.0
2018-08-16 04-AM,BCHRUR,35694.81,35694.81,35694.81,35694.81,0.0,0.0
2018-08-16 03-AM,BCHRUR,35694.81,35694.81,35694.81,35694.81,0.0,0.0
2018-08-16 02-AM,BCHRUR,35695.91,35695.91,35694.81,35694.81,0.0004534,16.18
2018-08-16 01-AM,BCHRUR,35695.91,35695.91,35695.91,35695.91,0.0,0.0
2018-08-16 12-AM,BCHRUR,35695.91,35695.91,35695.91,35695.91,0.0,0.0
2018-08-15 11-PM,BCHRUR,35695.91,35695.91,35695.91,35695.91,0.0,0.0
2018-08-15 10-PM,BCHRUR,35695.91,35695.91,35695.91,35695.91,0.0,0.0
2018-08-15 09-PM,BCHRUR,35695.91,35695.91,35695.91,35695.91,0.0,0.0
2018-08-15 08-PM,BCHRUR,34638.67,35695.91,34638.67,35695.91,0.5514,19209.6
2018-08-15 07-PM,BCHRUR,34638.67,34638.67,34638.67,34638.67,0.0,0.0
2018-08-15 06-PM,BCHRUR,35715.01,35715.01,34638.67,34638.67,0.0001,3.46
