Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-08-22 11-PM,BCHUSD,535.02,535.02,535.02,535.02,0.0,0.0
2018-08-22 10-PM,BCHUSD,535.02,535.02,535.02,535.02,0.004106,2.2
2018-08-22 09-PM,BCHUSD,525,540.29,525,535.02,0.004306,2.32
2018-08-22 08-PM,BCHUSD,521.23,525,521.23,525,0.1725,90.59
2018-08-22 07-PM,BCHUSD,533.07,533.07,521.23,521.23,0.1135,59.14
2018-08-22 06-PM,BCHUSD,559.6,559.6,533.07,533.07,0.186,100.81
2018-08-22 05-PM,BCHUSD,541,560.43,520,559.6,0.24,132.01
2018-08-22 04-PM,BCHUSD,541,541,541,541,0.0,0.0
2018-08-22 03-PM,BCHUSD,541,541,541,541,0.0,0.0
2018-08-22 02-PM,BCHUSD,562.72,562.72,541,541,0.03519,19.04
2018-08-22 01-PM,BCHUSD,547.92,562.72,547.92,562.72,0.001434,0.8068
2018-08-22 12-PM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 11-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 10-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 09-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 08-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 07-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 06-AM,BCHUSD,547.92,547.92,547.92,547.92,0.0,0.0
2018-08-22 05-AM,BCHUSD,564.56,564.56,547.92,547.92,0.1611,88.28
2018-08-22 04-AM,BCHUSD,564.56,564.56,564.56,564.56,0.0,0.0
2018-08-22 03-AM,BCHUSD,564.56,564.56,564.56,564.56,0.0,0.0
2018-08-22 02-AM,BCHUSD,564.56,564.56,564.56,564.56,0.0,0.0
2018-08-22 01-AM,BCHUSD,540,564.56,540,564.56,0.02027,11.35
2018-08-22 12-AM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 11-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 10-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 09-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 08-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 07-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 06-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 05-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-21 04-PM,BCHUSD,540.24,540.24,540,540,0.000692,0.3737
2018-08-21 03-PM,BCHUSD,545.2,545.2,540.24,540.24,0.01137,6.14
2018-08-21 02-PM,BCHUSD,545.2,545.2,545.2,545.2,0.0,0.0
2018-08-21 01-PM,BCHUSD,545.2,545.2,545.2,545.2,0.0,0.0
2018-08-21 12-PM,BCHUSD,545.2,545.2,545.2,545.2,0.0,0.0
2018-08-21 11-AM,BCHUSD,552.54,552.54,545.2,545.2,0.021,11.45
2018-08-21 10-AM,BCHUSD,552.54,552.54,552.54,552.54,0.0,0.0
2018-08-21 09-AM,BCHUSD,552.54,552.54,552.54,552.54,0.0,0.0
2018-08-21 08-AM,BCHUSD,548.09,552.54,548.09,552.54,0.1173,64.8
2018-08-21 07-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 06-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 05-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 04-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 03-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 02-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 01-AM,BCHUSD,548.09,548.09,548.09,548.09,0.0,0.0
2018-08-21 12-AM,BCHUSD,540,548.09,540,548.09,0.1328,72.77
2018-08-20 11-PM,BCHUSD,540,540,540,540,0.0,0.0
2018-08-20 10-PM,BCHUSD,555.15,555.15,540,540,0.2706,149.14
2018-08-20 09-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 08-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 07-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 06-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 05-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 04-PM,BCHUSD,555.15,555.15,555.15,555.15,0.0,0.0
2018-08-20 03-PM,BCHUSD,550,555.15,550,555.15,0.0005035,0.2795
2018-08-20 02-PM,BCHUSD,550,550,550,550,0.0,0.0
2018-08-20 01-PM,BCHUSD,550,550,550,550,0.0,0.0
2018-08-20 12-PM,BCHUSD,550,550,550,550,0.0,0.0
2018-08-20 11-AM,BCHUSD,550,550,550,550,0.0,0.0
2018-08-20 10-AM,BCHUSD,557.12,595.68,550,550,0.3648,215.5
2018-08-20 09-AM,BCHUSD,558.09,558.09,557.12,557.12,0.1606,89.59
2018-08-20 08-AM,BCHUSD,573.29,573.29,558.09,558.09,0.003,1.67
2018-08-20 07-AM,BCHUSD,600,600,573.29,573.29,0.2086,119.75
2018-08-20 06-AM,BCHUSD,600,600,600,600,0.0,0.0
2018-08-20 05-AM,BCHUSD,574.73,600,574.73,600,0.3162,189.71
2018-08-20 04-AM,BCHUSD,574.73,574.73,574.73,574.73,0.0,0.0
2018-08-20 03-AM,BCHUSD,574.73,574.73,574.73,574.73,0.0,0.0
2018-08-20 02-AM,BCHUSD,574.73,574.73,574.73,574.73,0.0,0.0
2018-08-20 01-AM,BCHUSD,574.73,574.73,574.73,574.73,0.0,0.0
2018-08-20 12-AM,BCHUSD,574.73,574.73,574.73,574.73,0.0,0.0
2018-08-19 11-PM,BCHUSD,573.29,574.73,573.29,574.73,0.0002982,0.1714
2018-08-19 10-PM,BCHUSD,573.29,573.29,573.29,573.29,0.0,0.0
2018-08-19 09-PM,BCHUSD,573.29,573.29,573.29,573.29,0.0,0.0
2018-08-19 08-PM,BCHUSD,573.29,573.29,573.29,573.29,0.0,0.0
2018-08-19 07-PM,BCHUSD,606.87,606.87,573.29,573.29,0.000785,0.4501
2018-08-19 06-PM,BCHUSD,608.95,608.95,606.87,606.87,0.002836,1.72
2018-08-19 05-PM,BCHUSD,608.95,608.95,608.95,608.95,0.0,0.0
2018-08-19 04-PM,BCHUSD,573.64,608.95,573.64,608.95,0.005471,3.33
2018-08-19 03-PM,BCHUSD,586.1,586.1,573.64,573.64,0.01022,5.86
2018-08-19 02-PM,BCHUSD,586.1,586.1,586.1,586.1,0.0,0.0
2018-08-19 01-PM,BCHUSD,573,586.1,573,586.1,0.2001,117.03
2018-08-19 12-PM,BCHUSD,582.06,582.06,573,573,0.03499,20.05
2018-08-19 11-AM,BCHUSD,582.64,582.64,581.01,582.06,0.08042,46.77
2018-08-19 10-AM,BCHUSD,582.64,582.64,582.64,582.64,0.0,0.0
2018-08-19 09-AM,BCHUSD,557.45,582.64,557.45,582.64,0.1725,100.53
2018-08-19 08-AM,BCHUSD,557.45,557.45,557.45,557.45,0.0,0.0
2018-08-19 07-AM,BCHUSD,557.45,557.45,557.45,557.45,0.0,0.0
2018-08-19 06-AM,BCHUSD,557.45,557.45,557.45,557.45,0.0,0.0
2018-08-19 05-AM,BCHUSD,557.45,557.45,557.45,557.45,0.0,0.0
2018-08-19 04-AM,BCHUSD,557.45,557.45,557.45,557.45,0.0,0.0
2018-08-19 03-AM,BCHUSD,603.26,603.26,557.45,557.45,0.03177,17.71
2018-08-19 02-AM,BCHUSD,603.26,603.26,603.26,603.26,0.0,0.0
2018-08-19 01-AM,BCHUSD,603.26,603.26,603.26,603.26,0.0,0.0
2018-08-19 12-AM,BCHUSD,603.26,603.26,603.26,603.26,0.0,0.0
