Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume RUR
2018-08-22 11-PM,BTCRUR,443306.5,443306.5,443306.5,443306.5,0.0,0.0
2018-08-22 10-PM,BTCRUR,442732.77,443306.5,441386.4,443306.5,1.47,648859.64
2018-08-22 09-PM,BTCRUR,444020,447003,442694.35,442732.77,0.9971,442984.44
2018-08-22 08-PM,BTCRUR,447002,447002,443300,444020,0.7854,348950.62
2018-08-22 07-PM,BTCRUR,446905.15,447003,443663.07,447002,0.9292,414172.82
2018-08-22 06-PM,BTCRUR,444664.05,447000,443663.07,446905.15,0.7753,344530.96
2018-08-22 05-PM,BTCRUR,444463.49,447113.2,444212.38,444664.05,1.31,583502.12
2018-08-22 04-PM,BTCRUR,449999.88,449999.88,444463.49,444463.49,2.91,1298417.71
2018-08-22 03-PM,BTCRUR,447549.63,450213.48,447303,449999.88,1.24,556399.02
2018-08-22 02-PM,BTCRUR,448805,450169.92,447505.29,447549.63,1.53,686577.24
2018-08-22 01-PM,BTCRUR,448648.39,450058.4,447302.44,448805,2.2,987238.22
2018-08-22 12-PM,BTCRUR,446600,449744.24,446600,448648.39,2.63,1182766.7
2018-08-22 11-AM,BTCRUR,448715.51,449009.57,445969.28,446600,1.84,822074.91
2018-08-22 10-AM,BTCRUR,448000,448895.59,446000,448715.51,2.92,1310250.38
2018-08-22 09-AM,BTCRUR,448000,448507.92,447104,448000,2.36,1059484.89
2018-08-22 08-AM,BTCRUR,447865.98,448000,445502,448000,1.9,850920.18
2018-08-22 07-AM,BTCRUR,445500.84,447875.9,445500.84,447865.98,1.66,741945.68
2018-08-22 06-AM,BTCRUR,444070,447702.45,444070,445500.84,1.12,500191.65
2018-08-22 05-AM,BTCRUR,447500,447641.66,444069.6,444070,0.6088,271444.76
2018-08-22 04-AM,BTCRUR,445000,447637.42,445000,447500,2.83,1266072.04
2018-08-22 03-AM,BTCRUR,446382.21,447139.84,440913,445000,4.36,1941110.1
2018-08-22 02-AM,BTCRUR,445668.1,446382.21,444605.4,446382.21,2.48,1107101.01
2018-08-22 01-AM,BTCRUR,444857.22,445668.1,443526.64,445668.1,2.38,1057887.24
2018-08-22 12-AM,BTCRUR,443526.64,444857.22,443526.64,444857.22,0.05794,25702.36
2018-08-21 11-PM,BTCRUR,445182.02,445186.47,442054.2,443526.64,0.1187,52725.2
2018-08-21 10-PM,BTCRUR,444857.22,445186.47,444857.22,445182.02,0.2206,98200.78
2018-08-21 09-PM,BTCRUR,445037.91,445154.28,442013,444857.22,0.5401,240018.5
2018-08-21 08-PM,BTCRUR,445007.1,445037.91,442423.84,445037.91,0.6576,292480.91
2018-08-21 07-PM,BTCRUR,444600,445007.11,442423.84,445007.1,1.17,520901.85
2018-08-21 06-PM,BTCRUR,444971.39,445000,442746.53,444600,0.7644,339801.99
2018-08-21 05-PM,BTCRUR,444000,444971.39,441400,444971.39,1.81,804372.39
2018-08-21 04-PM,BTCRUR,442000,444686.97,440650.7,444000,1.63,722579.51
2018-08-21 03-PM,BTCRUR,440001.1,443714.97,438800,442000,1.59,699461.48
2018-08-21 02-PM,BTCRUR,444055,444673.26,439925.28,440001.1,3.86,1709565.82
2018-08-21 01-PM,BTCRUR,444000,444368.66,444000,444055,1.6,708888.55
2018-08-21 12-PM,BTCRUR,442999.99,444078.17,441000,444000,2.51,1112422.6
2018-08-21 11-AM,BTCRUR,443000,443903,440403,442999.99,0.5543,245263.42
2018-08-21 10-AM,BTCRUR,440354,443970,440354,443000,1.06,469158.45
2018-08-21 09-AM,BTCRUR,443673.26,443989,440354,440354,1.58,696782.97
2018-08-21 08-AM,BTCRUR,441053,443911.4,441053,443673.26,2.12,940172.13
2018-08-21 07-AM,BTCRUR,440156.9,443624.5,439056,441053,1.45,643191.94
2018-08-21 06-AM,BTCRUR,441900,442500,440000,440156.9,0.7527,332400.17
2018-08-21 05-AM,BTCRUR,440000,442344,438800,441900,0.5289,233443.22
2018-08-21 04-AM,BTCRUR,438712.83,440000,438712.83,440000,0.1618,71082.35
2018-08-21 03-AM,BTCRUR,441685.17,441685.17,438712.83,438712.83,0.5428,238591.08
2018-08-21 02-AM,BTCRUR,439939.01,442344,439500,441685.17,0.251,110427.38
2018-08-21 01-AM,BTCRUR,439000,442398.31,439000,439939.01,0.467,206208.46
2018-08-21 12-AM,BTCRUR,440000,442388.91,439000,439000,0.8718,382897.01
