Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume BTC
2018-08-22 10-PM,BTGBTC,0.002175,0.00228,0.002175,0.00228,0.2515,0.0005732
2018-08-22 09-PM,BTGBTC,0.002141,0.002184,0.002141,0.002175,5.18,0.01128
2018-08-22 08-PM,BTGBTC,0.002285,0.002285,0.002141,0.002141,1.29,0.002775
2018-08-22 07-PM,BTGBTC,0.002102,0.002285,0.002102,0.002285,0.1094,0.00025
2018-08-22 06-PM,BTGBTC,0.00218,0.00222,0.002102,0.002102,10.35,0.02225
2018-08-22 05-PM,BTGBTC,0.00229,0.00229,0.0021,0.00218,136.14,0.2906
2018-08-22 04-PM,BTGBTC,0.00229,0.00229,0.00229,0.00229,0.0,0.0
2018-08-22 03-PM,BTGBTC,0.002235,0.00229,0.002235,0.00229,3.69,0.008383
2018-08-22 02-PM,BTGBTC,0.00229,0.00229,0.002235,0.002235,31.32,0.07119
2018-08-22 01-PM,BTGBTC,0.00219,0.00229,0.00219,0.00229,57.03,0.1298
2018-08-22 12-PM,BTGBTC,0.0022,0.002285,0.0021,0.00219,156.13,0.346
2018-08-22 11-AM,BTGBTC,0.00215,0.00224,0.0021,0.0022,94.89,0.2042
2018-08-22 10-AM,BTGBTC,0.002235,0.002235,0.00215,0.00215,83.97,0.1807
2018-08-22 09-AM,BTGBTC,0.002153,0.002238,0.002153,0.002235,0.2332,0.0005215
2018-08-22 08-AM,BTGBTC,0.002249,0.002249,0.002153,0.002153,6.41,0.0138
2018-08-22 07-AM,BTGBTC,0.00223,0.002249,0.00215,0.002249,57.55,0.125
2018-08-22 06-AM,BTGBTC,0.0023,0.0023,0.002155,0.00223,31.79,0.07198
2018-08-22 05-AM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.0,0.0
2018-08-22 04-AM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.0,0.0
2018-08-22 03-AM,BTGBTC,0.00215,0.0023,0.00215,0.0023,3.14,0.00722
2018-08-22 02-AM,BTGBTC,0.00215,0.00215,0.00215,0.00215,0.0,0.0
2018-08-22 01-AM,BTGBTC,0.00215,0.00215,0.00215,0.00215,0.0,0.0
2018-08-22 12-AM,BTGBTC,0.00218,0.00218,0.00215,0.00215,0.1,0.000215
2018-08-21 11-PM,BTGBTC,0.0022,0.0022,0.00214,0.00218,9.19,0.02007
2018-08-21 10-PM,BTGBTC,0.002306,0.002306,0.0021,0.0022,149.49,0.3176
2018-08-21 09-PM,BTGBTC,0.002308,0.002308,0.002248,0.002306,7.32,0.01688
2018-08-21 08-PM,BTGBTC,0.002248,0.002308,0.002248,0.002308,1.43,0.003291
2018-08-21 07-PM,BTGBTC,0.002317,0.002317,0.002248,0.002248,2.81,0.00631
2018-08-21 06-PM,BTGBTC,0.002201,0.002317,0.002201,0.002317,29.03,0.06727
2018-08-21 05-PM,BTGBTC,0.002282,0.002319,0.0022,0.002201,18.27,0.04044
2018-08-21 04-PM,BTGBTC,0.002282,0.002282,0.002282,0.002282,0.5915,0.00135
2018-08-21 03-PM,BTGBTC,0.002282,0.002282,0.002282,0.002282,0.0,0.0
2018-08-21 02-PM,BTGBTC,0.002282,0.002282,0.002282,0.002282,3.63,0.008289
2018-08-21 01-PM,BTGBTC,0.002221,0.002282,0.002221,0.002282,0.1523,0.0003476
2018-08-21 12-PM,BTGBTC,0.00235,0.00235,0.002221,0.002221,126.99,0.2876
2018-08-21 11-AM,BTGBTC,0.00235,0.00235,0.00235,0.00235,0.9991,0.002348
2018-08-21 10-AM,BTGBTC,0.00234,0.00235,0.00234,0.00235,1.35,0.003161
2018-08-21 09-AM,BTGBTC,0.00234,0.00234,0.00234,0.00234,0.0,0.0
2018-08-21 08-AM,BTGBTC,0.002302,0.00234,0.002302,0.00234,0.9983,0.002336
2018-08-21 07-AM,BTGBTC,0.002302,0.002302,0.002302,0.002302,0.0,0.0
2018-08-21 06-AM,BTGBTC,0.002397,0.002397,0.002302,0.002302,0.2254,0.0005189
2018-08-21 05-AM,BTGBTC,0.0023,0.002397,0.0023,0.002397,131.97,0.3126
2018-08-21 04-AM,BTGBTC,0.002311,0.002311,0.0023,0.0023,1.22,0.002808
2018-08-21 03-AM,BTGBTC,0.002311,0.002311,0.002311,0.002311,0.0,0.0
2018-08-21 02-AM,BTGBTC,0.002311,0.002311,0.002311,0.002311,0.0,0.0
2018-08-21 01-AM,BTGBTC,0.0023,0.002311,0.0023,0.002311,1.0,0.002311
2018-08-21 12-AM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.0,0.0
2018-08-20 11-PM,BTGBTC,0.0023,0.00234,0.0023,0.0023,36.04,0.08295
2018-08-20 10-PM,BTGBTC,0.0023,0.002332,0.0023,0.0023,1.92,0.004449
2018-08-20 09-PM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.0,0.0
2018-08-20 08-PM,BTGBTC,0.0023,0.002334,0.0023,0.0023,4.62,0.01067
2018-08-20 07-PM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.9055,0.002083
2018-08-20 06-PM,BTGBTC,0.0023,0.0023,0.0023,0.0023,2.71,0.006226
2018-08-20 05-PM,BTGBTC,0.002305,0.002397,0.0023,0.0023,9.89,0.02313
2018-08-20 04-PM,BTGBTC,0.002325,0.002325,0.002305,0.002305,6.79,0.01573
2018-08-20 03-PM,BTGBTC,0.002325,0.002325,0.002325,0.002325,7.06,0.01642
2018-08-20 02-PM,BTGBTC,0.002323,0.002325,0.002323,0.002325,3.7,0.0086
2018-08-20 01-PM,BTGBTC,0.0024,0.0024,0.002323,0.002323,1.2,0.002786
2018-08-20 12-PM,BTGBTC,0.0024,0.0024,0.0024,0.0024,0.0,0.0
2018-08-20 11-AM,BTGBTC,0.00239,0.0024,0.00239,0.0024,4.17,0.01002
2018-08-20 10-AM,BTGBTC,0.00239,0.00239,0.00239,0.00239,0.0,0.0
2018-08-20 09-AM,BTGBTC,0.002347,0.00239,0.002347,0.00239,11.86,0.02835
2018-08-20 08-AM,BTGBTC,0.002409,0.002409,0.002306,0.002347,7.34,0.01697
2018-08-20 07-AM,BTGBTC,0.002409,0.002409,0.002409,0.002409,0.0,0.0
2018-08-20 06-AM,BTGBTC,0.002409,0.002409,0.002409,0.002409,1.29,0.003118
2018-08-20 05-AM,BTGBTC,0.002397,0.002409,0.002397,0.002409,12.04,0.029
2018-08-20 04-AM,BTGBTC,0.002397,0.002397,0.002397,0.002397,0.0,0.0
2018-08-20 03-AM,BTGBTC,0.002398,0.002398,0.002397,0.002397,17.78,0.04263
2018-08-20 02-AM,BTGBTC,0.002398,0.002398,0.00239,0.002398,4.0,0.009595
2018-08-20 01-AM,BTGBTC,0.002399,0.002399,0.002398,0.002398,0.8746,0.002098
2018-08-20 12-AM,BTGBTC,0.002407,0.002407,0.002399,0.002399,0.9531,0.002287
2018-08-19 11-PM,BTGBTC,0.002407,0.002407,0.002407,0.002407,0.0,0.0
2018-08-19 10-PM,BTGBTC,0.002419,0.002419,0.002296,0.002407,3.76,0.009035
2018-08-19 09-PM,BTGBTC,0.002419,0.002419,0.002419,0.002419,0.0,0.0
2018-08-19 08-PM,BTGBTC,0.002419,0.002419,0.002419,0.002419,0.0,0.0
2018-08-19 07-PM,BTGBTC,0.002319,0.002419,0.002319,0.002419,0.2,0.0004837
2018-08-19 06-PM,BTGBTC,0.00232,0.00232,0.002319,0.002319,3.72,0.008621
2018-08-19 05-PM,BTGBTC,0.002429,0.002429,0.00232,0.00232,2.98,0.006923
2018-08-19 04-PM,BTGBTC,0.002442,0.002442,0.00232,0.002429,2.68,0.006327
2018-08-19 03-PM,BTGBTC,0.002442,0.002442,0.002442,0.002442,0.0,0.0
2018-08-19 02-PM,BTGBTC,0.002324,0.002443,0.0022,0.002442,88.61,0.2019
2018-08-19 01-PM,BTGBTC,0.002444,0.002444,0.00231,0.002324,66.27,0.1601
2018-08-19 12-PM,BTGBTC,0.00244,0.002444,0.002339,0.002444,1.38,0.003255
2018-08-19 11-AM,BTGBTC,0.002339,0.00244,0.002339,0.00244,0.88,0.002147
2018-08-19 10-AM,BTGBTC,0.002339,0.002339,0.002339,0.002339,2.47,0.005774
2018-08-19 09-AM,BTGBTC,0.002444,0.002444,0.002339,0.002339,2.33,0.005455
2018-08-19 08-AM,BTGBTC,0.002444,0.002444,0.002444,0.002444,0.0,0.0
2018-08-19 07-AM,BTGBTC,0.002444,0.002444,0.002444,0.002444,0.0,0.0
2018-08-19 06-AM,BTGBTC,0.0023,0.002444,0.0023,0.002444,15.21,0.03697
2018-08-19 05-AM,BTGBTC,0.0023,0.0023,0.0023,0.0023,0.0,0.0
2018-08-19 04-AM,BTGBTC,0.002374,0.002421,0.0023,0.0023,11.87,0.02842
2018-08-19 03-AM,BTGBTC,0.002374,0.002374,0.002374,0.002374,3.09,0.007331
2018-08-19 02-AM,BTGBTC,0.002424,0.002424,0.002374,0.002374,3.0,0.007115
2018-08-19 01-AM,BTGBTC,0.002424,0.002424,0.002424,0.002424,0.0,0.0
2018-08-19 12-AM,BTGBTC,0.002424,0.002424,0.002424,0.002424,0.0,0.0
2018-08-18 11-PM,BTGBTC,0.002372,0.002424,0.002372,0.002424,11.08,0.02635
2018-08-18 10-PM,BTGBTC,0.00228,0.002372,0.00228,0.002372,13.9,0.03297
2018-08-18 09-PM,BTGBTC,0.00228,0.00228,0.00228,0.00228,10.28,0.02344
2018-08-18 08-PM,BTGBTC,0.00235,0.00235,0.00228,0.00228,18.44,0.04332
2018-08-18 07-PM,BTGBTC,0.00228,0.00235,0.00228,0.00235,4.8,0.01128
2018-08-18 06-PM,BTGBTC,0.002343,0.002343,0.00228,0.00228,13.66,0.03127
2018-08-18 05-PM,BTGBTC,0.00232,0.002343,0.00232,0.002343,0.6024,0.001411
2018-08-18 04-PM,BTGBTC,0.002306,0.00232,0.002305,0.00232,7.38,0.01704
2018-08-18 03-PM,BTGBTC,0.002385,0.002395,0.002306,0.002306,7.7,0.01819
2018-08-18 02-PM,BTGBTC,0.002385,0.002385,0.002305,0.002385,2.34,0.005564
2018-08-18 01-PM,BTGBTC,0.002291,0.002385,0.002291,0.002385,4.18,0.00998
2018-08-18 12-PM,BTGBTC,0.002291,0.002291,0.002291,0.002291,0.0,0.0
2018-08-18 11-AM,BTGBTC,0.002392,0.002392,0.002291,0.002291,35.38,0.08424
2018-08-18 10-AM,BTGBTC,0.002395,0.0024,0.002299,0.002392,11.78,0.02804
2018-08-18 09-AM,BTGBTC,0.002322,0.002395,0.002322,0.002395,19.63,0.0468
2018-08-18 08-AM,BTGBTC,0.002316,0.002322,0.002316,0.002322,0.1767,0.0004104
2018-08-18 07-AM,BTGBTC,0.002424,0.002424,0.002291,0.002316,14.91,0.03462
2018-08-18 06-AM,BTGBTC,0.002424,0.002424,0.002316,0.002424,4.45,0.01038
2018-08-18 05-AM,BTGBTC,0.002314,0.002424,0.002314,0.002424,5.67,0.01373
2018-08-18 04-AM,BTGBTC,0.002314,0.002314,0.002314,0.002314,0.0,0.0
2018-08-18 03-AM,BTGBTC,0.002425,0.002425,0.002314,0.002314,0.1926,0.0004456
2018-08-18 02-AM,BTGBTC,0.002425,0.002425,0.002425,0.002425,0.0,0.0
2018-08-18 01-AM,BTGBTC,0.002425,0.002425,0.002425,0.002425,25.6,0.06208
2018-08-18 12-AM,BTGBTC,0.00241,0.002425,0.00241,0.002425,25.56,0.06162
2018-08-17 11-PM,BTGBTC,0.002359,0.00241,0.00235,0.00241,7.25,0.01742
2018-08-17 10-PM,BTGBTC,0.00236,0.002361,0.00231,0.002359,43.26,0.1017
2018-08-17 09-PM,BTGBTC,0.002367,0.002367,0.00225,0.00236,24.73,0.056
