Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume BTC
2019-07-03,BTGBTC,0.0005578,0.0006268,0.0005578,0.0005632,2.073,0.001231
2019-07-02,BTGBTC,0.000542,0.0006459,0.000542,0.0005578,56.89,0.03467
2019-07-01,BTGBTC,0.000615,0.00063,0.000501,0.000542,358.06,0.199
2019-06-30,BTGBTC,0.0006,0.00063,0.0005905,0.000615,24.55,0.01483
2019-06-29,BTGBTC,0.0006105,0.0006105,0.00057,0.0006,156.07,0.0916
2019-06-28,BTGBTC,0.0006574,0.0006574,0.0006,0.0006105,114.11,0.07058
2019-06-27,BTGBTC,0.0006036,0.0006574,0.0005701,0.0006574,88.96,0.05567
2019-06-26,BTGBTC,0.0006586,0.0006869,0.00057,0.0006036,248.68,0.1566
2019-06-25,BTGBTC,0.0006735,0.0006868,0.0006562,0.0006586,177.38,0.1206
2019-06-24,BTGBTC,0.0006372,0.0006911,0.0006118,0.0006735,68.78,0.0434
2019-06-23,BTGBTC,0.000593,0.0007069,0.000593,0.0006372,97.69,0.06523
2019-06-22,BTGBTC,0.0006411,0.0006411,0.0005882,0.000593,212.38,0.1298
2019-06-21,BTGBTC,0.000658,0.00067,0.0006001,0.0006411,177.28,0.1097
2019-06-20,BTGBTC,0.0007,0.0007572,0.000658,0.000658,187.25,0.1309
2019-06-19,BTGBTC,0.000707,0.0007403,0.00067,0.0007,199.81,0.1401
2019-06-18,BTGBTC,0.000734,0.0007572,0.000707,0.000707,77.51,0.05643
2019-06-17,BTGBTC,0.0007309,0.0007572,0.000725,0.000734,120.24,0.08878
2019-06-16,BTGBTC,0.0007572,0.0007572,0.0007251,0.0007309,165.79,0.1242
2019-06-15,BTGBTC,0.0007563,0.0007572,0.0007269,0.0007572,79.64,0.05954
2019-06-14,BTGBTC,0.0007744,0.0007744,0.0007379,0.0007563,57.0,0.04293
2019-06-13,BTGBTC,0.0008188,0.0008517,0.000726,0.0007744,118.21,0.09248
2019-06-12,BTGBTC,0.0008094,0.0008194,0.0008059,0.0008188,78.05,0.06309
2019-06-11,BTGBTC,0.0009,0.0009,0.0008045,0.0008094,45.8,0.03699
2019-06-10,BTGBTC,0.0008925,0.0009082,0.000805,0.0009,86.21,0.07562
2019-06-09,BTGBTC,0.0009001,0.0009042,0.0007985,0.0008925,89.89,0.07669
2019-06-08,BTGBTC,0.0009439,0.0009439,0.0009001,0.0009001,12.77,0.01155
2019-06-07,BTGBTC,0.0009796,0.0009797,0.0009001,0.0009439,70.88,0.06627
2019-06-06,BTGBTC,0.0008779,0.0011,0.0008766,0.0009796,66.46,0.06266
2019-06-05,BTGBTC,0.000963,0.001156,0.00077,0.0008779,562.6,0.5134
2019-06-04,BTGBTC,0.0009849,0.001042,0.0009427,0.000963,75.32,0.07339
2019-06-03,BTGBTC,0.00104,0.001046,0.0009719,0.0009849,31.96,0.03195
2019-06-02,BTGBTC,0.001035,0.001079,0.0009395,0.00104,195.2,0.1951
2019-06-01,BTGBTC,0.001045,0.001076,0.0009875,0.001035,65.18,0.06774
2019-05-31,BTGBTC,0.0009053,0.001076,0.0009053,0.001045,60.55,0.05966
2019-05-30,BTGBTC,0.00077,0.00122,0.00077,0.0009053,854.57,0.885
2019-05-29,BTGBTC,0.0007972,0.0008425,0.00077,0.00077,154.51,0.1249
2019-05-28,BTGBTC,0.0007918,0.0008399,0.00078,0.0007972,125.02,0.09984
2019-05-27,BTGBTC,0.0008261,0.0008696,0.00078,0.0007918,174.37,0.1439
2019-05-26,BTGBTC,0.0008217,0.0008267,0.0008,0.0008261,43.49,0.03547
2019-05-25,BTGBTC,0.0008511,0.0008704,0.0008197,0.0008217,38.71,0.03199
2019-05-24,BTGBTC,0.0008956,0.0008956,0.0008343,0.0008511,71.53,0.06102
2019-05-23,BTGBTC,0.0009086,0.000919,0.0008597,0.0008956,128.18,0.116
2019-05-22,BTGBTC,0.0008331,0.0009109,0.000833,0.0009086,161.83,0.138
2019-05-21,BTGBTC,0.0008359,0.0009112,0.0007914,0.0008683,136.32,0.1162
2019-05-20,BTGBTC,0.0008239,0.0008836,0.0008239,0.0008359,18.02,0.01556
2019-05-19,BTGBTC,0.0008641,0.0008836,0.0007915,0.0008239,145.81,0.1233
2019-05-18,BTGBTC,0.0008034,0.000865,0.0008,0.0008641,64.0,0.05266
2019-05-17,BTGBTC,0.0008661,0.0008661,0.0007998,0.0008034,106.45,0.08644
2019-05-16,BTGBTC,0.0008157,0.0008699,0.0007359,0.0008661,306.0,0.2485
2019-05-15,BTGBTC,0.0008329,0.00087,0.0007883,0.0008157,187.99,0.1543
2019-05-14,BTGBTC,0.0008852,0.0009,0.0007395,0.0008329,301.29,0.2494
2019-05-13,BTGBTC,0.0008968,0.0008968,0.0008107,0.0008852,206.91,0.1747
2019-05-12,BTGBTC,0.0008628,0.0009801,0.00082,0.0008968,242.22,0.2142
2019-05-11,BTGBTC,0.0009008,0.000924,0.00086,0.0008628,290.51,0.2566
2019-05-10,BTGBTC,0.0009811,0.0009811,0.0008602,0.0009008,53.35,0.04912
2019-05-09,BTGBTC,0.0009581,0.001052,0.0008511,0.0009811,210.77,0.2063
2019-05-08,BTGBTC,0.00094,0.0009723,0.00085,0.0009581,111.37,0.1011
2019-05-07,BTGBTC,0.001051,0.001051,0.0009501,0.001001,32.22,0.03218
2019-05-06,BTGBTC,0.001112,0.001121,0.00094,0.001051,596.13,0.6042
2019-05-05,BTGBTC,0.001089,0.001136,0.001089,0.001112,39.73,0.04399
2019-05-04,BTGBTC,0.001115,0.00112,0.001083,0.001089,52.9,0.05856
2019-05-03,BTGBTC,0.001105,0.001144,0.00108,0.001115,146.93,0.1632
2019-05-02,BTGBTC,0.0011,0.001177,0.001088,0.001105,67.31,0.07487
2019-05-01,BTGBTC,0.001128,0.001219,0.001092,0.0011,174.38,0.2031
2019-04-30,BTGBTC,0.00112,0.00113,0.001096,0.001128,57.4,0.06426
2019-04-29,BTGBTC,0.00114,0.001147,0.001092,0.00112,81.28,0.08993
2019-04-28,BTGBTC,0.001169,0.00119,0.0011,0.00114,64.91,0.07334
2019-04-27,BTGBTC,0.0011,0.00121,0.0011,0.001169,28.93,0.0336
2019-04-26,BTGBTC,0.001223,0.001223,0.0011,0.0011,45.85,0.05184
2019-04-25,BTGBTC,0.001111,0.001223,0.001107,0.001223,52.32,0.06169
