Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2019-07-03,BTGUSD,6.5,6.901,6.5,6.81,106.44,729.11
2019-07-02,BTGUSD,6.373,7.099,6.3,6.5,78.74,524.42
2019-07-01,BTGUSD,7.3,7.4,4.811,6.373,349.8,2213.68
2019-06-30,BTGUSD,7.339,7.69,7.1,7.3,40.39,294.38
2019-06-29,BTGUSD,7.7,7.7,7.1,7.339,37.55,273.93
2019-06-28,BTGUSD,7.21,8,6.81,7.7,123.77,924.04
2019-06-27,BTGUSD,7.725,8,6.8,7.21,133.61,972.43
2019-06-26,BTGUSD,8.008,9,7.41,7.725,379.53,3112.91
2019-06-25,BTGUSD,7.4,8,7.4,7.761,125.17,967.27
2019-06-24,BTGUSD,7.3,7.66,6.88,7.4,144.68,1060.42
2019-06-23,BTGUSD,6.66,7.4,6.66,7.3,270.25,1954.84
2019-06-22,BTGUSD,6.28,7,6.28,6.66,336.17,2275.46
2019-06-21,BTGUSD,6.54,6.54,6.28,6.28,199.31,1272.74
2019-06-20,BTGUSD,6.5,6.7,6.4,6.54,93.63,604.57
2019-06-19,BTGUSD,6.75,6.96,6,6.5,477.78,3049.68
2019-06-18,BTGUSD,6.83,7,6.4,6.75,311.8,2095.67
2019-06-17,BTGUSD,6.741,6.95,6.644,6.83,129.44,880.14
2019-06-16,BTGUSD,6.65,7,6.52,6.741,102.63,701.66
2019-06-15,BTGUSD,6.944,7,6.5,6.65,583.33,3888.99
2019-06-14,BTGUSD,6.65,7,6.49,6.944,161.13,1079.42
2019-06-13,BTGUSD,6.763,7.185,6.48,6.65,658.85,4402.27
2019-06-12,BTGUSD,6.647,6.913,6.647,6.909,104.95,718.64
2019-06-11,BTGUSD,7.227,7.227,6.55,6.647,180.35,1207.7
2019-06-10,BTGUSD,6.49,7.5,6.49,7.227,183.02,1279.78
2019-06-09,BTGUSD,7.35,7.639,6.49,6.49,407.64,2834.95
