Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume CCT,Volume BTC
2018-08-22 11-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 10-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 09-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 08-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 07-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 06-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 05-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 04-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 03-PM,CCTBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-22 02-PM,CCTBTC,4.39e-06,4.39e-06,3.72e-06,3.72e-06,50.19,0.0001867
2018-08-22 01-PM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 12-PM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 11-AM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 10-AM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 09-AM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 08-AM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 07-AM,CCTBTC,4.39e-06,4.39e-06,4.39e-06,4.39e-06,0.0,0.0
2018-08-22 06-AM,CCTBTC,3.52e-06,4.39e-06,3.52e-06,4.39e-06,30.0,0.0001317
2018-08-22 05-AM,CCTBTC,4.2e-06,4.2e-06,3.52e-06,3.52e-06,10005.0,0.03768
2018-08-22 04-AM,CCTBTC,3.9e-06,4.2e-06,3.9e-06,4.2e-06,50.0,0.00021
2018-08-22 03-AM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-22 02-AM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-22 01-AM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-22 12-AM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-21 11-PM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-21 10-PM,CCTBTC,3.9e-06,3.9e-06,3.9e-06,3.9e-06,0.0,0.0
2018-08-21 09-PM,CCTBTC,3.89e-06,4.31e-06,3.89e-06,3.9e-06,1017.19,0.004343
2018-08-21 08-PM,CCTBTC,4.1e-06,4.2e-06,3.89e-06,3.89e-06,154.05,0.0006351
2018-08-21 07-PM,CCTBTC,4.1e-06,4.1e-06,4.1e-06,4.1e-06,0.0,0.0
2018-08-21 06-PM,CCTBTC,4.1e-06,4.1e-06,4.1e-06,4.1e-06,0.0,0.0
2018-08-21 05-PM,CCTBTC,4.1e-06,4.1e-06,4.1e-06,4.1e-06,0.0,0.0
2018-08-21 04-PM,CCTBTC,4.1e-06,4.1e-06,4.1e-06,4.1e-06,0.0,0.0
2018-08-21 03-PM,CCTBTC,4.1e-06,4.1e-06,4.1e-06,4.1e-06,0.0,0.0
2018-08-21 02-PM,CCTBTC,4.07e-06,4.1e-06,4.07e-06,4.1e-06,105.39,0.0004321
2018-08-21 01-PM,CCTBTC,4.07e-06,4.07e-06,4.07e-06,4.07e-06,0.0,0.0
2018-08-21 12-PM,CCTBTC,3.82e-06,4.07e-06,3.82e-06,4.07e-06,314.09,0.001277
2018-08-21 11-AM,CCTBTC,3.82e-06,3.82e-06,3.82e-06,3.82e-06,0.0,0.0
2018-08-21 10-AM,CCTBTC,3.91e-06,3.91e-06,3.82e-06,3.82e-06,199.73,0.000763
2018-08-21 09-AM,CCTBTC,3.9e-06,3.91e-06,3.9e-06,3.91e-06,38.2,0.0001494
2018-08-21 08-AM,CCTBTC,4.03e-06,4.03e-06,3.9e-06,3.9e-06,40.68,0.0001586
2018-08-21 07-AM,CCTBTC,3.87e-06,4.03e-06,3.87e-06,4.03e-06,1583.0,0.006378
2018-08-21 06-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-21 05-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-21 04-AM,CCTBTC,3.71e-06,3.87e-06,3.71e-06,3.87e-06,267.54,0.001035
2018-08-21 03-AM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-21 02-AM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-21 01-AM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-21 12-AM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-20 11-PM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-20 10-PM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-20 09-PM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-20 08-PM,CCTBTC,3.71e-06,3.71e-06,3.71e-06,3.71e-06,0.0,0.0
2018-08-20 07-PM,CCTBTC,3.86e-06,3.86e-06,3.71e-06,3.71e-06,200.0,0.000742
2018-08-20 06-PM,CCTBTC,3.86e-06,3.86e-06,3.86e-06,3.86e-06,0.0,0.0
2018-08-20 05-PM,CCTBTC,3.86e-06,3.86e-06,3.86e-06,3.86e-06,0.0,0.0
2018-08-20 04-PM,CCTBTC,3.86e-06,3.86e-06,3.86e-06,3.86e-06,0.0,0.0
2018-08-20 03-PM,CCTBTC,3.87e-06,3.87e-06,3.83e-06,3.86e-06,4171.79,0.01606
2018-08-20 02-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 01-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 12-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 11-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 10-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 09-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 08-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 07-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 06-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 05-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 04-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 03-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 02-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 01-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-20 12-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 11-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 10-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 09-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 08-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 07-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 06-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 05-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 04-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 03-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 02-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 01-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 12-PM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 11-AM,CCTBTC,3.87e-06,3.87e-06,3.87e-06,3.87e-06,0.0,0.0
2018-08-19 10-AM,CCTBTC,3.84e-06,3.87e-06,3.84e-06,3.87e-06,74.82,0.0002887
2018-08-19 09-AM,CCTBTC,3.57e-06,3.84e-06,3.57e-06,3.84e-06,30.56,0.0001173
2018-08-19 08-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 07-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 06-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,2759.18,0.00985
2018-08-19 05-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 04-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 03-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 02-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 01-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-19 12-AM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 11-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 10-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 09-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
2018-08-18 08-PM,CCTBTC,3.57e-06,3.58e-06,3.57e-06,3.57e-06,697.03,0.002492
2018-08-18 07-PM,CCTBTC,3.57e-06,3.57e-06,3.57e-06,3.57e-06,0.0,0.0
