Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-08-22 10-PM,DASHBTC,0.02157,0.02174,0.02157,0.0217,2180.33,47.32
2018-08-22 09-PM,DASHBTC,0.02164,0.02164,0.02157,0.02157,3645.29,78.66
2018-08-22 08-PM,DASHBTC,0.0217,0.02173,0.02146,0.02164,4062.99,87.63
2018-08-22 07-PM,DASHBTC,0.0218,0.02183,0.02162,0.0217,2634.66,57.36
2018-08-22 06-PM,DASHBTC,0.02195,0.02207,0.0218,0.0218,3273.65,71.87
2018-08-22 05-PM,DASHBTC,0.02195,0.02195,0.02194,0.02195,1104.55,24.24
2018-08-22 04-PM,DASHBTC,0.02194,0.02195,0.02179,0.02195,833.72,18.28
2018-08-22 03-PM,DASHBTC,0.02185,0.02201,0.02184,0.02194,1084.66,23.8
2018-08-22 02-PM,DASHBTC,0.02183,0.02193,0.02173,0.02185,1532.24,33.47
2018-08-22 01-PM,DASHBTC,0.02185,0.02185,0.02168,0.02183,1252.7,27.34
2018-08-22 12-PM,DASHBTC,0.02182,0.02215,0.02179,0.02185,1095.53,23.93
2018-08-22 11-AM,DASHBTC,0.02235,0.02235,0.02153,0.02182,1064.81,23.31
2018-08-22 10-AM,DASHBTC,0.02234,0.02236,0.02226,0.02235,1342.31,30.0
2018-08-22 09-AM,DASHBTC,0.02234,0.02235,0.02224,0.02234,874.4,19.51
2018-08-22 08-AM,DASHBTC,0.02221,0.02246,0.02221,0.02234,1155.99,25.77
2018-08-22 07-AM,DASHBTC,0.02222,0.02224,0.02221,0.02221,812.69,18.06
2018-08-22 06-AM,DASHBTC,0.02222,0.02224,0.02205,0.02222,1151.64,25.6
2018-08-22 05-AM,DASHBTC,0.02223,0.02223,0.02205,0.02222,1202.33,26.71
2018-08-22 04-AM,DASHBTC,0.02223,0.02224,0.02223,0.02223,3032.07,67.41
2018-08-22 03-AM,DASHBTC,0.02229,0.02236,0.02216,0.02223,2639.12,58.84
2018-08-22 02-AM,DASHBTC,0.02223,0.02244,0.02213,0.02229,1991.27,44.53
2018-08-22 01-AM,DASHBTC,0.0218,0.02223,0.02163,0.02223,2945.23,64.46
2018-08-22 12-AM,DASHBTC,0.02192,0.02193,0.0218,0.0218,2591.39,56.59
2018-08-21 11-PM,DASHBTC,0.02189,0.02194,0.02183,0.02192,4083.99,89.45
2018-08-21 10-PM,DASHBTC,0.02193,0.02193,0.02181,0.02189,3141.83,68.84
2018-08-21 09-PM,DASHBTC,0.02196,0.02211,0.02178,0.02193,2504.75,54.99
2018-08-21 08-PM,DASHBTC,0.02197,0.022,0.02178,0.02196,3348.81,73.59
2018-08-21 07-PM,DASHBTC,0.02193,0.02197,0.02186,0.02197,2866.92,62.93
2018-08-21 06-PM,DASHBTC,0.02189,0.02197,0.02183,0.02193,2657.31,58.3
2018-08-21 05-PM,DASHBTC,0.02175,0.02196,0.0217,0.02189,2577.05,56.36
2018-08-21 04-PM,DASHBTC,0.02169,0.0218,0.02162,0.02175,3359.72,73.15
2018-08-21 03-PM,DASHBTC,0.02203,0.02203,0.02163,0.02169,2689.92,58.9
2018-08-21 02-PM,DASHBTC,0.02242,0.02242,0.02194,0.02203,1834.55,40.57
2018-08-21 01-PM,DASHBTC,0.0223,0.02251,0.0223,0.02242,1761.25,39.55
2018-08-21 12-PM,DASHBTC,0.02254,0.02254,0.0223,0.0223,1877.99,42.28
2018-08-21 11-AM,DASHBTC,0.0226,0.0226,0.02231,0.02254,2018.99,45.5
2018-08-21 10-AM,DASHBTC,0.0227,0.0227,0.02239,0.0226,2271.77,51.43
2018-08-21 09-AM,DASHBTC,0.02277,0.02277,0.02247,0.0227,990.0,22.49
2018-08-21 08-AM,DASHBTC,0.02257,0.02278,0.02256,0.02277,849.71,19.26
2018-08-21 07-AM,DASHBTC,0.02262,0.02278,0.02238,0.02257,705.84,15.92
2018-08-21 06-AM,DASHBTC,0.02286,0.02287,0.02252,0.02262,748.91,17.07
2018-08-21 05-AM,DASHBTC,0.02295,0.02295,0.02274,0.02286,1192.05,27.32
2018-08-21 04-AM,DASHBTC,0.02288,0.02295,0.02288,0.02295,1546.58,35.39
2018-08-21 03-AM,DASHBTC,0.02288,0.02288,0.02288,0.02288,1747.79,39.99
2018-08-21 02-AM,DASHBTC,0.0228,0.02288,0.02275,0.02288,2173.82,49.65
2018-08-21 01-AM,DASHBTC,0.02276,0.0228,0.02276,0.0228,1914.65,43.63
2018-08-21 12-AM,DASHBTC,0.0226,0.02277,0.02259,0.02276,2727.25,61.85
2018-08-20 11-PM,DASHBTC,0.02267,0.0227,0.02256,0.0226,2616.18,59.14
2018-08-20 10-PM,DASHBTC,0.02295,0.02295,0.02256,0.02267,2222.92,50.41
2018-08-20 09-PM,DASHBTC,0.023,0.023,0.02286,0.02295,1749.73,40.16
2018-08-20 08-PM,DASHBTC,0.02315,0.02315,0.02291,0.023,1233.19,28.45
2018-08-20 07-PM,DASHBTC,0.02327,0.02327,0.02287,0.02315,2484.76,57.22
2018-08-20 06-PM,DASHBTC,0.02314,0.02335,0.0231,0.02327,3168.42,73.67
