Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2018-08-22 10-PM,DGBBTC,3.53e-06,3.53e-06,3.53e-06,3.53e-06,174.23,0.000615
2018-08-22 09-PM,DGBBTC,3.57e-06,3.57e-06,3.53e-06,3.53e-06,2055.64,0.00733
2018-08-22 08-PM,DGBBTC,3.53e-06,3.61e-06,3.53e-06,3.57e-06,7469.2,0.02659
2018-08-22 07-PM,DGBBTC,3.57e-06,3.57e-06,3.53e-06,3.53e-06,24508.39,0.08664
2018-08-22 06-PM,DGBBTC,3.65e-06,3.65e-06,3.57e-06,3.57e-06,10138.08,0.03647
2018-08-22 05-PM,DGBBTC,3.62e-06,3.7e-06,3.59e-06,3.65e-06,11139.08,0.0405
2018-08-22 04-PM,DGBBTC,3.66e-06,3.7e-06,3.59e-06,3.62e-06,5749.65,0.02087
2018-08-22 03-PM,DGBBTC,3.6e-06,3.66e-06,3.6e-06,3.66e-06,2098.38,0.007626
2018-08-22 02-PM,DGBBTC,3.72e-06,3.72e-06,3.6e-06,3.6e-06,20893.12,0.07575
2018-08-22 01-PM,DGBBTC,3.64e-06,3.72e-06,3.64e-06,3.72e-06,7864.94,0.02881
2018-08-22 12-PM,DGBBTC,3.64e-06,3.66e-06,3.64e-06,3.64e-06,3256.47,0.01186
2018-08-22 11-AM,DGBBTC,3.67e-06,3.67e-06,3.64e-06,3.64e-06,3202.22,0.01168
2018-08-22 10-AM,DGBBTC,3.67e-06,3.69e-06,3.67e-06,3.67e-06,2494.56,0.009178
2018-08-22 09-AM,DGBBTC,3.65e-06,3.7e-06,3.65e-06,3.67e-06,1065.7,0.003937
2018-08-22 08-AM,DGBBTC,3.68e-06,3.68e-06,3.65e-06,3.65e-06,4252.77,0.01554
2018-08-22 07-AM,DGBBTC,3.61e-06,3.68e-06,3.61e-06,3.68e-06,313.82,0.00114
2018-08-22 06-AM,DGBBTC,3.76e-06,3.76e-06,3.6e-06,3.61e-06,8209.18,0.03041
2018-08-22 05-AM,DGBBTC,3.68e-06,3.76e-06,3.68e-06,3.76e-06,1138.82,0.004244
2018-08-22 04-AM,DGBBTC,3.68e-06,3.68e-06,3.67e-06,3.68e-06,2964.62,0.01089
2018-08-22 03-AM,DGBBTC,3.64e-06,3.68e-06,3.62e-06,3.68e-06,2599.34,0.009491
2018-08-22 02-AM,DGBBTC,3.66e-06,3.89e-06,3.6e-06,3.64e-06,101175.37,0.3825
2018-08-22 01-AM,DGBBTC,3.67e-06,3.69e-06,3.66e-06,3.66e-06,1201.71,0.004427
2018-08-22 12-AM,DGBBTC,3.67e-06,3.67e-06,3.67e-06,3.67e-06,0.0,0.0
2018-08-21 11-PM,DGBBTC,3.66e-06,3.67e-06,3.66e-06,3.67e-06,1154.67,0.004238
2018-08-21 10-PM,DGBBTC,3.68e-06,3.79e-06,3.66e-06,3.66e-06,15946.12,0.05916
2018-08-21 09-PM,DGBBTC,3.73e-06,3.73e-06,3.68e-06,3.68e-06,1585.11,0.005834
2018-08-21 08-PM,DGBBTC,3.81e-06,3.81e-06,3.7e-06,3.73e-06,18809.97,0.06977
2018-08-21 07-PM,DGBBTC,3.77e-06,3.83e-06,3.77e-06,3.81e-06,56737.5,0.2162
2018-08-21 06-PM,DGBBTC,3.71e-06,3.8e-06,3.68e-06,3.77e-06,45587.99,0.1712
2018-08-21 05-PM,DGBBTC,3.7e-06,3.71e-06,3.7e-06,3.71e-06,870.04,0.003225
2018-08-21 04-PM,DGBBTC,3.71e-06,3.76e-06,3.69e-06,3.7e-06,14065.07,0.05221
2018-08-21 03-PM,DGBBTC,3.75e-06,3.76e-06,3.71e-06,3.71e-06,1905.64,0.007095
2018-08-21 02-PM,DGBBTC,3.73e-06,3.75e-06,3.73e-06,3.75e-06,871.85,0.003269
2018-08-21 01-PM,DGBBTC,3.74e-06,3.77e-06,3.73e-06,3.73e-06,37310.35,0.1398
2018-08-21 12-PM,DGBBTC,3.72e-06,3.74e-06,3.68e-06,3.74e-06,12700.79,0.04717
2018-08-21 11-AM,DGBBTC,3.69e-06,3.72e-06,3.69e-06,3.72e-06,443.36,0.001639
2018-08-21 10-AM,DGBBTC,3.74e-06,3.74e-06,3.69e-06,3.69e-06,5571.66,0.02075
2018-08-21 09-AM,DGBBTC,3.68e-06,3.74e-06,3.68e-06,3.74e-06,5552.81,0.02063
2018-08-21 08-AM,DGBBTC,3.67e-06,3.75e-06,3.67e-06,3.68e-06,3316.54,0.01228
2018-08-21 07-AM,DGBBTC,3.64e-06,3.75e-06,3.64e-06,3.67e-06,16610.63,0.06186
2018-08-21 06-AM,DGBBTC,3.7e-06,3.7e-06,3.64e-06,3.64e-06,4364.75,0.01596
2018-08-21 05-AM,DGBBTC,3.72e-06,3.74e-06,3.7e-06,3.7e-06,14678.22,0.05467
2018-08-21 04-AM,DGBBTC,3.72e-06,3.72e-06,3.72e-06,3.72e-06,0.0,0.0
2018-08-21 03-AM,DGBBTC,3.79e-06,3.79e-06,3.72e-06,3.72e-06,40629.0,0.1528
2018-08-21 02-AM,DGBBTC,3.77e-06,3.8e-06,3.77e-06,3.79e-06,358.34,0.001359
2018-08-21 01-AM,DGBBTC,3.77e-06,3.77e-06,3.77e-06,3.77e-06,196.8,0.0007419
2018-08-21 12-AM,DGBBTC,3.76e-06,3.77e-06,3.76e-06,3.77e-06,1258.17,0.004743
2018-08-20 11-PM,DGBBTC,3.78e-06,3.81e-06,3.76e-06,3.76e-06,985.56,0.003729
2018-08-20 10-PM,DGBBTC,3.78e-06,3.78e-06,3.78e-06,3.78e-06,0.0,0.0
2018-08-20 09-PM,DGBBTC,3.8e-06,3.83e-06,3.78e-06,3.78e-06,1499.32,0.005699
2018-08-20 08-PM,DGBBTC,3.81e-06,3.81e-06,3.8e-06,3.8e-06,599.76,0.002279
2018-08-20 07-PM,DGBBTC,3.79e-06,3.81e-06,3.79e-06,3.81e-06,1338.95,0.005097
2018-08-20 06-PM,DGBBTC,3.8e-06,3.8e-06,3.79e-06,3.79e-06,500.0,0.001895
2018-08-20 05-PM,DGBBTC,3.78e-06,3.8e-06,3.78e-06,3.8e-06,3793.83,0.01436
2018-08-20 04-PM,DGBBTC,3.79e-06,3.79e-06,3.78e-06,3.78e-06,7467.15,0.02823
2018-08-20 03-PM,DGBBTC,3.82e-06,3.83e-06,3.79e-06,3.79e-06,3111.96,0.01185
2018-08-20 02-PM,DGBBTC,3.89e-06,3.89e-06,3.82e-06,3.82e-06,3908.21,0.01503
2018-08-20 01-PM,DGBBTC,3.84e-06,3.89e-06,3.84e-06,3.89e-06,19635.77,0.07563
2018-08-20 12-PM,DGBBTC,3.8e-06,3.89e-06,3.78e-06,3.84e-06,16845.66,0.0651
2018-08-20 11-AM,DGBBTC,3.79e-06,3.85e-06,3.78e-06,3.8e-06,10146.46,0.03891
2018-08-20 10-AM,DGBBTC,3.78e-06,3.85e-06,3.78e-06,3.79e-06,9970.51,0.0381
2018-08-20 09-AM,DGBBTC,3.85e-06,3.85e-06,3.78e-06,3.78e-06,553.77,0.002098
2018-08-20 08-AM,DGBBTC,3.85e-06,3.85e-06,3.83e-06,3.85e-06,2266.8,0.008723
2018-08-20 07-AM,DGBBTC,3.92e-06,3.92e-06,3.85e-06,3.85e-06,189.92,0.0007312
2018-08-20 06-AM,DGBBTC,3.93e-06,3.93e-06,3.81e-06,3.92e-06,2158.35,0.008256
2018-08-20 05-AM,DGBBTC,3.86e-06,3.93e-06,3.77e-06,3.93e-06,7900.18,0.03083
2018-08-20 04-AM,DGBBTC,3.75e-06,3.97e-06,3.75e-06,3.86e-06,48829.08,0.192
2018-08-20 03-AM,DGBBTC,3.71e-06,3.75e-06,3.71e-06,3.75e-06,2191.98,0.008206
2018-08-20 02-AM,DGBBTC,3.75e-06,3.75e-06,3.7e-06,3.71e-06,179.59,0.0006648
2018-08-20 01-AM,DGBBTC,3.73e-06,3.75e-06,3.7e-06,3.75e-06,10146.76,0.03779
2018-08-20 12-AM,DGBBTC,3.88e-06,3.88e-06,3.73e-06,3.73e-06,29483.09,0.1121
2018-08-19 11-PM,DGBBTC,3.89e-06,3.9e-06,3.87e-06,3.88e-06,3042.5,0.01183
2018-08-19 10-PM,DGBBTC,3.89e-06,3.9e-06,3.89e-06,3.89e-06,1157.43,0.004503
2018-08-19 09-PM,DGBBTC,3.84e-06,3.95e-06,3.84e-06,3.89e-06,15563.12,0.06135
2018-08-19 08-PM,DGBBTC,3.84e-06,3.84e-06,3.84e-06,3.84e-06,0.0,0.0
2018-08-19 07-PM,DGBBTC,3.8e-06,3.94e-06,3.8e-06,3.84e-06,47704.0,0.1862
2018-08-19 06-PM,DGBBTC,3.82e-06,3.82e-06,3.8e-06,3.8e-06,1741.55,0.006635
2018-08-19 05-PM,DGBBTC,3.8e-06,3.85e-06,3.74e-06,3.82e-06,3560.66,0.01346
2018-08-19 04-PM,DGBBTC,3.73e-06,3.86e-06,3.73e-06,3.8e-06,15882.76,0.05995
2018-08-19 03-PM,DGBBTC,3.74e-06,3.75e-06,3.73e-06,3.73e-06,10860.45,0.04062
2018-08-19 02-PM,DGBBTC,3.81e-06,3.84e-06,3.74e-06,3.74e-06,27496.79,0.1044
2018-08-19 01-PM,DGBBTC,3.75e-06,3.82e-06,3.74e-06,3.81e-06,19299.5,0.07346
2018-08-19 12-PM,DGBBTC,3.76e-06,3.81e-06,3.73e-06,3.75e-06,8993.98,0.03391
2018-08-19 11-AM,DGBBTC,3.81e-06,3.81e-06,3.72e-06,3.76e-06,1719.12,0.006439
2018-08-19 10-AM,DGBBTC,3.71e-06,3.84e-06,3.71e-06,3.81e-06,8892.7,0.03386
2018-08-19 09-AM,DGBBTC,3.79e-06,3.83e-06,3.71e-06,3.71e-06,3618.75,0.01375
2018-08-19 08-AM,DGBBTC,3.76e-06,3.83e-06,3.76e-06,3.79e-06,6692.87,0.02546
2018-08-19 07-AM,DGBBTC,3.85e-06,3.86e-06,3.76e-06,3.76e-06,6030.2,0.02304
2018-08-19 06-AM,DGBBTC,3.85e-06,3.85e-06,3.81e-06,3.85e-06,2134.37,0.008171
2018-08-19 05-AM,DGBBTC,3.71e-06,3.88e-06,3.7e-06,3.85e-06,16276.24,0.06253
2018-08-19 04-AM,DGBBTC,3.78e-06,3.84e-06,3.71e-06,3.71e-06,223.24,0.0008417
2018-08-19 03-AM,DGBBTC,3.77e-06,3.82e-06,3.76e-06,3.78e-06,4901.71,0.01855
2018-08-19 02-AM,DGBBTC,3.8e-06,3.88e-06,3.77e-06,3.77e-06,2950.65,0.01135
2018-08-19 01-AM,DGBBTC,3.8e-06,3.8e-06,3.8e-06,3.8e-06,0.0,0.0
2018-08-19 12-AM,DGBBTC,3.8e-06,3.88e-06,3.74e-06,3.8e-06,5717.52,0.02161
2018-08-18 11-PM,DGBBTC,3.92e-06,3.94e-06,3.74e-06,3.8e-06,4629.98,0.01782
2018-08-18 10-PM,DGBBTC,3.94e-06,3.94e-06,3.89e-06,3.92e-06,1067.19,0.004174
2018-08-18 09-PM,DGBBTC,3.78e-06,3.95e-06,3.7e-06,3.94e-06,74062.8,0.291
2018-08-18 08-PM,DGBBTC,3.59e-06,3.8e-06,3.59e-06,3.78e-06,657.87,0.002456
2018-08-18 07-PM,DGBBTC,3.55e-06,3.93e-06,3.53e-06,3.59e-06,51190.0,0.1824
2018-08-18 06-PM,DGBBTC,3.72e-06,3.76e-06,3.55e-06,3.55e-06,62632.09,0.2278
2018-08-18 05-PM,DGBBTC,3.78e-06,3.8e-06,3.67e-06,3.72e-06,63754.7,0.2374
2018-08-18 04-PM,DGBBTC,3.75e-06,3.93e-06,3.75e-06,3.78e-06,33446.92,0.1274
2018-08-18 03-PM,DGBBTC,3.82e-06,3.94e-06,3.75e-06,3.75e-06,34685.25,0.1336
2018-08-18 02-PM,DGBBTC,3.88e-06,3.88e-06,3.81e-06,3.82e-06,1633.36,0.006227
2018-08-18 01-PM,DGBBTC,3.84e-06,3.98e-06,3.8e-06,3.88e-06,20904.86,0.08257
2018-08-18 12-PM,DGBBTC,3.82e-06,3.93e-06,3.72e-06,3.84e-06,21323.48,0.08246
2018-08-18 11-AM,DGBBTC,3.79e-06,3.82e-06,3.74e-06,3.82e-06,12536.04,0.04756
2018-08-18 10-AM,DGBBTC,3.88e-06,3.97e-06,3.73e-06,3.79e-06,31560.97,0.1213
2018-08-18 09-AM,DGBBTC,3.97e-06,3.98e-06,3.73e-06,3.88e-06,1600260.76,6.37
2018-08-18 08-AM,DGBBTC,3.98e-06,4.0e-06,3.94e-06,3.97e-06,184307.84,0.7317
2018-08-18 07-AM,DGBBTC,3.96e-06,3.98e-06,3.96e-06,3.98e-06,80.0,0.0003184
2018-08-18 06-AM,DGBBTC,4.08e-06,4.19e-06,3.96e-06,3.96e-06,65570.96,0.2714
2018-08-18 05-AM,DGBBTC,3.97e-06,4.09e-06,3.9e-06,4.08e-06,55249.7,0.2223
2018-08-18 04-AM,DGBBTC,3.97e-06,3.97e-06,3.9e-06,3.97e-06,9386.88,0.03706
