Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume USD
2018-08-22 11-PM,EOSUSD,6.01,6.01,6.01,6.01,0.0,0.0
2018-08-22 10-PM,EOSUSD,6.01,6.01,6.01,6.01,0.0,0.0
2018-08-22 09-PM,EOSUSD,6.01,6.06,6.01,6.01,0.7245,4.38
2018-08-22 08-PM,EOSUSD,6.09,6.09,6.01,6.01,14.02,84.25
2018-08-22 07-PM,EOSUSD,6.11,6.11,6.09,6.09,2.68,16.33
2018-08-22 06-PM,EOSUSD,6.11,6.11,6.11,6.11,3.76,22.98
2018-08-22 05-PM,EOSUSD,6.12,6.12,6.11,6.11,13.63,83.31
2018-08-22 04-PM,EOSUSD,6.15,6.15,6.12,6.12,2.85,17.49
2018-08-22 03-PM,EOSUSD,6.15,6.15,6.15,6.15,3.14,19.32
2018-08-22 02-PM,EOSUSD,6.15,6.15,6.15,6.15,1.93,11.88
2018-08-22 01-PM,EOSUSD,6.11,6.26,6.11,6.15,22.1,136.12
2018-08-22 12-PM,EOSUSD,6.11,6.11,6.11,6.11,0.0,0.0
2018-08-22 11-AM,EOSUSD,6.11,6.11,6.11,6.11,0.0,0.0
2018-08-22 10-AM,EOSUSD,6.11,6.11,6.11,6.11,0.5,3.06
2018-08-22 09-AM,EOSUSD,6.11,6.11,6.11,6.11,13.99,85.48
2018-08-22 08-AM,EOSUSD,6.11,6.11,6.11,6.11,0.0,0.0
2018-08-22 07-AM,EOSUSD,6.11,6.26,6.11,6.11,5.82,35.75
2018-08-22 06-AM,EOSUSD,6.11,6.11,6.11,6.11,7.34,44.86
2018-08-22 05-AM,EOSUSD,6.26,6.26,6.11,6.11,2.46,15.02
2018-08-22 04-AM,EOSUSD,6.26,6.26,6.26,6.26,0.1,0.6258
2018-08-22 03-AM,EOSUSD,6.26,6.26,6.26,6.26,0.0,0.0
2018-08-22 02-AM,EOSUSD,6.26,6.26,6.26,6.26,2.97,18.57
2018-08-22 01-AM,EOSUSD,6.4,6.4,6.11,6.26,21.93,134.77
2018-08-22 12-AM,EOSUSD,6.4,6.4,6.4,6.4,0.0,0.0
2018-08-21 11-PM,EOSUSD,6.24,6.4,6.24,6.4,1.0,6.4
2018-08-21 10-PM,EOSUSD,6.24,6.24,6.24,6.24,0.0,0.0
2018-08-21 09-PM,EOSUSD,6.3,6.3,6.24,6.24,3.46,21.59
2018-08-21 08-PM,EOSUSD,6.11,6.3,6.11,6.3,4.54,28.6
2018-08-21 07-PM,EOSUSD,6.18,6.5,6.11,6.11,2.03,12.8
2018-08-21 06-PM,EOSUSD,6.11,6.18,6.11,6.18,7.87,48.46
2018-08-21 05-PM,EOSUSD,6.2,6.2,6.11,6.11,0.5561,3.4
2018-08-21 04-PM,EOSUSD,6.11,6.28,6.11,6.2,45.36,278.39
2018-08-21 03-PM,EOSUSD,6.48,6.48,6.11,6.11,9.08,55.68
2018-08-21 02-PM,EOSUSD,6.48,6.48,6.48,6.48,0.0,0.0
2018-08-21 01-PM,EOSUSD,6.57,6.57,6.48,6.48,0.99,6.42
2018-08-21 12-PM,EOSUSD,6.11,6.57,6.11,6.57,1.0,6.57
2018-08-21 11-AM,EOSUSD,6.11,6.11,6.11,6.11,0.0,0.0
2018-08-21 10-AM,EOSUSD,6.33,6.33,6.11,6.11,7.49,45.76
2018-08-21 09-AM,EOSUSD,6.09,6.33,6.09,6.33,9.22,58.17
