Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume RUR
2019-07-03,ETCRUR,498,501.58,490,493,64.3,31781.39
2019-07-02,ETCRUR,486,548,462.01,498,461.63,229819.53
2019-07-01,ETCRUR,498.93,516.12,473,486,422.87,206433.25
2019-06-30,ETCRUR,521.04,540.57,475,498.93,532.42,269878.07
2019-06-29,ETCRUR,512,524,500,521.04,883.46,449481.85
2019-06-28,ETCRUR,468.73,519,468.73,512,769.58,383492.19
2019-06-27,ETCRUR,569.77,570,455.77,468.73,1447.56,739461.88
2019-06-26,ETCRUR,574,634.69,541,569.77,1675.88,1009733.23
2019-06-25,ETCRUR,575,580,561,574,432.15,247254.84
2019-06-24,ETCRUR,573.44,590,559.81,575,716.24,410800.03
2019-06-23,ETCRUR,576.58,590,560,573.44,652.29,373791.37
2019-06-22,ETCRUR,544.43,590,544.32,576.58,802.11,452390.52
2019-06-21,ETCRUR,535.9,550,530,544.43,692.13,373434.33
2019-06-20,ETCRUR,539.63,540,525,535.9,381.05,202733.89
2019-06-19,ETCRUR,536.28,540.14,525,539.63,351.52,187669.95
2019-06-18,ETCRUR,554.88,554.89,530,536.28,472.95,256373.15
2019-06-17,ETCRUR,549.37,560.41,538,554.88,795.71,436571.83
2019-06-16,ETCRUR,535.62,564.5,535.62,549.37,502.82,276114.18
2019-06-15,ETCRUR,539.65,550,530.63,535.62,621.21,336013.15
2019-06-14,ETCRUR,548.48,549.59,525,535,425.82,227675.25
2019-06-13,ETCRUR,555,559.27,540,548.48,577.89,318594.22
2019-06-12,ETCRUR,536.32,567.71,530,555,719.79,394896.25
2019-06-11,ETCRUR,539.6,549,526.18,536.32,577.11,308177.95
2019-06-10,ETCRUR,545.98,550,530.62,539.6,353.63,191550.76
2019-06-09,ETCRUR,558.78,559,529.6,545.98,373.59,202116.13
2019-06-08,ETCRUR,540.13,570,532.84,558.78,517.23,286750.41
2019-06-07,ETCRUR,521,543,512.7,540.13,835.02,439944.85
2019-06-06,ETCRUR,531.95,536.52,490.1,521,1018.39,523092.91
2019-06-05,ETCRUR,550,551.42,516.2,531.95,1473.79,777041.2
2019-06-04,ETCRUR,618.13,618.13,509,550,1192.35,675077.56
2019-06-03,ETCRUR,607.01,632.82,595,618.13,1851.28,1135871.51
2019-06-02,ETCRUR,556.65,612.69,554,607.01,1424.56,843927.1
2019-06-01,ETCRUR,551.61,574.36,547,556.65,850.61,474910.64
2019-05-31,ETCRUR,526.51,560,513,551.61,932.26,498181.99
2019-05-30,ETCRUR,521.58,560,513,526.51,1027.13,555786.45
2019-05-29,ETCRUR,515.51,532,505,521.41,730.6,377139.8
