Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume USD
2018-08-22 11-PM,ETCUSD,12.8,12.8,12.8,12.8,0.0,0.0
2018-08-22 10-PM,ETCUSD,12.74,12.81,12.54,12.8,5.49,70.28
2018-08-22 09-PM,ETCUSD,12.74,12.8,12.64,12.74,41.99,534.98
2018-08-22 08-PM,ETCUSD,12.8,12.8,12.55,12.74,9.52,120.45
2018-08-22 07-PM,ETCUSD,12.9,13,12.8,12.8,236.15,3033.01
2018-08-22 06-PM,ETCUSD,13,13,12.9,12.9,70.39,908.93
2018-08-22 05-PM,ETCUSD,13,13.17,13,13,20.8,273.16
2018-08-22 04-PM,ETCUSD,13,13.17,13,13,89.37,1163.76
2018-08-22 03-PM,ETCUSD,13.14,13.14,13,13,80.78,1056.78
2018-08-22 02-PM,ETCUSD,13.14,13.2,13.14,13.14,7.34,96.55
2018-08-22 01-PM,ETCUSD,13,13.19,13,13.14,61.84,813.38
2018-08-22 12-PM,ETCUSD,13,13.1,13,13,7.5,98.22
2018-08-22 11-AM,ETCUSD,13,13.15,13,13,5.42,70.53
2018-08-22 10-AM,ETCUSD,13.15,13.15,13,13,2.17,28.18
2018-08-22 09-AM,ETCUSD,13.02,13.15,13.02,13.15,43.46,566.69
2018-08-22 08-AM,ETCUSD,13.09,13.1,12.91,13.02,59.15,769.66
2018-08-22 07-AM,ETCUSD,13.17,13.17,13.05,13.09,35.74,467.15
2018-08-22 06-AM,ETCUSD,13.06,13.2,13.06,13.17,108.43,1419.75
2018-08-22 05-AM,ETCUSD,13.32,13.32,13.01,13.06,19.27,254.56
2018-08-22 04-AM,ETCUSD,13.19,13.35,13,13.32,265.62,3490.55
2018-08-22 03-AM,ETCUSD,13.11,13.36,13.11,13.19,33.81,450.86
2018-08-22 02-AM,ETCUSD,13.5,13.5,13,13.11,1.78,23.15
2018-08-22 01-AM,ETCUSD,13,13.5,13,13.5,156.12,2071.86
2018-08-22 12-AM,ETCUSD,13,13.01,13,13,5.88,76.47
2018-08-21 11-PM,ETCUSD,13.11,13.11,13,13,1.0,13.0
2018-08-21 10-PM,ETCUSD,12.85,13.11,12.85,13.11,3.45,45.27
2018-08-21 09-PM,ETCUSD,12.95,13.12,12.85,12.85,6.77,87.24
2018-08-21 08-PM,ETCUSD,12.95,13.12,12.95,12.95,2.47,32.16
2018-08-21 07-PM,ETCUSD,12.84,12.95,12.8,12.95,154.22,1992.18
2018-08-21 06-PM,ETCUSD,12.77,12.84,12.77,12.84,18.6,238.83
2018-08-21 05-PM,ETCUSD,12.77,12.77,12.77,12.77,2.0,25.57
2018-08-21 04-PM,ETCUSD,12.95,12.95,12.77,12.77,10.97,140.78
2018-08-21 03-PM,ETCUSD,12.95,12.95,12.82,12.95,19.5,250.47
2018-08-21 02-PM,ETCUSD,12.96,12.96,12.82,12.95,23.89,308.65
2018-08-21 01-PM,ETCUSD,13.13,13.13,12.96,12.96,14.36,186.93
2018-08-21 12-PM,ETCUSD,12.95,13.13,12.95,13.13,5.76,75.61
2018-08-21 11-AM,ETCUSD,13.03,13.14,12.95,12.95,25.61,334.73
2018-08-21 10-AM,ETCUSD,13.14,13.14,12.87,13.03,30.51,398.16
2018-08-21 09-AM,ETCUSD,13.14,13.14,12.95,13.14,18.77,245.9
2018-08-21 08-AM,ETCUSD,12.95,13.14,12.9,13.14,52.83,684.54
2018-08-21 07-AM,ETCUSD,13,13.3,12.95,12.95,10.86,142.04
2018-08-21 06-AM,ETCUSD,12.78,13,12.78,13,12.27,159.51
2018-08-21 05-AM,ETCUSD,12.77,12.78,12.77,12.78,10.45,133.55
2018-08-21 04-AM,ETCUSD,12.9,12.9,12.77,12.77,5.18,66.28
2018-08-21 03-AM,ETCUSD,13,13.19,12.8,12.9,107.0,1380.55
2018-08-21 02-AM,ETCUSD,13.2,13.2,13,13,7.54,98.07
2018-08-21 01-AM,ETCUSD,13,13.2,13,13.2,1.69,22.22
2018-08-21 12-AM,ETCUSD,13.29,13.29,13,13,10.25,133.29
2018-08-20 11-PM,ETCUSD,13.36,13.36,13,13.29,39.52,518.03
2018-08-20 10-PM,ETCUSD,13.4,13.49,13.28,13.36,47.32,629.31
2018-08-20 09-PM,ETCUSD,13.32,13.54,13.32,13.4,4.31,57.85
2018-08-20 08-PM,ETCUSD,13.31,13.52,13.31,13.32,7.51,101.29
2018-08-20 07-PM,ETCUSD,13.4,13.4,13.31,13.31,17.01,227.48
2018-08-20 06-PM,ETCUSD,13.4,13.4,13.4,13.4,2.91,38.96
2018-08-20 05-PM,ETCUSD,13.45,13.45,13.32,13.4,44.68,597.81
2018-08-20 04-PM,ETCUSD,13.3,13.54,13.3,13.45,15.12,202.78
2018-08-20 03-PM,ETCUSD,13.35,13.5,13.3,13.3,31.2,418.16
2018-08-20 02-PM,ETCUSD,13.21,13.35,13.21,13.35,40.67,540.55
2018-08-20 01-PM,ETCUSD,13.3,13.3,13.21,13.21,11.55,152.76
2018-08-20 12-PM,ETCUSD,13.3,13.32,13.3,13.3,4.06,54.02
2018-08-20 11-AM,ETCUSD,13.27,13.3,13.27,13.3,16.13,214.6
2018-08-20 10-AM,ETCUSD,13.3,13.3,13.23,13.27,58.12,772.75
2018-08-20 09-AM,ETCUSD,13.4,13.4,13.3,13.3,136.54,1824.33
2018-08-20 08-AM,ETCUSD,13.5,13.5,13.4,13.4,93.21,1250.7
2018-08-20 07-AM,ETCUSD,13.5,13.5,13.5,13.5,74.36,1004.02
2018-08-20 06-AM,ETCUSD,13.5,13.5,13.5,13.5,14.49,195.58
2018-08-20 05-AM,ETCUSD,13.5,13.5,13.5,13.5,0.7905,10.67
2018-08-20 04-AM,ETCUSD,13.68,13.68,13.5,13.5,12.02,164.24
2018-08-20 03-AM,ETCUSD,13.68,13.68,13.68,13.68,4.48,61.26
2018-08-20 02-AM,ETCUSD,13.71,13.8,13.68,13.68,2.69,37.06
2018-08-20 01-AM,ETCUSD,13.8,13.8,13.71,13.71,5.72,78.42
2018-08-20 12-AM,ETCUSD,13.67,13.8,13.67,13.8,8.97,123.36
2018-08-19 11-PM,ETCUSD,13.78,13.87,13.65,13.67,3.02,41.47
2018-08-19 10-PM,ETCUSD,13.9,13.9,13.6,13.78,4.14,56.64
2018-08-19 09-PM,ETCUSD,13.84,13.9,13.7,13.9,34.28,476.29
2018-08-19 08-PM,ETCUSD,13.72,13.87,13.54,13.84,28.31,388.95
2018-08-19 07-PM,ETCUSD,13.39,13.72,13.39,13.72,108.95,1468.09
2018-08-19 06-PM,ETCUSD,13.39,13.45,13.39,13.39,25.73,344.71
2018-08-19 05-PM,ETCUSD,13.56,13.64,13.39,13.39,159.44,2146.49
2018-08-19 04-PM,ETCUSD,13.65,13.78,13.55,13.56,31.73,436.48
2018-08-19 03-PM,ETCUSD,13.81,13.81,13.65,13.65,35.91,494.23
2018-08-19 02-PM,ETCUSD,13.77,13.96,13.77,13.81,26.23,364.41
2018-08-19 01-PM,ETCUSD,13.54,13.77,13.54,13.77,8.67,118.91
2018-08-19 12-PM,ETCUSD,13.76,13.76,13.54,13.54,11.18,153.13
2018-08-19 11-AM,ETCUSD,13.45,13.76,13.45,13.76,87.93,1191.29
2018-08-19 10-AM,ETCUSD,13.66,13.66,13.45,13.45,19.64,264.14
2018-08-19 09-AM,ETCUSD,13.38,13.66,13.38,13.66,6.9,92.76
2018-08-19 08-AM,ETCUSD,13.5,13.66,13.38,13.38,15.6,211.89
2018-08-19 07-AM,ETCUSD,13.56,13.57,13.5,13.5,80.91,1092.69
2018-08-19 06-AM,ETCUSD,13.5,13.56,13.5,13.56,3.42,46.26
2018-08-19 05-AM,ETCUSD,13.31,13.63,13.31,13.5,13.35,180.8
2018-08-19 04-AM,ETCUSD,13.36,13.36,13.31,13.31,1.29,17.18
2018-08-19 03-AM,ETCUSD,13.46,13.72,13.36,13.36,5.16,69.49
2018-08-19 02-AM,ETCUSD,13.46,13.5,13.46,13.46,0.6007,8.09
2018-08-19 01-AM,ETCUSD,13.76,13.76,13.46,13.46,0.1978,2.66
2018-08-19 12-AM,ETCUSD,13.76,13.76,13.46,13.76,54.57,741.31
2018-08-18 11-PM,ETCUSD,13.67,13.76,13.39,13.76,71.64,982.06
2018-08-18 10-PM,ETCUSD,13.57,13.67,13.57,13.67,2.17,29.61
2018-08-18 09-PM,ETCUSD,13.31,13.57,13.31,13.57,6.88,92.24
