Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-08-22 10-PM,ETHBTC,0.04199,0.04212,0.0414,0.042,809.06,33.98
2018-08-22 09-PM,ETHBTC,0.04236,0.04236,0.04161,0.04199,1109.56,46.42
2018-08-22 08-PM,ETHBTC,0.04214,0.04269,0.04209,0.04236,886.42,37.75
2018-08-22 07-PM,ETHBTC,0.04248,0.04248,0.04207,0.04214,809.83,34.2
2018-08-22 06-PM,ETHBTC,0.0427,0.0427,0.04245,0.04248,991.89,42.23
2018-08-22 05-PM,ETHBTC,0.04269,0.0427,0.04269,0.0427,117.35,5.01
2018-08-22 04-PM,ETHBTC,0.04262,0.04269,0.04252,0.04269,65.52,2.79
2018-08-22 03-PM,ETHBTC,0.04265,0.04276,0.04261,0.04262,63.2,2.7
2018-08-22 02-PM,ETHBTC,0.04261,0.04289,0.04261,0.04265,769.62,32.87
2018-08-22 01-PM,ETHBTC,0.04273,0.04274,0.0426,0.04261,588.84,25.14
2018-08-22 12-PM,ETHBTC,0.04279,0.0428,0.04257,0.04273,527.4,22.55
2018-08-22 11-AM,ETHBTC,0.04266,0.04279,0.04252,0.04279,337.88,14.41
2018-08-22 10-AM,ETHBTC,0.04262,0.04279,0.04252,0.04266,617.37,26.33
2018-08-22 09-AM,ETHBTC,0.0425,0.04263,0.0424,0.04262,673.15,28.69
2018-08-22 08-AM,ETHBTC,0.04265,0.04272,0.04242,0.0425,985.05,41.96
2018-08-22 07-AM,ETHBTC,0.0427,0.04279,0.04225,0.04265,852.12,36.33
2018-08-22 06-AM,ETHBTC,0.04281,0.043,0.0425,0.0427,930.03,39.82
2018-08-22 05-AM,ETHBTC,0.0431,0.0431,0.04268,0.04281,1153.6,49.55
2018-08-22 04-AM,ETHBTC,0.04342,0.04344,0.04301,0.0431,1517.86,65.71
2018-08-22 03-AM,ETHBTC,0.04342,0.04355,0.04314,0.04342,1610.33,69.83
2018-08-22 02-AM,ETHBTC,0.04329,0.04355,0.04329,0.04342,2342.41,101.84
2018-08-22 01-AM,ETHBTC,0.04307,0.04367,0.04279,0.04329,1255.73,54.53
2018-08-22 12-AM,ETHBTC,0.04335,0.04342,0.04301,0.04307,1579.71,68.26
2018-08-21 11-PM,ETHBTC,0.04322,0.04345,0.04322,0.04335,1459.96,63.32
2018-08-21 10-PM,ETHBTC,0.04318,0.04345,0.04304,0.04322,1451.66,62.78
2018-08-21 09-PM,ETHBTC,0.04295,0.0434,0.0429,0.04318,1205.08,52.06
2018-08-21 08-PM,ETHBTC,0.04296,0.04309,0.04283,0.04295,962.52,41.44
2018-08-21 07-PM,ETHBTC,0.04282,0.04308,0.04282,0.04296,982.26,42.25
2018-08-21 06-PM,ETHBTC,0.04267,0.04298,0.04266,0.04282,1584.04,67.9
2018-08-21 05-PM,ETHBTC,0.043,0.04304,0.04262,0.04267,1290.49,55.35
2018-08-21 04-PM,ETHBTC,0.04297,0.043,0.0425,0.043,883.36,37.75
2018-08-21 03-PM,ETHBTC,0.04305,0.04311,0.04289,0.04297,986.5,42.42
2018-08-21 02-PM,ETHBTC,0.0431,0.04316,0.0427,0.04305,1194.01,51.25
2018-08-21 01-PM,ETHBTC,0.04358,0.0437,0.0431,0.0431,971.95,42.13
2018-08-21 12-PM,ETHBTC,0.0437,0.04375,0.04355,0.04358,8162.39,356.16
