Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-08-22 11-PM,ETHRUR,18598.04,18598.04,18598.04,18598.04,0.0,0.0
2018-08-22 10-PM,ETHRUR,18505,18911.99,18249.74,18598.04,15.97,294396.24
2018-08-22 09-PM,ETHRUR,18899.99,18899.99,18502,18505,14.58,271780.61
2018-08-22 08-PM,ETHRUR,18733.55,18914.81,18733,18899.99,7.68,144111.16
2018-08-22 07-PM,ETHRUR,18772,18950,18711,18733.55,20.33,382142.6
2018-08-22 06-PM,ETHRUR,18900.03,18960,18700.05,18772,19.56,369209.74
2018-08-22 05-PM,ETHRUR,19095.26,19095.26,18870.51,18900.03,2.77,52578.64
2018-08-22 04-PM,ETHRUR,19000,19100,18700,19095.26,14.78,279449.41
2018-08-22 03-PM,ETHRUR,19200,19243.97,19000,19000,9.23,176106.67
2018-08-22 02-PM,ETHRUR,19086.01,19321,19086.01,19200,11.61,222890.63
2018-08-22 01-PM,ETHRUR,19109.01,19255,19070.05,19086.01,5.67,108586.8
2018-08-22 12-PM,ETHRUR,19200,19250,19061.38,19109.01,5.19,99500.26
2018-08-22 11-AM,ETHRUR,19200,19200,19014.17,19200,6.54,124853.3
2018-08-22 10-AM,ETHRUR,19138,19321,18950.33,19200,17.46,335401.66
2018-08-22 09-AM,ETHRUR,18989.43,19138,18904.4,19138,8.32,158022.71
2018-08-22 08-AM,ETHRUR,19100,19100,18936.39,18989.43,3.56,67537.23
2018-08-22 07-AM,ETHRUR,19150,19280,18950,19100,18.7,357544.59
2018-08-22 06-AM,ETHRUR,19061,19297.97,19027.61,19150,6.65,127856.51
2018-08-22 05-AM,ETHRUR,19169.96,19339.97,19026.62,19061,5.63,107326.91
2018-08-22 04-AM,ETHRUR,19400,19443,19169.96,19169.96,4.61,89015.8
2018-08-22 03-AM,ETHRUR,19250,19451,19245.71,19400,1.85,35828.55
2018-08-22 02-AM,ETHRUR,19271.14,19479.1,19213.67,19250,2.54,48959.44
2018-08-22 01-AM,ETHRUR,19097.01,19479.1,19097.01,19271.14,7.98,154213.29
2018-08-22 12-AM,ETHRUR,19055.62,19299,19055.62,19097.01,0.2898,5556.99
2018-08-21 11-PM,ETHRUR,19298.98,19299,19050.52,19055.62,1.21,23156.37
2018-08-21 10-PM,ETHRUR,19007.08,19299,19007.08,19298.98,3.41,65623.41
2018-08-21 09-PM,ETHRUR,19140,19183.93,18987.33,19007.08,1.57,29871.24
2018-08-21 08-PM,ETHRUR,18950,19200,18950,19140,2.16,41234.55
2018-08-21 07-PM,ETHRUR,19115.53,19200,18900.07,18950,7.36,140088.54
2018-08-21 06-PM,ETHRUR,18868,19115.53,18860.8,19115.53,4.67,88850.03
2018-08-21 05-PM,ETHRUR,19000,19290,18846.53,18868,6.26,118624.43
2018-08-21 04-PM,ETHRUR,18949,19000,18782.07,19000,17.6,332934.21
2018-08-21 03-PM,ETHRUR,18850,18985,18700,18949,41.55,780226.77
2018-08-21 02-PM,ETHRUR,19150.02,19241.21,18800,18850,33.85,639679.66
2018-08-21 01-PM,ETHRUR,19375,19375,19131.01,19150.02,4.71,90281.03
2018-08-21 12-PM,ETHRUR,19385,19385,19209,19375,5.89,113691.36
2018-08-21 11-AM,ETHRUR,19385,19397,19210.03,19385,6.57,127279.55
2018-08-21 10-AM,ETHRUR,19128.01,19392,19128.01,19385,7.1,136690.17
2018-08-21 09-AM,ETHRUR,19415,19420,19128.01,19128.01,5.95,114941.59
2018-08-21 08-AM,ETHRUR,19173.02,19479.1,19000,19415,23.03,441176.07
2018-08-21 07-AM,ETHRUR,19201.48,19445.44,19081.04,19173.02,8.18,157873.89
2018-08-21 06-AM,ETHRUR,19300,19500,19200.03,19201.48,6.71,129963.42
2018-08-21 05-AM,ETHRUR,19060.01,19300,19060.01,19300,3.74,71815.53
2018-08-21 04-AM,ETHRUR,19150,19150,19020.26,19060.01,2.56,48842.52
2018-08-21 03-AM,ETHRUR,19069.47,19299.94,19000.39,19150,8.45,160960.8
2018-08-21 02-AM,ETHRUR,19000.39,19312.39,19000.39,19069.47,1.46,27916.41
2018-08-21 01-AM,ETHRUR,19000.05,19391.87,19000,19000.39,1.27,24102.45
2018-08-21 12-AM,ETHRUR,19000,19100,19000,19000.05,1.14,21721.18
2018-08-20 11-PM,ETHRUR,19190.97,19379.96,19000,19000,1.63,31072.78
2018-08-20 10-PM,ETHRUR,19600,19674,19000,19190.97,15.22,291322.36
2018-08-20 09-PM,ETHRUR,19367.03,19675,19367.03,19600,1.87,36551.43
2018-08-20 08-PM,ETHRUR,19351,19650,19301,19367.03,2.77,53827.78
2018-08-20 07-PM,ETHRUR,19726.99,19800,19300,19351,23.57,460699.64
2018-08-20 06-PM,ETHRUR,19570.07,19728,19545,19726.99,7.12,139693.2
2018-08-20 05-PM,ETHRUR,19750,19753,19540.14,19570.07,6.55,128393.99
2018-08-20 04-PM,ETHRUR,19670.97,19750,19502.01,19750,12.23,240106.36
2018-08-20 03-PM,ETHRUR,19696.99,19697,19500,19670.97,22.12,431654.89
2018-08-20 02-PM,ETHRUR,19517,19699,19500,19696.99,6.48,126785.11
2018-08-20 01-PM,ETHRUR,19800.1,19989,19500,19517,9.42,185118.32
2018-08-20 12-PM,ETHRUR,20000,20010,19800.1,19800.1,7.92,157479.64
2018-08-20 11-AM,ETHRUR,19860,20039.78,19850.98,20000,4.33,86101.84
2018-08-20 10-AM,ETHRUR,19964.93,19964.93,19850.98,19860,3.53,70054.95
2018-08-20 09-AM,ETHRUR,19960,19970,19850,19964.93,7.66,152373.18
2018-08-20 08-AM,ETHRUR,20037,20187,19960,19960,19.63,392990.41
2018-08-20 07-AM,ETHRUR,20174.09,20201.01,20037,20037,11.9,238989.3
2018-08-20 06-AM,ETHRUR,20262.13,20326.5,20174.09,20174.09,7.98,161639.45
2018-08-20 05-AM,ETHRUR,20326.35,20326.5,20262.13,20262.13,6.96,141290.67
2018-08-20 04-AM,ETHRUR,20500,20500,20325.15,20326.35,2.58,52553.43
2018-08-20 03-AM,ETHRUR,20500,20559.99,20500,20500,2.67,54691.36
2018-08-20 02-AM,ETHRUR,20560,20560,20500,20500,1.34,27451.13
2018-08-20 01-AM,ETHRUR,20500,20633.99,20500,20560,4.72,96992.94
2018-08-20 12-AM,ETHRUR,20500,20635,20500,20500,5.83,119504.69
2018-08-19 11-PM,ETHRUR,20500,20635,20500,20500,1.91,39248.74
2018-08-19 10-PM,ETHRUR,20413.21,20644,20381.01,20500,1.86,38062.43
2018-08-19 09-PM,ETHRUR,20600,20644.8,20410,20413.21,0.8362,17150.52
2018-08-19 08-PM,ETHRUR,20450,20600,20325.01,20600,7.59,155201.29
2018-08-19 07-PM,ETHRUR,20335,20490,20325.01,20450,6.11,124605.18
2018-08-19 06-PM,ETHRUR,20405,20497,20325.01,20335,5.18,105415.12
2018-08-19 05-PM,ETHRUR,20401,20499,20401,20405,2.12,43245.57
2018-08-19 04-PM,ETHRUR,20570,20570,20300.12,20401,10.66,218639.8
2018-08-19 03-PM,ETHRUR,20550.11,20640.11,20270,20570,20.81,427485.83
2018-08-19 02-PM,ETHRUR,20315,20701,20315,20550.11,4.35,89528.86
2018-08-19 01-PM,ETHRUR,20262.21,20550,20262.21,20315,11.79,240677.17
2018-08-19 12-PM,ETHRUR,20440.23,20450,20258.9,20262.21,7.86,160108.28
2018-08-19 11-AM,ETHRUR,20135,20450,20135,20440.23,7.49,151847.64
2018-08-19 10-AM,ETHRUR,20200,20385,20133.4,20135,6.54,131948.64
2018-08-19 09-AM,ETHRUR,20145.2,20446.16,20145.2,20200,5.68,115181.53
2018-08-19 08-AM,ETHRUR,20166.97,20370,20099,20145.2,7.83,157626.92
2018-08-19 07-AM,ETHRUR,20050,20371.62,20050,20166.97,9.19,186225.55
2018-08-19 06-AM,ETHRUR,20030,20230,20030,20050,3.62,72690.93
2018-08-19 05-AM,ETHRUR,19999.9,20167,19892.75,20030,7.45,149207.78
2018-08-19 04-AM,ETHRUR,19885,20090,19874.48,19999.9,1.42,28343.85
2018-08-19 03-AM,ETHRUR,20007.17,20007.17,19874.28,19885,3.58,71543.34
2018-08-19 02-AM,ETHRUR,20007.17,20130.05,20000,20007.17,7.06,141151.74
2018-08-19 01-AM,ETHRUR,20099,20350.82,20007.17,20007.17,0.6565,13170.09
2018-08-19 12-AM,ETHRUR,20498.04,20498.04,20007,20099,0.9678,19450.9
2018-08-18 11-PM,ETHRUR,20113.74,20500,20007,20498.04,3.52,71236.21
2018-08-18 10-PM,ETHRUR,20102.01,20490,20007,20113.74,7.13,145212.17
2018-08-18 09-PM,ETHRUR,20000,20360,20000,20102.01,3.4,68443.88
2018-08-18 08-PM,ETHRUR,19984.8,20000,19810.15,20000,2.38,47455.28
2018-08-18 07-PM,ETHRUR,19810,20000,19712,19984.8,4.97,98598.41
2018-08-18 06-PM,ETHRUR,19706,19999.99,19588.48,19810,3.84,76337.75
2018-08-18 05-PM,ETHRUR,19826.93,19916.14,19560,19706,6.2,121899.43
2018-08-18 04-PM,ETHRUR,20020,20199.86,19650,19826.93,11.32,224879.76
2018-08-18 03-PM,ETHRUR,20500,20558.09,19960,20020,25.57,515085.14
2018-08-18 02-PM,ETHRUR,20812.21,20949.99,20500,20500,6.48,133994.97
2018-08-18 01-PM,ETHRUR,21000.17,21199,20812.21,20812.21,7.82,163794.24
2018-08-18 12-PM,ETHRUR,20966.92,21193.35,20813.49,21000.17,6.55,137774.14
2018-08-18 11-AM,ETHRUR,20955.21,21170,20810.03,20966.92,5.33,111753.65
2018-08-18 10-AM,ETHRUR,20800,20955.26,20632.14,20955.21,3.78,78705.95
2018-08-18 09-AM,ETHRUR,20870,21000,20631.86,20800,16.57,343464.8
2018-08-18 08-AM,ETHRUR,20652,20928.26,20650.1,20870,4.62,96004.8
2018-08-18 07-AM,ETHRUR,20880.8,20900,20631.82,20652,6.24,129471.67
2018-08-18 06-AM,ETHRUR,20963.47,21193.37,20880.8,20880.8,6.21,130406.84
2018-08-18 05-AM,ETHRUR,21248.99,21248.99,20963.08,20963.47,3.75,78762.2
2018-08-18 04-AM,ETHRUR,21077.49,21336,20960.82,21248.99,3.26,68807.53
2018-08-18 03-AM,ETHRUR,21241.66,21330.93,20960.75,21077.49,11.94,252353.6
2018-08-18 02-AM,ETHRUR,21331.18,21594.54,21027.4,21241.66,2.55,54500.25
2018-08-18 01-AM,ETHRUR,21200,21614.5,21000.13,21331.18,9.25,198307.47
2018-08-18 12-AM,ETHRUR,20899.08,21360,20899.08,21200,3.35,71228.47
2018-08-17 11-PM,ETHRUR,21300.14,21300.14,20734.08,20899.08,4.06,85392.02
2018-08-17 10-PM,ETHRUR,20650,21300.14,20650,21300.14,6.0,126457.54
2018-08-17 09-PM,ETHRUR,20580,20695.2,20430.2,20650,6.89,141414.74
2018-08-17 08-PM,ETHRUR,20533.69,20582.99,20430.2,20580,4.2,86004.35
2018-08-17 07-PM,ETHRUR,20550,20598.99,20440,20533.69,2.93,60100.66
2018-08-17 06-PM,ETHRUR,20800,20800,20428.33,20550,3.58,73188.66
2018-08-17 05-PM,ETHRUR,20334.42,20800,20334.42,20800,17.62,363008.91
2018-08-17 04-PM,ETHRUR,20224,20342.26,20100,20334.42,5.29,107126.98
2018-08-17 03-PM,ETHRUR,20179.99,20250.1,20011.42,20224,7.71,155529.05
2018-08-17 02-PM,ETHRUR,20377.01,20377.01,20000,20179.99,7.86,158773.28
2018-08-17 01-PM,ETHRUR,20400,20400,20183.2,20377.01,3.03,61531.63
2018-08-17 12-PM,ETHRUR,20309,20417.51,20119.01,20400,8.06,163628.22
2018-08-17 11-AM,ETHRUR,20326.04,20326.04,20300,20309,5.76,117090.89
2018-08-17 10-AM,ETHRUR,20400,20524.99,20326.01,20326.04,8.14,166040.9
2018-08-17 09-AM,ETHRUR,20319.37,20527,20305,20400,6.26,127434.51
2018-08-17 08-AM,ETHRUR,20462.4,20540.44,20303,20319.37,11.03,226176.97
2018-08-17 07-AM,ETHRUR,20299,20462.4,20299,20462.4,6.62,134428.96
2018-08-17 06-AM,ETHRUR,20105.76,20300,20105.76,20299,5.6,113035.49
2018-08-17 05-AM,ETHRUR,20094.54,20350,20044.89,20105.76,4.05,81547.55
2018-08-17 04-AM,ETHRUR,20100,20400,20094.54,20094.54,11.62,235973.04
2018-08-17 03-AM,ETHRUR,19948.09,20250,19948.09,20100,2.7,54476.58
2018-08-17 02-AM,ETHRUR,20008.48,20240,19762.85,19948.09,5.95,119193.41
2018-08-17 01-AM,ETHRUR,19867.23,20097,19698.87,20008.48,1.7,33982.6
2018-08-17 12-AM,ETHRUR,19756.45,19867.23,19606.06,19867.23,1.92,38017.36
2018-08-16 11-PM,ETHRUR,19780.23,20039.76,19600.26,19756.45,8.91,177150.91
2018-08-16 10-PM,ETHRUR,19898.52,19998,19641.84,19780.23,1.1,21891.78
2018-08-16 09-PM,ETHRUR,19695.29,20000,19564.5,19898.52,1.72,34175.32
2018-08-16 08-PM,ETHRUR,19987,20098.09,19564.09,19695.29,3.27,65175.24
2018-08-16 07-PM,ETHRUR,19919.9,20099,19644.41,19987,9.4,186631.07
2018-08-16 06-PM,ETHRUR,20020.1,20095,19919.9,19919.9,5.73,114732.66
2018-08-16 05-PM,ETHRUR,19920,20095,19650,20020.1,7.95,158103.18
2018-08-16 04-PM,ETHRUR,20099.8,20099.9,19800,19920,5.82,116035.53
2018-08-16 03-PM,ETHRUR,19986.06,20108.78,19970.06,20099.8,6.95,139049.56
2018-08-16 02-PM,ETHRUR,20000,20217.58,19986,19986.06,4.73,95054.02
2018-08-16 01-PM,ETHRUR,19780,20150.26,19480,20000,14.51,288535.69
2018-08-16 12-PM,ETHRUR,20100,20301.26,19600,19780,23.09,464347.93
2018-08-16 11-AM,ETHRUR,20099.51,20200,20059.39,20100,11.71,235699.67
2018-08-16 10-AM,ETHRUR,19899,20200,19770.96,20099.51,9.6,191948.65
2018-08-16 09-AM,ETHRUR,19850.11,20041.02,19850.11,19899,8.13,161993.68
2018-08-16 08-AM,ETHRUR,19770.63,19851,19729,19850.11,9.36,185554.14
2018-08-16 07-AM,ETHRUR,19457.01,19889.1,19457,19770.63,11.15,219640.88
2018-08-16 06-AM,ETHRUR,19498.97,19732.96,19343.17,19457.01,4.21,82293.75
2018-08-16 05-AM,ETHRUR,19498.95,19587.1,19301.02,19498.97,2.64,51357.44
2018-08-16 04-AM,ETHRUR,19499,19499,19296.92,19498.95,4.34,83850.72
2018-08-16 03-AM,ETHRUR,19499.35,19499.35,19300,19499,4.75,92185.27
2018-08-16 02-AM,ETHRUR,19500,19500,19239.75,19499.35,1.34,25973.46
