Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2019-07-03,ETHRUR,18635.86,19195,18000,18505,55.46,1043367.65
2019-07-02,ETHRUR,18750,19499.99,17098.02,18635.86,321.51,5791196.69
2019-07-01,ETHRUR,19200,19378.59,18002,18750,292.32,5502427.83
2019-06-30,ETHRUR,20210.07,20597,18713.36,19200,184.01,3601510.95
2019-06-29,ETHRUR,19680,20643.99,19050,20210.07,167.2,3274386.16
2019-06-28,ETHRUR,18360.62,19898,18000.04,19680,293.82,5670257.26
2019-06-27,ETHRUR,20791.9,21375.4,17500,18360.62,555.34,10543397.18
2019-06-26,ETHRUR,19800,23490,19600.98,20791.9,821.1,17788101.89
2019-06-25,ETHRUR,19320,19800,19320,19800,237.0,4622253.17
2019-06-24,ETHRUR,19417.75,19649.98,19001,19320,273.91,5301728.01
2019-06-23,ETHRUR,19499.83,19937,19001,19417.75,263.61,5111514.95
2019-06-22,ETHRUR,18401,19850,18300.18,19499.83,522.02,10033076.18
2019-06-21,ETHRUR,17020.54,18500.06,17020.54,18401,363.83,6536450.38
2019-06-20,ETHRUR,17079,17399,16900,17020.54,219.44,3740729.57
2019-06-19,ETHRUR,17110.75,17118,16900,17079,167.7,2850814.01
2019-06-18,ETHRUR,17332,17450,16876.25,17110.75,201.65,3449695.31
2019-06-17,ETHRUR,17113.25,17500.5,16900,17332,175.33,3015178.71
2019-06-16,ETHRUR,17002,17608,16850.99,17000,268.59,4642573.7
2019-06-15,ETHRUR,16788,17200,16550.51,17002,202.18,3411628.0
2019-06-14,ETHRUR,16740.14,16788,16250,16788,152.59,2510151.26
2019-06-13,ETHRUR,16913,17082.04,16400,16740.14,165.94,2783292.3
2019-06-12,ETHRUR,16107.25,16800,16015.11,16790.78,225.21,3688583.72
2019-06-11,ETHRUR,16090,16255,15772,16107.25,164.2,2633953.98
2019-06-10,ETHRUR,15600.01,16277,15572.04,16090,201.08,3201690.58
2019-06-09,ETHRUR,16202.02,16350,15582.83,15600.01,130.32,2076943.79
2019-06-08,ETHRUR,16535.96,16536,16101,16202.02,110.08,1791939.02
2019-06-07,ETHRUR,16200.01,16545,15910.04,16535.96,124.9,2029703.8
2019-06-06,ETHRUR,16153.82,16300,15600,16200.01,156.29,2503931.65
2019-06-05,ETHRUR,15824.73,16340.17,15726.04,16153.82,193.75,3110219.18
2019-06-04,ETHRUR,16793,16800,15568.28,15824.73,294.49,4771647.7
2019-06-03,ETHRUR,17390,17447.3,16800,16800,167.88,2875596.16
2019-06-02,ETHRUR,17300,17699.04,17221,17390,149.37,2604025.15
2019-06-01,ETHRUR,17485.66,17800,17200.1,17300,162.18,2827771.33
2019-05-31,ETHRUR,16900.32,17485.66,16230,17485.66,186.13,3135518.34
2019-05-30,ETHRUR,17425.15,18250.21,16200,16700.02,336.76,5969606.16
2019-05-29,ETHRUR,17350,17730.2,17063.3,17425.15,196.89,3426604.6
2019-05-28,ETHRUR,17050,17500,16759.9,17350,232.17,3978217.26
2019-05-27,ETHRUR,16875.07,17339.98,16551.22,17006.72,350.81,5927088.6
2019-05-26,ETHRUR,16134.01,16896.86,15901,16875.07,203.6,3310196.94
2019-05-25,ETHRUR,16010,16375.5,15901,16134.01,198.17,3199001.69
2019-05-24,ETHRUR,15701.01,16300.93,15701.01,16010,152.22,2442475.65
2019-05-23,ETHRUR,15902.13,16089.81,15150.02,15701.01,225.47,3530805.73
2019-05-22,ETHRUR,16297.75,16600,15873.02,15902.13,204.62,3311764.65
2019-05-21,ETHRUR,16211,16615.01,15699.99,16330.33,262.74,4248937.61
2019-05-20,ETHRUR,16700,16700,15700,16211,321.86,5155687.1
2019-05-19,ETHRUR,15600,16948.4,15450.14,16800,282.17,4618329.76
