Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ABTC
2019-07-03,LIZABTC,0.014,0.014,0.01017,0.01017,0.0,0.0
2019-07-02,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-07-01,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-30,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-29,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-28,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-27,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-26,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-25,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-24,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-23,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-22,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-21,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-20,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-19,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-18,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-17,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-16,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-15,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-14,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-13,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-12,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-11,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-10,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-09,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-08,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-07,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-06,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-05,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-04,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-03,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-02,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-06-01,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-31,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-30,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-29,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-28,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-27,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-26,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-25,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-24,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-23,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-22,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-21,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-20,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-19,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-18,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-17,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-16,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-15,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-14,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-13,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
2019-05-12,LIZABTC,0.014,0.014,0.014,0.014,0.0,0.0
