Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-07-03,LTCBTC,0.01104,0.01104,0.01056,0.01065,6080.94,65.75
2019-07-02,LTCBTC,0.01162,0.0118,0.01073,0.01104,16972.88,192.55
2019-07-01,LTCBTC,0.01145,0.01175,0.01107,0.01162,16367.35,186.18
2019-06-30,LTCBTC,0.01124,0.0121,0.01083,0.01145,16796.85,190.21
2019-06-29,LTCBTC,0.009715,0.01157,0.009634,0.01124,18355.97,195.21
2019-06-28,LTCBTC,0.01026,0.0105,0.009631,0.009715,18082.64,181.76
2019-06-27,LTCBTC,0.01027,0.01085,0.00945,0.01026,18516.1,189.56
2019-06-26,LTCBTC,0.01182,0.01182,0.00978,0.01027,14549.55,156.09
2019-06-25,LTCBTC,0.0123,0.01236,0.01151,0.01182,15251.85,181.65
2019-06-24,LTCBTC,0.01267,0.01281,0.0121,0.0123,13359.65,166.86
2019-06-23,LTCBTC,0.01334,0.01334,0.01246,0.01267,13785.4,180.09
2019-06-22,LTCBTC,0.01369,0.01379,0.0126,0.01334,13071.99,173.63
2019-06-21,LTCBTC,0.01445,0.01445,0.01369,0.01369,11633.99,164.52
2019-06-20,LTCBTC,0.0148,0.01486,0.01398,0.01445,10513.13,153.34
2019-06-19,LTCBTC,0.0149,0.01532,0.01461,0.0148,10209.65,153.29
2019-06-18,LTCBTC,0.01446,0.01508,0.01421,0.0149,10690.88,156.72
2019-06-17,LTCBTC,0.01527,0.01527,0.01431,0.01439,11181.71,164.58
2019-06-16,LTCBTC,0.01565,0.01565,0.0146,0.01527,9198.79,138.26
2019-06-15,LTCBTC,0.01532,0.01588,0.01532,0.01565,10236.11,160.22
2019-06-14,LTCBTC,0.01611,0.0162,0.015,0.01532,8992.73,139.94
2019-06-13,LTCBTC,0.01674,0.01685,0.01562,0.01611,9844.56,161.92
2019-06-12,LTCBTC,0.01732,0.0177,0.01623,0.01684,10607.47,181.73
2019-06-11,LTCBTC,0.01622,0.0175,0.016,0.01732,8933.97,149.45
2019-06-10,LTCBTC,0.01504,0.01625,0.01496,0.0162,11662.63,182.04
2019-06-09,LTCBTC,0.01501,0.01505,0.01466,0.01504,10054.32,150.18
2019-06-08,LTCBTC,0.01469,0.01515,0.0145,0.01501,11096.07,164.03
2019-06-07,LTCBTC,0.0144,0.015,0.01416,0.01469,11534.93,167.29
2019-06-06,LTCBTC,0.01342,0.0145,0.01329,0.0144,11527.61,156.78
2019-06-05,LTCBTC,0.01334,0.0135,0.01309,0.01342,12151.18,162.03
2019-06-04,LTCBTC,0.01309,0.01336,0.01286,0.01334,9180.14,121.3
2019-06-03,LTCBTC,0.01309,0.01336,0.01295,0.01309,11821.09,155.71
2019-06-02,LTCBTC,0.0132,0.01326,0.01305,0.01309,10941.2,144.21
2019-06-01,LTCBTC,0.01337,0.0135,0.0131,0.0132,11581.97,154.23
2019-05-31,LTCBTC,0.01308,0.01327,0.01281,0.01327,9324.53,122.19
2019-05-30,LTCBTC,0.0133,0.01352,0.01289,0.01308,11866.58,157.66
2019-05-29,LTCBTC,0.01323,0.01355,0.01292,0.0133,10552.36,140.22
2019-05-28,LTCBTC,0.01328,0.01345,0.01298,0.01323,10736.82,141.88
2019-05-27,LTCBTC,0.01291,0.01351,0.01262,0.01328,11270.57,147.31
2019-05-26,LTCBTC,0.0128,0.0133,0.01251,0.01291,10285.2,131.39
2019-05-25,LTCBTC,0.01259,0.01305,0.01243,0.0128,10409.31,132.3
2019-05-24,LTCBTC,0.0113,0.01276,0.01126,0.01259,14300.92,173.13
2019-05-23,LTCBTC,0.01153,0.01155,0.01123,0.0113,12886.29,146.74
2019-05-22,LTCBTC,0.01156,0.01165,0.01128,0.01153,11933.87,137.38
2019-05-21,LTCBTC,0.01147,0.01168,0.01132,0.01156,11802.93,136.0
2019-05-20,LTCBTC,0.01166,0.01173,0.0114,0.01147,11612.28,134.36
2019-05-19,LTCBTC,0.01193,0.012,0.01161,0.01166,14215.17,168.22
2019-05-18,LTCBTC,0.01219,0.01223,0.01181,0.01204,11414.62,137.57
2019-05-17,LTCBTC,0.01213,0.0125,0.01176,0.01219,10958.91,133.36
2019-05-16,LTCBTC,0.01253,0.01289,0.01161,0.01213,11375.84,139.96
2019-05-15,LTCBTC,0.01147,0.01291,0.01132,0.01253,12667.45,151.72
2019-05-14,LTCBTC,0.01123,0.01166,0.01085,0.01147,14830.34,167.52
2019-05-13,LTCBTC,0.01218,0.01237,0.01118,0.01123,13554.68,160.69
2019-05-12,LTCBTC,0.01228,0.01273,0.01206,0.01218,12794.8,157.37
2019-05-11,LTCBTC,0.01211,0.01326,0.01153,0.01228,13822.2,174.09
2019-05-10,LTCBTC,0.01206,0.0125,0.01165,0.01211,15359.34,186.12
