Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUR
2019-07-03,LTCRUR,7580,7850,7500,7500,59.32,458495.23
2019-07-02,LTCRUR,7862.59,8005.18,7100,7580,211.66,1591071.41
2019-07-01,LTCRUR,8080,8212.83,7330.04,7862.59,141.01,1093938.07
2019-06-30,LTCRUR,8499,8772.13,7904.56,8080,273.11,2268125.88
2019-06-29,LTCRUR,7737.07,8692.95,7480.06,8499,319.68,2565790.12
2019-06-28,LTCRUR,7069.58,7800,7068.65,7737.07,195.66,1466779.52
2019-06-27,LTCRUR,8203.08,8298.29,6811,7069.58,418.42,3131192.08
2019-06-26,LTCRUR,8650.42,9050,7780,8121.86,393.69,3395909.35
2019-06-25,LTCRUR,8454.45,8650.42,8268.82,8650.42,223.38,1892097.28
2019-06-24,LTCRUR,8740,8752.3,8400,8454.45,320.61,2756641.47
2019-06-23,LTCRUR,8998.95,9050,8629.5,8740,246.63,2166873.34
2019-06-22,LTCRUR,8650,9300,8555,8998.95,176.29,1577109.29
2019-06-21,LTCRUR,8502.58,8900.33,8502.58,8650,195.44,1702465.82
2019-06-20,LTCRUR,8650,8840,8444.09,8502.58,141.78,1216209.66
2019-06-19,LTCRUR,8622.7,8899,8480,8650,114.42,996360.42
2019-06-18,LTCRUR,8622.51,8710,8301.7,8622.7,86.81,738522.35
2019-06-17,LTCRUR,8750,8769,8400,8622.51,161.71,1384435.64
2019-06-16,LTCRUR,8833,8873.9,8550,8750,163.97,1417911.83
2019-06-15,LTCRUR,8458.13,8899,8458.13,8833,114.46,997093.83
2019-06-14,LTCRUR,8517.25,8651.33,8146.04,8458.13,210.29,1756203.16
2019-06-13,LTCRUR,8868.77,8900,8413.17,8517.25,182.13,1589961.59
2019-06-12,LTCRUR,8958.56,9301,8600,8868.77,259.37,2363240.08
2019-06-11,LTCRUR,8443.08,9164.18,8325.66,8958.56,285.17,2477826.59
2019-06-10,LTCRUR,7738.13,8500,7670.48,8443.08,196.04,1594808.54
2019-06-09,LTCRUR,7844.72,7940.36,7431,7667,124.59,970374.28
2019-06-08,LTCRUR,7729.94,7930.26,7516.84,7844.72,136.9,1056799.34
2019-06-07,LTCRUR,7228.79,7850,7149.17,7767.41,238.11,1783101.06
