Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2018-08-22 11-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 10-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 09-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 08-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 07-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 06-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 05-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 04-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 03-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 02-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 01-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 12-PM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 11-AM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 10-AM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 09-AM,RECBTC,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0
2018-08-22 08-AM,RECBTC,2.7e-06,2.94e-06,2.7e-06,2.94e-06,35.91,0.0001056
2018-08-22 07-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 06-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 05-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 04-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 03-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 02-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 01-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-22 12-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 11-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 10-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 09-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 08-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 07-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 06-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 05-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 04-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 03-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 02-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 01-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 12-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 11-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 10-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 09-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 08-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 07-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 06-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 05-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 04-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 03-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 02-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 01-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-21 12-AM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-20 11-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-20 10-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,750.0,0.002025
2018-08-20 09-PM,RECBTC,2.72e-06,2.73e-06,2.7e-06,2.7e-06,382.15,0.001038
2018-08-20 08-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
2018-08-20 07-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
2018-08-20 06-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
2018-08-20 05-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
2018-08-20 04-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
2018-08-20 03-PM,RECBTC,2.72e-06,2.72e-06,2.72e-06,2.72e-06,0.0,0.0
