Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume BTC
2019-07-03,XVGBTC,7.4e-07,7.5e-07,7.1e-07,7.5e-07,93004.5,0.06871
2019-07-02,XVGBTC,7.7e-07,8.0e-07,7.1e-07,7.4e-07,115712.22,0.08622
2019-07-01,XVGBTC,7.5e-07,8.0e-07,7.2e-07,7.7e-07,59597.53,0.04526
2019-06-30,XVGBTC,6.9e-07,7.6e-07,6.9e-07,7.5e-07,79698.03,0.05835
2019-06-29,XVGBTC,7.3e-07,7.3e-07,6.9e-07,6.9e-07,13982.15,0.009967
2019-06-28,XVGBTC,7.4e-07,7.7e-07,6.7e-07,7.3e-07,84854.91,0.05956
2019-06-27,XVGBTC,7.4e-07,8.1e-07,7.1e-07,7.4e-07,159097.61,0.1218
2019-06-26,XVGBTC,8.3e-07,8.7e-07,6.4e-07,7.4e-07,645215.5,0.4826
2019-06-25,XVGBTC,8.4e-07,8.6e-07,8.2e-07,8.3e-07,112876.41,0.09469
2019-06-24,XVGBTC,8.9e-07,9.0e-07,8.3e-07,8.4e-07,215073.95,0.1836
2019-06-23,XVGBTC,8.8e-07,9.9e-07,8.7e-07,8.7e-07,555046.34,0.5092
2019-06-22,XVGBTC,9.0e-07,9.1e-07,8.5e-07,8.8e-07,400957.52,0.3539
2019-06-21,XVGBTC,9.6e-07,9.7e-07,9.0e-07,9.0e-07,252444.36,0.2378
2019-06-20,XVGBTC,1.01e-06,1.03e-06,9.6e-07,9.6e-07,203376.6,0.203
2019-06-19,XVGBTC,1.0e-06,1.03e-06,9.8e-07,1.01e-06,66516.09,0.067
2019-06-18,XVGBTC,1.0e-06,1.02e-06,9.7e-07,1.0e-06,69979.45,0.06935
2019-06-17,XVGBTC,1.04e-06,1.04e-06,9.8e-07,1.0e-06,174754.82,0.1776
2019-06-16,XVGBTC,1.05e-06,1.05e-06,9.9e-07,1.04e-06,349891.54,0.355
2019-06-15,XVGBTC,1.03e-06,1.08e-06,1.02e-06,1.05e-06,128712.46,0.1369
2019-06-14,XVGBTC,1.1e-06,1.12e-06,1.02e-06,1.03e-06,211119.13,0.2254
2019-06-13,XVGBTC,1.13e-06,1.15e-06,1.1e-06,1.1e-06,228327.28,0.2572
2019-06-12,XVGBTC,1.15e-06,1.15e-06,1.11e-06,1.13e-06,520824.73,0.59
2019-06-11,XVGBTC,1.15e-06,1.16e-06,1.11e-06,1.15e-06,1155448.19,1.312
2019-06-10,XVGBTC,1.1e-06,1.16e-06,1.08e-06,1.15e-06,10431174.89,11.59
2019-06-09,XVGBTC,1.14e-06,1.15e-06,1.1e-06,1.1e-06,1058977.96,1.182
2019-06-08,XVGBTC,1.14e-06,1.17e-06,1.13e-06,1.14e-06,1196630.75,1.38
2019-06-07,XVGBTC,1.17e-06,1.19e-06,1.13e-06,1.14e-06,3676884.95,4.23
2019-06-06,XVGBTC,1.1e-06,1.18e-06,1.1e-06,1.17e-06,4854246.58,5.65
2019-06-05,XVGBTC,1.11e-06,1.14e-06,1.09e-06,1.1e-06,2614837.14,2.88
2019-06-04,XVGBTC,1.14e-06,1.17e-06,1.1e-06,1.11e-06,662646.01,0.7458
2019-06-03,XVGBTC,1.17e-06,1.19e-06,1.13e-06,1.14e-06,1066009.2,1.23
2019-06-02,XVGBTC,1.19e-06,1.26e-06,1.17e-06,1.17e-06,358414.53,0.4252
2019-06-01,XVGBTC,1.16e-06,1.22e-06,1.14e-06,1.19e-06,1051267.75,1.23
2019-05-31,XVGBTC,1.17e-06,1.28e-06,1.14e-06,1.16e-06,863432.42,1.02
2019-05-30,XVGBTC,1.19e-06,1.25e-06,1.17e-06,1.17e-06,1302964.76,1.57
2019-05-29,XVGBTC,1.22e-06,1.23e-06,1.15e-06,1.19e-06,1326738.42,1.58
2019-05-28,XVGBTC,1.27e-06,1.28e-06,1.19e-06,1.22e-06,887243.86,1.1
2019-05-27,XVGBTC,1.25e-06,1.32e-06,1.23e-06,1.27e-06,818990.38,1.03
2019-05-26,XVGBTC,1.36e-06,1.37e-06,1.22e-06,1.26e-06,647940.13,0.8441
2019-05-25,XVGBTC,1.35e-06,1.45e-06,1.34e-06,1.36e-06,3091285.73,4.25
2019-05-24,XVGBTC,1.44e-06,1.45e-06,1.34e-06,1.35e-06,1155620.73,1.59
2019-05-23,XVGBTC,1.43e-06,1.46e-06,1.36e-06,1.44e-06,1196981.59,1.69
2019-05-22,XVGBTC,1.36e-06,1.48e-06,1.32e-06,1.38e-06,1159338.75,1.63
2019-05-21,XVGBTC,1.32e-06,1.38e-06,1.3e-06,1.36e-06,1125244.14,1.52
2019-05-20,XVGBTC,1.33e-06,1.41e-06,1.3e-06,1.32e-06,2343498.38,3.13
2019-05-19,XVGBTC,1.26e-06,1.44e-06,1.23e-06,1.33e-06,2368019.4,3.19
2019-05-18,XVGBTC,1.3e-06,1.35e-06,1.25e-06,1.26e-06,854184.28,1.1
2019-05-17,XVGBTC,1.36e-06,1.39e-06,1.18e-06,1.3e-06,2564276.18,3.3
2019-05-16,XVGBTC,1.26e-06,1.48e-06,1.23e-06,1.36e-06,3337238.91,4.54
2019-05-15,XVGBTC,9.9e-07,1.26e-06,9.6e-07,1.26e-06,1778987.21,2.04
2019-05-14,XVGBTC,9.3e-07,1.01e-06,8.9e-07,9.9e-07,1506254.63,1.42
2019-05-13,XVGBTC,1.02e-06,1.09e-06,6.9e-07,9.4e-07,2781431.1,2.69
2019-05-12,XVGBTC,1.07e-06,1.07e-06,1.01e-06,1.02e-06,1992244.71,2.04
2019-05-11,XVGBTC,1.13e-06,1.14e-06,1.04e-06,1.07e-06,845246.09,0.9211
2019-05-10,XVGBTC,1.06e-06,1.15e-06,1.05e-06,1.13e-06,331498.75,0.3639
2019-05-09,XVGBTC,1.17e-06,1.17e-06,1.05e-06,1.06e-06,467784.66,0.5059
2019-05-08,XVGBTC,1.17e-06,1.17e-06,1.12e-06,1.17e-06,306470.17,0.3506
2019-05-07,XVGBTC,1.25e-06,1.26e-06,1.19e-06,1.21e-06,451187.96,0.5518
2019-05-06,XVGBTC,1.22e-06,1.29e-06,1.22e-06,1.25e-06,657880.49,0.83
2019-05-05,XVGBTC,1.22e-06,1.25e-06,1.2e-06,1.22e-06,526157.26,0.648
2019-05-04,XVGBTC,1.29e-06,1.3e-06,1.21e-06,1.22e-06,681107.88,0.8566
2019-05-03,XVGBTC,1.36e-06,1.39e-06,1.26e-06,1.29e-06,706773.61,0.92
2019-05-02,XVGBTC,1.41e-06,1.42e-06,1.34e-06,1.36e-06,399452.53,0.5429
2019-05-01,XVGBTC,1.4e-06,1.46e-06,1.37e-06,1.41e-06,744436.5,1.05
2019-04-30,XVGBTC,1.37e-06,1.42e-06,1.34e-06,1.4e-06,1051506.42,1.45
2019-04-29,XVGBTC,1.45e-06,1.45e-06,1.36e-06,1.37e-06,897071.6,1.24
2019-04-28,XVGBTC,1.47e-06,1.5e-06,1.43e-06,1.45e-06,396431.92,0.5803
2019-04-27,XVGBTC,1.43e-06,1.52e-06,1.43e-06,1.47e-06,486539.96,0.7156
2019-04-26,XVGBTC,1.48e-06,1.49e-06,1.42e-06,1.43e-06,292281.64,0.4255
2019-04-25,XVGBTC,1.5e-06,1.53e-06,1.47e-06,1.48e-06,438583.57,0.6533
2019-04-24,XVGBTC,1.6e-06,1.6e-06,1.46e-06,1.5e-06,898767.82,1.36
2019-04-23,XVGBTC,1.58e-06,1.67e-06,1.55e-06,1.6e-06,522216.86,0.8389
2019-04-22,XVGBTC,1.55e-06,1.62e-06,1.53e-06,1.58e-06,485839.67,0.7669
2019-04-21,XVGBTC,1.6e-06,1.61e-06,1.54e-06,1.55e-06,319500.31,0.5011
2019-04-20,XVGBTC,1.62e-06,1.63e-06,1.59e-06,1.6e-06,120039.84,0.1928
2019-04-19,XVGBTC,1.64e-06,1.64e-06,1.62e-06,1.62e-06,99432.45,0.1616
2019-04-18,XVGBTC,1.65e-06,1.65e-06,1.62e-06,1.64e-06,455374.68,0.7439
2019-04-17,XVGBTC,1.66e-06,1.68e-06,1.62e-06,1.65e-06,226203.88,0.3708
2019-04-16,XVGBTC,1.65e-06,1.7e-06,1.6e-06,1.66e-06,535214.8,0.8765
2019-04-15,XVGBTC,1.7e-06,1.72e-06,1.62e-06,1.65e-06,211116.47,0.3511
2019-04-14,XVGBTC,1.69e-06,1.71e-06,1.67e-06,1.7e-06,256098.79,0.4329
2019-04-13,XVGBTC,1.75e-06,1.76e-06,1.67e-06,1.69e-06,195821.47,0.3336
2019-04-12,XVGBTC,1.72e-06,1.76e-06,1.67e-06,1.75e-06,224967.04,0.3849
2019-04-11,XVGBTC,1.91e-06,1.91e-06,1.68e-06,1.72e-06,446583.73,0.7818
2019-04-10,XVGBTC,1.89e-06,1.93e-06,1.83e-06,1.91e-06,324968.46,0.6079
2019-04-09,XVGBTC,2.07e-06,2.08e-06,1.82e-06,1.89e-06,533270.05,1.02
2019-04-08,XVGBTC,1.82e-06,2.09e-06,1.82e-06,2.07e-06,60183.62,0.1199
2019-04-07,XVGBTC,1.76e-06,1.86e-06,1.75e-06,1.82e-06,58115.92,0.106
2019-04-06,XVGBTC,1.8e-06,1.82e-06,1.74e-06,1.76e-06,20994.98,0.03762
2019-04-05,XVGBTC,1.75e-06,1.82e-06,1.74e-06,1.8e-06,22982.2,0.04108
2019-04-04,XVGBTC,1.75e-06,1.81e-06,1.69e-06,1.75e-06,39110.48,0.06896
2019-04-03,XVGBTC,1.71e-06,1.79e-06,1.66e-06,1.75e-06,47121.43,0.08198
2019-04-02,XVGBTC,1.78e-06,1.8e-06,1.66e-06,1.71e-06,116974.55,0.1992
