Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume RUR
2018-08-22 11-PM,XVGRUR,0.8593,0.875,0.8593,0.875,0.0,0.0
2018-08-22 10-PM,XVGRUR,0.861,0.861,0.8593,0.8593,15.24,13.12
2018-08-22 09-PM,XVGRUR,0.8621,0.8752,0.861,0.861,2354.01,2027.18
2018-08-22 08-PM,XVGRUR,0.8799,0.8837,0.8621,0.8621,1877.6,1633.44
2018-08-22 07-PM,XVGRUR,0.8942,0.8942,0.8739,0.8799,20919.23,18598.32
2018-08-22 06-PM,XVGRUR,0.909,0.9097,0.8942,0.8942,25345.61,22774.15
2018-08-22 05-PM,XVGRUR,0.8983,0.909,0.8983,0.909,1890.57,1715.16
2018-08-22 04-PM,XVGRUR,0.91,0.91,0.8942,0.8983,44538.7,40243.24
2018-08-22 03-PM,XVGRUR,0.923,0.923,0.91,0.91,1777.3,1624.05
2018-08-22 02-PM,XVGRUR,0.9209,0.923,0.9209,0.923,20257.69,18688.46
2018-08-22 01-PM,XVGRUR,0.921,0.9341,0.9209,0.9209,32200.47,30027.97
2018-08-22 12-PM,XVGRUR,0.921,0.921,0.9209,0.921,26796.21,24677.63
2018-08-22 11-AM,XVGRUR,0.9357,0.9357,0.921,0.921,12400.55,11457.11
2018-08-22 10-AM,XVGRUR,0.9209,0.9388,0.9209,0.9357,10519.35,9763.62
2018-08-22 09-AM,XVGRUR,0.91,0.9209,0.91,0.9209,2917.64,2685.29
2018-08-22 08-AM,XVGRUR,0.9168,0.9168,0.91,0.91,1894.46,1723.96
2018-08-22 07-AM,XVGRUR,0.9167,0.9168,0.91,0.9168,3049.64,2794.21
2018-08-22 06-AM,XVGRUR,0.9167,0.9167,0.9167,0.9167,0.0,0.0
2018-08-22 05-AM,XVGRUR,0.9794,0.9794,0.9154,0.9167,26619.11,25829.97
2018-08-22 04-AM,XVGRUR,0.948,0.98,0.9154,0.9794,17448.05,17042.41
2018-08-22 03-AM,XVGRUR,0.9105,0.9484,0.9105,0.948,3023.81,2842.17
2018-08-22 02-AM,XVGRUR,0.9087,0.9683,0.9087,0.9105,2400.94,2232.37
2018-08-22 01-AM,XVGRUR,0.9113,0.9113,0.9087,0.9087,3868.13,3517.71
2018-08-22 12-AM,XVGRUR,0.92,0.92,0.9113,0.9113,2197.34,2002.42
2018-08-21 11-PM,XVGRUR,0.9726,0.9726,0.92,0.92,100.0,92.0
2018-08-21 10-PM,XVGRUR,0.9246,0.9726,0.9087,0.9726,9551.79,9045.04
2018-08-21 09-PM,XVGRUR,0.9087,0.9246,0.9087,0.9246,4575.22,4164.1
2018-08-21 08-PM,XVGRUR,0.8918,0.9087,0.8908,0.9087,2053.51,1860.16
2018-08-21 07-PM,XVGRUR,0.9017,0.9017,0.8918,0.8918,1983.51,1771.96
2018-08-21 06-PM,XVGRUR,0.9017,0.9096,0.9017,0.9017,1963.64,1782.05
2018-08-21 05-PM,XVGRUR,0.88,0.9019,0.88,0.9017,6078.02,5469.86
2018-08-21 04-PM,XVGRUR,0.8997,0.8997,0.88,0.88,443.82,390.56
2018-08-21 03-PM,XVGRUR,0.8944,0.9016,0.88,0.8997,16019.58,14239.55
2018-08-21 02-PM,XVGRUR,0.9009,0.9283,0.8944,0.8944,10255.75,9253.47
2018-08-21 01-PM,XVGRUR,0.9005,0.92,0.9005,0.9009,191.48,173.45
2018-08-21 12-PM,XVGRUR,0.925,0.925,0.9005,0.9005,2384.42,2151.96
2018-08-21 11-AM,XVGRUR,0.9,0.925,0.9,0.925,115.06,106.43
2018-08-21 10-AM,XVGRUR,0.91,0.9113,0.8905,0.9,22943.8,20834.48
2018-08-21 09-AM,XVGRUR,0.9223,0.93,0.91,0.91,4923.73,4538.59
2018-08-21 08-AM,XVGRUR,0.93,0.93,0.9067,0.9223,6700.32,6095.49
2018-08-21 07-AM,XVGRUR,0.905,0.93,0.905,0.93,16627.42,15432.42
2018-08-21 06-AM,XVGRUR,0.9237,0.9237,0.9037,0.905,1055.12,954.54
2018-08-21 05-AM,XVGRUR,0.9006,0.9237,0.8905,0.9237,1660.77,1489.75
2018-08-21 04-AM,XVGRUR,0.9277,0.9291,0.9006,0.9006,9330.44,8490.94
2018-08-21 03-AM,XVGRUR,0.9,0.9277,0.9,0.9277,1379.78,1260.64
2018-08-21 02-AM,XVGRUR,0.9,0.9,0.9,0.9,0.0,0.0
2018-08-21 01-AM,XVGRUR,0.92,0.92,0.9,0.9,22644.65,20560.15
2018-08-21 12-AM,XVGRUR,0.92,0.92,0.92,0.92,629.95,579.56
2018-08-20 11-PM,XVGRUR,0.9238,0.9238,0.92,0.92,1491.46,1373.3
2018-08-20 10-PM,XVGRUR,0.9559,0.9559,0.9237,0.9238,5561.89,5168.17
2018-08-20 09-PM,XVGRUR,0.9559,0.9559,0.9559,0.9559,384.88,367.9
2018-08-20 08-PM,XVGRUR,0.9582,0.9771,0.946,0.9559,3429.86,3268.36
2018-08-20 07-PM,XVGRUR,0.94,0.9584,0.94,0.9582,5364.52,5128.09
2018-08-20 06-PM,XVGRUR,0.9457,0.98,0.94,0.94,4519.7,4335.71
2018-08-20 05-PM,XVGRUR,0.94,0.9506,0.94,0.9457,10764.93,10176.97
2018-08-20 04-PM,XVGRUR,0.9301,0.9505,0.9301,0.94,5735.04,5408.25
2018-08-20 03-PM,XVGRUR,0.93,0.9301,0.93,0.9301,8235.05,7659.53
2018-08-20 02-PM,XVGRUR,0.93,0.9506,0.93,0.93,15933.92,14821.56
2018-08-20 01-PM,XVGRUR,0.9628,0.9628,0.9286,0.93,18064.51,16899.26
2018-08-20 12-PM,XVGRUR,0.9571,0.9629,0.9413,0.9628,8962.16,8511.38
2018-08-20 11-AM,XVGRUR,0.942,0.9571,0.9326,0.9571,13929.65,13117.51
2018-08-20 10-AM,XVGRUR,0.9534,0.9599,0.942,0.942,716.44,676.02
2018-08-20 09-AM,XVGRUR,0.97,0.97,0.9534,0.9534,4227.11,4089.29
2018-08-20 08-AM,XVGRUR,0.98,0.98,0.97,0.97,2785.04,2701.49
2018-08-20 07-AM,XVGRUR,0.97,0.98,0.97,0.98,6416.4,6236.69
2018-08-20 06-AM,XVGRUR,0.99,0.99,0.97,0.97,6945.23,6786.88
2018-08-20 05-AM,XVGRUR,0.9663,0.99,0.9663,0.99,1649.53,1599.37
2018-08-20 04-AM,XVGRUR,0.9663,0.9973,0.9663,0.9663,503.81,486.91
2018-08-20 03-AM,XVGRUR,0.99,0.99,0.9663,0.9663,2.32,2.24
2018-08-20 02-AM,XVGRUR,0.9986,0.9986,0.99,0.99,691.87,684.95
2018-08-20 01-AM,XVGRUR,0.999,0.999,0.9986,0.9986,53.17,53.09
2018-08-20 12-AM,XVGRUR,0.962,0.999,0.962,0.999,19801.85,19781.66
2018-08-19 11-PM,XVGRUR,0.9616,0.962,0.9616,0.962,632.0,607.99
2018-08-19 10-PM,XVGRUR,0.999,0.999,0.9616,0.9616,117.25,112.75
2018-08-19 09-PM,XVGRUR,0.961,0.999,0.961,0.999,3035.91,3032.23
2018-08-19 08-PM,XVGRUR,1,1,0.961,0.961,1480.84,1451.01
2018-08-19 07-PM,XVGRUR,0.97,1,0.97,1,43544.34,43315.93
2018-08-19 06-PM,XVGRUR,0.9749,0.9749,0.961,0.97,9843.59,9517.98
2018-08-19 05-PM,XVGRUR,0.9603,0.9749,0.9603,0.9749,12079.83,11696.57
2018-08-19 04-PM,XVGRUR,0.9677,0.9779,0.9603,0.9603,17279.21,16705.78
2018-08-19 03-PM,XVGRUR,0.99,0.9942,0.9677,0.9677,224.42,219.59
2018-08-19 02-PM,XVGRUR,0.97,0.994,0.97,0.99,8272.7,8188.43
2018-08-19 01-PM,XVGRUR,0.9775,0.99,0.9602,0.97,2348.46,2313.15
2018-08-19 12-PM,XVGRUR,0.977,0.9775,0.9551,0.9775,7289.11,7023.12
2018-08-19 11-AM,XVGRUR,0.93,0.977,0.9183,0.977,15908.43,14990.07
2018-08-19 10-AM,XVGRUR,0.9303,0.932,0.93,0.93,6501.15,6053.13
2018-08-19 09-AM,XVGRUR,0.93,0.9565,0.93,0.9303,12369.66,11562.19
2018-08-19 08-AM,XVGRUR,0.929,0.9581,0.929,0.93,1632.46,1527.97
2018-08-19 07-AM,XVGRUR,0.928,0.929,0.928,0.929,85.02,78.98
2018-08-19 06-AM,XVGRUR,0.9482,0.9482,0.928,0.928,799.9,742.31
2018-08-19 05-AM,XVGRUR,0.9263,0.9525,0.9263,0.9482,30.27,28.75
2018-08-19 04-AM,XVGRUR,0.9263,0.9263,0.9263,0.9263,0.0,0.0
2018-08-19 03-AM,XVGRUR,0.9263,0.9263,0.9263,0.9263,0.0,0.0
2018-08-19 02-AM,XVGRUR,0.9263,0.9525,0.9263,0.9263,66.82,62.08
2018-08-19 01-AM,XVGRUR,0.9539,0.9539,0.9263,0.9263,121.16,112.22
2018-08-19 12-AM,XVGRUR,0.9539,0.9539,0.9539,0.9539,0.0,0.0
2018-08-18 11-PM,XVGRUR,0.9204,0.9539,0.9204,0.9539,141.33,134.82
2018-08-18 10-PM,XVGRUR,0.9204,0.9204,0.9204,0.9204,0.0,0.0
2018-08-18 09-PM,XVGRUR,0.9203,0.9204,0.9203,0.9204,1.18,1.09
2018-08-18 08-PM,XVGRUR,0.9508,0.9508,0.92,0.9203,444.89,409.43
2018-08-18 07-PM,XVGRUR,0.92,0.9529,0.92,0.9508,1043.91,991.82
2018-08-18 06-PM,XVGRUR,0.9276,0.9526,0.9105,0.92,3993.32,3776.68
2018-08-18 05-PM,XVGRUR,0.925,0.9727,0.911,0.9276,20724.02,18974.56
2018-08-18 04-PM,XVGRUR,0.9221,0.9764,0.9221,0.925,2233.67,2073.38
2018-08-18 03-PM,XVGRUR,0.988,0.988,0.9221,0.9221,9972.92,9428.67
2018-08-18 02-PM,XVGRUR,0.94,0.9884,0.94,0.988,3986.75,3817.49
2018-08-18 01-PM,XVGRUR,1.02,1.02,0.94,0.94,27502.46,26476.78
2018-08-18 12-PM,XVGRUR,0.99,1.02,0.99,1.02,1800.51,1821.0
2018-08-18 11-AM,XVGRUR,0.9955,1.01,0.99,0.99,585.25,580.41
2018-08-18 10-AM,XVGRUR,1.02,1.02,0.9955,0.9955,3278.49,3274.0
2018-08-18 09-AM,XVGRUR,0.9916,1.02,0.9856,1.02,4069.42,4091.69
2018-08-18 08-AM,XVGRUR,0.9921,1.02,0.9916,0.9916,2306.0,2292.07
2018-08-18 07-AM,XVGRUR,1.01,1.02,0.9916,0.9921,3336.68,3343.29
2018-08-18 06-AM,XVGRUR,1.02,1.02,1.01,1.01,1211.51,1222.29
2018-08-18 05-AM,XVGRUR,1.01,1.02,1.01,1.02,1212.17,1231.55
2018-08-18 04-AM,XVGRUR,1.01,1.01,1.01,1.01,418.58,423.19
2018-08-18 03-AM,XVGRUR,1.01,1.05,1.01,1.01,6454.26,6627.98
2018-08-18 02-AM,XVGRUR,1.01,1.04,1.01,1.01,212.67,215.05
2018-08-18 01-AM,XVGRUR,1.04,1.04,1.01,1.01,156.5,157.99
2018-08-18 12-AM,XVGRUR,1.02,1.04,1.02,1.04,1566.73,1602.82
2018-08-17 11-PM,XVGRUR,1,1.02,1,1.02,472.58,477.61
2018-08-17 10-PM,XVGRUR,0.9776,1,0.9776,1,3970.72,3970.95
2018-08-17 09-PM,XVGRUR,0.9998,1.01,0.9727,0.9776,9590.49,9626.71
2018-08-17 08-PM,XVGRUR,0.9979,0.9998,0.9638,0.9998,19774.05,19460.83
2018-08-17 07-PM,XVGRUR,0.9846,1,0.982,0.9979,1565.23,1545.31
2018-08-17 06-PM,XVGRUR,1.01,1.01,0.9846,0.9846,15828.69,15873.28
2018-08-17 05-PM,XVGRUR,1,1.02,1,1.01,19743.73,20104.57
2018-08-17 04-PM,XVGRUR,0.9641,1,0.9641,1,9943.67,9871.87
2018-08-17 03-PM,XVGRUR,0.9948,1.03,0.9639,0.9641,8807.36,8641.95
2018-08-17 02-PM,XVGRUR,0.9948,1.03,0.9756,0.9948,46171.15,46109.89
2018-08-17 01-PM,XVGRUR,0.9742,0.9948,0.9516,0.9948,29549.46,28834.06
2018-08-17 12-PM,XVGRUR,0.9601,0.9742,0.951,0.9742,33678.15,32346.74
2018-08-17 11-AM,XVGRUR,0.9467,0.9602,0.9467,0.9601,13792.34,13154.81
2018-08-17 10-AM,XVGRUR,0.9787,0.9787,0.9467,0.9467,10235.95,9906.1
2018-08-17 09-AM,XVGRUR,0.9673,0.9897,0.9588,0.9787,14105.3,13622.63
2018-08-17 08-AM,XVGRUR,0.9998,0.9998,0.933,0.9673,21747.64,21257.43
2018-08-17 07-AM,XVGRUR,1,1.01,0.9787,0.9998,15281.21,15278.04
2018-08-17 06-AM,XVGRUR,0.9761,1.04,0.9368,1,90453.7,91613.92
2018-08-17 05-AM,XVGRUR,0.9219,0.977,0.9219,0.9761,15298.51,14676.73
2018-08-17 04-AM,XVGRUR,0.9273,0.9567,0.895,0.9219,12909.92,12077.57
2018-08-17 03-AM,XVGRUR,0.93,0.93,0.908,0.9273,3849.84,3508.64
2018-08-17 02-AM,XVGRUR,0.92,0.948,0.92,0.93,34073.96,31664.79
2018-08-17 01-AM,XVGRUR,0.82,0.92,0.82,0.92,27808.53,23831.21
2018-08-17 12-AM,XVGRUR,0.8057,0.82,0.8057,0.82,138.0,113.16
2018-08-16 11-PM,XVGRUR,0.8093,0.8198,0.8056,0.8057,969.37,793.6
2018-08-16 10-PM,XVGRUR,0.82,0.82,0.8093,0.8093,206.02,166.73
