Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2018-08-22 11-PM,XVGUSD,0.01295,0.01295,0.01295,0.01295,0.0,0.0
2018-08-22 10-PM,XVGUSD,0.01295,0.01295,0.01295,0.01295,979.47,12.69
2018-08-22 09-PM,XVGUSD,0.01298,0.01298,0.01255,0.01295,6652.22,85.32
2018-08-22 08-PM,XVGUSD,0.01298,0.01298,0.01298,0.01298,2839.2,36.85
2018-08-22 07-PM,XVGUSD,0.01326,0.01326,0.01298,0.01298,4131.89,54.11
2018-08-22 06-PM,XVGUSD,0.0134,0.01347,0.01326,0.01326,2189.47,29.35
2018-08-22 05-PM,XVGUSD,0.01349,0.01356,0.0134,0.0134,1093.21,14.65
2018-08-22 04-PM,XVGUSD,0.01373,0.01373,0.0131,0.01349,23741.62,319.82
2018-08-22 03-PM,XVGUSD,0.0139,0.0139,0.01373,0.01373,4237.53,58.19
2018-08-22 02-PM,XVGUSD,0.01373,0.0139,0.01373,0.0139,50.0,0.6949
2018-08-22 01-PM,XVGUSD,0.01372,0.01398,0.01372,0.01373,591.75,8.17
2018-08-22 12-PM,XVGUSD,0.01372,0.01372,0.01372,0.01372,0.0,0.0
2018-08-22 11-AM,XVGUSD,0.014,0.01414,0.01372,0.01372,10907.99,152.63
2018-08-22 10-AM,XVGUSD,0.0138,0.014,0.0137,0.014,2789.16,39.03
2018-08-22 09-AM,XVGUSD,0.01379,0.0138,0.01379,0.0138,848.48,11.71
2018-08-22 08-AM,XVGUSD,0.01369,0.01379,0.01369,0.01379,1237.41,17.02
2018-08-22 07-AM,XVGUSD,0.01379,0.01379,0.01369,0.01369,378.09,5.19
2018-08-22 06-AM,XVGUSD,0.01392,0.01392,0.01379,0.01379,362.58,5.0
2018-08-22 05-AM,XVGUSD,0.01392,0.01392,0.01392,0.01392,3127.5,43.52
2018-08-22 04-AM,XVGUSD,0.0142,0.01445,0.01391,0.01392,15175.82,214.3
2018-08-22 03-AM,XVGUSD,0.01409,0.01434,0.01392,0.0142,6720.51,96.3
2018-08-22 02-AM,XVGUSD,0.01391,0.0142,0.0139,0.01409,3651.89,51.45
2018-08-22 01-AM,XVGUSD,0.01357,0.01448,0.01357,0.01391,54891.1,784.73
