Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2018-08-22 11-PM,ZECRUR,8800,8800,8800,8800,0.0,0.0
2018-08-22 10-PM,ZECRUR,8800,8800,8800,8800,0.07244,637.48
2018-08-22 09-PM,ZECRUR,8807,8867.18,8800,8800,1.68,14836.66
2018-08-22 08-PM,ZECRUR,8860,8867.18,8807,8807,1.35,11960.82
2018-08-22 07-PM,ZECRUR,9013.38,9013.38,8860,8860,0.2434,2166.2
2018-08-22 06-PM,ZECRUR,8956.2,9020,8956.2,9013.38,0.979,8771.46
2018-08-22 05-PM,ZECRUR,8850,8956.2,8850,8956.2,0.5443,4830.78
2018-08-22 04-PM,ZECRUR,9088.39,9138.33,8850,8850,1.87,16806.57
2018-08-22 03-PM,ZECRUR,9097.43,9097.43,9086.43,9088.39,0.6255,5684.68
2018-08-22 02-PM,ZECRUR,9125.31,9125.31,9084.43,9097.43,0.4363,3965.73
2018-08-22 01-PM,ZECRUR,9123.67,9288.05,9123.67,9125.31,2.74,25007.98
2018-08-22 12-PM,ZECRUR,9123.67,9123.67,9123.67,9123.67,0.2419,2207.45
2018-08-22 11-AM,ZECRUR,9252.01,9288.05,9122.01,9123.67,0.79,7213.13
2018-08-22 10-AM,ZECRUR,9057.31,9252.01,9057.31,9252.01,0.6735,6156.47
2018-08-22 09-AM,ZECRUR,9045.15,9057.31,9045.15,9057.31,0.4329,3920.26
2018-08-22 08-AM,ZECRUR,9070,9165.9,9045.04,9045.15,0.3112,2817.93
2018-08-22 07-AM,ZECRUR,9124.84,9124.84,9043.27,9070,0.3737,3395.56
2018-08-22 06-AM,ZECRUR,9119.33,9288.05,9078.48,9124.84,1.36,12472.06
2018-08-22 05-AM,ZECRUR,9161.59,9161.59,9119.33,9119.33,3.0,27520.98
2018-08-22 04-AM,ZECRUR,9248.85,9248.85,9161.59,9161.59,0.2708,2500.32
2018-08-22 03-AM,ZECRUR,9330,9333,9247.14,9248.85,1.12,10436.48
2018-08-22 02-AM,ZECRUR,9250,9333,9246.3,9330,0.8034,7475.28
2018-08-22 01-AM,ZECRUR,9008.59,9257.8,9008.59,9250,0.8001,7289.99
2018-08-22 12-AM,ZECRUR,9101.65,9101.65,9008.59,9008.59,0.04055,365.73
2018-08-21 11-PM,ZECRUR,8982.52,9101.65,8982.52,9101.65,0.4246,3864.29
2018-08-21 10-PM,ZECRUR,9101.65,9101.65,8982.52,8982.52,0.03029,272.1
2018-08-21 09-PM,ZECRUR,9035,9101.65,9021.74,9101.65,1.58,14387.32
2018-08-21 08-PM,ZECRUR,9034.3,9255.55,8993.83,9035,2.7,24337.76
2018-08-21 07-PM,ZECRUR,8978,9257.8,8978,9034.3,2.71,24571.27
2018-08-21 06-PM,ZECRUR,9110.18,9143.43,8973.58,8978,0.8786,7968.66
2018-08-21 05-PM,ZECRUR,9000.08,9110.18,8823.04,9110.18,2.55,22909.49
2018-08-21 04-PM,ZECRUR,8812.2,9000.08,8812.2,9000.08,1.45,12803.75
2018-08-21 03-PM,ZECRUR,8850.49,8850.49,8808.22,8812.2,1.11,9746.31
2018-08-21 02-PM,ZECRUR,9012,9139.5,8850.49,8850.49,10.8,97382.75
2018-08-21 01-PM,ZECRUR,9011,9012,9011,9012,0.9494,8555.69
2018-08-21 12-PM,ZECRUR,9011.01,9148,9011,9011,7.04,63761.65
2018-08-21 11-AM,ZECRUR,9100,9100,9011.01,9011.01,0.983,8858.2
2018-08-21 10-AM,ZECRUR,9011,9150,9011,9100,1.97,17876.54
2018-08-21 09-AM,ZECRUR,9010.88,9032.65,9010,9011,1.82,16427.03
2018-08-21 08-AM,ZECRUR,9002,9177.43,9000.16,9010.88,0.6844,6243.16
2018-08-21 07-AM,ZECRUR,9000.16,9076,9000.16,9002,2.78,24980.24
2018-08-21 06-AM,ZECRUR,9001,9104.9,9000.16,9000.16,0.5339,4819.24
2018-08-21 05-AM,ZECRUR,9001,9001,9000.16,9001,3.6,32365.02
2018-08-21 04-AM,ZECRUR,9001,9001,9001,9001,1.52,13710.3
2018-08-21 03-AM,ZECRUR,9105,9105,9001,9001,0.6376,5799.42
2018-08-21 02-AM,ZECRUR,9164.75,9325,9104.91,9105,0.6659,6107.94
2018-08-21 01-AM,ZECRUR,9002,9164.75,9002,9164.75,0.5835,5299.49
2018-08-21 12-AM,ZECRUR,9005.44,9172.08,9002,9002,0.1307,1192.38
2018-08-20 11-PM,ZECRUR,9016.56,9016.56,9003.77,9005.44,0.08199,738.2
2018-08-20 10-PM,ZECRUR,9049.61,9049.61,9016.56,9016.56,0.03011,271.77
2018-08-20 09-PM,ZECRUR,9090.33,9180.33,9049.61,9049.61,0.3871,3515.74
2018-08-20 08-PM,ZECRUR,9107.83,9200,9090.33,9090.33,1.79,16261.84
2018-08-20 07-PM,ZECRUR,9105.41,9342.48,9105.41,9107.83,0.5956,5425.34
2018-08-20 06-PM,ZECRUR,9161.02,9162.94,9102.64,9105.41,3.62,32946.21
2018-08-20 05-PM,ZECRUR,9354,9354,9161.02,9161.02,0.9096,8343.52
2018-08-20 04-PM,ZECRUR,9358.08,9358.08,9168.23,9354,2.5,23069.49
2018-08-20 03-PM,ZECRUR,9168.23,9368.41,9168.23,9358.08,0.964,9030.71
2018-08-20 02-PM,ZECRUR,9300,9300,9168.23,9168.23,1.62,15083.46
2018-08-20 01-PM,ZECRUR,9333.33,9333.33,9240,9300,5.01,46528.66
2018-08-20 12-PM,ZECRUR,9347.11,9440,9321.86,9333.33,1.13,10577.81
2018-08-20 11-AM,ZECRUR,9460,9460,9334.45,9347.11,0.1289,1204.61
2018-08-20 10-AM,ZECRUR,9372.92,9460,9300,9460,1.29,12044.31
2018-08-20 09-AM,ZECRUR,9408.89,9487.82,9300,9372.92,1.57,14751.26
2018-08-20 08-AM,ZECRUR,9486.17,9486.17,9408.89,9408.89,5.87,55652.3
2018-08-20 07-AM,ZECRUR,9489.13,9500,9486.17,9486.17,0.7917,7512.81
2018-08-20 06-AM,ZECRUR,9501,9530.45,9489.13,9489.13,0.6746,6408.68
2018-08-20 05-AM,ZECRUR,9589.09,9589.09,9501,9501,1.22,11679.63
2018-08-20 04-AM,ZECRUR,9600.98,9600.98,9589.09,9589.09,0.3923,3761.88
2018-08-20 03-AM,ZECRUR,9590.17,9600.98,9590.17,9600.98,0.8909,8546.83
2018-08-20 02-AM,ZECRUR,9589.09,9590.17,9589.09,9590.17,0.2378,2280.4
