Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2019-07-03,ZECRUR,6600.56,6800,6467.35,6676.45,2.208,14831.84
2019-07-02,ZECRUR,6684.11,6839,6000,6600.56,29.07,184642.97
2019-07-01,ZECRUR,6872.98,7000,6200,6684.11,38.29,250385.89
2019-06-30,ZECRUR,7032.27,7100,6555.87,6872.98,13.42,91392.9
2019-06-29,ZECRUR,7244.28,7254.79,6900,7032.27,19.26,134812.31
2019-06-28,ZECRUR,6300.09,7300.05,6000,7244.28,47.58,328710.48
2019-06-27,ZECRUR,6915,7083.86,5900,6300.09,35.29,226802.77
2019-06-26,ZECRUR,6551.05,7994.86,6531.58,6915,186.54,1326217.47
2019-06-25,ZECRUR,6810,6810,6500.89,6551.05,33.29,221536.31
2019-06-24,ZECRUR,7172.99,7172.99,6700,6810,49.75,340485.0
2019-06-23,ZECRUR,7074,7228.84,6906.58,7172.99,27.18,191000.76
2019-06-22,ZECRUR,6845.48,7406.51,6724,7074,112.82,799634.59
2019-06-21,ZECRUR,6801.94,7145.3,6801.94,6845.48,53.69,375335.91
2019-06-20,ZECRUR,7021.55,7056.86,6706.6,6801.94,28.7,196159.67
2019-06-19,ZECRUR,7200.03,7361.23,6785.33,7021.55,84.77,594376.31
2019-06-18,ZECRUR,6597.38,7200.03,6336.77,7200.03,74.89,504425.87
2019-06-17,ZECRUR,6000.14,6605,5928.92,6597.38,46.37,292624.87
2019-06-16,ZECRUR,5920.24,6095.04,5783.19,6000.14,33.7,200983.42
2019-06-15,ZECRUR,5701.27,6040,5701.27,5920.24,18.28,108862.28
2019-06-14,ZECRUR,5730,6110.56,5554.3,5701.27,31.64,184859.1
2019-06-13,ZECRUR,5900,5900,5629.49,5730,13.12,75716.23
2019-06-12,ZECRUR,5233.34,5981.53,5233.34,5900,69.96,398048.79
2019-06-11,ZECRUR,5287.27,5301.98,5146.17,5233.34,8.563,44528.87
2019-06-10,ZECRUR,5136.21,5350,5136.21,5287.27,21.07,110391.44
2019-06-09,ZECRUR,5414.63,5414.63,5127,5136.21,9.159,48304.06
2019-06-08,ZECRUR,5427.08,5574.3,5351.67,5414.63,21.8,119688.62
2019-06-07,ZECRUR,5187.6,5521.98,5130.16,5427.08,25.1,133264.39
2019-06-06,ZECRUR,5290.88,5321.37,5087.17,5187.6,60.22,312971.36
2019-06-05,ZECRUR,5200,5290.88,5056.24,5290.88,43.81,224697.31
2019-06-04,ZECRUR,5598.21,5750,5050,5200,32.31,173328.21
2019-06-03,ZECRUR,5730.88,5730.88,5470.65,5550,59.47,331480.84
2019-06-02,ZECRUR,5645.97,5763.64,5532,5730.88,18.74,105859.53
2019-06-01,ZECRUR,5843.6,5990,5600,5645.97,45.77,262418.99
2019-05-31,ZECRUR,5374.85,5892.77,5374.85,5843.6,38.14,212872.33
2019-05-30,ZECRUR,5452.96,6100.01,5343.07,5374.85,105.56,604044.53
2019-05-29,ZECRUR,5383.26,5665,5001,5452.96,53.29,290908.97
2019-05-28,ZECRUR,4800,5498,4721.36,5383.26,74.73,390271.34
2019-05-27,ZECRUR,4800,4890,4607.99,4800,32.85,156718.2
2019-05-26,ZECRUR,4665.56,4800,3900,4800,32.53,146992.7
2019-05-25,ZECRUR,4668.55,4699.23,4571,4665.56,19.27,89062.65
2019-05-24,ZECRUR,4650,4782.01,4501.08,4668.55,34.53,160814.01
2019-05-23,ZECRUR,4550,4650,4450,4650,8.6,38902.07
2019-05-22,ZECRUR,4789.77,4843.49,4450.33,4550,84.33,383705.36
2019-05-21,ZECRUR,4950,5000,4751,4789.77,24.97,120988.2
2019-05-20,ZECRUR,4989.99,4990,4770.36,4950,27.35,133356.16
2019-05-19,ZECRUR,4900,4989.99,4701.49,4989.99,25.77,126065.06
2019-05-18,ZECRUR,4525.81,4900,4525.81,4900,26.54,127227.74
2019-05-17,ZECRUR,4750.18,4804.56,4323.17,4525.81,52.33,237956.0
2019-05-16,ZECRUR,4998,5300,4500.01,4750.18,79.23,386977.37
2019-05-15,ZECRUR,4386.71,4998,4259.21,4998,92.97,435984.65
2019-05-14,ZECRUR,4218.41,4558.63,4100.17,4386.71,49.6,216175.24
2019-05-13,ZECRUR,3905,4219,3900,4218.41,35.22,143045.43
2019-05-12,ZECRUR,3900,4130.03,3850,3905,71.45,286723.33
2019-05-11,ZECRUR,3853.46,4034.99,3650,3990,27.88,109084.16
2019-05-10,ZECRUR,3676.52,3900,3676.52,3853.46,37.04,142280.86
2019-05-09,ZECRUR,3723.95,3858.33,3676.47,3676.52,37.19,139185.27
2019-05-08,ZECRUR,3783.97,3810,3700,3723.95,14.33,53919.16
2019-05-07,ZECRUR,3880,3948.61,3860,3861.15,13.3,51556.8
2019-05-06,ZECRUR,3856.85,4000,3856,3880,29.75,115560.27
2019-05-05,ZECRUR,3917.3,4025,3853,3856.85,21.33,83841.0
2019-05-04,ZECRUR,4100,4100,3900.01,3917.3,50.8,202011.11
2019-05-03,ZECRUR,3933.48,4129,3850,4100,47.04,185468.0
2019-05-02,ZECRUR,3903.54,4119,3883,3933.48,28.88,113804.66
2019-05-01,ZECRUR,3950,4141.51,3883,3903.54,12.51,49609.66
2019-04-30,ZECRUR,3989,4100,3848.46,3950,40.68,160007.95
2019-04-29,ZECRUR,4031,4039.72,3833.94,3989,23.23,92056.2
2019-04-28,ZECRUR,4150,4290.01,4031,4031,13.44,55446.6
2019-04-27,ZECRUR,4150,4238.01,4001.21,4150,15.13,61912.34
2019-04-26,ZECRUR,4151.24,4267,4000,4150,21.1,86700.27
2019-04-25,ZECRUR,4300,4423.23,4150,4151.24,31.09,132508.35
2019-04-24,ZECRUR,4463.41,4515,4151.7,4300,46.32,200272.61
2019-04-23,ZECRUR,4529.38,4648.7,4463.41,4463.41,50.57,230717.73
2019-04-22,ZECRUR,4506.37,4664.68,4421.71,4529.38,18.62,83825.5
2019-04-21,ZECRUR,4587.36,4624.81,4500.15,4506.37,11.03,50186.26
2019-04-20,ZECRUR,4620.69,4690.14,4550,4587.36,10.81,49893.09
2019-04-19,ZECRUR,4711,4711,4565.04,4620.69,14.41,66946.56
2019-04-18,ZECRUR,4738.92,4738.92,4621.01,4711,15.79,73291.74
2019-04-17,ZECRUR,4707.1,4738.97,4500,4738.92,35.11,159899.32
2019-04-16,ZECRUR,4613.76,4772.04,4500,4707.1,19.74,91691.77
2019-04-15,ZECRUR,4679.06,4727.06,4563.2,4613.76,19.4,89787.44
2019-04-14,ZECRUR,4735.28,4772.91,4652.02,4679.06,17.53,82232.12
2019-04-13,ZECRUR,4890.51,4900,4724.4,4735.28,14.07,67646.79
2019-04-12,ZECRUR,4702.23,4890.51,4628.05,4890.51,42.13,201007.65
2019-04-11,ZECRUR,4751.21,4803.88,4451.8,4702.23,40.77,187519.62
2019-04-10,ZECRUR,4743.58,4859.5,4688,4751.21,35.99,171280.73
2019-04-09,ZECRUR,4726.54,4817.51,4651.67,4743.58,28.23,133290.77
2019-04-08,ZECRUR,4901,5000,4689.31,4726.54,5.61,26843.82
2019-04-07,ZECRUR,4650.22,5000,4650.22,4901,3.77,18486.63
2019-04-06,ZECRUR,4615.26,4840.13,4596.33,4650.22,2.86,13461.24
2019-04-05,ZECRUR,4177.17,4800.2,4177.17,4615.26,2.75,12609.06
2019-04-04,ZECRUR,4898,4898,4100,4177.17,3.9,16887.62
