Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-22 11-PM,ZECUSD,130.8,130.8,130.8,130.8,0.0,0.0
2018-08-22 10-PM,ZECUSD,131,131,130.8,130.8,0.06936,9.07
2018-08-22 09-PM,ZECUSD,131.99,131.99,131,131,0.9782,128.18
2018-08-22 08-PM,ZECUSD,131.99,132,131,131.99,0.2375,31.28
2018-08-22 07-PM,ZECUSD,132.93,132.93,131.99,131.99,0.1284,16.97
2018-08-22 06-PM,ZECUSD,132.93,133,132.93,132.93,0.2717,36.12
2018-08-22 05-PM,ZECUSD,132.93,132.93,132.93,132.93,0.01,1.33
2018-08-22 04-PM,ZECUSD,138,138,132.93,132.93,3.9,524.47
2018-08-22 03-PM,ZECUSD,137.02,139,137.02,138,0.5579,76.53
2018-08-22 02-PM,ZECUSD,136.55,139.02,136.55,137.02,0.1021,14.03
2018-08-22 01-PM,ZECUSD,136.55,136.55,136.55,136.55,0.03169,4.33
2018-08-22 12-PM,ZECUSD,136.55,136.55,136.55,136.55,0.0,0.0
2018-08-22 11-AM,ZECUSD,136.44,136.55,136.44,136.55,0.1206,16.47
2018-08-22 10-AM,ZECUSD,136.44,136.44,136.44,136.44,0.0,0.0
2018-08-22 09-AM,ZECUSD,136.3,136.44,136.3,136.44,0.08128,11.09
2018-08-22 08-AM,ZECUSD,140.96,140.96,136.3,136.3,0.0268,3.65
2018-08-22 07-AM,ZECUSD,141.17,141.17,140.96,140.96,0.0017,0.2396
2018-08-22 06-AM,ZECUSD,138.41,141.17,138.41,141.17,1.54,216.79
2018-08-22 05-AM,ZECUSD,139.25,139.25,138.41,138.41,2.04,283.23
2018-08-22 04-AM,ZECUSD,139.28,139.28,139.25,139.25,0.02989,4.16
2018-08-22 03-AM,ZECUSD,140.51,141,139.28,139.28,0.006612,0.9238
2018-08-22 02-AM,ZECUSD,139.99,140.51,139.86,140.51,0.2468,34.52
2018-08-22 01-AM,ZECUSD,135.33,145,135.33,139.99,1.7,237.83
2018-08-22 12-AM,ZECUSD,134.72,135.33,134.72,135.33,0.1,13.53
2018-08-21 11-PM,ZECUSD,137,137,134.72,134.72,0.01011,1.36
2018-08-21 10-PM,ZECUSD,134.37,137,134.37,137,0.06717,9.19
2018-08-21 09-PM,ZECUSD,137.07,138.8,134.37,134.37,1.08,148.76
2018-08-21 08-PM,ZECUSD,137.07,137.07,137.07,137.07,0.0,0.0
2018-08-21 07-PM,ZECUSD,137.07,137.07,137.07,137.07,0.07021,9.62
2018-08-21 06-PM,ZECUSD,135.62,137.07,134.48,137.07,1.06,142.02
2018-08-21 05-PM,ZECUSD,132.99,137.64,132.99,135.62,2.2,298.66
2018-08-21 04-PM,ZECUSD,132.99,132.99,132.99,132.99,0.0,0.0
2018-08-21 03-PM,ZECUSD,134.17,134.17,132.99,132.99,0.1326,17.74
2018-08-21 02-PM,ZECUSD,135,135,134.17,134.17,0.05195,6.97
2018-08-21 01-PM,ZECUSD,135.95,137.7,135,135,0.3856,52.36
2018-08-21 12-PM,ZECUSD,138.95,138.95,135.95,135.95,0.1883,25.64
2018-08-21 11-AM,ZECUSD,138.95,138.95,138.95,138.95,0.0,0.0
2018-08-21 10-AM,ZECUSD,138,138.95,138,138.95,0.6229,86.54
2018-08-21 09-AM,ZECUSD,138,138,138,138,0.3397,46.88
2018-08-21 08-AM,ZECUSD,136.71,138,136.71,138,1.22,168.58
2018-08-21 07-AM,ZECUSD,136,136.71,135.14,136.71,0.2101,28.69
2018-08-21 06-AM,ZECUSD,135,136,135,136,0.1107,15.05
2018-08-21 05-AM,ZECUSD,135,135,135,135,0.3838,51.82
2018-08-21 04-AM,ZECUSD,134.81,140.94,134.81,135,0.7447,100.41
2018-08-21 03-AM,ZECUSD,134.6,134.81,134.6,134.81,0.131,17.66
2018-08-21 02-AM,ZECUSD,134.46,141.66,134.46,134.6,1.56,217.54
2018-08-21 01-AM,ZECUSD,136.08,136.08,134.46,134.46,0.1869,25.35
2018-08-21 12-AM,ZECUSD,136.08,136.08,136.08,136.08,0.0,0.0
