Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-07-03 10-AM,ETHBTC,0.0262,0.0262,0.0262,0.0262,0.0,0.0
2019-07-03 09-AM,ETHBTC,0.0264,0.0266,0.026,0.0262,2.422,0.06342
2019-07-03 08-AM,ETHBTC,0.0263,0.0264,0.0263,0.0264,2.656,0.06995
2019-07-03 07-AM,ETHBTC,0.0259,0.0263,0.0258,0.0263,2.834,0.07331
2019-07-03 06-AM,ETHBTC,0.0258,0.0259,0.0258,0.0259,1.587,0.04112
2019-07-03 05-AM,ETHBTC,0.026,0.026,0.0258,0.0258,1.661,0.04299
2019-07-03 04-AM,ETHBTC,0.0263,0.0263,0.0259,0.026,0.2278,0.005908
2019-07-03 03-AM,ETHBTC,0.0263,0.0263,0.0263,0.0263,0.009,0.0002367
2019-07-03 02-AM,ETHBTC,0.026,0.0263,0.026,0.0263,1.15,0.03024
2019-07-03 01-AM,ETHBTC,0.0264,0.0265,0.026,0.026,9.344,0.2449
2019-07-03 12-AM,ETHBTC,0.0272,0.0272,0.0261,0.0264,2.431,0.0638
2019-07-02 11-PM,ETHBTC,0.0272,0.0272,0.0272,0.0272,0.0,0.0
2019-07-02 10-PM,ETHBTC,0.0272,0.0272,0.0272,0.0272,0.0,0.0
2019-07-02 09-PM,ETHBTC,0.0265,0.0272,0.0265,0.0272,2.061,0.05582
2019-07-02 08-PM,ETHBTC,0.0273,0.0273,0.0265,0.0265,1.934,0.05139
2019-07-02 07-PM,ETHBTC,0.0273,0.0273,0.0273,0.0273,0.0,0.0
2019-07-02 06-PM,ETHBTC,0.0273,0.0273,0.0273,0.0273,0.0,0.0
2019-07-02 05-PM,ETHBTC,0.0273,0.0273,0.0273,0.0273,0.0,0.0
2019-07-02 04-PM,ETHBTC,0.0273,0.0273,0.0273,0.0273,0.0,0.0
2019-07-02 03-PM,ETHBTC,0.0273,0.0273,0.0272,0.0273,1.27,0.03458
2019-07-02 02-PM,ETHBTC,0.0279,0.0279,0.0273,0.0273,4.006,0.1098
2019-07-02 01-PM,ETHBTC,0.0279,0.0279,0.0279,0.0279,0.0,0.0
2019-07-02 12-PM,ETHBTC,0.0282,0.0282,0.0279,0.0279,1.986,0.05541
2019-07-02 11-AM,ETHBTC,0.0277,0.0282,0.0277,0.0282,22.78,0.6377
2019-07-02 10-AM,ETHBTC,0.0275,0.0277,0.0275,0.0277,5.549,0.1532
