Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume JPY
2019-07-03,ETHJPY,31490,32500,31465,31900,1095.57,35025180.72
2019-07-02,ETHJPY,32190,32300,29415,31490,3180.83,97358348.75
2019-07-01,ETHJPY,31400,32800,30420,32190,3395.14,107912842.19
2019-06-30,ETHJPY,34605,35000,31400,31400,2036.19,67496576.09
2019-06-29,ETHJPY,33595,34995,31800,34605,1546.45,51280538.25
2019-06-28,ETHJPY,32035,33805,31315,33595,2683.32,87383170.43
2019-06-27,ETHJPY,36295,37250,30100,32035,5495.66,184918624.06
2019-06-26,ETHJPY,34000,39495,33725,36295,4894.82,177766493.15
2019-06-25,ETHJPY,33325,34000,33000,34000,2100.59,70045552.22
2019-06-24,ETHJPY,32835,33545,31850,33325,1842.8,60431544.84
2019-06-23,ETHJPY,33150,33890,32320,32835,2472.27,82228158.53
2019-06-22,ETHJPY,31695,33700,31405,33150,3718.44,122058733.94
2019-06-21,ETHJPY,29290,31700,29190,31695,4337.68,132518500.0
2019-06-20,ETHJPY,29100,29510,28725,29290,2239.21,64948094.1
2019-06-19,ETHJPY,28580,29255,28540,29100,1054.59,30527497.11
2019-06-18,ETHJPY,29670,29790,28400,28580,2627.93,76116305.97
2019-06-17,ETHJPY,29270,29890,29000,29670,1464.71,43219497.02
2019-06-16,ETHJPY,29145,30350,28755,29270,4385.05,129533471.52
2019-06-15,ETHJPY,28765,29400,28420,29145,3898.53,112705191.08
2019-06-14,ETHJPY,27700,29000,27400,28765,2060.6,57648477.3
2019-06-13,ETHJPY,28400,28595,27700,27700,1310.18,36902563.26
2019-06-12,ETHJPY,26695,28505,26405,28400,2113.01,57773700.82
2019-06-11,ETHJPY,26800,26995,25710,26695,2079.84,55210043.3
2019-06-10,ETHJPY,25165,26800,24815,26800,1192.34,31099779.74
2019-06-09,ETHJPY,26570,26570,24810,25165,1977.92,50811341.05
2019-06-08,ETHJPY,27095,27295,26100,26570,1088.41,29154020.66
2019-06-07,ETHJPY,27050,27480,26675,27095,1615.5,43629724.33
2019-06-06,ETHJPY,26785,27200,25700,27050,1500.48,39729828.04
2019-06-05,ETHJPY,26195,26930,25810,26785,4743.16,124442452.81
2019-06-04,ETHJPY,27200,27355,25500,26195,4091.52,108728072.57
2019-06-03,ETHJPY,29275,29275,27120,27200,3326.55,94444948.5
2019-06-02,ETHJPY,28595,29600,28420,29275,2346.01,68400597.49
2019-06-01,ETHJPY,29050,29695,28395,28595,3554.65,103206048.11
2019-05-31,ETHJPY,28000,29130,27025,29050,7302.28,204020570.53
2019-05-30,ETHJPY,29535,31540,27700,28000,7385.68,220470031.81
2019-05-29,ETHJPY,29615,30040,28600,29535,2915.7,85998645.39
2019-05-28,ETHJPY,29835,30070,29125,29615,2253.35,66733885.45
2019-05-27,ETHJPY,29285,29980,28805,29835,4103.23,121157357.3
2019-05-26,ETHJPY,27625,29665,26980,29285,3159.61,89347747.04
2019-05-25,ETHJPY,27225,28305,27105,27625,1934.77,53678773.62
2019-05-24,ETHJPY,26860,27975,26605,27225,1900.46,51934926.24
2019-05-23,ETHJPY,26830,27295,25455,26860,2451.12,64925002.47
2019-05-22,ETHJPY,28305,28800,26500,26830,2157.94,60149123.24
2019-05-21,ETHJPY,27785,29005,27360,28305,2984.53,83389450.42
2019-05-20,ETHJPY,28680,28700,26455,27785,2442.9,67314288.87
2019-05-19,ETHJPY,25875,29095,25850,28680,4864.71,135529991.7
2019-05-18,ETHJPY,27150,27500,25605,25875,2170.24,57135368.84
2019-05-17,ETHJPY,29010,29495,24340,27150,6787.03,178475630.68
2019-05-16,ETHJPY,27185,30000,26530,29010,12801.48,366261575.08
2019-05-15,ETHJPY,23810,27495,23800,27185,7804.84,199165552.67
2019-05-14,ETHJPY,21500,24190,21405,23810,5103.7,116465633.54
2019-05-13,ETHJPY,20560,22525,20205,21500,4589.47,97691898.15
2019-05-12,ETHJPY,21410,22385,19985,20560,6144.64,130074747.31
2019-05-11,ETHJPY,18985,22845,18970,21410,6452.65,133917784.88
2019-05-10,ETHJPY,18650,19300,18500,18985,2226.54,42303370.38
2019-05-09,ETHJPY,18600,18945,18200,18650,1655.84,30759569.9
2019-05-08,ETHJPY,18440,18750,18000,18600,3847.07,70583755.63
2019-05-07,ETHJPY,18995,19915,18980,19580,1857.83,36379539.35
2019-05-06,ETHJPY,17820,19400,17500,18995,3160.9,58248473.28
2019-05-05,ETHJPY,17940,18150,17565,17820,747.71,13379822.41
2019-05-04,ETHJPY,18320,18700,17630,17940,2095.65,37930508.59
2019-05-03,ETHJPY,17780,18900,17670,18320,2369.58,43409014.66
2019-05-02,ETHJPY,17700,17900,17500,17780,954.11,16886281.59
2019-05-01,ETHJPY,17800,18200,17525,17700,1047.26,18713836.39
2019-04-30,ETHJPY,17120,18000,17120,17800,1387.05,24308394.85
2019-04-29,ETHJPY,17205,17400,16850,17120,717.57,12293500.26
2019-04-28,ETHJPY,17490,17705,17200,17205,1061.33,18505326.61
2019-04-27,ETHJPY,17200,17755,17055,17500,1026.72,17713570.69
2019-04-26,ETHJPY,17120,17600,16655,17200,3465.42,59352533.37
2019-04-25,ETHJPY,18600,18650,16985,17120,2632.95,47506834.06
2019-04-24,ETHJPY,19195,19195,18100,18600,2744.53,50947139.34
2019-04-23,ETHJPY,19215,19750,19010,19195,2102.08,40819871.78
2019-04-22,ETHJPY,19000,19385,18805,19215,1518.35,29002309.05
2019-04-21,ETHJPY,19430,19570,18700,19000,1724.38,32790855.5
2019-04-20,ETHJPY,19515,19855,19135,19430,3673.15,71047228.88
2019-04-19,ETHJPY,19455,19600,19000,19515,1603.61,30867221.97
2019-04-18,ETHJPY,18610,19740,18605,19455,2119.99,40853772.36
2019-04-17,ETHJPY,18700,18885,18450,18610,860.28,16030748.19
2019-04-16,ETHJPY,17955,18805,17900,18700,2439.59,44847034.89
2019-04-15,ETHJPY,18895,18970,17675,17955,2275.44,41666298.37
2019-04-14,ETHJPY,18395,18895,18090,18895,847.4,15596920.79
2019-04-13,ETHJPY,18445,18700,18185,18395,1316.03,24310503.08
2019-04-12,ETHJPY,18500,18900,17855,18445,2494.82,45600882.44
2019-04-11,ETHJPY,19800,19805,17800,18500,4370.38,81881987.14
2019-04-10,ETHJPY,19495,20495,19400,19800,4007.39,79779942.32
2019-04-09,ETHJPY,20105,20175,19450,19495,2287.73,45147628.9
2019-04-08,ETHJPY,19485,20805,19425,20105,5580.48,112408050.33
2019-04-07,ETHJPY,18500,19630,18400,19485,3230.54,61234301.55
2019-04-06,ETHJPY,18595,19385,17930,18500,3811.23,70081250.15
2019-04-05,ETHJPY,17625,18750,17485,18595,4409.78,80152387.98
2019-04-04,ETHJPY,17970,18505,17125,17625,5526.4,98613761.03
2019-04-03,ETHJPY,18375,20000,17500,17970,10160.34,193106183.24
2019-04-02,ETHJPY,15700,18595,15680,18375,7730.27,132078264.0
2019-04-01,ETHJPY,15675,15860,15500,15700,2936.27,46084972.19
2019-03-31,ETHJPY,15740,15750,15550,15675,1106.63,17287921.09
2019-03-30,ETHJPY,15790,16075,15555,15740,2397.81,37915469.11
2019-03-29,ETHJPY,15200,15795,15155,15790,2922.16,45068028.61
2019-03-28,ETHJPY,15370,15370,15105,15200,1269.89,19289292.59
2019-03-27,ETHJPY,14705,15445,14700,15370,1864.9,28255335.18
2019-03-26,ETHJPY,14690,14775,14550,14705,1748.27,25662719.31
2019-03-25,ETHJPY,14935,14950,14500,14690,2792.57,41210719.13
2019-03-24,ETHJPY,15010,15030,14800,14935,1383.85,20647268.04
2019-03-23,ETHJPY,14990,15140,14835,15010,1270.41,19012836.42
2019-03-22,ETHJPY,14970,15120,14850,14990,1526.57,22896762.74
2019-03-21,ETHJPY,15300,15445,14840,14970,1662.52,25190388.5
2019-03-20,ETHJPY,15350,15425,15150,15300,2602.81,39813021.87
2019-03-19,ETHJPY,15305,15420,15120,15350,1591.37,24291532.06
2019-03-18,ETHJPY,15445,15685,15150,15305,2050.78,31595079.82
2019-03-17,ETHJPY,15675,15675,15200,15445,1886.35,29006062.13
2019-03-16,ETHJPY,15070,15925,15040,15675,3975.68,61859024.55
2019-03-15,ETHJPY,14750,15250,14620,15070,2262.96,33839646.68
2019-03-14,ETHJPY,14620,15000,14525,14750,1558.26,22853155.16
2019-03-13,ETHJPY,14725,14895,14495,14620,1455.34,21308329.19
2019-03-12,ETHJPY,14680,14900,14320,14725,2387.63,34972668.44
2019-03-11,ETHJPY,15000,15055,14500,14680,2113.33,31231025.44
2019-03-10,ETHJPY,15155,15160,14800,15000,1368.69,20558718.62
2019-03-09,ETHJPY,14780,15350,14655,15155,3758.6,56413013.64
2019-03-08,ETHJPY,15175,15320,14510,14780,4223.74,63278552.51
2019-03-07,ETHJPY,15280,15600,15055,15175,3830.06,58590891.47
2019-03-06,ETHJPY,15205,15580,14855,15280,2861.53,43498378.7
2019-03-05,ETHJPY,13990,15450,13925,15205,4850.02,71515211.96
2019-03-04,ETHJPY,14570,14600,13700,13990,3061.85,43122486.81
2019-03-03,ETHJPY,14780,14970,14300,14570,1373.97,20314456.47
2019-03-02,ETHJPY,15090,15165,14425,14780,2132.72,31555766.21
2019-03-01,ETHJPY,15005,15400,15005,15090,1333.01,20217493.83
2019-02-28,ETHJPY,14900,15350,14700,15005,2358.33,35542134.64
2019-02-27,ETHJPY,15020,15400,14150,14900,2206.43,32922177.86
2019-02-26,ETHJPY,15315,15320,14815,15020,2137.28,32258787.34
2019-02-25,ETHJPY,14655,15700,14605,15315,3399.1,51324490.9
2019-02-24,ETHJPY,17400,18315,14655,14655,10231.66,170741611.17
2019-02-23,ETHJPY,16200,17600,16025,17400,3184.63,53353592.36
2019-02-22,ETHJPY,15970,16325,15800,16200,2761.45,44583708.94
2019-02-21,ETHJPY,16350,16350,15680,15970,3049.03,48740453.96
2019-02-20,ETHJPY,15800,16400,15360,16350,4554.59,72308924.46
2019-02-19,ETHJPY,16000,16595,15675,15800,5836.85,93977523.78
2019-02-18,ETHJPY,14600,16300,14435,16000,8191.31,126108044.28
2019-02-17,ETHJPY,13420,14750,13420,14600,3936.91,55194951.25
2019-02-16,ETHJPY,13335,13570,13300,13420,1241.39,16668943.62
2019-02-15,ETHJPY,13220,13570,13150,13335,1607.26,21409223.84
2019-02-14,ETHJPY,13400,13660,13210,13220,2355.03,31524925.33
2019-02-13,ETHJPY,13250,13700,13210,13400,2420.36,32541035.44
2019-02-12,ETHJPY,13120,13400,12835,13250,10108.57,131131567.36
2019-02-11,ETHJPY,13500,13500,12600,13120,9088.43,118370244.51
2019-02-10,ETHJPY,12955,13630,12555,13500,4282.08,54831347.66
2019-02-09,ETHJPY,12975,13110,12705,12955,3066.98,39580284.87
2019-02-08,ETHJPY,11350,13110,11220,12975,5362.09,66192771.63
2019-02-07,ETHJPY,11325,11500,11275,11350,1596.0,18180608.07
2019-02-06,ETHJPY,11685,11685,11065,11325,3015.47,33961643.43
2019-02-05,ETHJPY,11685,11735,11500,11685,1229.37,14280845.44
2019-02-04,ETHJPY,11600,11800,11520,11685,1968.51,22933111.37
2019-02-03,ETHJPY,11975,12000,11460,11600,1643.9,19293726.68
2019-02-02,ETHJPY,11655,12000,11505,11975,1570.41,18335646.07
2019-02-01,ETHJPY,11495,11795,11265,11655,5322.38,60723758.75
