Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
2019-07-03 10-AM,MONAJPY,260.8,263.3,256.2,263.3,9697.0,2523509.3
2019-07-03 09-AM,MONAJPY,254,260.8,253,260.8,6299.0,1618156.8
2019-07-03 08-AM,MONAJPY,254,255,250,254,5155.0,1303611.0
2019-07-03 07-AM,MONAJPY,256.1,257,254,254,5240.0,1337081.4
2019-07-03 06-AM,MONAJPY,260,260,255.3,256.1,7219.0,1846865.9
2019-07-03 05-AM,MONAJPY,256,261,256,260,10686.0,2766640.6
2019-07-03 04-AM,MONAJPY,255.6,257,255.6,256,1396.0,357442.5
2019-07-03 03-AM,MONAJPY,255.4,256,253.2,255.6,7344.0,1873374.9
2019-07-03 02-AM,MONAJPY,256.4,256.4,254.1,255.4,2430.0,620483.3
2019-07-03 01-AM,MONAJPY,258,258,252.2,256.4,6406.0,1643267.8
2019-07-03 12-AM,MONAJPY,251,259.4,251,258,16917.0,4342388.9
2019-07-02 11-PM,MONAJPY,250,251.3,248,251,5085.0,1273583.3
2019-07-02 10-PM,MONAJPY,251.1,251.3,248,250,8022.0,2004229.8
2019-07-02 09-PM,MONAJPY,251.4,251.4,245,251.1,4612.0,1140401.1
2019-07-02 08-PM,MONAJPY,249.9,256,249.9,251.4,5550.0,1405714.0
2019-07-02 07-PM,MONAJPY,248,250,246.3,249.9,2472.0,616104.1
2019-07-02 06-PM,MONAJPY,245.2,248,245.2,248,179.0,44391.0
2019-07-02 05-PM,MONAJPY,243.6,247.6,243.6,245.2,5183.0,1272399.4
2019-07-02 04-PM,MONAJPY,244.7,244.9,243,243.6,3380.0,825280.7
2019-07-02 03-PM,MONAJPY,247.9,248.1,242.1,244.7,3536.0,864362.5
2019-07-02 02-PM,MONAJPY,239,248.7,237,247.9,13950.0,3415050.9
2019-07-02 01-PM,MONAJPY,241.8,241.8,235.3,239,5622.0,1338813.4
2019-07-02 12-PM,MONAJPY,240,245.2,239,241.8,16977.0,4099833.6
2019-07-02 11-AM,MONAJPY,240,246.9,232.5,240,17233.0,4098840.9
2019-07-02 10-AM,MONAJPY,243,247.3,239,240,10793.0,2623260.6
2019-07-02 09-AM,MONAJPY,249,251,242.5,243,11406.0,2800690.6
2019-07-02 08-AM,MONAJPY,240.9,255,240,249,41026.0,10202157.9
2019-07-02 07-AM,MONAJPY,235,241.9,234.2,240.9,6466.0,1551829.9
2019-07-02 06-AM,MONAJPY,236,237.6,231.2,235,14146.0,3305180.5
2019-07-02 05-AM,MONAJPY,245,247,231,236,22819.0,5417069.2
2019-07-02 04-AM,MONAJPY,256,256.9,242,245,22820.0,5667867.9
2019-07-02 03-AM,MONAJPY,256.5,257,253.5,256,4628.0,1182262.4
2019-07-02 02-AM,MONAJPY,259.2,259.2,256,256.5,9058.0,2337330.8
2019-07-02 01-AM,MONAJPY,260,261.7,259.2,259.2,3755.0,978014.4
2019-07-02 12-AM,MONAJPY,260,261.1,259.6,260,4302.0,1118542.4
2019-07-01 11-PM,MONAJPY,258.3,260.2,258,260,1724.0,447867.7
2019-07-01 10-PM,MONAJPY,259,261.8,255,258.3,6322.0,1617713.7
2019-07-01 09-PM,MONAJPY,261,261,255,259,1790.0,460462.7
2019-07-01 08-PM,MONAJPY,257,262.1,252.5,261,9160.0,2332364.0
2019-07-01 07-PM,MONAJPY,261.9,261.9,253.2,257,9508.0,2446516.3
2019-07-01 06-PM,MONAJPY,259.9,261.9,259.9,261.9,1950.0,509200.0
2019-07-01 05-PM,MONAJPY,259.4,260.8,257.3,259.9,2996.0,779010.0
2019-07-01 04-PM,MONAJPY,260.7,261,258,259.4,2176.0,564626.2
2019-07-01 03-PM,MONAJPY,264.6,264.6,256.1,260.7,18830.0,4916057.5
2019-07-01 02-PM,MONAJPY,265,267,264.6,264.6,6970.0,1851606.7
2019-07-01 01-PM,MONAJPY,265.3,267.7,265,265,5312.0,1413286.6
2019-07-01 12-PM,MONAJPY,269.1,270.4,265.3,265.3,12921.0,3456452.9
2019-07-01 11-AM,MONAJPY,267,270.9,266,269.1,9634.0,2593789.4
2019-07-01 10-AM,MONAJPY,266.3,268,265.6,267,2841.0,757935.0
2019-07-01 09-AM,MONAJPY,268,268,265.5,266.3,2517.0,669354.3
2019-07-01 08-AM,MONAJPY,266.7,269,266.6,268,1763.0,471697.4
2019-07-01 07-AM,MONAJPY,265,266.7,264.8,266.7,5999.0,1594249.1
2019-07-01 06-AM,MONAJPY,265.1,265.5,264.8,265,1884.0,499332.9
2019-07-01 05-AM,MONAJPY,265.1,265.9,265,265.1,1280.0,339592.7
2019-07-01 04-AM,MONAJPY,268,268,265,265.1,3428.0,910668.7
2019-07-01 03-AM,MONAJPY,266.4,268.8,266.3,268,3589.0,958623.9
2019-07-01 02-AM,MONAJPY,265,267,263.7,266.4,3091.0,821372.5
2019-07-01 01-AM,MONAJPY,265,266,265,265,2210.0,586625.6
2019-07-01 12-AM,MONAJPY,263.5,267.9,263,265,5083.0,1339665.1
2019-06-30 11-PM,MONAJPY,267,268.9,263.5,263.5,4026.0,1072952.8
2019-06-30 10-PM,MONAJPY,270.5,270.5,265.7,267,5117.0,1375863.5
2019-06-30 09-PM,MONAJPY,271,272.8,270.1,270.5,1774.0,480160.7
2019-06-30 08-PM,MONAJPY,270.1,272,270,271,308.0,83557.0
2019-06-30 07-PM,MONAJPY,270,271,270,270.1,405.0,109523.8
2019-06-30 06-PM,MONAJPY,269.9,270,268.1,270,1191.0,321411.0
2019-06-30 05-PM,MONAJPY,267.9,270,267.9,269.9,1431.0,383742.2
2019-06-30 04-PM,MONAJPY,267.5,270,265,267.9,7523.0,2012723.5
