Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume BTC
2019-07-03 10-AM,XEMBTC,8.19e-06,8.19e-06,7.96e-06,7.96e-06,2240.0,0.01791
2019-07-03 09-AM,XEMBTC,7.93e-06,8.19e-06,7.93e-06,8.19e-06,4924.0,0.04007
2019-07-03 08-AM,XEMBTC,7.93e-06,7.93e-06,7.93e-06,7.93e-06,0.0,0.0
2019-07-03 07-AM,XEMBTC,7.93e-06,7.93e-06,7.93e-06,7.93e-06,0.0,0.0
2019-07-03 06-AM,XEMBTC,8.06e-06,8.22e-06,7.93e-06,7.93e-06,2210.0,0.01804
2019-07-03 05-AM,XEMBTC,8.08e-06,8.1e-06,7.91e-06,8.06e-06,55787.0,0.4429
2019-07-03 04-AM,XEMBTC,7.99e-06,8.08e-06,7.93e-06,8.08e-06,16280.0,0.1294
2019-07-03 03-AM,XEMBTC,7.99e-06,7.99e-06,7.99e-06,7.99e-06,0.0,0.0
2019-07-03 02-AM,XEMBTC,8.09e-06,8.09e-06,7.99e-06,7.99e-06,101.0,0.000807
2019-07-03 01-AM,XEMBTC,8.0e-06,8.21e-06,8.0e-06,8.09e-06,117.0,0.0009488
2019-07-03 12-AM,XEMBTC,8.17e-06,8.17e-06,8.0e-06,8.0e-06,26048.0,0.2117
2019-07-02 11-PM,XEMBTC,8.17e-06,8.17e-06,8.17e-06,8.17e-06,0.0,0.0
2019-07-02 10-PM,XEMBTC,8.17e-06,8.17e-06,8.17e-06,8.17e-06,0.0,0.0
2019-07-02 09-PM,XEMBTC,8.17e-06,8.17e-06,8.17e-06,8.17e-06,0.0,0.0
2019-07-02 08-PM,XEMBTC,8.17e-06,8.17e-06,8.17e-06,8.17e-06,0.0,0.0
2019-07-02 07-PM,XEMBTC,8.3e-06,8.3e-06,8.17e-06,8.17e-06,43709.0,0.3575
2019-07-02 06-PM,XEMBTC,8.3e-06,8.3e-06,8.3e-06,8.3e-06,0.0,0.0
2019-07-02 05-PM,XEMBTC,8.35e-06,8.35e-06,8.3e-06,8.3e-06,26850.0,0.2235
2019-07-02 04-PM,XEMBTC,8.35e-06,8.35e-06,8.35e-06,8.35e-06,0.0,0.0
2019-07-02 03-PM,XEMBTC,8.47e-06,8.64e-06,8.35e-06,8.35e-06,1687.0,0.01411
2019-07-02 02-PM,XEMBTC,8.64e-06,8.64e-06,8.35e-06,8.47e-06,500.0,0.00424
2019-07-02 01-PM,XEMBTC,8.6e-06,8.64e-06,8.47e-06,8.64e-06,2051.0,0.01764
2019-07-02 12-PM,XEMBTC,8.61e-06,8.8e-06,8.52e-06,8.6e-06,6730.0,0.05801
2019-07-02 11-AM,XEMBTC,8.7e-06,8.83e-06,8.61e-06,8.61e-06,40909.0,0.3611
2019-07-02 10-AM,XEMBTC,8.69e-06,8.7e-06,8.55e-06,8.7e-06,15892.0,0.1365
2019-07-02 09-AM,XEMBTC,8.69e-06,8.69e-06,8.69e-06,8.69e-06,0.0,0.0
2019-07-02 08-AM,XEMBTC,8.85e-06,8.85e-06,8.41e-06,8.69e-06,20247.0,0.1719
2019-07-02 07-AM,XEMBTC,8.85e-06,8.85e-06,8.67e-06,8.85e-06,3737.0,0.03268
2019-07-02 06-AM,XEMBTC,8.78e-06,8.85e-06,8.78e-06,8.85e-06,334.0,0.002956
2019-07-02 05-AM,XEMBTC,8.81e-06,8.87e-06,8.6e-06,8.78e-06,1975.0,0.01705
2019-07-02 04-AM,XEMBTC,8.59e-06,8.99e-06,8.55e-06,8.81e-06,49842.0,0.4381
2019-07-02 03-AM,XEMBTC,8.59e-06,8.59e-06,8.59e-06,8.59e-06,0.0,0.0
2019-07-02 02-AM,XEMBTC,8.55e-06,8.79e-06,8.55e-06,8.59e-06,1678.0,0.01451
2019-07-02 01-AM,XEMBTC,8.55e-06,8.55e-06,8.55e-06,8.55e-06,0.0,0.0
2019-07-02 12-AM,XEMBTC,8.55e-06,8.55e-06,8.55e-06,8.55e-06,0.0,0.0
2019-07-01 11-PM,XEMBTC,8.55e-06,8.55e-06,8.55e-06,8.55e-06,0.0,0.0
2019-07-01 10-PM,XEMBTC,8.55e-06,8.55e-06,8.55e-06,8.55e-06,0.0,0.0
2019-07-01 09-PM,XEMBTC,8.55e-06,8.55e-06,8.55e-06,8.55e-06,0.0,0.0
2019-07-01 08-PM,XEMBTC,8.77e-06,8.79e-06,8.55e-06,8.55e-06,162.0,0.001391
2019-07-01 07-PM,XEMBTC,8.7e-06,8.77e-06,8.7e-06,8.77e-06,26111.0,0.2285
2019-07-01 06-PM,XEMBTC,8.7e-06,8.7e-06,8.7e-06,8.7e-06,0.0,0.0
2019-07-01 05-PM,XEMBTC,8.7e-06,8.7e-06,8.7e-06,8.7e-06,296.0,0.002575
2019-07-01 04-PM,XEMBTC,8.71e-06,8.71e-06,8.7e-06,8.7e-06,200.0,0.00174
