Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2019-07-03 10-AM,XEMJPY,9.76,9.838,9.703,9.703,512558.6,5016935.11
2019-07-03 09-AM,XEMJPY,9.7,9.76,9.611,9.76,935850.6,9069774.35
2019-07-03 08-AM,XEMJPY,9.811,9.843,9.7,9.7,1084832.8,10583024.73
2019-07-03 07-AM,XEMJPY,9.95,9.98,9.811,9.811,648919.0,6423945.53
2019-07-03 06-AM,XEMJPY,9.97,10.02,9.93,9.95,1135505.8,11333569.5
2019-07-03 05-AM,XEMJPY,9.74,10.06,9.74,9.97,1863811.8,18554650.03
2019-07-03 04-AM,XEMJPY,9.751,9.788,9.721,9.74,240499.4,2343674.34
2019-07-03 03-AM,XEMJPY,9.65,9.823,9.65,9.751,606199.6,5905318.56
2019-07-03 02-AM,XEMJPY,9.741,9.779,9.65,9.65,444509.4,4313615.07
2019-07-03 01-AM,XEMJPY,9.671,9.802,9.613,9.741,1081009.0,10528269.86
2019-07-03 12-AM,XEMJPY,9.585,9.82,9.585,9.671,766862.8,7447016.14
2019-07-02 11-PM,XEMJPY,9.67,9.689,9.585,9.585,310092.5,2981839.95
2019-07-02 10-PM,XEMJPY,9.52,9.7,9.5,9.67,304250.0,2930673.72
2019-07-02 09-PM,XEMJPY,9.581,9.659,9.472,9.52,731658.6,6973935.86
2019-07-02 08-PM,XEMJPY,9.682,9.79,9.55,9.581,549633.1,5320090.11
2019-07-02 07-PM,XEMJPY,9.585,9.75,9.585,9.682,259544.9,2518338.53
2019-07-02 06-PM,XEMJPY,9.639,9.669,9.582,9.585,151931.8,1461308.29
2019-07-02 05-PM,XEMJPY,9.51,9.64,9.51,9.639,187840.9,1800746.58
2019-07-02 04-PM,XEMJPY,9.62,9.65,9.501,9.51,318113.0,3047597.2
2019-07-02 03-PM,XEMJPY,9.6,9.649,9.478,9.62,488405.3,4671598.04
2019-07-02 02-PM,XEMJPY,9.31,9.7,9.274,9.6,1565922.0,14846487.64
2019-07-02 01-PM,XEMJPY,9.4,9.4,9.27,9.31,680508.0,6343390.96
2019-07-02 12-PM,XEMJPY,9.35,9.47,9.35,9.4,894549.5,8427994.83
2019-07-02 11-AM,XEMJPY,9.48,9.524,9.28,9.35,2879539.3,26976524.17
2019-07-02 10-AM,XEMJPY,9.59,9.6,9.435,9.48,627920.0,5984697.6
2019-07-02 09-AM,XEMJPY,9.64,9.68,9.51,9.59,976328.0,9369394.08
2019-07-02 08-AM,XEMJPY,9.41,9.755,9.401,9.64,1624600.5,15577297.61
2019-07-02 07-AM,XEMJPY,9.34,9.423,9.316,9.41,885427.3,8315360.38
2019-07-02 06-AM,XEMJPY,9.361,9.401,9.3,9.34,1734455.6,16212545.36
2019-07-02 05-AM,XEMJPY,9.501,9.501,9.352,9.361,1319517.1,12407911.76
2019-07-02 04-AM,XEMJPY,9.73,9.745,9.402,9.501,2167186.6,20665974.12
2019-07-02 03-AM,XEMJPY,9.7,9.75,9.661,9.73,305050.0,2957708.04
2019-07-02 02-AM,XEMJPY,9.7,9.798,9.664,9.7,316877.9,3086922.38
2019-07-02 01-AM,XEMJPY,9.85,9.851,9.7,9.7,574708.5,5600809.88
2019-07-02 12-AM,XEMJPY,10.06,10.11,9.82,9.85,644581.6,6399038.41
2019-07-01 11-PM,XEMJPY,9.88,10.1,9.88,10.06,423548.6,4226534.36
2019-07-01 10-PM,XEMJPY,9.91,9.93,9.879,9.88,659857.0,6538737.96
2019-07-01 09-PM,XEMJPY,9.82,9.928,9.81,9.91,354040.9,3496424.94
2019-07-01 08-PM,XEMJPY,9.7,9.851,9.635,9.82,723322.2,7071323.25
2019-07-01 07-PM,XEMJPY,9.756,9.756,9.6,9.7,740641.2,7156121.36
2019-07-01 06-PM,XEMJPY,9.66,9.756,9.66,9.756,226540.9,2198003.14
2019-07-01 05-PM,XEMJPY,9.649,9.739,9.649,9.66,345283.4,3348599.19
2019-07-01 04-PM,XEMJPY,9.72,9.751,9.595,9.649,859619.2,8341819.74
2019-07-01 03-PM,XEMJPY,9.7,9.726,9.53,9.72,2913636.5,28100343.38
2019-07-01 02-PM,XEMJPY,9.81,9.878,9.7,9.7,1747721.5,17111937.01
2019-07-01 01-PM,XEMJPY,9.9,9.918,9.801,9.81,1458967.7,14362111.7
2019-07-01 12-PM,XEMJPY,10.1,10.15,9.811,9.9,1832389.2,18151153.24
2019-07-01 11-AM,XEMJPY,10.06,10.15,10.03,10.1,531357.0,5343452.63
2019-07-01 10-AM,XEMJPY,10.17,10.2,10.03,10.06,458590.0,4631577.02
2019-07-01 09-AM,XEMJPY,10.13,10.19,10.1,10.17,352290.5,3572659.31
2019-07-01 08-AM,XEMJPY,10.1,10.18,10.04,10.13,274505.4,2771450.0
2019-07-01 07-AM,XEMJPY,10.12,10.22,10.08,10.1,287156.5,2912497.18
2019-07-01 06-AM,XEMJPY,10.16,10.25,10.12,10.12,316605.9,3215574.09
2019-07-01 05-AM,XEMJPY,10.19,10.25,10.11,10.16,547299.8,5559579.8
2019-07-01 04-AM,XEMJPY,10.19,10.24,10.15,10.19,310565.4,3165719.49
2019-07-01 03-AM,XEMJPY,10.08,10.37,10.05,10.19,1811403.3,18543944.57
2019-07-01 02-AM,XEMJPY,9.92,10.17,9.85,10.08,707505.2,7096003.26
2019-07-01 01-AM,XEMJPY,9.95,10.02,9.919,9.92,307300.6,3064626.35
2019-07-01 12-AM,XEMJPY,9.82,10.06,9.803,9.95,969930.2,9614328.28
2019-06-30 11-PM,XEMJPY,9.95,9.95,9.815,9.82,1081907.2,10698329.37
2019-06-30 10-PM,XEMJPY,10.2,10.2,9.949,9.95,1226454.9,12320874.69
2019-06-30 09-PM,XEMJPY,10.23,10.29,10.17,10.2,612781.9,6280062.12
2019-06-30 08-PM,XEMJPY,10.08,10.24,10.04,10.23,229006.8,2326979.26
2019-06-30 07-PM,XEMJPY,10.02,10.09,10,10.08,178140.9,1786104.5
2019-06-30 06-PM,XEMJPY,10.09,10.09,10.02,10.02,85110.8,854289.47
2019-06-30 05-PM,XEMJPY,10.1,10.15,10.02,10.09,391967.6,3962516.51
2019-06-30 04-PM,XEMJPY,10.05,10.11,9.799,10.1,2623582.5,25952706.49
2019-06-30 03-PM,XEMJPY,10.16,10.17,9.99,10.05,1994425.5,20091390.47
2019-06-30 02-PM,XEMJPY,10.06,10.2,9.89,10.16,5716677.3,57380528.13
2019-06-30 01-PM,XEMJPY,10.35,10.37,10.06,10.06,3783338.9,38534603.01
2019-06-30 12-PM,XEMJPY,10.31,10.4,10.2,10.35,713152.4,7360394.14
2019-06-30 11-AM,XEMJPY,10.46,10.5,10.3,10.31,1774294.3,18367736.24
2019-06-30 10-AM,XEMJPY,10.65,10.65,10.46,10.46,1366513.7,14377221.14
2019-06-30 09-AM,XEMJPY,10.62,10.68,10.6,10.65,499860.8,5314245.23
2019-06-30 08-AM,XEMJPY,10.55,10.65,10.55,10.62,836424.6,8883124.0
2019-06-30 07-AM,XEMJPY,10.75,10.75,10.55,10.55,2256541.6,23991257.32
2019-06-30 06-AM,XEMJPY,10.8,10.86,10.75,10.75,580737.2,6271209.7
2019-06-30 05-AM,XEMJPY,10.93,11.02,10.76,10.8,2526430.3,27535190.35
2019-06-30 04-AM,XEMJPY,10.84,10.96,10.8,10.93,799151.7,8695188.61
2019-06-30 03-AM,XEMJPY,10.89,10.92,10.75,10.84,2311570.5,25008035.9
2019-06-30 02-AM,XEMJPY,10.8,10.99,10.75,10.89,3528228.4,38305092.72
2019-06-30 01-AM,XEMJPY,10.65,10.8,10.61,10.8,1405896.1,15060755.63
2019-06-30 12-AM,XEMJPY,10.65,10.7,10.63,10.65,682190.9,7279254.25
2019-06-29 11-PM,XEMJPY,10.61,10.67,10.56,10.65,579729.0,6152343.24
2019-06-29 10-PM,XEMJPY,10.51,10.61,10.51,10.61,640611.5,6775207.64
2019-06-29 09-PM,XEMJPY,10.56,10.62,10.45,10.51,622309.4,6551830.5
2019-06-29 08-PM,XEMJPY,10.5,10.62,10.5,10.56,345670.7,3656168.85
2019-06-29 07-PM,XEMJPY,10.52,10.58,10.5,10.5,155695.7,1637493.23
2019-06-29 06-PM,XEMJPY,10.5,10.6,10.47,10.52,533401.5,5632594.13
2019-06-29 05-PM,XEMJPY,10.45,10.57,10.42,10.5,619844.3,6512972.99
2019-06-29 04-PM,XEMJPY,10.48,10.5,10.41,10.45,479354.5,4999391.43
2019-06-29 03-PM,XEMJPY,10.5,10.51,10.48,10.48,527219.7,5533720.06
2019-06-29 02-PM,XEMJPY,10.4,10.5,10.37,10.5,629232.5,6573216.01
2019-06-29 01-PM,XEMJPY,10.41,10.48,10.38,10.4,653699.5,6809052.8
2019-06-29 12-PM,XEMJPY,10.44,10.46,10.37,10.41,926685.5,9672206.43
2019-06-29 11-AM,XEMJPY,10.36,10.44,10.36,10.44,887552.8,9251026.64
2019-06-29 10-AM,XEMJPY,10.27,10.44,10.21,10.36,527567.0,5425319.13
2019-06-29 09-AM,XEMJPY,10.33,10.36,10.27,10.27,296903.1,3059454.75
2019-06-29 08-AM,XEMJPY,10.43,10.43,10.33,10.33,352958.5,3665370.77
2019-06-29 07-AM,XEMJPY,10.3,10.43,10.3,10.43,468865.4,4858025.06
2019-06-29 06-AM,XEMJPY,10.2,10.35,10.17,10.3,628422.4,6451502.28
2019-06-29 05-AM,XEMJPY,10.25,10.26,10.17,10.2,465436.1,4758856.63
2019-06-29 04-AM,XEMJPY,10.1,10.26,10.06,10.25,1592810.2,16199545.85
2019-06-29 03-AM,XEMJPY,10.35,10.35,10.09,10.1,1301697.5,13292779.26
2019-06-29 02-AM,XEMJPY,10.5,10.5,10.06,10.35,1689846.4,17398620.29
2019-06-29 01-AM,XEMJPY,10.46,10.6,10.44,10.5,1255873.8,13192453.73
2019-06-29 12-AM,XEMJPY,10.47,10.58,10.44,10.46,1073396.8,11275254.82
2019-06-28 11-PM,XEMJPY,10.44,10.49,10.42,10.47,691733.2,7248821.94
2019-06-28 10-PM,XEMJPY,10.47,10.48,10.41,10.44,352049.8,3674401.09
2019-06-28 09-PM,XEMJPY,10.4,10.49,10.4,10.47,252116.4,2640150.2
2019-06-28 08-PM,XEMJPY,10.45,10.48,10.4,10.4,493598.8,5144813.18
2019-06-28 07-PM,XEMJPY,10.35,10.45,10.35,10.45,380098.6,3960637.54
2019-06-28 06-PM,XEMJPY,10.33,10.39,10.32,10.35,41362.4,427995.02
