Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2019-07-03,XEMJPY,9.585,10.06,9.585,9.703,8710261.8,85550490.2
2019-07-02,XEMJPY,10.06,10.11,9.27,9.585,20498642.0,194878185.49
2019-07-01,XEMJPY,9.82,10.37,9.53,10.06,19160078.1,189594521.25
2019-06-30,XEMJPY,10.65,11.02,9.799,9.82,37204386.8,386637089.23
2019-06-29,XEMJPY,10.47,10.67,10.06,10.65,17254783.8,179334406.51
2019-06-28,XEMJPY,9.786,10.66,9.655,10.47,28047603.1,286774775.53
2019-06-27,XEMJPY,10.75,11.18,9.2,9.786,46766143.4,466694398.99
2019-06-26,XEMJPY,9.811,11.7,9.8,10.75,78138786.8,840170216.89
2019-06-25,XEMJPY,9.771,9.9,9.656,9.811,13023293.6,127421866.3
2019-06-24,XEMJPY,9.735,9.8,9.57,9.771,8305833.8,80370438.83
2019-06-23,XEMJPY,9.838,10,9.64,9.735,17094891.9,168419451.28
2019-06-22,XEMJPY,9.45,10.01,9.361,9.838,31688534.7,308790922.33
2019-06-21,XEMJPY,9.28,9.516,9.27,9.45,13791314.2,129504765.31
2019-06-20,XEMJPY,9.46,9.498,9.161,9.28,10561467.4,98304318.29
2019-06-19,XEMJPY,9.294,9.51,9.27,9.46,5962068.1,56037739.5
2019-06-18,XEMJPY,9.842,9.868,9.2,9.294,15235823.3,144227531.24
2019-06-17,XEMJPY,9.5,10,9.5,9.842,18414405.8,180625751.96
2019-06-16,XEMJPY,9.251,9.94,9.25,9.5,27288468.1,260979263.17
2019-06-15,XEMJPY,9.277,9.379,9.185,9.251,8070307.8,74871849.27
2019-06-14,XEMJPY,9.23,9.42,9.01,9.277,10738954.4,99222663.83
2019-06-13,XEMJPY,9.3,9.384,9.179,9.23,8323522.4,77352315.89
2019-06-12,XEMJPY,9.12,9.38,8.991,9.3,12978181.4,119573051.94
2019-06-11,XEMJPY,9.149,9.27,8.832,9.12,7688376.8,69495516.42
2019-06-10,XEMJPY,8.822,9.399,8.73,9.149,8476324.9,76890604.18
2019-06-09,XEMJPY,9.231,9.25,8.65,8.822,11039476.0,99085450.57
2019-06-08,XEMJPY,9.337,9.51,9.089,9.231,9345941.6,87252732.37
2019-06-07,XEMJPY,9.07,9.6,8.93,9.34,18137796.3,168343514.36
2019-06-06,XEMJPY,9.01,9.12,8.64,9.07,12189312.1,108722566.44
