Created on 02-03-2019,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1546300740000,2018-12-31 23:59:00,LTCUSD,29.94,29.94,29.71,29.71,4.959
1546300680000,2018-12-31 23:58:00,LTCUSD,29.94,29.94,29.71,29.94,6.612
1546300620000,2018-12-31 23:57:00,LTCUSD,29.71,29.94,29.71,29.94,4.959
1546300560000,2018-12-31 23:56:00,LTCUSD,29.71,29.94,29.71,29.71,3.306
1546300500000,2018-12-31 23:55:00,LTCUSD,29.71,29.94,29.71,29.71,6.612
1546300440000,2018-12-31 23:54:00,LTCUSD,29.73,29.94,29.71,29.71,3.306
1546300380000,2018-12-31 23:53:00,LTCUSD,29.73,29.73,29.73,29.73,0.0
1546300320000,2018-12-31 23:52:00,LTCUSD,29.73,29.73,29.73,29.73,0.0
1546300260000,2018-12-31 23:51:00,LTCUSD,29.73,29.94,29.73,29.73,2.4
1546300200000,2018-12-31 23:50:00,LTCUSD,29.73,29.94,29.73,29.73,3.2
1546300140000,2018-12-31 23:49:00,LTCUSD,29.94,29.94,29.73,29.73,4.8
1546300080000,2018-12-31 23:48:00,LTCUSD,29.94,29.94,29.73,29.94,10.79
1546300020000,2018-12-31 23:47:00,LTCUSD,29.94,29.94,29.94,29.94,9.19
1546299960000,2018-12-31 23:46:00,LTCUSD,29.73,29.94,29.73,29.94,1.03057
1546299900000,2018-12-31 23:45:00,LTCUSD,29.73,29.73,29.73,29.73,0.0
1546299840000,2018-12-31 23:44:00,LTCUSD,29.72,29.94,29.72,29.73,21.1
1546299780000,2018-12-31 23:43:00,LTCUSD,29.71,29.94,29.71,29.72,17.14407
1546299720000,2018-12-31 23:42:00,LTCUSD,29.95,29.95,29.71,29.71,2.4
1546299660000,2018-12-31 23:41:00,LTCUSD,29.95,29.95,29.95,29.95,0.0
1546299600000,2018-12-31 23:40:00,LTCUSD,29.69,29.95,29.69,29.95,0.14086
1546299540000,2018-12-31 23:39:00,LTCUSD,29.69,29.69,29.69,29.69,0.0
1546299480000,2018-12-31 23:38:00,LTCUSD,29.69,29.69,29.69,29.69,0.0
1546299420000,2018-12-31 23:37:00,LTCUSD,29.68,29.69,29.68,29.69,34.0
1546299360000,2018-12-31 23:36:00,LTCUSD,29.68,29.68,29.68,29.68,0.0
1546299300000,2018-12-31 23:35:00,LTCUSD,29.67,29.94,29.67,29.68,2.4
1546299240000,2018-12-31 23:34:00,LTCUSD,29.67,29.67,29.67,29.67,0.0
1546299180000,2018-12-31 23:33:00,LTCUSD,29.94,29.94,29.67,29.67,1.6
1546299120000,2018-12-31 23:32:00,LTCUSD,29.94,29.94,29.94,29.94,0.0
1546299060000,2018-12-31 23:31:00,LTCUSD,29.94,29.94,29.94,29.94,2.1376
1546299000000,2018-12-31 23:30:00,LTCUSD,29.95,29.95,29.94,29.94,0.35847
1546298940000,2018-12-31 23:29:00,LTCUSD,29.95,29.95,29.95,29.95,0.0
1546298880000,2018-12-31 23:28:00,LTCUSD,29.93,29.95,29.93,29.95,3.8651
